Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-668.193	-680.4487	12.25571	10	0.02755107	0.444934	0.00618474	0.516332	0.0874956	0.0154819	0.0291594	0.0140417	0.046825	0.13763	0.00213768	0.249832	0.0845559	0.211853	0.081912	0.0217811	7.8473e-23	1.32435e-11	4.89267e-05	3.99995	5	1.950157
1000	-383.5195	-394.6672	11.14772	2	1.490987	0.000683842	0.0416805	0.0030017	0.00887406	0.0178986	0.0104912	0.0484199	0.0387363	0.0354509	0.0493188	0.214734	0.00938373	0.590217	0.390091	0.017275	0.223927	0.587049	1.04989	2.13914	4	1.476255
2000	-387.1115	-399.2575	12.146	1	0.6512575	0.0562441	0.00594939	0.0456583	0.0468078	0.0370342	0.0298434	0.0462823	0.0502399	0.0248645	0.116098	0.000298992	0.0361498	0.521882	0.360896	0.00962532	0.0638234	0.339595	0.905374	2.69121	3	1.387874
3000	-384.4646	-395.6578	11.19322	10	2.293923	0.0378915	0.113623	0.0130394	0.0408912	0.0293273	0.039892	0.0520744	0.0412215	0.0413505	0.162181	0.00475711	0.0158158	0.419113	0.337609	0.019373	0.326005	0.683024	1.07586	1.91511	5	1.368159
4000	-392.4262	-404.7962	12.36997	2	1.126399	0.00747637	0.144001	0.0254592	0.00504289	0.0411133	0.0186815	0.025824	0.0100178	0.0527793	0.215119	0.0084647	0.0147377	0.376938	0.351746	0.0289137	0.161462	0.511705	1.01815	2.30868	4	1.326315
5000	-387.7746	-398.1614	10.38683	2	0.851232	0.012352	0.0780349	0.153382	0.0460716	0.01186	0.0266146	0.0280166	0.052732	0.0166525	0.0961105	0.0162513	0.0157062	0.751767	0.361984	0.00955018	0.106404	0.426971	0.970199	2.49643	4	1.677085
6000	-378.9105	-397.6566	18.74613	2	0.3723929	0.00438179	0.0573775	0.0140412	0.0181803	0.0324186	0.0168012	0.0150627	0.0348464	0.0198883	0.0910833	0.00150147	0.0162377	0.311761	0.164532	0.00450737	0.0129414	0.160852	0.699591	3.12662	4	0.8026213
7000	-390.1303	-399.9719	9.841605	1	2.03157	0.0518341	0.0585591	0.0747616	0.0108982	0.0371362	0.0134323	0.0415113	0.0287821	0.0203614	0.01181	0.0169289	0.351993	0.407883	0.296044	0.0583471	0.297014	0.658329	1.07076	1.9739	3	1.480282
8000	-385.3087	-398.8937	13.58502	1	2.029603	0.00231614	0.0264833	0.0375157	0.0458675	0.0269192	0.00712842	0.0118474	0.0204997	0.022173	0.0386954	0.0147163	0.216621	0.205832	0.405628	0.0238938	0.296783	0.658125	1.07071	1.97438	3	1.106137
9000	-377.2689	-394.4907	17.22183	2	0.6134153	0.0022769	0.0374198	0.053893	0.00710392	0.0208357	0.0188333	0.016102	0.0168165	0.017482	0.0287255	0.0291254	0.123581	0.289413	0.292356	0.0119509	0.0558862	0.319647	0.888012	2.73645	4	0.9659151
10000	-385.5813	-398.1057	12.52434	2	0.653832	0.0651335	0.0918733	0.0822461	0.0184358	0.0342732	0.0224047	0.0293712	0.0256492	0.023251	0.0069477	0.0203603	0.202113	0.44832	0.310742	0.00530586	0.0643677	0.340907	0.90648	2.68824	4	1.386426
11000	-383.7162	-395.8863	12.17015	10	0.4692	0.0707995	0.0884065	0.0309706	0.0158948	0.0353981	0.0100951	0.0243748	0.0172996	0.0303593	0.00200048	0.0186593	0.283686	0.643926	0.575524	0.0386713	0.0278312	0.231334	0.796496	2.94434	5	1.886066
12000	-380.6976	-397.421	16.72334	1	0.9397487	0.00485896	0.0693388	0.0446254	0.0156508	0.00574466	0.0217653	0.0281698	0.0196322	0.0228064	0.0158838	0.0307296	0.13563	0.286304	0.18839	0.0117602	0.124781	0.457861	0.989252	2.42811	3	0.9012902
13000	-386.2255	-399.8103	13.58478	2	1.691572	0.0207944	0.0340076	0.137523	0.0743558	0.0156784	0.0132362	0.0316769	0.0114602	0.00869133	0.0339628	0.03224	0.160004	0.343428	0.325586	0.00509636	0.253458	0.617621	1.05994	2.06898	4	1.247741
14000	-391.0856	-402.3751	11.28949	2	1.177041	0.0134668	0.0878378	0.130071	0.0702364	0.0470194	0.0237267	0.0182327	0.014093	0.0246303	0.0416488	0.00986231	0.139048	0.348267	0.424756	0.0272386	0.170868	0.524187	1.0241	2.28085	4	1.420134
15000	-389.7036	-397.6613	7.957726	1	1.310448	0.0609861	0.0338248	0.115827	0.0883637	0.0229393	0.0455978	0.0587699	0.0515395	0.0466308	0.294454	0.00851738	0.0144679	0.501641	0.377703	0.0195204	0.194501	0.553631	1.03704	2.21483	3	1.740782
16000	-384.9562	-401.502	16.54586	10	0.3535029	0.0186796	0.134974	0.121247	0.00690837	0.0169628	0.0346635	0.0244437	0.0204818	0.0324193	0.162832	0.00585471	0.00508868	0.60541	0.202709	0.0106211	0.0106171	0.146277	0.675634	3.16747	5	1.403296
17000	-378.0577	-392.3562	14.29854	2	0.8460994	0.000964541	0.0689005	0.051337	0.00218217	0.0194587	0.0270037	0.0333722	0.0401497	0.00745869	0.212595	0.0287655	0.0382735	0.414783	0.2944	0.000718166	0.105324	0.425052	0.968953	2.50067	4	1.240363
18000	-389.9745	-401.9368	11.96227	1	1.597353	0.00880984	0.0839092	0.111428	0.111793	0.0120035	0.0434157	0.0487014	0.0112419	0.0298821	0.0855435	0.00174761	0.0140644	0.412467	0.304233	0.0323959	0.239977	0.603998	1.05566	2.10036	3	1.311636
19000	-387.7319	-400.4599	12.72799	2	0.7640541	0.0196493	0.064758	0.0189617	0.0242514	0.00551423	0.00651751	0.0284736	0.0159255	0.061577	0.175236	0.0228249	0.0208257	0.373247	0.494358	0.0408278	0.0878903	0.392249	0.946474	2.57339	4	1.372947
20000	-380.8421	-396.0939	15.2518	1	0.4194959	0.0993041	0.000623457	0.0577364	0.0268824	0.02702	0.00994479	0.0226131	0.0162841	0.0300013	0.0882777	0.0269672	0.00808026	0.451966	0.232084	0.00268512	0.0196246	0.196163	0.751544	3.03267	3	1.10047
21000	-384.1557	-396.7845	12.62883	2	1.933353	0.00608702	0.0827654	0.00242219	0.0191394	0.0398913	0.0292531	0.0271407	0.01684	0.0143015	0.150378	0.00348675	0.0352141	0.48526	0.352203	0.0380813	0.285187	0.647734	1.06823	1.99885	4	1.302464
22000	-399.7281	-405.2668	5.538678	10	1.084317	0.0202899	0.0770131	0.321629	0.12149	0.0272128	0.0367533	0.0464492	0.020163	0.024773	0.050536	0.0493452	0.0235121	0.732457	0.41778	0.00425428	0.153464	0.500707	1.01268	2.33315	5	1.973658
23000	-383.8405	-396.2504	12.40992	10	1.642391	0.00665221	0.0885583	0.0567115	0.0484172	0.017546	0.01625	0.0551643	0.0239608	0.0320819	9.00234e-05	0.0206161	0.354021	0.546003	0.124763	0.0224329	0.246505	0.610661	1.05779	2.08504	5	1.413269
24000	-384.3682	-393.1147	8.746544	2	0.7181296	0.0308394	0.0651333	0.0659826	0.00371971	0.0210114	0.0146823	0.022965	0.0176455	0.0197655	0.01794	0.0209346	0.548475	0.717286	0.0241602	0.237628	0.0780642	0.37196	0.931406	2.61857	4	1.828169
25000	-381.734	-397.6333	15.89938	1	1.141714	0.00274285	0.0426355	0.0653428	0.0406545	0.00781603	0.0122263	0.0309486	0.0120933	0.0134707	0.0369505	0.00826609	0.239366	0.324049	0.0114882	0.115439	0.164332	0.515563	1.02002	2.30009	3	0.9634895
26000	-390.0529	-401.2338	11.18093	1	0.3616406	0.0605515	0.0291932	0.0433952	0.0158464	0.0145258	0.0281933	0.0333829	0.0238396	0.0273053	0.00735423	0.0149144	0.366832	0.545353	0.0125643	0.290092	0.0115915	0.152578	0.686196	3.14963	3	1.513342
27000	-384.0214	-399.177	15.1555	2	1.770702	0.0159395	0.0100669	0.0531905	0.001942	0.00932682	0.0301121	0.0281387	0.0530127	0.024688	0.0290847	0.0196698	0.265454	0.266048	0.0199778	0.210438	0.264278	0.628183	1.06303	2.04451	4	1.037089
28000	-389.9508	-400.6582	10.70747	1	0.3657877	0.0112453	0.0710034	0.00594923	0.0203956	0.0179466	0.0236512	0.0180949	0.0333265	0.0212918	0.075315	0.0167912	0.4133	0.655405	0.0201574	0.156401	0.0121039	0.155777	0.691437	3.14068	3	1.560273
29000	-376.9655	-394.2137	17.24822	2	0.6681498	0.00769328	0.0572693	0.042815	0.0259503	0.0111939	0.0105129	0.0227442	0.0137579	0.00971102	0.0151331	0.00681098	0.167517	0.401242	0.0107052	0.0743514	0.0674023	0.348107	0.912469	2.67202	4	0.8774082
30000	-386.2089	-397.6901	11.4812	0.2	2.701269	0.0131499	0.0443989	0.0165604	0.0166929	0.0260056	0.0366776	0.0801864	0.0451585	0.0256321	0.0225719	0.00867101	0.347512	0.26092	0.00513356	0.16604	0.364745	0.713521	1.08058	1.84115	2	1.115311
31000	-389.1667	-401.5623	12.3956	1	1.750523	0.0420938	0.0403694	0.0120976	0.0225293	0.0241819	0.00728925	0.0411031	0.0145429	0.0439775	0.0328949	0.0436159	0.423343	0.246136	0.0120529	0.246759	0.26156	0.62556	1.06228	2.0506	3	1.252987
32000	-376.3867	-400.4859	24.09921	1000	0.6131672	0.0638397	0.0559946	0.00636201	0.06739	0.0306189	0.0175862	0.0352098	0.0407525	0.0332347	0.00383008	0.0123525	0.63978	0.274437	0.0111655	0.124097	0.0558347	0.319512	0.887891	2.73676	6	1.416651
33000	-393.99	-402.5899	8.599872	1	1.863735	0.0127083	0.114193	0.143511	0.0752994	0.042181	0.0276869	0.0628397	0.0187029	0.0659898	0.0258849	0.010572	0.536792	0.271945	0.0123897	0.200543	0.276448	0.639694	1.06617	2.01768	3	1.621238
34000	-380.7954	-398.6385	17.84305	2	0.5831001	0.0495999	0.0309696	0.0155289	0.0248898	0.00667836	0.0104513	0.020616	0.00367657	0.0188633	0.0223032	0.00837946	0.417659	0.157086	6.698e-06	0.111962	0.0496422	0.302747	0.872446	2.77517	4	0.898669
35000	-390.4071	-401.719	11.31192	1	2.453013	0.0245856	0.0885792	0.0439436	0.0905642	0.0267328	0.0105551	0.0306616	0.0357401	0.0051037	0.0318425	0.015666	0.574689	0.230646	0.0214635	0.0603329	0.341956	0.695904	1.07807	1.88407	3	1.291105
36000	-380.2982	-396.4618	16.16356	2	0.2079648	0.0458845	0.0277281	0.00772737	0.0533218	0.0120595	0.0128637	0.0250173	0.0284532	0.00786617	0.00822655	0.0123617	0.412974	0.412545	0.00556856	0.0744895	0.000691973	0.038493	0.404123	3.55669	4	1.147087
37000	-395.6401	-403.0056	7.365504	1	1.773039	0.0198538	0.0912414	0.0395928	0.0233052	0.0406281	0.0416338	0.0221297	0.0133813	0.0453915	0.0235918	0.0171714	0.612991	0.51921	0.0685811	0.175042	0.26459	0.628484	1.06311	2.04381	3	1.753745
38000	-384.628	-398.8594	14.23148	1	0.4978762	0.0501202	0.0297939	0.0147163	0.0146951	0.0107	0.00700636	0.0304344	0.0284149	0.0152962	0.0101225	0.0192561	0.215254	0.655952	0.00657992	0.0863218	0.0329948	0.250527	0.818717	2.89776	3	1.194664
39000	-379.7206	-396.8128	17.0922	2	0.6398502	0.0104383	0.0858727	0.00310794	0.0104446	0.00887484	0.0251578	0.021709	0.00637491	0.0172656	0.0126289	0.0104034	0.301141	0.250524	0.00717346	0.16393	0.0614175	0.333712	0.900363	2.70451	4	0.9350459
40000	-393.5402	-405.3841	11.84388	1	0.7691102	0.0490731	0.0704938	0.0166026	0.00489676	0.0332237	0.0146892	0.0211059	0.0282161	0.0214702	0.0205053	0.00480115	0.216569	0.706014	0.000705415	0.197934	0.0889709	0.394394	0.948014	2.56862	3	1.4063
41000	-388.4804	-397.9227	9.442351	2	1.084511	0.0153533	0.0474578	0.04142	0.00231195	0.0184278	0.0131649	0.0171308	0.0340289	0.0135777	0.0541462	0.00844603	0.328587	0.784867	0.0139	0.153924	0.153501	0.500759	1.0127	2.33304	4	1.546743
42000	-383.4333	-397.3888	13.95555	1	1.576127	0.0178768	0.0525352	0.00264148	0.00543486	0.0153269	0.0244906	0.0421541	0.0285057	0.0380085	0.0401405	0.00378766	0.402437	0.273206	0.0156655	0.15222	0.236846	0.600756	1.0546	2.1078	3	1.114431
43000	-381.8803	-404.3795	22.49912	1	0.1195707	0.00537186	0.0139149	0.0555847	0.0291624	0.0118991	0.00529334	0.0165829	0.00527634	0.014033	0.00249327	0.00260142	0.0963533	0.11353	0.00332439	0.0303086	5.07567e-06	0.0033407	0.149635	3.84702	3	0.4057298
44000	-390.8797	-400.1541	9.274383	2	0.4357007	0.0171929	0.0856488	0.235503	0.00387469	0.0198667	0.00493241	0.0358186	0.00698397	0.0293556	0.021303	0.00924	0.00810395	1.01945	0.00818449	0.238308	0.0221836	0.207886	0.767193	3.00274	4	1.743769
45000	-385.8533	-396.112	10.25869	1	0.2210411	0.0688347	0.00482991	0.11569	0.0636958	0.0122925	0.00735905	0.0142977	0.0293946	0.00860523	0.000403577	0.0185121	0.340509	0.752548	0.0196304	0.163022	0.00102477	0.0467273	0.436318	3.51593	3	1.619626
46000	-381.6491	-397.1387	15.48955	1	0.3706789	0.00903727	0.048023	0.0307292	0.0263553	0.00912967	0.0324045	0.0266306	0.0261012	0.0172308	0.0236803	0.0141795	0.256244	0.438394	0.0177725	0.105664	0.0127216	0.159538	0.697497	3.13024	3	1.081576
47000	-390.8921	-401.3439	10.45186	1	0.6865892	0.0403171	0.119776	0.0581029	0.00279101	0.0493722	0.02415	0.0367964	0.0452678	0.0389553	0.000144847	0.0318388	0.259748	0.694549	0.00851463	0.14343	0.0713263	0.357133	0.919796	2.65174	3	1.553755
48000	-381.2759	-395.9094	14.63352	2	0.4960016	0.0178407	0.0460693	0.0667212	0.00915547	0.024007	0.0153546	0.0182037	0.0117289	0.0295236	0.0193038	0.0040621	0.12576	0.766213	0.00246213	0.122671	0.0326491	0.249298	0.817337	2.90072	4	1.279076
49000	-386.1391	-394.5184	8.379313	1	1.265583	0.0780092	0.00492989	0.0773682	0.0445552	0.0247417	0.0221072	0.0436479	0.039849	0.0425688	0.0181726	0.00186197	0.242871	0.898417	0.0185177	0.145492	0.186737	0.544239	1.03308	2.23595	3	1.703109
50000	-379.9547	-393.9369	13.98223	1	3.793088	0.00896885	0.0740541	0.0249743	0.0157319	0.028728	0.0132276	0.0322372	0.032371	0.0167784	0.0103577	0.00250986	0.160791	0.291503	0.0132716	0.164563	0.442621	0.767736	1.08437	1.70527	3	0.8900675
51000	-394.0023	-402.7645	8.762248	1	1.391009	0.0689958	0.0620756	0.164915	0.0818571	0.0403794	0.0228853	0.00346862	0.0238719	0.028872	0.0476343	0.00437495	0.40241	0.305464	0.020252	0.374818	0.207984	0.569349	1.04332	2.17934	3	1.652273
52000	-382.4601	-398.6648	16.20475	2	1.026045	0.0318122	0.0726534	0.0134852	0.0120197	0.0313273	0.0139825	0.0579322	0.0326984	0.0155075	0.0341144	0.00696902	0.248601	0.297784	0.0288515	0.164925	0.142121	0.484443	1.00418	2.36925	4	1.062663
53000	-390.6672	-404.7616	14.09434	2	1.097299	0.0455049	0.054514	0.141651	0.0325898	0.0330029	0.0418484	0.0435278	0.0535807	0.0197124	0.0190217	0.00457578	0.248151	0.288467	0.00164678	0.121921	0.155949	0.504163	1.01442	2.32547	4	1.149715
54000	-391.3329	-399.3329	8.000014	1	0.6021175	0.143871	0.00137015	0.190965	0.0182276	0.0334946	0.0082142	0.0251205	0.0236757	0.0227042	0.0353365	0.00787995	0.234752	0.881314	0.0275233	0.152937	0.0535451	0.313447	0.882395	2.75061	3	1.807386
55000	-386.5208	-399.1652	12.64442	1	1.209324	0.0196929	0.0209282	0.0609648	0.0456629	0.0174735	0.032825	0.0243251	0.0507632	0.0183822	0.141993	0.0110809	0.432189	0.34249	0.0470862	0.0163687	0.176739	0.531746	1.02756	2.26395	3	1.282224
56000	-388.8863	-402.3886	13.50236	1	0.8726151	0.0940647	0.00574297	0.0457172	0.0489777	0.0236427	0.0253668	0.0326879	0.000350058	0.0180443	0.176573	0.0131941	0.352552	0.343994	0.0145488	0.0346463	0.110891	0.434806	0.975209	2.47909	3	1.230102
57000	-388.3625	-402.6081	14.24568	2	0.8993958	0.0683541	0.0262924	0.0193766	0.0384234	0.0048437	0.0334617	0.0221627	0.0434682	0.0287657	0.118183	0.00773224	0.519385	0.351535	0.0115356	0.0213463	0.11647	0.444274	0.981102	2.45815	4	1.314866
58000	-391.2806	-403.3577	12.07703	10	1.324109	0.0213698	0.0487219	0.244813	0.0245869	0.0585635	0.0232305	0.0126653	0.0452441	0.0187075	0.203863	0.0165281	0.668476	0.213018	0.0101669	0.0109031	0.196828	0.556396	1.03817	2.2086	5	1.620857
59000	-397.7263	-400.8744	3.148053	10	4.454587	0.109027	0.0235212	0.0014274	0.0203827	0.0275142	0.0184019	0.0565849	0.0167147	0.0327758	0.334356	0.04628	0.830308	0.398756	0.0514753	0.0135711	0.477716	0.789595	1.0841	1.64859	5	1.981096
60000	-384.5996	-398.3333	13.73374	2	0.5504312	0.035508	0.0334572	0.0183113	0.0589957	0.0226226	0.006927	0.0304174	0.0149537	0.0378653	0.157713	0.0141532	0.568253	0.211151	0.0327623	0.0191111	0.0430738	0.28357	0.853758	2.8196	4	1.262201
