Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-580.3811	-602.0328	21.65166	10	1.332338	0.308577	0.0744541	0.0581784	0.0521834	0.0689735	0.124902	0.0731559	0.118079	0.0300431	0.11926	0.0130974	0.00753024	0.0737382	0.296636	0.218024	0.00470832	0.128581	0.0431303	0.152136	0.335963	0.200304	0.0510195	0.0576837	0.039787	0.0154298	0.196095	0.0926443	0.205653	0.32682	0.165147	0.0210062	0.0601268	0.0110727	0.0959036	0.0740243	0.198222	0.558042	1.03884	2.20489	5	3.914069
1000	-198.5247	-237.275	38.75024	10	4.005667	0.00276383	0.0150158	0.180427	0.00441051	0.1013	0.0507424	0.00581537	0.0517711	0.00503611	0.0046016	0.0178722	0.00942139	0.0250318	0.0844403	0.00790133	0.0133366	0.050399	0.017283	0.0235806	0.0426244	0.0641716	0.000176017	0.0250706	0.00735565	0.153591	0.0789046	0.0338098	0.0223085	0.0539723	0.00280134	0.150062	0.249352	0.223174	0.177612	0.0694598	0.454673	0.775405	1.0844	1.68552	5	2.025596
2000	-222.1544	-245.1644	23.00997	2	0.9275932	0.021389	0.0577799	0.113333	0.0654626	0.0252289	0.0444306	0.00823383	0.00446406	0.00757024	0.000546741	0.00381897	0.00798513	0.0188336	0.105638	0.00144018	0.022134	0.0236587	0.0502438	0.244932	0.0829073	0.0938513	0.0677093	0.00983273	0.325562	0.0979105	0.0428563	0.0113718	0.0801349	0.0228015	0.163843	0.420982	0.301121	0.116244	0.0221197	0.0242773	0.12229	0.453851	0.986884	2.43698	4	2.710649
3000	-209.3094	-246.7805	37.4711	10	1.424362	0.0133068	0.073092	0.141281	0.0100672	0.0678386	0.00849176	0.0107536	0.0132797	0.00100754	0.0583648	0.0265815	0.0153693	0.00521336	0.0663498	0.0377934	0.0263236	0.0263052	0.0574352	0.0916037	0.0580119	0.122317	0.0832523	0.0924538	0.236982	0.0573312	0.0313613	0.0637747	0.0393401	0.0442959	0.0191915	0.172423	0.172562	0.00684179	0.261739	0.0214479	0.213398	0.575462	1.04565	2.16549	5	2.233783
4000	-199.4975	-234.8238	35.32633	10	2.702438	0.00510966	0.024427	0.153682	0.00814581	0.00436283	0.0361366	0.00844447	0.0418212	0.0316981	0.0276732	0.0130885	0.00708371	0.0400648	0.0596743	0.0218258	0.00464314	0.00630117	0.012255	0.124332	0.0243838	0.0877356	0.0153412	0.270619	0.0308468	0.0562018	0.01387	0.0773212	0.0813357	0.0268235	0.0350338	0.010123	0.195658	0.244801	0.11021	0.0372168	0.364846	0.713598	1.08059	1.84096	5	1.94829
5000	-198.2417	-235.6737	37.43204	10	1.078362	0.0366593	0.0122104	0.224973	0.0353667	0.024116	0.0762445	0.025551	0.035836	0.00254054	0.0111859	0.00176735	0.00102379	0.0280962	0.0440335	0.0300957	0.00438368	0.00472729	0.00795167	0.0928326	0.010049	0.191074	0.0746032	0.0414429	0.0135507	0.521877	0.0808591	0.159954	0.0252791	0.0304446	0.0886481	0.00573814	0.142331	0.260705	0.0256331	0.0378105	0.152319	0.499101	1.01186	2.33672	5	2.409593
6000	-211.1437	-242.5928	31.44908	10	2.163523	0.00283751	0.108795	0.135756	0.0498895	0.170372	0.133793	0.0310553	0.0381945	0.0112761	0.00795274	0.0159229	0.0178109	0.00414426	0.141111	0.00937729	0.0707948	0.00436004	0.00936387	0.0366202	0.0677662	0.0706468	0.0492948	0.0137951	0.327692	0.0134308	0.0619161	0.043457	0.0129961	0.014687	0.470712	0.0865035	0.395323	0.0176603	0.0947014	0.101776	0.312043	0.671347	1.07359	1.94302	5	2.841783
7000	-216.0644	-240.8473	24.78291	1	2.204245	0.0387289	0.0264938	0.0747574	0.0561178	0.0472655	0.0762205	0.0133802	0.0190459	0.0163274	0.00362305	0.0012823	0.021615	0.0396051	0.145263	0.0288541	0.00874294	0.00269602	0.0211838	0.0359185	0.473095	0.03055	0.303768	0.0126075	0.171824	0.0110016	0.0357411	0.0830715	0.00287758	0.00778119	0.0060391	0.0385529	0.00075472	0.179844	0.118753	0.030383	0.316494	0.675112	1.07435	1.93404	3	2.183766
8000	-197.5865	-241.4893	43.90287	10	1.975949	0.0138053	0.00764155	0.110478	0.0199041	0.0933125	0.0147801	0.0515538	0.0172903	0.0263902	0.000442775	0.0110253	0.00708312	0.014959	0.0733259	0.016136	0.00480991	0.0264136	0.0307429	0.0273767	0.0226299	0.0280184	0.100935	0.0473773	0.213012	0.0338979	0.185455	0.00224162	0.0760832	0.132135	0.00661007	0.0184731	0.0547687	0.208363	0.238758	0.0298383	0.290387	0.652432	1.06938	1.98781	5	1.966067
9000	-214.6175	-244.7951	30.17754	10	4.95514	0.00126805	0.0210504	0.103186	0.030227	0.112768	0.0512224	0.0032245	0.0110833	0.0304472	0.00243381	0.00427002	0.0347716	0.0163145	0.209706	0.012602	0.0120882	0.0401295	0.00780528	0.202205	0.0688548	0.0655516	0.0127991	0.180109	0.25137	0.0380799	0.014094	0.0477537	0.00571763	0.312752	0.0498053	0.0337277	0.0678791	0.206642	0.00952327	0.035824	0.500204	0.802877	1.08338	1.61354	5	2.307285
