Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-181.2484	-195.9227	14.67437	10	0.3276806	0.0286342	0.00559647	0.100471	0.000320996	0.120668	0.126045	0.0545565	0.0847812	0.490555	0.0689783	0.0150015	0.24738	0.133601	0.0428431	0.0253486	0.177486	0.0503182	0.151079	0.0324147	0.115317	0.0579665	0.0424874	0.0355261	0.00780721	0.126129	0.63949	3.22657	5	2.207376
1000	-97.84501	-130.3681	32.52305	1000	0.5056487	0.0465738	0.0102632	0.0181149	0.173669	0.0765227	0.0383754	0.0155456	0.0250936	0.128632	0.100779	0.065254	0.0248093	0.0368168	0.0542241	0.209593	0.030925	0.00310343	0.184268	0.0105034	0.0723815	0.0699872	0.0596198	0.26822	0.0344394	0.255588	0.824335	2.88564	6	1.723275
2000	-108.0914	-125.8928	17.80148	10	0.5288668	0.0386693	0.0448181	0.0643077	0.0457116	0.021298	0.119457	0.0754364	0.018162	0.0642297	0.116933	0.0247883	0.0212074	0.0209198	0.0981524	0.142902	0.00884753	0.109112	0.156152	0.102102	0.142828	0.310997	0.0845068	0.147807	0.0388548	0.270344	0.840187	2.85061	5	1.979346
3000	-100.4758	-127.2712	26.79537	1000	0.9162401	0.0456698	0.0623293	0.0590532	0.0312415	0.0448877	0.196756	0.0364914	0.0673974	0.0954551	0.0552343	0.0482267	0.0253256	0.0277396	0.0677106	0.0694672	0.0465981	0.255526	0.137507	0.292321	0.462216	0.00825283	0.0051967	0.0331983	0.119953	0.450042	0.984605	2.4454	6	2.173801
4000	-99.38095	-127.4792	28.09823	1000	2.723659	0.0298508	0.0594682	0.0362847	0.0335967	0.0591442	0.113401	0.0390029	0.103291	0.135421	0.0422183	0.156291	0.00725619	0.0301364	0.191075	0.0132629	0.0658712	0.0621059	0.0652739	0.100211	0.16995	0.0863822	0.0945363	0.187335	0.366686	0.714981	1.08076	1.83757	6	1.881367
5000	-105.5866	-124.4093	18.82271	10	1.56534	0.0854067	0.00231138	0.104679	0.0362689	0.0326974	0.0929265	0.079513	0.124651	0.0866037	0.0750428	0.00757885	0.0156436	0.00151611	0.024376	0.15328	0.119528	0.0285263	0.137227	0.127564	0.322776	0.005139	0.106852	0.00736108	0.235242	0.599083	1.05404	2.11164	5	1.777468
6000	-114.0062	-131.1905	17.18429	10	1.002468	0.00192392	0.00426473	0.211323	0.158621	0.00173296	0.0935787	0.090975	0.0395815	0.100145	0.0202847	0.140851	0.0131236	0.0183662	0.24286	0.18277	0.0685299	0.0409207	0.163205	0.13681	0.164019	0.0890307	0.0148583	0.070754	0.137446	0.477493	1.00041	2.38465	5	2.068527
7000	-106.8277	-133.7262	26.89851	1000	1.739881	0.00585195	0.00671609	0.0412505	0.183668	0.235487	0.0324638	0.0748652	0.195862	0.147552	0.039723	0.112933	0.0182198	0.0510095	0.0395453	0.00370743	0.136995	0.0216356	0.0722473	0.0338412	0.29047	0.0845807	0.081244	0.10876	0.260116	0.624158	1.06187	2.05385	6	2.018628
8000	-102.0898	-127.8427	25.75291	1000	1.807902	0.0105589	0.0489872	0.0841352	0.0482665	0.0566829	0.181488	0.0391314	0.110819	0.097564	0.0195982	0.0147273	0.0336967	0.0072067	0.0440379	0.0247363	0.0328776	0.265658	0.0528138	0.0486917	0.129512	0.0186726	0.394976	0.216421	0.269213	0.632897	1.06435	2.03354	6	1.98126
9000	-100.7336	-129.4343	28.70071	1000	2.583492	0.0080012	0.0877669	0.0136326	0.0831425	0.0936329	0.0601936	0.139317	0.062887	0.149709	0.163123	0.0678617	0.0061719	0.027411	0.0556304	0.21144	0.0434445	0.0410262	0.0194474	0.21102	0.235599	0.0250386	0.148766	0.00270501	0.354232	0.705505	1.07952	1.86075	6	1.956969
10000	-98.29579	-123.9505	25.65476	10	0.2995122	0.00310462	0.0265568	0.0737796	0.128999	0.0405867	0.00931526	0.0459577	0.0423801	0.073418	0.0137042	0.0479093	0.00627958	0.000913442	0.0145305	0.137871	0.038675	0.014137	0.101711	0.213038	0.187472	0.0868998	0.0339998	0.0427874	0.00525582	0.104116	0.594983	3.29565	5	1.384026
11000	-102.7214	-119.7117	16.99036	10	1.721415	0.0126912	0.03266	0.037175	0.147163	0.019698	0.0120339	0.0206025	0.0312126	0.176796	0.0712744	0.0698642	0.0229021	0.00822669	0.21786	0.0722149	0.0851744	0.101715	0.0208202	0.180753	0.323988	0.0825002	0.121464	0.110047	0.257591	0.621693	1.06115	2.05956	5	1.978835
12000	-110.4601	-127.5393	17.07922	1	0.6755229	0.0263528	0.0397633	0.0797683	0.0899574	0.000273641	0.0428598	0.0510733	0.0123235	0.0985004	0.0286721	0.0570409	0.000522343	0.110456	0.0185693	0.318	0.0998782	0.0561259	0.0666888	0.0318397	0.224008	0.026795	0.0410655	0.108594	0.0689695	0.351749	0.915449	2.66383	3	1.629127
13000	-104.6436	-124.4005	19.75684	2	1.020504	0.100285	0.0502238	0.139962	0.187098	0.046683	0.0850367	0.0133757	0.000962574	0.0753771	0.0149772	0.0348599	0.0673347	0.0192217	0.115195	0.021264	0.00347503	0.0331646	0.0429692	0.00682767	0.260305	0.00891505	0.128901	0.0294822	0.141027	0.482829	1.00332	2.37283	4	1.485897
14000	-109.1167	-124.8934	15.77676	2	2.554268	0.00714702	0.0563459	0.046196	0.149147	0.00117914	0.00335399	0.0704407	0.0205287	0.290028	0.0413458	0.0160414	0.00742066	0.004637	0.0271124	0.100723	0.142948	0.0870756	0.00109185	0.0413457	0.247168	0.196872	0.0798841	0.0672837	0.351542	0.703423	1.07922	1.86582	4	1.705314
15000	-92.90447	-125.8709	32.96642	1000	1.330109	0.0467093	0.0168867	0.0317233	0.0558098	0.0108639	0.0237283	0.024638	0.0840328	0.217946	0.0217506	0.0810993	0.128925	0.032519	0.0793606	0.0489461	0.126288	0.0751667	0.183103	0.0249052	0.230799	0.0459005	0.0628069	0.000441442	0.197845	0.557598	1.03866	2.20589	6	1.65435
16000	-125.1755	-129.5319	4.356435	2	0.5049821	0.0238167	0.00893958	0.1058	0.0649938	0.0758418	0.0271872	0.0627455	0.0139201	0.684366	0.0908956	0.113364	0.0440969	0.0502317	0.597889	0.109132	0.107143	0.384435	0.220422	0.0553568	0.170421	0.0345715	0.0216612	0.0142473	0.0343148	0.255156	0.82386	2.88667	4	3.081477
17000	-119.3144	-132.7098	13.39541	10	2.690401	0.0389949	0.0173764	0.0812263	0.332903	0.0122231	0.0151082	0.0501553	0.0904148	0.0407534	0.110815	0.0393781	0.00574876	0.099231	0.477526	0.167529	0.10384	0.0809332	0.328016	0.0438551	0.0978473	0.0929815	0.00617096	0.000791865	0.363796	0.712805	1.08049	1.84291	5	2.333818
18000	-100.085	-126.4875	26.40255	1000	3.792925	0.0888687	0.105178	0.0296652	0.166937	0.0544943	0.0948521	0.0706139	0.0532222	0.10049	0.0212928	0.0317046	0.0310587	0.151246	0.046686	0.305346	0.012411	0.0656832	0.0323221	0.0865855	0.176688	0.0321685	0.242723	0.0319166	0.442612	0.767729	1.08437	1.70529	6	2.032154
19000	-91.70206	-121.5021	29.80003	1000	2.3393	0.0320223	0.0372391	0.0644714	0.0589005	0.00259683	0.0101879	0.278281	0.00692528	0.0129259	0.0357232	0.0880981	0.0192345	0.00714312	0.0992742	0.0297063	0.0704964	0.135105	0.15136	0.0469783	0.237113	0.280823	0.0713927	0.06866	0.330671	0.686841	1.07655	1.90594	6	1.844658
20000	-106.851	-125.7074	18.85648	1000	1.845081	0.037424	0.12641	0.0545167	0.159387	0.0126686	0.0473735	0.25268	0.0626711	0.220104	0.00197443	0.0229377	0.0188059	0.0296638	0.0946308	0.186065	0.0309296	0.143337	0.028938	0.0287036	0.273661	0.148509	0.207596	0.380854	0.274053	0.637459	1.06558	2.02291	6	2.569841
21000	-96.311	-126.025	29.71401	1000	0.2767479	0.0314546	0.0296925	0.0244209	0.100687	0.0238736	0.0119014	0.0759448	0.0172384	0.0456199	0.0760764	0.0267894	0.0105549	0.000102962	0.255017	0.069907	0.006788	0.0418982	0.168938	0.152433	0.169764	0.0290878	0.0140995	0.307475	0.00359908	0.086577	0.554607	3.35522	6	1.689765
