Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-481.9449	-536.0335	54.08853	10	2.675361	0.239129	0.00329052	0.0254315	0.0643499	0.140128	0.269382	0.0734515	0.0321927	0.0132994	0.030753	0.361715	0.0694536	0.0902071	0.0159142	0.0368114	0.00118512	0.123394	0.0339198	0.0784345	0.0885163	0.00142306	0.101112	0.111853	0.0134125	0.0171149	0.362476	0.711807	1.08037	1.84535	5	2.035875
1000	-331.9633	-385.4691	53.50581	10	0.05405791	0.0458221	0.024798	0.0273866	0.0158777	0.00717436	0.00527635	0.0634452	0.0233634	0.58811	0.129772	0.121806	0.022073	0.0183343	0.00552839	0.0349731	0.35375	0.726021	0.00658184	0.110987	0.0116522	0.0316148	0.054839	0.235933	0.0796212	0.00729884	4.05468e-12	3.00361e-06	0.00815903	3.99184	5	2.752039
2000	-331.6328	-391.7761	60.14334	10	0.05455699	0.127346	0.103607	0.0290624	0.0309772	0.0640636	0.0381736	0.00259176	0.109873	0.159489	0.236943	0.223197	0.015515	0.0345663	0.044749	0.0651691	0.0470519	0.0182361	0.0707505	0.013794	0.196339	0.176841	0.11167	0.0313147	0.10089	0.00964519	5.12628e-12	3.37714e-06	0.00856572	3.99143	5	2.061854
3000	-332.8772	-389.7143	56.83708	10	0.07949774	0.0013624	0.0425022	0.072703	0.0373956	0.129264	0.0242626	0.0135833	0.00699814	0.258624	0.0749873	0.136435	0.0216438	0.018211	0.00149328	0.140745	0.116288	0.0266077	0.0309253	0.165988	0.0658235	0.220638	0.104744	0.0578047	0.298198	0.043966	1.47962e-08	0.000181057	0.0447294	3.95509	5	2.111192
4000	-322.2185	-388.4535	66.235	10	0.002359624	0.0821657	0.0175764	0.0651952	0.00375335	0.0432742	0.0184258	0.00923218	0.0119691	0.24918	0.111732	0.159118	0.0540566	0.0221942	0.0255916	0.165489	0.0103319	0.186548	0.0096287	0.0121397	0.00716764	0.0182507	0.107161	0.11653	0.190767	0.06061	3.9653e-256	2.98357e-128	1.89527e-53	4	5	1.758088
5000	-329.649	-387.2764	57.62738	10	0.0359107	0.184443	0.0179629	0.00363411	0.106442	0.0299961	0.00358216	0.0755618	0.0327736	0.204579	0.00520719	0.291746	0.00122377	0.0152441	0.00420406	0.336549	0.0122338	0.171925	0.038813	0.0883606	0.0738419	0.0503416	0.194111	0.0268076	0.101586	0.0520696	9.57475e-18	4.6227e-09	0.000555408	3.99944	5	2.12324
6000	-331.0443	-391.7733	60.72902	10	0.0344794	0.0620324	0.0566529	0.00449345	0.0289213	0.0451232	0.0375919	0.040689	0.143922	0.0801148	0.0146011	0.36662	0.0530319	0.0488409	0.0102358	0.060266	0.00965799	0.0733905	0.0622185	0.0425317	0.188466	0.0365042	0.0020808	0.0303096	0.130007	0.0734521	1.92871e-18	2.075e-09	0.000398366	3.9996	5	1.701755
7000	-332.9857	-384.1319	51.14621	10	0.03296501	0.0184148	0.00218371	0.00769165	0.0324411	0.0976783	0.00886299	0.0120185	0.110941	0.303268	0.0680863	0.206065	0.132191	0.000475193	0.0164047	0.0253992	0.0200127	0.393781	0.236687	0.243513	0.02157	0.0318071	0.330866	0.132319	0.0491373	0.0370384	3.0424e-19	8.24232e-10	0.000271595	3.99973	5	2.538854
8000	-333.6396	-392.6994	59.05988	10	0.01985764	0.142815	0.0515549	0.0225101	0.0440451	0.0363813	0.0693121	0.00764937	0.011716	0.131526	0.161751	0.273622	0.0411356	0.0102311	0.00584665	0.0908179	0.0823335	0.0997732	0.0239956	0.116178	0.351558	0.0680949	0.0795604	0.136362	0.103488	0.0438943	2.68531e-31	7.75228e-16	8.57441e-07	4	5	2.206153
9000	-322.6815	-381.4566	58.77516	10	0.02857656	0.0827717	0.0181598	0.0327523	0.0100762	0.071138	0.0024975	0.0160836	0.0721935	0.208149	0.191396	0.297305	0.034672	0.0112762	0.0380876	0.0443734	0.00390335	0.0155955	0.0695423	0.0600359	0.100144	0.0238513	0.0525526	0.038188	0.109283	0.000425135	4.77348e-22	3.26605e-11	7.1155e-05	3.99993	5	1.604453
10000	-331.0257	-386.3512	55.32551	10	0.02626121	0.445802	0.0607504	0.010362	0.0566351	0.080127	0.0138329	0.0163625	0.0237625	0.0830363	0.0981427	0.405605	0.00360115	0.0366144	0.00791648	0.0243066	0.0498601	0.0342881	0.0800724	0.00989678	0.0543523	0.0744028	0.170273	0.158549	0.0200325	0.0941138	6.62969e-24	3.8498e-12	2.93026e-05	3.99997	5	2.112697
