Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1261.525	-1439.119	177.5943	0.05	2.504263	0.0331857	0.000537817	0.0409333	0.109966	0.358005	0.00486793	0.0626386	0.0927451	0.369489	0.141746	0.0737445	0.169841	0.256518	0.0770153	0.164634	0.0714493	0.0364365	0.27547	0.226193	0.34686	0.699771	1.07868	1.87469	1	2.565416
1000	-277.8694	-494.7846	216.9151	0.05	0.03142352	0.145442	0.126064	0.0109474	0.0235487	0.00183885	0.0270616	0.0497793	0.0227584	0.0114602	0.0197553	0.00446729	0.0507	0.204513	0.246297	0.221263	0.0192175	0.0133919	0.11152	0.0577228	3.86725e-20	2.939e-10	0.000177055	3.99982	1	1.367749
2000	-214.5244	-489.9376	275.4132	0.05	0.09842347	0.188304	0.139141	0.0210076	0.00238124	0.0200689	0.0230667	0.0228058	0.0481852	0.112402	0.0151056	0.0326949	0.00411038	0.742637	0.127799	0.0114133	0.279617	0.023524	0.020488	0.0985489	4.21781e-07	0.000965061	0.089549	3.90949	1	1.9333
3000	-160.2479	-493.1879	332.94	0.05	0.1556171	0.0038478	0.131096	0.00247746	0.0585513	0.0552644	0.00590162	0.0152366	0.101714	0.050555	0.0234463	0.0227402	0.355852	0.172426	0.0878934	0.0897088	0.00838691	0.0349556	0.0301535	0.0719403	7.40346e-05	0.012701	0.258696	3.72853	1	1.322147
4000	-101.084	-492.8661	391.7821	0.05	0.2653976	0.035227	0.00150648	0.0431892	0.0106854	0.0507024	0.0421795	0.0473216	0.0436535	0.0702478	0.0342281	0.0146077	0.0526475	0.109226	0.228837	0.0650244	0.0734476	0.14793	0.0219521	0.240742	0.00290835	0.0780137	0.532852	3.38623	1	1.333355
5000	-58.59577	-492.9978	434.402	0.05	0.1761377	0.0293408	0.0381896	0.0247343	0.0170329	0.00925891	0.14598	0.00626623	0.015753	0.0141572	0.00902005	0.0372018	0.232696	0.47922	0.153488	0.146871	0.10091	0.108144	0.21501	0.0855427	0.000208387	0.0212418	0.318593	3.65996	1	1.868818
6000	-10.36527	-494.4206	484.0553	0.05	0.2333058	0.379821	0.212756	0.0103345	0.0710326	0.115814	0.114818	0.0521386	0.102937	0.0664235	0.0483231	0.0113656	0.143182	0.0451966	0.722359	0.143646	0.00404648	0.0271685	0.129468	0.19344	0.00142285	0.0549273	0.464933	3.47872	1	2.59427
7000	37.58263	-496.2767	533.8593	0.05	0.1481873	0.113359	0.101457	0.0541658	0.00568372	0.0337008	0.0207557	0.0545126	0.0718254	0.0568401	0.106741	0.00274321	0.0689951	0.126613	0.567929	0.0909714	0.145521	0.00966165	0.0749555	0.00615579	4.74177e-05	0.0101752	0.236352	3.75343	1	1.712588
8000	52.36366	-492.0616	544.4253	0.05	0.2990826	0.202241	0.103819	0.0831015	0.0338437	0.0413929	0.0611235	0.117554	0.0894759	0.143037	0.0160134	0.0097486	0.114757	0.00804323	0.0822706	0.798198	0.0358793	0.237691	0.16677	0.287707	0.00522118	0.103782	0.594259	3.29674	1	2.632667
9000	81.77704	-489.2557	571.0327	0.05	0.0732215	0.0470699	0.0238125	0.0351986	0.0224854	0.0245229	0.0289184	0.0246129	0.0377298	0.0215802	0.0265227	0.00885635	0.310345	0.369006	0.107433	0.0562982	0.135817	0.345433	0.0732975	0.0985375	3.32236e-09	8.58406e-05	0.0328122	3.9671	1	1.797476
10000	118.5784	-487.1075	605.686	0.05	0.1068622	0.0977146	0.0863376	0.0406981	0.0038152	0.00459201	0.0243316	0.0244298	0.0796209	0.00302595	0.0439383	0.0182159	0.0470251	0.0223335	0.431058	0.127718	0.0146933	0.0921057	0.399753	0.0254417	1.28103e-06	0.00168051	0.112665	3.88565	1	1.586849
11000	137.4469	-492.3243	629.7712	0.05	0.1145431	0.056207	0.0303427	0.0126366	0.0211167	0.0168387	0.0142673	0.0645387	0.00204468	0.0315804	0.0355579	0.0121714	0.0961802	0.0444528	0.0327117	0.0175003	0.100141	0.0411872	0.171819	0.128513	3.05373e-06	0.00259262	0.134775	3.86263	1	0.9298079
12000	115.761	-486.904	602.665	0.05	0.1460404	0.0387137	0.0158005	0.02417	0.0132452	0.107189	0.000434633	0.0235338	0.0670649	0.00190655	0.0226266	0.00604738	0.184219	0.148228	0.0932111	0.0454723	0.146827	0.298508	0.261268	0.272363	4.13382e-05	0.00950329	0.229852	3.7606	1	1.770829
