Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-3103.027	-3170.752	67.72515	10	1.324666	0.013062	0.00315652	0.0256904	0.00635935	0.0817414	0.0143262	0.142261	0.132259	0.00217713	0.10563	0.0302802	0.0673311	0.0364307	0.0298171	0.0607307	0.0859903	0.0598299	0.0493726	0.0648793	0.217489	0.00557743	0.0292998	0.128197	0.210967	0.0084819	0.0914217	0.141526	0.0715824	0.0205346	0.0603275	0.0648411	0.24237	0.0340743	0.0282385	0.00401523	0.0137308	0.0201761	0.0835796	0.0324025	0.211254	0.0429821	0.279973	0.284465	0.00696584	0.0162271	0.187881	0.0493002	0.0603889	0.0580083	0.17204	0.0605064	0.249025	0.0187879	0.120699	0.175723	0.600383	0.00812496	0.56194	0.0327108	0.0478354	0.253866	0.169525	0.107189	0.196923	0.556508	1.03822	2.20835	5	6.295961
1000	-1820.485	-1884.545	64.05992	10	1.343238	0.165637	0.337821	0.059897	0.100025	0.0139294	0.0600224	0.0616778	0.0541294	0.0413811	0.145569	0.0549275	0.0416131	0.0569437	0.0673522	0.00417498	0.0319869	0.0266688	0.0653259	0.0259333	0.0306849	0.0551017	0.0559632	0.343906	0.295602	0.00824731	0.00122616	0.0644218	0.0109522	0.203952	0.181403	0.0738023	0.0414751	0.197068	0.0545886	0.133527	0.0944702	0.0250289	0.399545	0.117926	0.0186482	0.0524189	0.0353362	0.100918	0.0273713	0.196275	0.117185	0.0434476	0.0717558	0.003815	0.545979	0.206895	0.308172	0.0830516	0.0307768	0.0925649	0.225094	0.0554397	0.00132268	0.0966798	0.114924	0.281942	0.0553392	0.0582346	0.200059	0.560198	1.03972	2.20003	5	6.627493
2000	-1824.806	-1893.43	68.62475	10	1.422984	0.118307	0.272951	0.0165306	0.131221	0.0585497	0.0189894	0.0328112	0.0334177	0.0371217	0.351719	0.142829	0.0607876	0.0842059	0.0258797	0.0162409	0.0568503	0.0207376	0.00255167	0.0182138	0.00526293	0.0392231	0.0336877	0.205079	0.16836	0.00118442	0.00593686	0.0620064	0.0275853	0.17064	0.113875	0.0260518	0.0591958	0.226626	0.121487	0.0590428	0.0643274	0.088799	0.472132	0.0241035	0.0623113	0.0162284	0.0868011	0.0691916	0.167053	0.0214864	0.159854	0.0555352	0.116501	0.0505945	0.551182	0.0341277	0.351907	0.0243694	0.014022	0.0149347	0.266773	0.114484	0.205417	0.129586	0.0379687	0.127692	0.0383447	0.374072	0.213176	0.575214	1.04556	2.16605	5	6.564959
3000	-1843.326	-1893.124	49.79777	10	1.063613	0.305512	0.268661	0.0179864	0.228459	0.0263094	0.0930074	0.0952649	0.0199476	0.00703233	0.116622	0.106802	0.000531928	0.0632257	0.0432116	0.0207386	0.100161	0.0368482	0.0283083	0.065102	0.0481791	0.0551647	0.0217234	0.200664	0.205608	0.116598	0.00452989	0.0541354	0.0116233	0.144485	0.0985953	0.0219686	0.125209	0.140479	0.0539116	0.196793	0.174704	0.197188	0.0750364	0.0906992	0.122234	0.0300816	0.00603846	0.119841	0.110291	0.0328884	0.207599	0.00411777	0.108476	0.11926	0.515967	0.0363547	0.569835	0.181637	0.0380139	0.748638	0.151672	0.0590659	0.0262279	0.0632527	0.0740604	0.228129	0.116934	0.196743	0.149469	0.495071	1.00979	2.34567	5	7.548384
4000	-1829.931	-1885.669	55.73793	10	1.027832	0.370766	0.0974299	0.0813159	0.112774	0.0817295	0.0291955	0.0319795	0.0433794	0.107293	0.19212	0.0548525	0.0494361	0.0267655	0.0555855	0.0112281	0.0734498	0.0365001	0.0500911	0.0294873	0.0053596	0.0569518	0.032267	0.124096	0.260649	0.0313235	0.0375658	0.0704555	0.180291	0.174349	0.232503	0.0252182	0.00889259	0.201709	0.436406	0.290085	0.00739278	0.0862908	0.184127	0.0578961	0.060653	0.0461354	0.0817094	0.0490692	0.179502	0.11679	0.23206	0.0223397	0.455869	0.09142	0.381017	0.0214098	0.331433	0.15233	0.0186806	0.034637	0.466001	0.0146661	0.111768	0.0298598	0.0279962	0.00562796	0.155138	0.20128	0.142474	0.484961	1.00446	2.3681	5	7.326599
5000	-1820.613	-1889.925	69.31256	10	1.213822	0.188088	0.229962	0.0405862	0.0722159	0.0307594	0.102463	0.0577193	0.00081004	0.0253598	0.108515	0.0845691	0.0482051	0.0169329	0.049139	0.066401	0.035131	0.0798383	0.0103089	0.0306604	0.00741255	0.0776264	0.00618047	0.0574814	0.190175	0.0427607	0.0507634	0.00910758	0.0573954	0.126291	0.104026	0.0519782	0.0297943	0.0924981	0.0859068	0.143423	0.0318253	0.086308	0.232671	0.0421105	0.0248293	0.0454322	0.124947	0.0286154	0.623286	0.107849	0.213265	0.133538	0.0695391	0.111738	0.401513	0.295144	0.379461	0.00320573	0.0158284	0.0523091	0.268991	0.191267	0.0981764	0.0702379	0.0912527	0.0489576	0.0191525	0.116647	0.177549	0.532776	1.02803	2.26165	5	6.338583
6000	-1818.649	-1885.592	66.94282	10	0.6922126	0.085991	0.203021	0.0358016	0.105056	0.00165698	0.0563583	0.0418645	0.0190463	0.0263941	0.138743	0.154493	0.0471023	0.0735599	0.0568729	0.037639	0.0253219	0.0101496	0.00708034	0.0110513	0.000756668	0.0670714	0.00331163	0.194229	0.154197	0.0260652	0.0120812	0.0727179	0.0100278	0.0511067	0.0231686	0.0404125	0.00526872	0.0892416	0.0134692	0.0881579	0.065284	0.113207	0.151266	0.00481458	0.00688309	0.0892747	0.00376815	0.0652171	0.040438	0.0834464	0.114403	0.00440144	0.0238543	0.0284098	0.744399	0.00408436	0.0423646	0.250243	0.0933996	0.123594	0.27338	0.352952	0.161214	0.161495	0.0409299	0.194479	0.0387642	0.0632257	0.0725257	0.359833	0.921948	2.64569	5	5.327678
7000	-1808.211	-1881.333	73.12158	10	1.684844	0.253877	0.0990732	0.0310659	0.0753298	0.00793483	0.073705	0.0903548	0.0610187	0.0605268	0.129118	0.0428592	0.0443046	0.0644354	0.100502	0.041673	0.0113711	0.00984198	0.0479531	0.0401196	0.0142728	0.0260038	0.0334502	0.0793199	0.15253	0.0357624	0.00225701	0.0787627	0.022673	0.114802	0.0706024	0.053443	0.0690469	0.142673	0.0614453	0.125151	0.0190277	0.0822671	0.028045	0.0518811	0.0331736	0.0652333	0.0329724	0.0308234	0.141462	0.0223249	0.364337	0.0105943	0.127414	0.0662075	0.670794	0.14579	0.18281	0.0420126	0.0715706	0.108452	0.221713	0.180392	0.193287	0.0626828	0.11395	0.344229	0.129237	0.0691509	0.252517	0.616687	1.05966	2.07114	5	5.979092
8000	-1836.499	-1894.391	57.89131	10	1.53146	0.23136	0.0955324	0.0319874	0.0388118	0.00013033	0.0629325	0.0855437	0.0287023	0.125459	0.247995	0.209324	0.00553135	0.018301	0.114137	0.0146619	0.055643	0.0142652	0.11246	0.0589468	0.0139922	0.0957731	0.0367676	0.110979	0.180253	0.0230625	0.0974622	0.053663	0.00371095	0.156305	0.100284	0.0557637	0.100858	0.181395	0.0266741	0.374115	0.031317	0.331764	0.048193	0.025967	0.0328075	0.228584	0.0693497	0.0051235	0.0145352	0.111776	0.262676	0.0584867	0.013054	0.0138879	0.734517	0.117107	0.00770963	0.154281	0.261315	0.00479561	0.192517	0.062863	0.0357026	0.0484873	0.0639438	0.122605	0.61129	0.0236586	0.230142	0.593711	1.05222	2.12393	5	6.851095
9000	-1828.11	-1896.364	68.25322	10	0.7969352	0.0912584	0.297835	0.0216746	0.125596	0.0179305	0.071256	0.102955	0.0330503	0.0970409	0.218819	0.144313	0.0482604	0.0573131	0.128461	0.0265929	0.00683132	0.0320698	0.0658037	0.0172096	0.0258591	0.0610859	0.00027024	0.124729	0.175617	0.0490821	0.0080939	0.0334776	0.00207794	0.267239	0.250252	0.0529913	0.0573781	0.132278	0.0229986	0.126502	0.0467349	0.290479	0.0389223	0.250307	0.0211258	0.0473226	0.0658714	0.0584248	0.00434615	0.00109438	0.0894473	0.170717	0.0250073	0.065305	0.673181	0.0786004	0.156518	0.042909	0.0108324	0.02913	0.118719	0.0104238	0.0686136	0.166805	0.177739	0.138229	0.0064137	0.0827758	0.0949064	0.405897	0.956102	2.54309	5	5.930196
