Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-743.9478	-874.8584	130.9106	10	0.288753	0.0423363	0.0254185	0.0780337	0.0902356	0.147821	0.0179927	0.113592	0.142866	0.00668518	0.0676542	0.0833095	0.00849868	0.099859	0.044473	0.00223357	0.18927	0.131167	0.157418	0.0883251	0.00442742	0.0957793	0.576422	3.32337	5	1.537188
1000	-414.0885	-555.1066	141.0181	10	0.191662	0.011791	0.0647519	0.0083553	0.0281712	0.00751934	0.00417666	0.0372909	0.00249972	0.00976412	0.00415444	0.0331174	0.0176743	0.0848765	0.805585	0.0954646	0.00608223	0.0672027	0.0384711	0.00916265	0.00039336	0.029108	0.361548	3.60895	5	1.336112
2000	-417.3008	-555.1737	137.8729	10	0.6554273	0.0219741	0.113367	0.0190007	0.0496205	0.0246102	0.00667733	0.0488993	0.0194249	0.00633442	0.00646268	0.0737918	0.0574904	0.1008	0.687784	0.0885581	0.044534	0.0137796	0.0909116	0.100253	0.0647052	0.341718	0.907161	2.68642	5	1.574274
3000	-411.3092	-554.7364	143.4272	10	0.2984252	0.0215562	0.108472	0.0425446	0.077696	0.0120514	0.00490814	0.0121262	0.00196435	0.00481134	0.0598381	0.00307126	0.063897	0.00808387	1.38896	0.0106169	0.0759368	0.0612462	0.0230835	0.0409949	0.00516843	0.103271	0.593149	3.29841	5	2.021857
4000	-412.6887	-557.2482	144.5595	10	0.766859	0.0164016	0.157578	0.0567762	0.0685513	0.00374827	0.00944839	0.00806206	0.0059026	0.00485888	0.00774172	0.0775191	0.105597	0.0767356	0.568137	0.0939607	0.17464	0.0338305	0.00254892	0.0975593	0.0884898	0.393441	0.947331	2.57074	5	1.569597
5000	-414.8488	-556.7474	141.8985	10	0.181296	0.0256245	0.126272	0.0327725	0.0543622	0.0144976	0.00789715	0.00740941	0.00424706	0.00601308	0.0213136	0.0193529	0.0551118	0.003756	0.444971	0.0549233	0.0634717	0.00330591	0.0504229	0.0926951	0.000260499	0.0237296	0.333114	3.6429	5	1.08842
6000	-418.8126	-553.5094	134.6968	10	0.2605023	0.0302985	0.0937075	0.00694307	0.0960352	0.0038372	0.0231481	0.00807454	0.00531941	0.00814634	0.0605741	0.00460479	0.0954963	0.0172393	0.975738	0.0350168	0.0788028	0.0180118	0.0644516	0.153863	0.00263778	0.0743724	0.523116	3.39987	5	1.779309
7000	-411.0031	-554.7093	143.7062	10	0.5350817	0.0366965	0.143687	0.0507153	0.0657852	0.00157146	0.00886322	0.00839137	0.00287794	0.0114704	0.0046124	0.0308587	0.0371871	0.0830359	0.538988	0.0775198	0.0668746	0.115293	0.107994	0.0171007	0.0400599	0.274202	0.844207	2.84153	5	1.409522
8000	-421.769	-563.4467	141.6777	10	0.3206095	0.0137115	0.105947	0.0124288	0.0913399	0.0174892	0.00689796	0.0544273	0.0343594	0.0174632	0.00205084	0.148543	0.000557328	0.219945	1.14866	0.0382833	0.0616469	0.0323093	0.0557641	0.0744856	0.00711528	0.120593	0.628844	3.24345	5	2.136305
9000	-429.005	-566.5826	137.5776	10	0.5260193	0.0033523	0.133708	0.0691241	0.0659235	0.00335341	0.00069681	0.0129252	0.0157004	0.0081111	0.0116169	0.0278186	0.0234474	0.0799378	0.51792	0.0333536	0.00651777	0.142331	0.0186657	0.149503	0.0383058	0.268563	0.838315	2.85482	5	1.324005
10000	-419.3602	-556.7571	137.3968	10	0.2340889	0.00968148	0.0793256	0.00796527	0.0566516	0.00636349	0.00832412	0.0164117	0.0218411	0.00978951	0.025435	0.0268092	0.0880763	0.0247785	0.857707	0.0867422	0.0075304	0.0318583	0.0418291	0.0822369	0.00145128	0.0554648	0.466709	3.47637	5	1.489357
11000	-433.0373	-562.2118	129.1745	10	0.4489604	0.0328096	0.125013	0.0254441	0.0517071	0.0394873	0.0116005	0.0289561	0.0142934	0.00263225	0.00590915	0.118922	0.0528662	0.0184828	0.425422	0.0322262	0.0277197	0.0684405	0.0948879	0.00937885	0.0243645	0.217296	0.779259	2.97908	5	1.186199
12000	-425.1289	-563.6624	138.5335	10	0.44837	0.0140761	0.0527501	0.0630357	0.0658982	0.0137303	0.00366542	0.00128969	0.00885566	0.0145851	0.00316068	0.0643525	0.0267912	0.00809591	0.480631	0.030994	0.11081	0.148783	0.0841755	0.0738568	0.0242658	0.216881	0.778735	2.98012	5	1.269537
13000	-420.1472	-556.3507	136.2036	10	0.1873739	0.042518	0.0479304	0.0396211	0.0346922	0.0201229	0.0088976	0.00332378	0.0101991	0.00644559	0.0254995	0.0206847	0.0184666	0.0111935	0.715101	0.0169605	0.134344	0.117904	0.0679432	0.0326625	0.000333548	0.0268238	0.349911	3.62293	5	1.374509
14000	-413.0193	-554.3985	141.3792	10	0.7773707	0.0319254	0.0673629	0.0125428	0.0357944	0.000515878	0.00454654	0.0341364	0.00307395	0.0140058	0.0115716	0.0410035	0.047767	0.0815351	0.563674	0.0627738	0.0738824	0.0530261	0.0763936	0.166492	0.0907351	0.397861	0.950482	2.56092	5	1.382023
