Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-52.58114	-81.69747	29.11633	10	0.7912543	0.274329	0.0327473	0.37932	0.00995486	0.0657423	0.0205759	0.004218	0.0679013	0.0478605	0.202025	0.0191803	0.187506	0.0758941	0.0936964	0.403589	0.954502	2.54821	5	1.387255
1000	-18.39269	-50.18252	31.78984	10	0.2056918	0.148879	0.0405687	0.030652	0.0942455	0.0891184	0.0207191	0.0873145	0.354288	0.229404	0.0719743	0.081371	0.0235646	0.0212022	0.000643025	0.0371223	0.398349	3.56389	5	1.293302
2000	-29.49508	-51.93959	22.44451	2	0.5103154	0.0673118	0.0847445	0.0428589	0.0913387	0.184568	0.109113	0.00973947	0.0254791	0.0205244	0.0231845	0.16711	0.161777	0.0747012	0.0353152	0.258597	0.827631	2.87846	4	1.062451
3000	-23.04044	-49.95888	26.91844	10	0.3525592	0.049982	0.0701599	0.131073	0.0474807	0.163577	0.0903536	0.0584848	0.0185501	0.153726	0.00154943	0.295284	0.11361	0.245561	0.0105068	0.145544	0.674384	3.16957	5	1.439393
4000	-20.88623	-46.25342	25.36719	10	1.036655	0.00215705	0.170817	0.121542	0.148082	0.0504904	0.0194367	0.150813	0.019732	0.00906494	0.15774	0.263065	0.0555687	0.351814	0.144209	0.487499	1.00582	2.36247	5	1.520324
5000	-23.18881	-46.70124	23.51243	10	2.533652	0.010029	0.157487	0.116862	0.0942544	0.190445	0.0164597	0.209472	0.183823	0.150008	0.463221	0.0722067	0.0115225	0.0519633	0.349624	0.701932	1.079	1.86944	5	1.727755
6000	-22.19956	-47.32652	25.12696	10	0.4683995	0.352512	0.262227	0.222081	0.17615	0.0497999	0.00206866	0.00526018	0.0648673	0.204468	0.0342194	0.0233323	0.0520843	0.0717317	0.0276911	0.230786	0.79584	2.94568	5	1.520802
7000	-19.61916	-47.78463	28.16547	10	1.450968	0.0373617	0.142257	0.133421	0.112162	0.0279871	0.0170782	0.0263409	0.112179	0.112773	0.0645691	0.305282	0.0407066	0.027676	0.217648	0.580186	1.04741	2.15476	5	1.159795
8000	-18.90662	-50.36467	31.45805	10	0.5404038	0.0108859	0.0413077	0.145075	0.198407	0.00160921	0.0686186	0.0780527	0.129578	0.0361466	0.300398	0.0920052	0.0413697	0.00186517	0.041099	0.277476	0.847578	2.83385	5	1.145319
9000	-28.47516	-49.74033	21.26517	2	0.8211992	0.0201062	0.139989	0.036665	0.0247777	0.00736182	0.0511452	0.140929	0.118025	0.0451535	0.004816	0.00920512	0.215325	0.020157	0.100061	0.415531	0.96266	2.52175	4	0.8336556
10000	-37.60695	-53.0545	15.44755	2	0.3041822	0.0137822	0.162479	0.0642466	0.0219369	0.26738	0.23453	0.0629303	0.00321532	0.0159215	0.178422	0.0775421	0.15144	0.358943	0.00564069	0.107752	0.60276	3.28385	4	1.61277
11000	-31.51989	-53.43074	21.91084	10	0.2213262	0.190003	0.285501	0.301262	0.0796239	0.0035653	0.0962691	0.0785203	0.121675	0.152186	0.0907419	0.0118293	0.155229	0.124594	0.00103304	0.0469129	0.437	3.51505	5	1.691001
12000	-15.95298	-44.41873	28.46575	10	0.5434271	0.144174	0.287016	0.0953601	0.000775445	0.0299568	0.0408962	0.00397708	0.12524	0.0102992	0.422954	0.150178	0.0747267	0.028578	0.0416922	0.279324	0.849465	2.82952	5	1.414131
13000	-34.39077	-49.33488	14.94411	1	0.9568834	0.146044	0.0704615	0.162165	0.0478676	0.0523378	0.00705205	0.230355	0.124625	0.0123881	0.40528	0.1888	0.00628637	0.0674892	0.128273	0.463397	0.992471	2.41586	3	1.521152
14000	-30.70433	-49.25041	18.54608	2	1.78614	0.101427	0.180468	0.181905	0.0300648	0.0533263	0.00980931	0.00782288	0.0449254	0.38648	0.0315879	0.0351563	0.0945392	0.250362	0.266337	0.630158	1.06359	2.03992	4	1.407875
15000	-32.13421	-50.1945	18.06029	2	0.8108927	0.00215734	0.285878	0.0553684	0.182686	0.0292963	0.0199389	0.016815	0.0438413	0.0717155	0.151588	0.097683	0.252898	0.0771606	0.0978744	0.411483	0.959928	2.53071	4	1.287027
16000	-11.00016	-48.43855	37.43839	10	0.3210128	0.0095068	0.12945	0.0457474	0.128612	0.00871872	0.00366946	0.139903	0.111513	0.0418124	0.0183388	0.0110206	0.199728	0.0319628	0.00715382	0.120909	0.62946	3.24248	5	0.8799824
17000	-20.66526	-53.31077	32.64551	10	0.003642445	0.0315205	0.0783927	0.00747449	0.0710561	0.223535	0.0440281	0.0378189	0.14376	0.348408	0.161526	0.0468122	0.0193414	0.0113061	2.87714e-166	2.54115e-83	8.42111e-35	4	5	1.22498
18000	-13.51293	-46.8766	33.36367	10	0.8506501	0.100074	0.0744465	0.083094	0.117611	0.00170392	0.0342439	0.00530748	0.182726	0.181423	0.0912587	0.0265847	0.0101896	0.0201561	0.106282	0.426754	0.970058	2.49691	5	0.9288177
19000	-30.39117	-51.18076	20.78959	10	0.04903891	0.0692807	0.295189	0.0211994	0.133887	0.0693049	0.0239577	0.148874	0.196584	0.0872916	0.0930309	0.208637	0.521205	0.03418	2.94069e-13	8.09233e-07	0.00473466	3.99526	5	1.90262
20000	-31.30944	-46.73127	15.42183	2	1.830147	0.00601403	0.15049	0.238809	0.10243	0.014539	0.0227368	0.0222597	0.0247803	0.0163633	0.09003	0.0976346	0.523161	0.225271	0.27212	0.635644	1.06509	2.02714	4	1.534519
21000	-22.33072	-49.81621	27.48549	10	3.602853	0.00174611	0.0616372	0.129435	0.150418	0.0110358	0.0269819	0.177134	0.199931	0.0508284	0.099265	0.238532	0.05464	0.0279458	0.431119	0.760249	1.08422	1.72441	5	1.229532
22000	-40.65932	-56.8538	16.19448	2	0.9890802	0.0840721	0.0644071	0.0615484	0.0114881	0.0178234	0.0377513	0.439808	0.0605243	0.101053	0.165117	0.0041645	0.326352	0.087598	0.13477	0.473445	0.998167	2.39362	4	1.461706
23000	-26.65028	-48.42467	21.77439	2	0.5327633	0.00150654	0.230162	0.00557438	0.0947565	0.0327248	0.0108152	0.00866404	0.2036	0.100354	0.193131	0.343646	0.0110277	0.0359544	0.0396093	0.272767	0.842718	2.84491	4	1.271915
24000	-17.12999	-47.62428	30.49429	10	0.5748544	0.0129255	0.123734	0.025244	0.340691	0.00462108	0.0346623	0.0823921	0.155414	0.0309892	0.0111761	0.00168526	0.168595	0.324266	0.0479667	0.298002	0.867927	2.7861	5	1.316394
25000	-22.35852	-50.56644	28.20792	10	0.3796114	0.13758	0.172569	0.10191	0.151408	0.0114736	0.0495236	0.0184398	0.0451128	0.0282085	0.29192	0.0214476	0.276739	0.119514	0.0138863	0.166369	0.70824	3.1115	5	1.425845
26000	-33.83832	-51.25064	17.41232	2	2.385714	0.0639632	0.0933897	0.0505409	0.210551	0.0189684	0.0055837	0.033588	0.0781145	0.286171	0.194061	0.0387688	0.0571164	0.164535	0.335346	0.690624	1.07721	1.89682	4	1.295352
