Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-787.774	-837.504	49.72996	10	1.407128	0.247616	0.0180464	0.0809666	0.0372254	0.0698958	0.0437915	0.0746855	0.255814	0.0303764	0.12892	0.051603	0.000115871	0.0126132	0.130348	0.212303	0.020588	0.0457725	0.0247986	0.0120978	0.0176025	0.105935	0.0883598	0.221099	0.0253057	0.02536	0.274454	0.218645	0.000202719	0.0545105	0.0667847	0.183996	0.207155	0.056966	0.210613	0.572331	1.04447	2.17259	5	3.043953
1000	-562.2953	-602.5479	40.25268	2	0.07180839	0.0466334	0.149152	0.069022	0.0414036	0.00809411	0.12843	0.00384541	0.0373136	0.00262171	0.0945931	0.0648373	0.199988	0.000158603	0.0284582	0.0173027	0.0344464	0.0492822	0.0348714	0.200986	0.0831028	0.239585	0.0226072	0.0291498	0.00670517	0.00207123	0.0153879	0.0366333	0.0640296	0.0586118	0.0925128	0.042893	0.219934	0.0331465	2.28948e-09	7.12673e-05	0.0303731	3.96956	4	2.157809
2000	-562.7994	-600.7283	37.92888	10	1.733265	0.400389	0.0944788	0.294118	0.0170143	0.161321	0.253891	0.425564	0.00753081	0.0331693	0.0952252	0.157848	0.115613	0.0340702	0.117702	0.085146	0.104023	0.0646281	0.272262	0.114161	0.346029	0.073723	0.0779139	0.0327725	0.0435807	0.1038	0.296312	0.0447312	0.00358802	0.169514	0.0258823	0.190236	0.173219	0.255991	0.259214	0.623279	1.06162	2.05589	5	4.685447
3000	-558.7072	-601.8957	43.18849	10	1.828422	0.166049	0.241682	0.0612093	0.111837	0.147852	0.136684	0.0100103	0.00379741	0.0728596	0.266946	0.000314595	0.2477	0.0517364	0.0887765	0.160726	0.168215	0.113762	0.00208822	0.0367573	0.0137444	0.213537	0.0865572	0.172229	0.0152262	0.00635605	0.135456	0.138127	0.0919327	0.456615	0.128072	0.0653232	0.241812	0.195905	0.271896	0.635433	1.06504	2.02763	5	4.049896
4000	-565.6878	-600.0025	34.31469	10	1.186418	0.434672	0.121191	0.138081	0.0174825	0.111006	0.072676	0.0370714	0.0264209	0.120378	0.0681719	0.0660563	0.590352	0.0485754	0.0701869	0.0527588	0.239717	0.00133235	0.370307	0.0164849	0.00981614	0.651735	0.205986	0.0491274	0.0868504	0.180837	0.0608437	0.288082	0.356476	0.29691	0.0228611	0.0641007	0.0434365	0.0579869	0.172583	0.526413	1.02513	2.27588	5	4.977971
5000	-570.8127	-601.113	30.30039	10	1.175025	0.253989	0.191953	0.178441	0.0283118	0.0909715	0.073521	0.0381712	0.00416164	0.0996018	0.283292	0.0979085	0.190522	0.0588488	0.0808029	0.245827	0.292437	0.0790987	0.133032	0.127465	0.16981	0.191044	0.246027	0.109269	0.36565	0.0383474	0.241613	0.108278	0.137444	0.22773	0.173768	0.000146321	0.00222547	0.0324269	0.170498	0.523704	1.02387	2.28193	5	4.592136
6000	-578.2234	-605.1991	26.97567	2	0.3847112	0.2096	0.0924923	0.0711667	0.0384073	0.0409084	0.272204	0.0520379	0.0892612	0.134497	0.253354	0.14988	0.00513035	0.0285665	0.040154	0.0433812	0.128555	0.127293	0.262986	0.0403702	0.00655428	0.0232422	0.0748158	0.0282196	0.202182	0.381448	0.0597192	0.073283	0.0420102	0.0184577	0.228341	0.0886879	0.0337384	0.14628	0.0145719	0.170246	0.714192	3.10099	4	3.487224
7000	-588.3856	-612.673	24.28735	2	0.4328091	0.206402	0.0254345	0.00816529	0.173919	0.195239	0.0480297	0.0526827	0.0308681	0.017378	0.155778	0.183604	0.132788	0.00141541	0.00864678	0.105135	0.0522525	0.113502	0.188908	0.062937	0.0446823	0.00614499	0.206833	0.0860084	0.663399	0.0608661	0.0944687	0.110846	0.0808772	0.346418	0.13392	0.252988	0.246524	0.108501	0.0217181	0.205812	0.764476	3.00799	4	4.205561
8000	-595.7434	-601.3936	5.650219	1	0.377149	0.220914	0.249752	0.0188884	0.0809614	0.0910576	0.0302519	0.189996	0.0200606	0.0117656	0.105387	0.116981	0.154053	0.100932	0.0631173	0.0743081	0.0695114	0.374413	0.0681786	0.0710748	0.0473162	0.281499	0.129176	0.257235	0.357484	0.271303	0.751586	0.0914617	0.110084	0.13618	0.384127	0.189682	0.190938	0.0666362	0.0135605	0.164491	0.70532	3.11663	3	5.376312
9000	-550.5743	-601.8094	51.23509	10	0.2159969	0.275767	0.127405	0.145864	0.00196212	0.0986712	0.0539473	0.0448284	0.0363503	0.0937939	0.169247	0.106865	0.0813113	0.0551739	0.0692052	0.0141035	0.217849	0.0287211	0.334138	0.0273636	0.00705782	0.0489468	0.084662	0.0469402	0.37676	0.17497	0.0936998	0.347627	0.0270903	0.0530935	0.100586	0.0916275	0.00690191	0.273266	0.000885714	0.0434836	0.424106	3.53152	5	3.715797
