Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-3473.913	-3591.91	117.9976	10	0.1005892	0.0128723	0.00974935	0.0390108	0.105702	0.0718912	0.0808694	0.0948981	0.104403	0.170076	0.170583	0.147975	0.123217	0.0214395	0.0753414	0.0655625	0.159374	0.0585773	0.0600799	0.0167334	0.217973	0.136062	0.0573487	0.236689	0.0607142	0.226976	0.0382074	0.432465	0.0437966	0.0434435	0.224995	0.374593	0.0241252	0.0579358	0.0814745	0.00107147	0.0697253	0.070123	0.0927285	0.108125	0.165468	0.186938	0.0298982	0.00940836	0.044725	0.0454067	0.105815	0.0695385	0.225232	0.0301333	5.71004e-07	0.00112265	0.0953393	3.90354	5	5.099491
1000	-2023.795	-2144.873	121.0775	10	3.243271	0.0636293	0.0696898	0.00872932	0.003279	0.00183754	0.00868794	0.214137	0.0503711	0.00278245	0.00193856	0.240245	0.0127714	0.0829031	0.0315419	0.00609894	0.0194456	0.00197703	0.01241	0.0292961	0.0211375	0.0407066	0.0537703	0.129598	0.0676932	0.123079	0.761891	0.413878	0.00255398	0.0253537	0.14955	0.0346474	0.165539	0.00050569	0.00516989	0.132359	0.10836	0.0468158	0.0423315	0.0234407	0.234057	0.0496917	0.212614	0.0975548	0.115952	0.0313468	0.395279	0.0189182	0.170455	0.0379813	0.407248	0.744166	1.08348	1.76511	5	4.574002
2000	-2037.176	-2154.26	117.0832	10	5.199016	0.159415	0.0674244	0.00736486	0.00663827	0.00459046	0.0254178	0.158972	0.0894253	0.0044527	0.0240773	0.315112	0.0219732	0.0715971	0.0500657	0.0382271	0.0259088	0.0384325	0.012054	0.0410644	0.0123718	0.0248427	0.0346099	0.0776965	0.134109	0.190292	0.825076	0.437034	0.111698	0.0396804	0.36765	0.15551	0.156652	0.0601036	0.0176415	0.0646595	0.0111526	0.0292804	0.0383919	0.108845	0.191523	0.0125531	0.22613	0.0584387	0.0869646	0.0204381	0.25961	0.00544611	0.157968	0.0636259	0.510139	0.808577	1.08294	1.59835	5	5.142209
3000	-2020.387	-2136.766	116.3789	10	3.057614	0.060369	0.036109	0.00854122	0.00274187	0.00271475	0.00281706	0.189367	0.0430031	0.0167462	0.0471293	0.344617	0.0781173	0.0520567	0.0595163	0.0240126	0.0189196	0.00122406	0.0193872	0.0103026	0.00709337	0.0210012	0.0433678	0.0922565	0.0662039	0.296437	0.544562	0.0705926	0.0552163	0.040845	0.181277	0.0299058	0.32849	0.000767206	0.0196151	0.0611747	0.037444	0.030016	0.0444839	0.0523081	0.175669	0.133944	0.269464	0.0433594	0.191963	0.0608963	0.291713	0.00944043	0.158054	0.0380033	0.39367	0.734669	1.08279	1.78887	5	4.413256
4000	-2024.656	-2141.675	117.0192	10	3.837774	0.160906	0.0792014	0.000894716	0.0175175	0.0022699	0.0129159	0.115695	0.0496231	3.45049e-05	0.0282359	0.194806	0.0828368	0.0292485	0.0533275	0.0150768	0.0429914	0.0146787	0.0347595	0.00224347	0.0148375	0.0270835	0.0119244	0.0855935	0.00506477	0.11013	0.875831	0.127023	0.0432095	0.0525478	0.108803	0.0050832	0.625457	0.0483011	0.00826291	0.0606416	0.0218821	0.0186624	0.0877036	0.0425367	0.165825	0.222393	0.183192	0.00732882	0.148072	0.0524576	0.412871	0.0153198	0.195949	0.064861	0.445222	0.769405	1.08439	1.70098	5	4.786109
5000	-2018.682	-2139.844	121.1619	10	2.803157	0.127285	0.0594335	0.00283254	0.000724801	0.00312968	0.00141454	0.134219	0.0135925	0.0131522	0.00760643	0.355813	0.0755388	0.0421015	0.0194352	0.0500723	0.0170725	0.00416492	0.0263865	0.0272904	0.0475966	0.0284664	0.0179352	0.0927743	0.00614007	0.151001	0.802159	0.120249	0.0194288	0.0192078	0.0561746	0.00747764	0.174612	0.0166465	0.0182349	0.188842	0.163172	0.0166108	0.0449523	0.0465309	0.134753	0.473309	0.226572	0.0025376	0.0558216	0.046369	0.425971	0.0701576	0.141069	0.0509883	0.373436	0.720012	1.08135	1.8252	5	4.647024
6000	-2022.728	-2144.794	122.066	10	2.64231	0.021454	0.129287	0.00474348	0.00381303	0.00218117	0.020008	0.119338	0.0344672	0.0196367	0.070221	0.0867153	0.0812374	0.0574673	0.0398329	0.0431479	0.0270179	0.0150844	0.015491	0.00295804	0.0369889	0.0114224	0.0201163	0.0953239	0.0390693	0.0286255	0.883049	0.10868	0.0393843	0.129877	0.00645181	0.06217	0.383352	0.000686493	0.0361042	0.0232722	0.0468408	0.019531	0.0334167	0.0663132	0.158341	0.597955	0.23191	0.0469457	0.158287	0.0523828	0.483291	0.0151769	0.149962	0.267616	0.359547	0.70958	1.08007	1.8508	5	5.026644
7000	-2015.422	-2134.468	119.0455	10	2.698659	0.132989	0.0981445	0.00373823	0.00544388	0.00559956	0.00677452	0.218741	0.0640044	0.00857473	0.0504027	0.311575	0.127222	0.0113562	0.058419	0.0190524	0.0081046	0.00612106	0.0110738	0.0134715	0.00335397	0.0662271	0.00696407	0.100107	0.0225885	0.193379	0.961995	0.0355712	0.0370588	0.0716717	0.0429819	0.106026	0.599791	0.0314968	0.0167819	0.0505303	0.134778	0.0240143	0.0155992	0.0124345	0.181703	0.0972892	0.212925	0.0759808	0.074796	0.0581395	0.778613	0.0115058	0.112059	0.0810747	0.364517	0.713349	1.08056	1.84157	5	5.378246
8000	-2021.551	-2138.655	117.1047	10	1.844652	0.0877354	0.0214175	0.00254697	0.00158011	0.00209938	0.0155577	0.152318	0.0106707	0.01529	0.0814366	0.102154	0.0599743	0.0581107	0.0408415	0.0353368	0.0175982	0.0176378	0.0120881	0.0118638	0.00868258	0.0107352	0.0018565	0.0921423	0.0171652	0.146047	1.16484	0.123387	0.0483193	0.0131252	0.0178433	0.0152485	0.42988	0.0201035	0.0211338	0.0809309	0.199155	0.0169831	0.0530375	0.0742002	0.132674	0.265001	0.193884	0.0376447	0.0106607	0.0506713	0.36329	0.0140462	0.184859	0.251573	0.273998	0.637408	1.06557	2.02303	5	4.805373
9000	-2015.743	-2141.38	125.6374	10	1.893126	0.0627803	0.0541212	0.00886521	0.00104026	0.0212423	0.000482793	0.126762	0.093038	0.019341	0.0795044	0.212431	0.0864656	0.034887	0.0262853	0.0218308	0.00982314	0.0133664	0.009616	0.00070368	0.0117207	0.00903237	0.020386	0.12284	0.0487891	0.157263	1.04701	0.132524	0.0643221	0.0122912	0.110439	0.0152045	0.112748	0.065002	0.0352849	0.00569183	0.0577166	0.00391027	0.0341813	0.0317236	0.175344	0.462239	0.219701	0.0340698	0.092062	0.0535052	0.286072	0.0403758	0.251192	0.349518	0.280174	0.643145	1.06707	2.00961	5	4.944747
