Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-284.6443	-331.5238	46.87947	10	3.985725	0.0791469	0.0924657	0.0101816	0.100138	0.0251005	0.0299778	0.0436744	0.134083	0.00669673	0.132482	0.0926751	0.00272503	0.0413406	0.0620865	0.12004	0.0787779	0.0511496	0.0074876	0.0294718	0.0439578	0.0401593	0.110075	0.128968	0.170056	0.179679	0.0580571	0.129084	0.0364338	0.125964	0.0287291	0.418627	0.0826604	0.11668	0.453576	0.774714	1.0844	1.68731	5	2.808832
1000	-157.5383	-201.9593	44.42098	10	2.717218	0.2023	0.142819	0.0320376	0.0213505	0.123256	0.106848	0.0986673	0.120322	0.0627753	0.0968636	0.193113	0.0199569	0.0219633	0.0636796	0.0554316	0.0327684	0.022257	0.110497	0.0958387	0.0759665	0.00361894	0.127796	0.252819	0.540139	0.113738	0.0983321	0.0512534	0.0884722	0.110291	0.00150355	0.077245	0.0999427	0.333522	0.366129	0.714563	1.08071	1.8386	5	3.597381
2000	-139.9585	-192.3363	52.37784	10	0.9566931	0.00571652	0.0670186	0.0952789	0.0613361	0.0235364	0.0990952	0.22256	0.0839253	0.0950314	0.00456355	0.00543897	0.00237562	0.0195256	0.0325369	0.0106884	0.0854745	0.0131345	0.127271	0.0682031	0.0664027	0.0449323	0.0395334	0.0585389	0.201838	0.0430271	0.341204	0.0647832	0.388458	0.0280199	0.11433	0.0775626	0.252022	0.0232695	0.128234	0.463336	0.992436	2.41599	5	2.866631
3000	-148.7249	-195.235	46.51011	10	1.62762	0.034753	0.0212916	0.0336931	0.0471415	0.0915477	0.0321993	0.340788	0.026315	0.0730761	0.0578392	0.0137967	0.0131985	0.115748	0.110744	0.0467732	0.016211	0.0630683	0.134195	0.314154	0.126539	0.0601784	0.00162633	0.0453832	0.19049	0.192499	0.153761	0.00611887	0.0718437	0.0115697	0.3602	0.116955	0.0729843	0.159735	0.244381	0.608507	1.05711	2.09	5	3.156415
4000	-161.3251	-198.8716	37.54652	10	2.26722	0.261728	0.017098	0.0476655	0.00579404	0.0344514	0.676193	0.180771	0.00290493	0.0928947	0.0921928	0.0562412	0.0102016	0.0191467	0.0739015	0.0538156	0.0708981	0.0135809	0.088979	0.25114	0.0166711	0.0829044	0.0855445	0.132739	0.563939	0.32341	0.104981	0.0652862	0.369896	0.090216	0.177398	0.373254	0.0480063	0.246741	0.323214	0.680721	1.07543	1.92063	5	4.730584
5000	-153.7299	-204.7325	51.00253	10	1.657473	0.258281	0.00127394	0.000306503	0.0199413	0.0423586	0.264501	0.34167	0.101763	0.288501	0.0343586	0.0162821	0.0331825	0.0548914	0.0996966	0.05537	0.0147314	0.0725478	0.191069	0.0684897	0.080747	0.230904	0.128831	0.121238	0.0523238	0.135751	0.0085353	0.0563119	0.00534125	0.00102383	0.16824	0.218733	0.0709387	0.0391603	0.248656	0.612829	1.05847	2.08004	5	3.277293
6000	-147.0065	-203.0922	56.08574	10	0.8519509	0.120022	0.00837328	0.0950387	0.121484	0.000581314	0.0971217	0.118913	0.0672442	0.069366	0.120198	0.0158919	0.00167966	0.0662356	0.00843376	0.0115112	0.0976454	0.0176999	0.0302767	0.0633117	0.0327713	0.103493	0.00174188	0.0694599	0.0325161	0.0930227	0.321463	0.276635	0.0246083	0.0347713	0.174964	0.303514	0.147446	0.100777	0.106556	0.427238	0.970372	2.49583	5	2.848211
7000	-143.8648	-198.9454	55.08055	10	1.219243	0.0413318	0.0537604	0.0238676	0.0152696	0.0840627	0.151148	0.135863	0.030709	0.0764543	0.0157654	0.0317174	0.00912076	0.0208824	0.023784	0.184474	0.184064	0.0404619	0.0391357	0.159783	0.338792	0.127615	0.159952	0.0169325	0.133008	0.148468	0.237764	0.00373308	0.106139	0.0469806	0.0615352	0.317276	0.0378192	0.175555	0.178523	0.534009	1.02858	2.25888	5	3.233226
8000	-147.3199	-206.0232	58.70334	10	1.255908	0.198737	0.129524	0.0354578	0.00292708	0.00566777	0.00727358	0.00488852	0.0999035	0.0235395	0.000161889	0.0111965	0.00928409	0.0787861	0.0227492	0.0636104	0.113004	0.0296834	0.109781	0.113569	0.639342	0.0479457	0.0464889	0.0442648	0.268266	0.00384766	0.0575106	0.198316	0.0816804	0.0765687	0.0204126	0.0714119	0.0756749	0.100668	0.185039	0.542149	1.03217	2.24064	5	2.79214
9000	-144.5219	-188.7281	44.20617	10	4.062563	0.115945	0.0588165	0.124479	0.0160474	0.0089029	0.329347	0.021686	0.234132	0.0850212	0.00718064	0.00981975	0.00272446	0.0726648	0.0363267	0.00271148	0.0028066	0.0298511	0.0642828	0.0619116	0.233057	0.112424	0.105782	0.033051	0.0160138	0.0691152	0.221474	0.00377859	0.381342	0.0143915	0.423066	0.10756	0.0305437	0.0242118	0.457766	0.777345	1.08439	1.6805	5	3.060468
