Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-229.9905	-265.2463	35.25582	10	0.3473036	0.218194	0.0814837	0.00212587	0.0036464	0.0302585	0.00615895	0.201922	0.0789479	0.137048	0.0301564	0.0399178	0.0435958	0.0319477	0.0472936	0.0273331	0.0548248	0.0235271	0.0851818	0.103672	0.0686969	0.0549271	0.177005	0.0221139	0.022114	0.060132	0.00990286	0.141457	0.66733	3.18131	5	1.652225
1000	-163.19	-180.7291	17.53909	10	0.8874008	0.31243	0.00890624	0.0532178	0.0177922	0.07936	0.0421441	0.0183324	0.0390718	0.0682682	0.42536	0.104191	0.0271446	0.0216071	0.0406042	0.104296	0.237883	0.071281	0.308984	0.169415	0.0900716	0.0584762	0.21576	0.0989559	0.202287	0.316221	0.113977	0.44008	0.978513	2.46743	5	3.13206
2000	-154.1048	-175.8949	21.79002	10	1.134426	0.239245	0.0372638	0.132064	0.00497599	0.00128587	0.0433924	0.167125	0.00473849	0.0984091	0.19102	0.0250289	0.00154933	0.0460727	0.0200413	0.399839	0.478116	0.0535679	0.489469	0.290331	0.0703143	0.101145	0.0720622	0.0122177	0.154354	0.0413402	0.162969	0.513737	1.01914	2.30416	5	3.174967
3000	-148.0072	-172.8936	24.88639	10	1.196464	0.102101	0.0166596	0.0804745	0.0468822	0.0266171	0.154805	0.0376624	0.0485891	0.0528447	0.203979	0.0166687	0.00779507	0.0386089	0.0125935	0.198351	0.168132	0.123185	0.329486	0.114055	0.306196	0.285483	0.036481	0.154206	0.154375	0.126662	0.174412	0.52877	1.02621	2.27061	5	2.842892
4000	-141.084	-172.7673	31.68327	10	1.727442	0.00939334	0.0154264	0.0255074	0.00616236	0.00831529	0.244632	0.0501993	0.0205726	0.0831863	0.0420585	0.0201886	0.0072864	0.0806104	0.041526	0.24569	0.206346	0.0460143	0.249158	0.175603	0.0441536	0.207849	0.0992184	0.147371	0.0089419	0.170925	0.258418	0.622502	1.06139	2.05769	5	2.256336
5000	-140.7165	-179.9788	39.26228	10	0.4661477	0.0151826	0.000767691	0.0093355	0.0272473	0.0226756	0.0114036	0.0539058	0.0117974	0.0100615	0.0100254	0.0502674	0.0124881	0.0148241	0.0169175	0.113803	0.141308	0.182301	0.172167	0.0375071	0.049449	0.120633	0.0930394	0.161784	0.0598735	0.193519	0.0272983	0.229243	0.793983	2.94948	5	1.592283
6000	-148.5199	-173.5938	25.0739	10	2.012871	3.92574e-05	0.00390983	0.00774343	0.0128676	0.0435739	0.0896443	0.143971	0.0647175	0.0610535	0.19068	0.0219416	0.0655313	0.0705226	0.0325436	0.0926828	0.0214642	0.162405	0.250883	0.277616	0.163434	0.0445006	0.0372446	0.302101	0.304666	0.191503	0.294806	0.656375	1.07031	1.97851	5	2.657239
7000	-156.6129	-174.3567	17.74374	10	0.5237447	0.0648466	0.0174955	0.0606838	0.0206422	0.0644161	0.0243845	0.198962	0.0560671	0.141862	0.0981611	0.00680539	0.0547022	0.0539865	0.0471146	0.0876086	0.120453	0.392838	0.0970988	0.358573	0.114419	0.266725	0.707961	0.0402995	0.068286	0.23553	0.0378687	0.267135	0.836805	2.85819	5	3.399921
8000	-138.7402	-179.0734	40.33323	10	1.178462	0.0307282	0.0344494	0.0244272	0.00757957	0.00574536	0.100381	0.122687	0.0277905	0.103227	0.0407367	0.0607293	0.0701531	0.0433816	0.0265975	0.152092	0.0470491	0.0491045	0.0819102	0.0903518	0.115789	0.0237135	0.0237388	0.0925611	0.0633204	0.0958664	0.171128	0.524526	1.02425	2.28009	5	1.534111
9000	-151.9965	-182.0985	30.10205	10	0.8523739	0.000412569	0.00686169	0.120122	0.00584627	0.00666973	0.0545253	0.0382698	0.0100421	0.0478052	0.0155034	0.00342535	0.0407727	0.184071	0.072815	0.0690768	0.151331	0.458937	0.217774	0.0547663	0.0706708	0.184492	0.0712482	0.0304544	0.0589526	0.0533175	0.106645	0.427395	0.970474	2.49549	5	2.028164
10000	-167.5851	-177.2507	9.665575	1	1.332958	0.0668504	0.00405666	0.0054637	0.0084566	0.0100562	0.0951696	0.0637647	0.00225172	0.130456	0.179063	0.102893	0.0404635	0.0986316	0.0748982	0.327954	0.196138	0.216557	0.337133	0.220645	0.0956563	0.121406	0.0418419	0.554729	0.116414	0.0142425	0.198327	0.558165	1.0389	2.20461	3	3.125192
11000	-144.9393	-179.2735	34.33419	10	1.214651	0.00393242	0.0192247	0.126201	0.05917	0.00778547	0.188721	0.0496841	0.0630857	0.0496012	0.0823663	0.0135279	0.0292369	0.141852	0.0140985	0.249846	0.155015	0.0713488	0.0200634	0.164465	0.126821	0.157707	0.00355445	0.00891161	0.00485608	0.247115	0.177698	0.532965	1.02811	2.26122	5	2.05819
12000	-150.7264	-177.944	27.21756	10	0.2564037	0.0413188	0.00272269	0.0197487	0.0859537	0.0597891	0.091651	0.0342073	0.0198239	0.076158	0.184875	0.0350046	0.0290543	0.0119899	0.0188264	0.0566735	0.119286	0.134963	0.0200895	0.496557	0.123576	0.00330764	0.316754	0.133599	0.134342	0.124464	0.00242374	0.071352	0.514797	3.41143	5	2.374735
13000	-174.4619	-184.1485	9.686567	2	1.048448	0.18914	0.0876097	0.0495513	0.0180282	0.0111984	0.173879	0.146583	0.0692491	0.155083	0.0183585	0.069527	0.0789061	0.133573	0.101847	0.456885	0.275367	0.231509	0.00782592	0.33519	0.161728	0.211813	0.128615	0.0429196	0.0843456	0.0885471	0.146518	0.490845	1.00759	2.35505	4	3.327279
14000	-146.9332	-178.1441	31.21084	10	0.8240104	0.0241976	0.0149163	0.00487391	0.00633147	0.061812	0.131243	0.200595	0.061209	0.0781611	0.027128	0.0328917	0.00238058	0.0866098	0.00462299	0.19698	0.0575425	0.339694	0.115528	0.0887372	0.0448997	0.121538	0.307256	0.0135861	0.127979	0.00566097	0.100657	0.416624	0.963392	2.51933	5	2.156375
15000	-143.6321	-175.6762	32.04415	10	0.7152099	0.00506514	0.0286713	0.0107933	0.0241955	0.0337728	0.0537396	0.0178509	0.00311874	0.114096	0.00181663	0.0273422	0.00338157	0.0526305	0.0999266	0.210245	0.219433	0.110661	0.0364867	0.20563	0.0453291	0.243958	0.108261	0.35178	0.0389443	0.108675	0.0774396	0.370619	0.930377	2.62156	5	2.155803
16000	-157.2	-180.0089	22.80888	10	0.5071719	0.124933	0.0381634	0.193663	0.0167628	0.0383265	0.0481634	0.0791491	0.115486	0.0877535	0.0747039	0.052833	0.024017	0.0765973	0.0101933	0.289016	0.113709	0.219674	0.141786	0.073002	0.0835616	0.0941774	0.0778191	0.443446	0.554006	0.0265193	0.0347246	0.256572	0.825418	2.88329	5	3.097462
17000	-142.2728	-170.2815	28.00862	10	0.7299929	0.00167495	0.00857467	0.0343415	0.00190989	0.108017	0.0397296	0.00357308	0.000911653	0.126203	0.0212436	0.053621	0.00562812	0.0558191	0.0308758	0.169854	0.182181	0.119275	0.244659	0.230017	0.0105601	0.224793	0.0986766	0.192342	0.0721298	0.858432	0.0806028	0.377344	0.935495	2.60656	5	2.895042
18000	-148.7395	-174.9544	26.21497	10	1.65955	0.00629533	0.00920646	0.190656	0.0304513	0.0343692	0.0515404	0.0495946	0.0403906	0.17756	0.149904	0.0229147	0.0492773	0.0805476	0.0906422	0.250224	0.167971	0.501169	0.0350392	0.0861582	0.153091	0.159755	0.179666	0.137954	0.0969649	0.0439889	0.248951	0.613125	1.05856	2.07936	5	2.795329
19000	-158.3049	-180.5042	22.1993	10	2.495856	0.00442677	0.0133244	0.354809	0.0415555	0.0416506	0.0456859	0.122615	0.0307486	0.102985	0.0246845	0.0528265	0.0129661	0.138188	0.106517	0.0598026	0.446363	0.265573	0.104074	0.157737	0.139895	0.0709523	0.368701	0.268349	0.0110604	0.0468404	0.346063	0.699146	1.07858	1.87621	5	3.03233
20000	-150.4825	-177.6204	27.1379	10	1.418527	0.0992713	0.00940144	0.0186897	0.0796365	0.00316243	0.0830522	0.100823	0.0130991	0.0496903	0.038084	0.00560633	0.049134	0.105394	0.133392	0.178294	0.470858	0.127092	0.103885	0.0629371	0.0057948	0.414483	0.204289	0.155876	0.207055	0.184547	0.212458	0.574408	1.04526	2.16788	5	2.903547
21000	-160.1385	-175.8154	15.67689	2	1.437654	0.00025743	0.00735654	0.0584326	0.0487475	0.0423878	0.0439277	0.0643929	0.0297367	0.109426	0.18695	0.0635502	0.00902142	0.198292	0.066841	0.0278987	0.2141	0.00617301	0.172552	0.0403072	0.0729527	0.423043	0.115115	0.0862859	0.583457	0.121245	0.215529	0.577839	1.04654	2.16009	4	2.79245
22000	-145.4018	-173.692	28.29021	10	0.71528	0.0268005	0.0446024	0.0287697	0.0152631	0.0530409	0.0655092	0.0177135	0.00526834	0.10788	0.0113255	0.0333042	0.0317747	0.0124181	0.0663577	0.159795	0.192649	0.207632	0.0982859	0.0551241	0.135677	0.0892509	0.0860472	0.283983	0.933682	0.0125163	0.0774546	0.370651	0.930402	2.62149	5	2.774671
