Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-260.0129	-296.1231	36.1102	10	0.3565421	0.0725333	0.284437	0.0180549	0.0123516	0.004227	0.0303068	0.15001	0.0118917	0.136257	0.0106507	0.0944843	0.079166	0.217029	0.0305787	0.00731714	0.0216846	0.0700228	0.0642609	0.158394	0.0335714	0.0137513	0.192596	0.0803253	0.00335887	0.105296	0.0109762	0.148634	0.679623	3.16077	5	1.902556
1000	-163.005	-185.1009	22.09592	2	2.144092	0.0180881	0.0142556	0.081518	0.0392535	0.0881695	0.00672716	0.00875321	0.00332234	0.0111483	0.108728	0.0166496	0.0494695	0.033413	0.0194016	0.186159	0.0189823	0.0922674	0.138498	0.14338	0.0829308	0.0984005	0.105523	0.426169	0.156879	0.0480875	0.309889	0.669511	1.07321	1.94739	4	1.996174
2000	-143.7464	-176.1329	32.38651	10	0.9049051	0.146715	0.0333549	0.0351763	0.00105513	0.0423043	0.0340369	0.0773722	0.00846853	0.090634	0.00793496	0.0188928	0.0152387	0.058496	0.0128954	0.0770084	0.227471	0.099407	0.12652	0.0241372	0.0789061	0.0919913	0.129214	0.0456979	0.147079	0.0971425	0.117611	0.446177	0.982264	2.45395	5	1.727149
3000	-148.3552	-176.717	28.36184	10	0.5958763	0.00377648	0.0343915	0.0260421	0.0477813	0.0494751	0.399542	0.0931856	0.0030752	0.151439	0.0588818	0.0369459	0.00173787	0.10243	0.00380842	0.12708	0.213663	0.123613	0.281233	0.0722546	0.0719842	0.122527	0.443861	0.0832442	0.014752	0.216166	0.0522587	0.309972	0.8792	2.75857	5	2.782891
4000	-157.018	-180.3562	23.33822	10	3.174646	0.0972051	0.0564755	0.0571959	0.0103307	0.0189027	0.0630193	0.0357013	0.0625208	0.0840374	0.0789704	0.0613876	0.116001	0.0628151	0.0387633	0.100265	0.252766	0.0238068	0.0590232	0.0366942	0.0559461	0.158883	0.451285	0.0267939	0.308228	0.0588956	0.402337	0.740761	1.08325	1.77365	5	2.375912
5000	-149	-183.9313	34.93124	10	0.2733269	0.099777	0.0117043	0.0469304	0.0157805	0.108655	0.0996627	0.0285422	0.0640857	0.023628	0.0609562	0.00119884	0.0282439	0.0778428	0.0153637	0.146969	0.0525432	0.0648536	0.0119052	0.347717	0.0287248	0.029962	0.0922711	0.296553	0.103157	0.0165332	0.0033815	0.0839801	0.548168	3.36447	5	1.873561
6000	-157.8035	-175.9795	18.17603	2	2.49307	0.0842131	0.021673	0.0450835	0.0319884	0.0128785	0.183958	0.106102	0.0322508	0.0410294	0.0672935	0.026662	0.0295883	0.0137849	0.0543516	0.0967018	0.207682	0.0701758	0.222897	0.135873	0.201014	0.170311	0.0119816	0.172842	0.238562	0.231982	0.345799	0.698938	1.07855	1.87671	4	2.510879
7000	-151.6584	-179.9474	28.28898	10	0.7406438	0.00953516	0.0619752	0.0888121	0.0288822	0.0369323	0.0465455	0.05965	0.021589	0.113407	0.167855	0.0550237	0.0306804	0.0528671	0.00647041	0.126933	0.00283637	0.0876831	0.0562944	0.449448	0.139976	0.289903	0.29114	0.163912	0.0999361	0.27093	0.0828824	0.382092	0.939046	2.59598	5	2.759218
8000	-156.8036	-180.7902	23.98663	10	0.6146251	0.0595952	0.00448792	0.0638477	0.0105873	0.0510175	0.0395415	0.0134899	0.0447179	0.135019	0.175909	0.105785	0.0475533	0.017939	0.00961673	0.00513279	0.178989	0.466082	0.118419	0.373592	0.00989702	0.0188161	0.0546387	0.27491	0.0530937	0.127165	0.0561378	0.320304	0.888601	2.73496	5	2.459842
9000	-155.273	-178.0055	22.73245	10	1.519155	0.0262528	0.135553	0.0342264	0.0107219	0.00297524	0.0203122	0.0653901	0.0696079	0.0116719	0.214489	0.0906876	0.0166384	0.072638	0.0135323	0.479945	0.360334	0.19272	0.103285	0.0352881	0.224861	0.147419	0.371975	0.000164745	0.225279	0.152206	0.228266	0.591714	1.05153	2.12849	5	3.078174
10000	-157.2336	-179.349	22.11539	10	1.234464	0.0751668	0.0230403	0.0876548	0.00337116	0.122312	0.0281497	0.0336488	0.061816	0.0590962	0.00156967	0.046258	0.0433184	0.0547984	0.136329	0.155551	0.0740216	0.240423	0.221607	0.161187	0.0317874	0.103797	0.251782	0.393369	0.0536408	0.141298	0.181243	0.537432	1.03011	2.25122	5	2.604994
11000	-158.0052	-177.58	19.57475	2	1.943057	0.0528273	0.0237927	0.0965449	0.00430649	0.0499099	0.0458571	0.0799326	0.0320691	0.0876985	0.0845892	0.0141276	0.0343375	0.0463347	0.0100896	0.0913063	0.0698805	0.307197	0.0750941	0.624404	0.0730502	0.00144793	0.133068	0.0598223	0.0822376	0.278053	0.286381	0.648819	1.0685	1.9963	4	2.45798
12000	-140.1677	-176.4412	36.27353	10	1.99904	0.0243873	0.00326527	0.0415151	0.0226418	0.00408861	0.0592949	0.0925332	0.0321944	0.0725043	0.0761203	0.0172126	0.0208094	0.0457652	0.0903263	0.0557992	0.0791452	0.0979588	0.0131094	0.170705	0.0545475	0.148077	0.0977647	0.204468	0.150366	0.121558	0.29316	0.654912	1.06997	1.98196	5	1.796157
13000	-164.5295	-176.6244	12.09484	2	3.316708	0.0973023	0.0416659	0.0723057	0.0142251	0.0233494	0.171338	0.0870861	0.129336	0.0985504	0.160563	0.0500282	0.00972618	0.0719818	0.00591944	0.0551539	0.0988022	0.111363	0.037201	0.410423	0.0906473	0.2129	0.15213	0.00976475	0.435288	0.131128	0.41237	0.747681	1.08369	1.75626	4	2.778178
14000	-159.1745	-180.8767	21.70221	10	1.731018	0.00264831	0.0139372	0.332554	0.0244073	0.0417342	0.144549	0.12912	0.0421627	0.0393364	0.0500199	0.0598585	0.117747	0.198561	0.0866983	0.0788874	0.217671	0.109681	0.0876144	0.132852	0.298026	0.146147	0.375159	0.0993792	0.303167	0.0917623	0.258907	0.62298	1.06153	2.05658	5	3.223681
15000	-151.4729	-182.7216	31.24877	10	0.2594474	0.116661	0.00429673	0.116921	0.0113103	0.0383048	0.106108	0.136277	0.0298137	0.0354937	0.0269809	0.0180247	0.0321933	0.1256	0.0418394	0.0851364	0.397186	0.0339171	0.0480598	0.0929263	0.00484974	0.0662354	0.17247	0.0791544	0.468649	0.107501	0.00258161	0.0735924	0.52099	3.40284	5	2.39591
16000	-161.928	-183.0399	21.1119	10	1.181615	0.138991	0.024649	0.0743896	0.0340607	0.0223198	0.0165412	0.290921	0.0945988	0.0549432	0.0280035	0.0573103	0.0445184	0.0517238	0.102923	0.119587	0.147217	0.133755	0.097209	0.0665796	0.268313	0.130883	0.0332773	0.654916	0.122026	0.357341	0.171706	0.525276	1.0246	2.27842	5	3.166999
17000	-154.6111	-181.0021	26.39099	10	1.64272	0.0771888	0.0146038	0.0387555	0.020889	0.020212	0.0314903	0.0877348	0.0459794	0.116049	0.0445638	0.00016317	0.0407268	0.150493	0.0668356	0.0172722	0.0579947	0.00887485	0.124188	0.120432	0.202867	0.0633	0.312478	0.129426	0.201091	0.113937	0.246552	0.610708	1.05781	2.08493	5	2.107545
18000	-148.9115	-173.6288	24.71733	10	3.973645	0.0458544	0.00141082	0.0896579	0.000950511	0.0721025	0.0659158	0.0582322	0.00122474	0.0881399	0.00270581	0.0302064	0.0096187	0.0843916	0.0662992	0.175704	0.00587674	0.121379	0.273048	0.194613	0.300176	0.0184558	0.0152	0.120891	0.586951	0.0824406	0.452909	0.774293	1.0844	1.68839	5	2.511446
19000	-148.829	-176.6594	27.83039	10	3.893495	0.0809364	0.0318655	0.00773117	0.00822838	0.0329998	0.0755082	0.0956084	0.0265679	0.083611	0.183167	0.0143723	0.0151115	0.0942762	0.0391329	0.0296512	0.254484	0.0558434	0.126802	0.196846	0.0804083	0.179418	0.120788	0.109616	0.23109	0.0144094	0.448414	0.771444	1.0844	1.69574	5	2.188472
20000	-146.794	-175.1878	28.39384	10	1.128106	0.00426456	0.00566689	0.0445341	0.00164307	0.0832933	0.0145375	0.0851793	0.0129802	0.0628403	0.0410569	0.0375443	0.0747211	0.0337498	0.0046034	0.0968832	0.159857	0.0308986	0.0835995	0.11973	0.172548	0.442911	0.140687	0.131466	0.140672	0.2634	0.161783	0.512139	1.01836	2.30772	5	2.289268
21000	-147.7342	-173.4343	25.70009	10	2.871671	0.0293791	0.0115859	0.0257764	0.00234266	0.0176486	0.098006	0.126602	0.0374946	0.306997	0.0931212	0.0307861	0.0232628	0.0909829	0.0131307	0.17368	0.521226	0.29502	0.0779035	0.201072	0.129334	0.158384	0.0462168	0.0465881	0.148132	0.178729	0.379084	0.724166	1.0818	1.81495	5	2.883402
22000	-145.0115	-183.8995	38.88804	10	0.3545069	0.047914	0.0171651	0.00443105	0.0204091	0.0073354	0.0815352	0.103918	0.121248	0.0917065	0.051664	0.0418628	0.0328339	0.0279282	0.0155912	0.122604	0.0375502	0.204578	0.0481687	0.023185	0.0647254	0.020452	0.100381	0.121523	0.127887	0.169003	0.0107351	0.147056	0.676957	3.16525	5	1.705602
23000	-157.6666	-179.1463	21.47967	1	1.055815	0.0403499	0.0655904	0.0799256	0.0188181	0.0881158	0.00737044	0.0549713	0.0402941	0.196996	0.0735143	0.027128	0.00974805	0.0555733	0.00844304	0.0462658	0.0282953	0.0140601	0.0343755	0.0212164	0.162046	0.0216598	0.136482	0.314786	0.167994	0.257479	0.147954	0.492909	1.00867	2.35047	3	1.971497
24000	-153.0952	-173.0152	19.92003	2	3.503507	0.00878916	0.0232809	0.03187	0.00194586	0.00788129	0.0220328	0.00144534	0.0133346	0.128636	0.0818647	0.038717	0.00873801	0.0226027	0.00782394	0.053181	0.00306246	0.0687662	0.0849835	0.392279	0.107951	0.00337305	0.179105	0.100436	0.241697	0.519795	0.424817	0.756077	1.08408	1.73503	4	2.153591
25000	-151.0529	-173.0334	21.98056	10	2.49545	0.0759922	0.0752105	0.149891	0.0137072	0.0506242	0.165581	0.0331582	0.113078	0.113936	0.206728	0.047792	0.00918009	0.0613418	0.0259924	0.118141	0.189631	0.132201	0.249671	0.208038	0.180717	0.00486619	0.423369	0.0890969	0.154589	0.268324	0.346025	0.699116	1.07858	1.87628	5	3.160857
