Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-290.2075	-319.3869	29.17944	10	1.311812	0.277363	0.027895	0.194266	0.317992	0.00385706	0.0698386	0.0857502	0.0559059	0.0216603	0.0826834	0.161295	0.0161947	0.0356363	0.0770472	0.0192248	0.179227	0.0383987	0.032004	0.0970206	0.013927	0.135959	0.00772597	0.0182664	0.187676	0.0212573	0.194734	0.553909	1.03715	2.2142	5	2.178071
1000	-141.7612	-175.1969	33.43575	10	2.284958	0.00142845	0.0378737	0.0559955	0.00499227	0.04238	0.0577187	0.106528	0.0278604	0.105743	0.0594139	0.00678139	0.0465762	0.0511723	0.00902792	0.110053	0.154296	0.0612034	0.0216214	0.0714403	0.0507089	0.0980747	0.24572	0.221661	0.00881306	0.0875857	0.325072	0.682255	1.07572	1.91695	5	1.74467
2000	-150.9731	-176.5498	25.57677	10	0.3548499	0.0454036	0.0320252	0.0662067	0.000203679	0.0604616	0.036187	0.198369	0.0462445	0.0756363	0.0193554	0.0611367	0.0495313	0.0329465	0.00168081	0.375523	0.0609862	0.0500443	0.0862194	0.0115675	0.33596	0.158034	0.512203	0.247017	0.118507	0.183445	0.0107756	0.147322	0.677408	3.16449	5	2.864894
3000	-144.0003	-175.1916	31.19136	10	1.474375	0.0257336	0.0227714	0.0842764	0.0168391	0.0505938	0.135324	0.11168	0.181697	0.0134884	0.0584249	0.0152377	0.00474244	0.108737	0.0336573	0.0104782	0.229342	0.0788405	0.305499	0.195271	0.186371	0.142127	0.110415	0.022684	0.153873	0.166273	0.221337	0.584235	1.04888	2.14555	5	2.464376
4000	-155.5566	-177.6453	22.08866	10	0.9119443	0.0526251	0.0345158	0.213078	0.0849932	0.00885335	0.103596	0.0785337	0.0222319	0.114391	0.197688	0.0711295	0.00380199	0.119023	0.0204965	0.150293	0.708205	0.0271944	0.118499	0.0681972	0.061665	0.0253056	0.407454	0.322882	0.0159154	0.195329	0.119067	0.448585	0.983726	2.44862	5	3.225897
5000	-165.3434	-180.0275	14.6841	2	1.125676	0.0534102	0.0806609	0.0326406	0.00865494	0.027722	0.113226	0.0849577	0.246754	0.034734	0.294752	0.0351799	0.0077663	0.0972386	0.0426859	0.0362422	0.198578	0.0630373	0.17348	0.00632279	0.0613545	0.419863	0.346555	0.33072	0.0294977	0.0467036	0.161326	0.511521	1.01806	2.30909	4	2.872737
6000	-148.2749	-175.5773	27.3024	10	1.801426	0.00440111	0.072696	0.0338175	0.0168093	0.0203329	0.0357746	0.196089	0.100795	0.14278	0.0627579	0.0664999	0.0241573	0.0525843	0.124672	0.275745	0.20471	0.199524	0.188215	0.00319114	0.171856	0.141061	0.0269067	0.196796	0.0171456	0.353968	0.268361	0.632088	1.06412	2.03543	5	2.733285
7000	-158.4371	-181.653	23.21592	2	0.954025	0.0304762	0.0474368	0.0341773	0.0247844	0.00220469	0.137283	0.0476002	0.0011783	0.0907379	0.046287	0.0156094	0.0161865	0.0944863	0.0842101	0.0821689	0.0093611	0.326808	0.0510049	0.220419	0.240198	0.229991	0.101561	0.092929	0.176749	0.0589867	0.127692	0.462483	0.991944	2.41788	4	2.262835
8000	-153.2235	-179.4799	26.2564	10	0.3339188	0.0729893	0.016869	0.24752	0.00672029	0.0879701	0.0867211	0.146616	0.0386244	0.0371918	0.215103	0.187742	0.00528202	0.0150271	0.00187439	0.426338	0.023746	0.0595546	0.0808301	0.208052	0.163451	0.432758	0.215345	0.125931	0.123841	0.246929	0.00844573	0.13101	0.648606	3.21194	5	3.273026
9000	-139.7414	-169.6393	29.89783	10	0.6699084	0.00101386	0.00303916	0.0417623	0.00188611	0.0285128	0.109396	0.094467	0.00901113	0.133686	0.129398	0.0286142	0.0128962	0.0415103	0.0273453	0.0756002	0.0581097	0.137945	0.0267331	0.422229	0.142815	0.119514	0.000385423	0.106529	0.429844	0.0780335	0.0677759	0.348979	0.913186	2.67006	5	2.260277
10000	-162.5494	-174.8999	12.35042	2	2.67982	0.0847673	0.021026	0.0646786	0.055903	0.0615519	0.132417	0.0417151	0.00430189	0.135861	0.0245707	0.125461	0.00367699	0.0334947	0.104074	0.476775	0.138055	0.0226926	0.105168	0.392524	0.0591599	0.123361	0.069739	0.117742	0.190988	0.35992	0.362868	0.712103	1.0804	1.84462	4	2.949624
11000	-148.1141	-175.2615	27.1474	10	0.5321516	0.126741	0.00477147	0.0849909	0.0082962	0.0308955	0.0478787	0.0937287	0.0219462	0.0352045	0.0593057	0.158681	0.0478586	0.0772465	0.0238251	0.116379	0.569487	0.0314502	0.0713402	0.323984	0.19811	0.0436474	0.0128036	0.0967149	0.225449	0.194299	0.0394906	0.272388	0.842323	2.8458	5	2.705032
12000	-146.9783	-175.6761	28.69772	10	0.960595	0.0707952	0.0225882	0.234543	0.0114183	0.0020276	0.170739	0.0801942	0.023198	0.0935417	0.063494	0.0467081	0.0152604	0.0919388	0.0253907	0.302966	0.575959	0.00430383	0.0133997	0.125399	0.013893	0.0616594	0.146687	0.0816908	0.200975	0.240989	0.129026	0.464579	0.993151	2.41324	5	2.719757
13000	-141.1169	-176.4052	35.28837	10	1.193421	0.0117035	0.0124499	0.176701	0.0163101	0.00827814	0.0277676	0.0772944	0.0842631	0.0311983	0.0456143	0.0498123	0.0110261	0.0303808	0.0147537	0.151666	0.0474308	0.133679	0.0848526	0.00486858	0.170773	0.0202931	0.215955	0.0819385	0.128315	0.049296	0.173859	0.528059	1.02589	2.2722	5	1.686621
14000	-151.1443	-177.8083	26.66402	10	1.071126	0.021559	0.0134666	0.28803	0.0170635	0.10718	0.0299944	0.0294467	0.0184453	0.0453524	0.161306	0.0720721	0.0877089	0.0298432	0.00976786	0.00300628	0.263216	0.0536434	0.118266	0.543511	0.0634642	0.0162216	0.323559	0.0589233	0.105119	0.0925099	0.150923	0.497134	1.01085	2.34109	5	2.572677
