Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-286.0167	-315.2867	29.27006	10	2.58379	0.137304	0.00471432	0.00735134	0.294914	0.0417173	0.249276	0.0695925	0.166329	0.0100868	0.0435775	0.0396338	0.0484212	0.0105123	0.0228709	0.0367054	0.134456	0.0743014	0.181365	0.0958582	0.108901	0.115519	0.127748	0.298754	0.0133258	0.0512469	0.354259	0.705526	1.07952	1.8607	5	2.384481
1000	-173.7466	-182.9859	9.23937	2	0.8160701	0.109926	0.0465981	0.0238108	0.022286	0.0433091	0.287945	0.255022	0.0326951	0.0708416	0.340471	0.0494685	0.0657663	0.121218	0.0400689	0.12336	0.0575793	0.230644	0.156439	0.0796857	0.154046	0.0358871	0.129441	0.371259	0.511486	0.0940417	0.0989734	0.413524	0.96131	2.52619	4	3.453295
2000	-152.9665	-180.8107	27.84423	10	0.7659012	0.00124897	0.0742767	0.116072	0.0505325	0.0363652	0.120888	0.0814604	0.0705913	0.0797626	0.101098	0.0357142	0.0510412	0.0896604	0.0441458	0.17892	0.304193	0.126582	0.187208	0.0463349	0.0371022	0.0502458	0.1531	0.269404	0.0137916	0.168117	0.0882851	0.393034	0.947039	2.57164	5	2.487856
3000	-143.8777	-178.562	34.68426	10	2.015701	0.0337349	0.0860114	0.0946553	0.00262251	0.00800108	0.0339501	0.0243213	0.0295561	0.163924	0.054455	0.035262	0.00765388	0.113529	0.0145433	0.0967602	0.052803	0.205506	0.0878395	0.0454629	0.135351	0.022915	0.0945876	0.0181632	0.236482	0.285207	0.295142	0.656673	1.07038	1.97781	5	1.983296
4000	-136.9861	-171.5832	34.59713	10	0.7517684	0.0140355	0.04054	0.0280033	0.0159924	0.0473109	0.165169	0.119046	0.00271626	0.0190748	0.0364173	0.0626294	0.021577	0.0102404	0.0188975	0.12449	0.0909595	0.102869	0.0750005	0.26953	0.116215	0.00622588	0.292008	0.157592	0.172156	0.0631642	0.0852629	0.386966	0.942639	2.58513	5	2.07186
5000	-138.6579	-173.6038	34.94584	10	0.3322348	0.0593396	0.0166259	0.0137891	0.0175254	0.00306033	0.0846979	0.0632662	0.0330114	0.0581812	0.027046	0.0600937	0.0251056	0.064592	0.0304861	0.214219	0.0648026	0.131324	0.192506	0.286026	0.133761	0.0606528	0.00955746	0.0152308	0.00244825	0.254165	0.00827079	0.129693	0.64617	3.21587	5	1.921513
6000	-146.6429	-171.8205	25.17763	10	3.097671	0.0374493	0.0146692	0.0182431	0.00939586	0.0136008	0.200249	0.0547302	0.0161038	0.0662094	0.218534	0.00559235	0.00851923	0.0306222	0.0295273	0.0817275	0.0244412	0.0801976	0.0248794	0.198178	0.144091	0.218716	0.0617715	0.284724	0.621026	0.188715	0.39668	0.736796	1.08296	1.78357	5	2.651913
7000	-162.5092	-178.5292	16.02006	2	1.689427	0.0176542	0.0494157	0.116934	0.00355692	0.0967491	0.0211595	0.184337	0.040591	0.0711512	0.019685	0.0630473	0.0188821	0.0114188	0.0632198	0.0576641	0.134825	0.174155	0.0847566	0.12998	0.461804	0.0717285	0.328718	0.112963	0.343095	0.141299	0.253158	0.617324	1.05985	2.06967	4	2.81879
8000	-161.9691	-178.8446	16.87553	2	0.9279432	0.00389872	0.0202038	0.505255	0.0239531	0.0362443	0.0115583	0.142425	0.0226282	0.0299564	0.171987	0.049071	0.0361094	0.0027937	0.0141855	0.344063	0.0530376	0.203757	0.00431182	0.134507	0.242087	0.461634	0.123202	0.00333897	0.077927	0.232163	0.122362	0.453968	0.986953	2.43672	4	2.950297
9000	-153.0977	-178.6046	25.5069	10	1.73912	0.0310688	0.00853488	0.0809051	0.0297777	0.0146358	0.0773826	0.135336	0.0268854	0.147449	0.0549496	0.101925	0.0626322	0.101429	0.122028	0.195192	0.0811192	0.0416724	0.0279867	0.301506	0.334357	0.246057	0.0272732	0.00173513	0.162295	0.420599	0.260012	0.624057	1.06185	2.05408	5	2.834733
