Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-539.4938	-589.9144	50.4206	10	3.849777	0.093753	0.0655878	0.0350473	0.0519851	0.0998058	0.0992368	0.118519	0.0617628	0.00503888	0.114475	0.0124209	0.168267	0.0522647	0.0618381	0.162569	0.042656	0.0461574	0.0167224	0.155046	0.0586036	0.111627	0.24187	0.224399	0.143369	0.00312328	0.445914	0.769849	1.08439	1.69984	5	2.246143
1000	-331.9407	-383.5433	51.60264	10	0.2604925	0.15404	0.04443	0.000806223	0.0555996	0.0734929	0.0579808	0.119167	0.0465648	0.0208192	0.0042859	0.00126563	0.0970385	0.101304	0.0100664	0.0862266	0.0482011	0.0351352	0.294714	0.167743	0.15876	0.241208	0.107055	0.14439	0.333752	0.030776	0.00263725	0.0743652	0.523097	3.3999	5	2.434823
2000	-324.6627	-377.3051	52.64237	10	0.2774833	0.00184685	0.037819	0.113646	0.106623	0.00151236	0.114194	0.0144524	0.046187	0.0228156	0.0628034	0.0664893	0.0246439	0.0114355	0.161833	0.142505	0.00829352	0.110175	0.273627	0.0916803	0.441076	0.32152	0.191496	0.242343	0.230862	0.1	0.00364693	0.087137	0.555978	3.35324	5	2.93988
3000	-353.6704	-387.0277	33.35732	10	1.462867	0.000444869	0.120822	0.318918	0.122808	0.0226905	0.134327	0.177193	0.0483998	0.000734521	0.0900616	0.286722	0.217198	0.0301642	0.109926	0.469633	0.190915	0.119557	0.209961	0.0125127	0.0625175	0.0167341	0.212502	0.0316819	0.249958	0.0843062	0.219529	0.582257	1.04816	2.15005	5	3.340688
4000	-333.245	-373.5052	40.26021	10	1.717591	0.0265236	0.119245	0.0947632	0.011896	0.104165	0.0286023	0.0470271	0.00979792	0.021951	0.155542	0.106778	0.108203	0.0580446	0.162774	0.104527	0.297166	0.222243	0.157363	0.111154	0.17517	0.324505	0.0986291	0.0225131	0.628099	0.0532392	0.257065	0.621177	1.061	2.06076	5	3.249923
5000	-328.1485	-379.0156	50.86705	10	0.5125805	0.00450684	0.0429768	0.0456437	0.0282352	0.0681069	0.0197566	0.108254	0.0127994	0.0105504	0.0724597	0.099942	0.0806114	0.0508512	0.220769	0.208473	0.088788	0.0185858	0.0321067	0.191272	0.168594	0.0606672	0.166589	0.0331095	0.393315	0.0411743	0.0357425	0.260049	0.829211	2.875	5	2.268136
6000	-326.7678	-372.5974	45.8296	10	0.2536277	0.0588305	0.112193	0.025082	0.00504522	0.0241141	0.101202	0.0652449	0.0505783	0.0167515	0.0147433	0.0880645	0.0630512	0.0621677	0.120853	0.0370651	0.052106	0.192904	0.0703673	0.362998	0.0410063	0.354041	0.0755151	0.308539	0.299417	0.842583	0.00228515	0.069322	0.509074	3.41932	5	3.444463
7000	-333.6046	-375.8343	42.22968	10	0.3793284	0.0503874	0.0571144	0.123772	0.204778	0.0458774	0.0385897	0.240529	0.0150887	0.0471442	0.0905734	0.280763	0.310493	0.0451979	0.200622	0.0232955	0.0313604	0.0954413	0.0391953	0.343847	0.284953	0.533938	0.0497694	0.0135205	0.205393	0.284918	0.0138487	0.166153	0.707906	3.11209	5	3.656562
8000	-364.4467	-384.4111	19.96437	1	0.7381209	0.0768309	0.0154551	0.0325359	0.0030797	0.0521643	0.027717	0.0710356	0.0269674	0.039172	0.156143	0.28783	0.0732657	0.0922665	0.0621866	0.255134	0.234417	0.209616	0.0112583	0.135403	0.145682	0.0969879	0.317627	0.42189	0.132461	0.391355	0.0823424	0.380975	0.938215	2.59847	3	3.368482
9000	-336.0868	-370.4274	34.34066	10	1.619477	0.126634	0.142758	0.215675	0.082645	0.0279826	0.0344099	0.132551	0.0335744	0.0729115	0.22791	0.112579	0.000298291	0.00338074	0.218375	0.0574627	0.256214	0.12798	0.429681	0.0715577	0.420265	0.353208	0.353556	0.494302	0.0952841	0.0241012	0.243203	0.607306	1.05673	2.09276	5	4.115297
