Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-502.1587	-548.3579	46.19928	10	1.705168	0.189214	0.0985053	0.120678	0.0607382	0.0143887	0.0194582	0.297165	0.0530973	0.247933	0.0151714	0.177157	0.0898689	0.0774145	0.297367	0.208465	0.136832	0.0877243	0.214049	0.031098	0.0905424	0.00116222	0.066408	0.178342	0.0749834	0.0961182	0.255349	0.61949	1.0605	2.06466	5	2.94388
1000	-345.0905	-375.9739	30.88336	2	0.5031641	0.0319189	0.151653	0.0323681	0.0173954	0.0273563	0.0301707	0.12284	0.032036	0.0439899	0.0873163	0.0605344	0.323566	0.0625715	0.0797812	0.26615	0.0065283	0.0631026	0.199907	0.0695311	0.295077	0.11597	0.145095	0.121236	0.139828	0.184331	0.0339757	0.253977	0.822557	2.88949	4	2.710253
2000	-326.4749	-379.4338	52.95891	10	0.4461701	0.0459516	0.0400383	0.111773	0.0561047	0.0411722	0.00708376	0.0743422	0.0783306	0.0229552	0.00260363	0.102569	0.0649607	0.0252398	0.123622	0.122481	0.227207	0.123077	0.548767	0.0632271	0.0681496	0.00818553	0.243145	0.0539074	0.0631549	0.213284	0.0238994	0.21533	0.776773	2.984	5	2.531333
3000	-339.5173	-376.3612	36.84391	2	0.1531928	0.0835118	0.00120356	0.178612	0.0214735	0.0489281	0.0023961	0.114732	0.0471596	0.0309246	0.00677737	0.11907	0.00142065	0.00914596	0.0560681	0.0346209	0.0692926	0.178769	0.389296	0.287442	0.102809	0.221919	0.248375	0.048074	0.0328179	0.038494	6.43229e-05	0.0118428	0.251435	3.73666	4	2.373332
4000	-327.2674	-378.5031	51.23568	10	0.8428161	0.0403482	0.0535681	0.121209	0.042231	0.078529	0.0259592	0.186742	0.0428482	0.0233518	0.0103792	0.113791	0.0501574	0.0518841	0.0387198	0.286417	0.178832	0.189034	0.332197	0.150926	0.0180873	0.111812	0.0632113	0.272625	0.143834	0.0756175	0.104631	0.423817	0.968147	2.5034	5	2.702309
5000	-325.8962	-375.5891	49.69286	10	0.6332133	0.0509288	0.0647119	0.0203467	0.00127289	0.0534348	0.0480908	0.244808	0.00425432	0.0218923	0.0606435	0.0209115	0.234931	0.00742353	0.126484	0.0893612	0.0718284	0.0110652	0.062763	0.203216	0.0518172	0.0690549	0.0323875	0.273411	0.334086	0.222601	0.0600226	0.330238	0.897361	2.71238	5	2.381726
6000	-328.4976	-380.3183	51.82066	10	0.4068307	0.0623422	0.0342427	0.102344	0.0346497	0.106721	0.0662382	0.107093	0.0566397	0.000492418	0.0147125	0.0880363	0.0858169	0.0100674	0.0657471	0.00181072	0.070945	0.286574	0.0488096	0.104194	0.0357175	0.0937001	0.139096	0.212601	0.172276	0.10484	0.0177121	0.18684	0.738568	3.05688	5	2.105707
7000	-339.8595	-383.0585	43.19898	10	0.2292521	0.0563726	0.0139331	0.261499	0.298747	0.137042	0.0108503	0.0900835	0.0500106	0.0151627	0.00845282	0.015859	0.127527	0.0340983	0.0167208	0.0371469	0.156836	0.0691814	0.116488	0.643497	0.0430332	0.00463789	0.124492	0.152855	0.0729304	0.0178634	0.00128156	0.052171	0.455643	3.4909	5	2.575321
8000	-342.3631	-376.7806	34.41745	10	0.7951422	0.260567	0.0570787	0.0352395	0.175514	0.045337	0.0120242	0.207697	0.0738795	0.0406169	0.0443538	0.152213	0.0978246	0.0097114	0.0737956	0.146092	0.241238	0.237856	0.467784	0.174233	0.0483331	0.0711392	0.0250269	0.64716	0.000448805	0.447882	0.0945246	0.405171	0.9556	2.5447	5	3.793046
9000	-351.8843	-380.9333	29.04902	1	0.1711453	0.0417179	0.0579447	0.0681376	0.0740548	0.00949251	0.044562	0.318516	0.00618227	0.0841808	0.0720267	0.0868329	0.123165	0.0215657	0.074123	0.000776375	0.0843151	0.464962	0.210502	0.0243858	0.0658765	0.0590006	0.407849	0.0408723	0.00720443	0.0684694	0.000165758	0.0189601	0.304317	3.67656	3	2.516715
10000	-325.9293	-381.1004	55.1711	10	0.3862602	0.00841055	0.0954865	0.170856	0.0111034	0.0382367	0.0344884	0.159302	0.0167835	0.0434114	0.090551	0.0652585	0.0652198	0.00244931	0.0777012	0.327571	0.116395	0.177738	0.0772311	0.213699	0.0476091	0.296207	0.0332039	0.00121734	0.230118	0.0619567	0.0147831	0.17142	0.715974	3.09782	5	2.462204
11000	-329.9419	-374.1792	44.23726	10	0.8617907	0.0327348	0.0716785	0.0568101	0.0444215	0.0508845	0.0412878	0.247195	0.00100099	0.062329	0.117292	0.445169	0.00666119	0.035192	0.142853	0.0587616	0.147981	0.0808779	0.119544	0.264531	0.159754	0.000693317	0.0681313	0.303568	0.0891241	0.195566	0.108623	0.430871	0.972708	2.4878	5	2.844041
12000	-321.9367	-378.5921	56.65542	10	0.2289382	0.0213024	0.0674675	0.106941	0.0306965	0.00148669	0.0458564	0.101372	0.0326196	0.0628123	0.0953484	0.196401	0.0405664	0.0581065	0.100001	0.196015	0.201422	0.0628823	0.436354	0.0247615	0.152242	0.0927	0.0113015	0.140353	0.207087	0.139279	0.00127103	0.0519594	0.454917	3.49185	5	2.625374
