Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1357.018	-1381.085	24.06717	10	1.182326	0.0365594	0.0255434	0.0519018	0.0295454	0.146172	0.0824291	0.0603887	0.00495571	0.0824239	0.0526338	0.482613	0.0162962	0.45471	0.0599225	0.05752	0.0583187	0.244052	0.0845994	0.00365244	0.00912537	0.0883764	0.138145	0.146239	0.122426	0.121105	0.216303	0.571401	0.0322113	0.0528313	0.0152044	0.39986	0.260448	0.216909	0.220608	0.116333	0.231482	0.0355239	0.120651	0.0372549	0.260124	0.0432595	0.176925	0.0977865	0.321618	0.0423486	0.0885311	0.0022633	0.0128518	0.0983573	0.00567595	0.199659	0.032323	0.0789463	0.00261483	0.243317	0.0101975	0.0199094	0.171835	0.525444	1.02468	2.27804	5	6.923384
1000	-748.8487	-786.2107	37.36201	10	1.255721	0.162901	0.0576766	0.0357072	0.216814	0.161453	0.0104374	0.0291591	0.0268972	0.0643058	0.106626	0.20233	0.134653	0.0536624	0.00881519	0.00471105	0.0679363	0.0196808	0.0352102	0.0408639	0.0440897	0.0178308	0.00109189	0.0444309	0.0736033	0.0974553	0.00525381	0.111184	0.0294707	0.0897997	0.263139	0.141083	0.0310305	0.0422036	0.164955	0.0096459	0.0643685	0.0843643	0.031795	0.134377	0.0346769	0.0289812	0.600109	0.00295953	0.113653	0.00706825	0.271665	0.0100853	0.0797451	0.0291285	0.166392	0.14826	0.0296467	0.141559	0.0719128	0.196905	0.275615	0.0907925	0.185006	0.542109	1.03215	2.24073	5	5.220169
2000	-775.8498	-799.0491	23.19931	2	0.5999016	0.10155	0.0163242	0.0735109	0.0652554	0.0356461	0.0419245	0.0249326	0.0210519	0.0773128	0.046787	0.0358024	0.302319	0.0338907	0.00275014	0.0258828	0.00608906	0.0331402	0.0356506	0.057236	0.0791897	0.0461423	0.0340808	0.060061	0.196252	0.0232924	0.122176	0.157523	0.0296386	0.035943	0.0220369	0.0111053	0.0536429	0.345973	0.0272037	0.0169508	0.0151545	0.0116941	0.00264523	0.135027	0.0671439	0.266777	0.615572	0.0632809	0.107512	0.222203	0.167753	0.0700839	0.0443089	0.162654	0.0778525	0.00618849	0.109528	8.00158e-05	0.280488	0.0238763	0.0755942	0.170813	0.0530878	0.312217	0.881269	2.75343	4	4.994498
3000	-740.9195	-789.8322	48.9127	10	0.5620855	0.076696	0.0896489	0.0103697	0.0162309	0.0156069	0.00424065	0.0518501	0.0285661	0.221275	0.0588674	0.314612	0.0371013	0.156804	0.00238772	0.00455704	0.00630372	0.0640145	0.0128871	0.0113223	0.0059528	0.0259631	0.0427814	0.0704777	0.0705451	0.164575	0.0232893	0.0364563	0.047356	0.0127173	0.0680202	0.0185316	0.022208	0.0458023	0.536484	0.128559	0.171608	0.141497	0.0387798	0.0613719	0.064701	0.0830872	0.166374	0.0311263	0.0349468	0.165357	0.00120758	0.146154	0.287626	0.0737179	0.0472607	0.0108005	0.0952451	0.142959	0.0508751	0.165247	0.221698	0.0315182	0.0453948	0.290528	0.860671	2.80341	5	4.736217
4000	-738.5011	-785.7762	47.27514	10	1.102772	0.167022	0.0189427	0.0015229	0.0717654	0.0563167	0.0290069	0.0743041	0.0011176	0.0674755	0.0129829	0.166795	0.0615457	0.08216	0.00236537	0.0338978	2.09993e-05	0.034375	0.0047313	0.00252002	0.0071578	0.00926668	0.196407	0.0539332	0.166899	0.053449	0.00783335	0.0373	0.0244644	0.0235227	0.162456	0.00208977	0.0231189	0.0750969	0.135277	0.0811558	0.11023	0.0987318	0.192805	0.0531096	0.0570538	0.00369601	0.0869935	0.32425	0.0400209	0.113423	0.00946401	0.240031	0.0279272	0.0429707	0.0591869	0.103779	0.322019	0.134772	0.0909807	0.11503	0.131469	0.0414377	0.156991	0.505603	1.01514	2.32226	5	4.347677
5000	-752.4146	-794.735	42.32038	10	0.9879089	0.112732	0.0907236	0.000634192	0.0268828	0.11025	0.00352537	0.0861643	0.00647876	0.237677	0.00599998	0.584004	0.361344	0.0571482	0.0126126	0.016843	0.0202809	0.0709844	0.0138589	0.00606563	0.067178	0.0122185	0.0167355	0.0269433	0.054377	0.201878	0.00577571	0.0524837	0.132258	0.0396382	0.140304	0.29409	0.0153405	0.0809445	0.0297562	0.198642	0.110777	0.0637628	0.211865	0.00603166	0.12646	0.12998	0.0814408	0.013231	0.0573732	0.631455	0.113234	0.00183069	0.0422626	0.115028	0.022643	0.0848953	0.0510031	0.0908053	0.0496487	0.0624053	0.103197	0.0224895	0.134535	0.473087	0.997967	2.39441	5	5.384592
6000	-751.5021	-792.7298	41.22768	10	0.5343858	0.0986057	0.0644503	0.0154296	0.030546	0.0197348	0.0578364	0.0219042	0.0166918	0.125794	0.0734709	0.377673	0.0530375	0.0976098	0.0117802	0.0218929	0.0168172	0.0447297	0.00787305	0.0134926	0.0200967	0.0108968	0.044203	0.021605	0.0820096	0.0249217	0.219042	0.192057	0.104566	0.11702	0.0692827	0.0350696	0.101013	6.32835e-05	0.204018	0.252587	0.0983042	0.125386	0.033197	0.188583	0.210398	0.0123293	0.173874	0.180744	0.136706	0.31939	0.317172	0.260032	0.0429602	0.0550101	0.0660686	0.073851	0.110074	0.0491564	0.20202	0.24577	0.00538165	0.0306783	0.0399245	0.273772	0.843761	2.84254	5	5.604907
7000	-770.0637	-795.1146	25.05082	2	1.710516	0.121931	0.0803679	0.0444598	0.0426156	0.00636981	0.101622	0.0312324	0.00789252	0.155869	0.0797772	0.230664	0.0892341	0.0242365	0.000646372	0.00307686	0.0234987	0.0715257	0.0397445	0.0343534	0.0229514	0.0110051	0.0379346	0.0532117	0.0972941	0.0850376	0.123739	0.042175	0.035901	0.103846	0.213495	0.0862346	0.0444704	0.154613	0.0346713	0.214427	0.0205927	0.11606	0.0715891	0.0263604	0.066688	0.0108688	0.0101374	0.206115	0.129377	0.266977	0.101811	0.345031	0.0239605	0.09947	0.10025	0.0363721	0.0658153	0.061864	0.246419	0.235124	0.212289	0.0207974	0.256089	0.620219	1.06072	2.06298	4	5.024092
8000	-757.1889	-785.4553	28.26638	10	1.203505	0.315807	0.00199382	0.0163745	0.0318344	0.018025	0.0138447	0.119198	0.0652215	0.0223308	0.0223189	0.21803	0.165243	0.0150798	0.000317995	0.00367329	0.031249	0.00611905	0.0134129	0.124713	0.0492426	0.0434268	0.143379	0.0146222	0.064573	0.0926171	0.0835846	0.0355985	0.0508616	0.0914399	0.103869	0.0313217	0.274809	0.0836425	0.184788	0.189851	0.0649057	0.201449	0.0979775	0.396358	0.113574	0.0349114	0.108499	0.0833758	0.0600394	0.0359905	0.229885	0.171768	0.07364	0.0570256	0.0835331	0.212459	0.636877	0.141299	0.110226	0.0576021	0.248094	0.0407877	0.175688	0.530405	1.02696	2.26695	5	6.002691
9000	-759.8933	-788.4183	28.52498	10	0.466757	0.0876302	0.0778013	0.0510137	0.0877711	0.0339475	0.0184699	0.0421315	0.00131919	0.15377	0.0572171	0.279744	0.404319	0.163702	0.0329971	0.00488793	0.0122966	0.0948121	0.0300543	0.010405	0.0164708	0.0262173	0.0915836	0.123736	0.0477171	0.0537765	0.0424203	0.0692357	0.0496613	0.107522	0.464567	0.022656	0.0607612	0.235372	0.0850154	0.0510489	0.0115414	0.0977154	0.0221246	0.188111	0.0315009	0.0848161	0.0248733	0.00835765	0.00446764	0.0600323	0.0824003	0.0511278	0.0233141	0.121746	0.0102444	0.0328241	0.200075	0.260198	0.399831	0.0133275	0.81513	0.143604	0.0274044	0.229661	0.794487	2.94845	5	5.879413
