Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-3217.992	-3295.411	77.41895	10	1.074248	0.278401	0.045937	0.00207999	0.0347	0.0437808	0.0611196	0.118912	0.0281313	0.126014	0.236009	0.030717	0.0344049	0.132092	0.135369	0.00287049	0.0986128	0.372395	0.0875864	0.000996279	0.00673228	0.0567527	0.0885983	0.0662465	0.199634	0.11674	0.0465915	0.146061	0.228996	0.0356393	0.0320187	0.0885231	0.117839	0.216434	0.108021	0.0126162	0.130132	0.0390886	0.357699	0.152546	0.0272279	0.10848	0.339548	0.00766175	0.148797	0.074747	0.00566768	0.00830783	0.024763	0.0902052	0.0447393	0.0298434	0.092279	0.042083	0.0175888	0.0577285	0.040331	0.122654	0.184297	0.193583	0.151526	0.497985	1.01129	2.3392	5	5.77757
1000	-1566.294	-1644.209	77.91489	10	1.244188	0.160062	0.0181852	0.0102044	0.0166842	0.00972681	0.060755	0.00432218	0.18846	0.0535017	0.0644645	0.0740245	0.0723006	0.151418	0.0234835	0.0243395	0.0674822	0.0225962	0.125049	0.0689721	0.0309529	0.00200538	0.00541746	0.0243751	0.0229225	0.0379383	0.0419465	0.00105797	0.00348622	0.00929717	0.0235579	0.102705	0.203271	0.324054	0.637858	0.0613485	0.609806	0.00632626	0.0807755	0.0359507	0.099008	0.0918171	0.0303119	0.0844005	0.130091	0.0562064	0.13533	0.00326893	0.10056	0.214129	0.0366446	0.0565753	0.169604	0.0705478	0.0130269	0.0108488	0.0160107	0.163489	0.0436821	0.0143422	0.182969	0.539586	1.03105	2.24639	5	5.02098
2000	-1550.131	-1636.003	85.87272	10	1.469661	0.0545224	0.0733109	0.029453	0.0237719	0.0611826	0.0319513	0.0101839	0.057266	0.0141888	0.0960327	0.062529	0.0507093	0.14491	0.0404041	0.0352541	0.044131	0.0568735	0.0209537	0.00733926	0.0412012	0.046903	0.0514284	0.0167131	0.00353134	0.0345989	0.0454201	0.00797751	0.0109033	0.106606	0.0462901	0.0646967	0.0779795	0.30545	0.703697	0.0182386	0.179684	0.139118	0.133789	0.0284709	0.0555765	0.0296251	0.000456407	0.190146	0.102747	0.0580716	0.0296873	0.0860186	0.154616	0.102285	0.123846	0.0100632	0.0904057	0.0893132	0.00183967	0.0976913	0.002867	0.0400743	0.0434456	0.0900436	0.220597	0.583427	1.04859	2.14739	5	4.376482
3000	-1553.306	-1635.835	82.52911	10	1.153207	0.119311	0.0489331	0.0155442	0.0514812	0.00922681	0.0225683	0.00687702	0.0470434	0.000763512	0.148568	0.0434864	0.0920921	0.0869678	0.0208058	0.0684717	0.0625438	0.0378269	0.0158398	0.0396463	0.00110147	0.154341	6.01336e-06	0.0273487	0.0177375	0.0267327	0.0374882	0.0183527	0.0020122	0.0362878	0.0497	0.0604076	0.134875	0.266455	0.980492	0.202438	0.32954	0.0833805	0.154588	0.00361849	0.049449	0.0299001	0.0972401	0.0204284	0.109722	0.0665276	0.0403424	0.0568977	0.169463	0.199792	0.0651461	0.0641587	0.0680879	0.0672632	0.0257972	0.0834732	0.0245252	0.0361514	0.0569294	0.142488	0.166471	0.51841	1.02138	2.29374	5	4.998683
4000	-1569.702	-1645.186	75.48382	10	1.309942	0.111396	0.0467208	0.00424501	0.0559938	0.0371609	0.0768717	0.0281448	0.0409298	0.0285004	0.0497121	0.0265688	0.0873497	0.00820227	0.0204828	0.0354539	0.0707083	0.0914322	0.0519519	0.105698	0.0859846	0.046959	0.00425164	0.0558638	0.0112829	0.00929107	0.0147171	0.0179931	0.01487	0.0890423	0.0513783	0.0736578	0.166296	0.109109	0.735271	0.219497	0.517923	0.00797251	0.129152	0.144593	0.313363	0.0426503	0.0783386	0.0776807	0.0770779	0.0912372	0.0383666	0.103201	0.143445	0.0572141	0.1414	0.0104044	0.00260821	0.0583999	0.0353554	0.0680173	0.0131624	0.0468841	0.00457516	0.128337	0.194414	0.553528	1.03699	2.21506	5	5.014345
5000	-1567.279	-1652.545	85.26669	10	1.267599	0.0851777	0.0465857	0.0723944	0.0385986	0.0157515	0.0201102	0.0252576	0.039828	0.0111411	0.042041	0.0501505	0.135645	0.0755345	0.0237858	0.00414788	0.0734237	0.0928458	0.0356797	0.10041	0.0273401	0.0720934	0.0814799	0.0938978	0.0167244	0.038312	0.0159156	0.0417124	0.0118881	0.121034	0.102253	0.0202769	0.145394	0.029603	0.560175	0.0496235	0.239443	0.182661	0.0753872	0.190748	0.390534	0.0738319	0.0269402	0.0483936	0.0803837	0.0410975	0.0431178	0.0744256	0.0537534	0.0332771	0.00953844	0.0958787	0.141028	0.114476	0.0184418	0.0497824	0.00717462	0.0818721	0.0149234	0.157047	0.18709	0.544672	1.03326	2.23498	5	4.660389
6000	-1571.193	-1645.972	74.77875	10	2.086576	0.103454	0.0368855	0.0488531	0.0470573	0.0404594	0.0435237	0.0118058	0.0991299	0.0416275	0.15091	0.0212855	0.0442461	0.175004	0.0599145	0.124753	0.107754	0.144142	0.0635477	0.0385576	0.0672107	0.025108	0.0830309	0.024594	0.0165451	0.0493816	0.00642923	0.00259784	0.00850553	0.0299063	0.0540162	0.163094	0.0682661	0.0157703	0.765642	0.207041	0.292888	0.0391226	0.0763309	0.132063	0.329722	0.0606086	0.0267732	0.136014	0.151738	0.0024891	0.0667197	0.0200431	0.0602392	0.0562616	0.047306	0.0783448	0.405663	0.0976739	0.023571	0.0754199	0.0115297	0.130127	0.0152239	0.0552379	0.303395	0.663915	1.07201	1.96068	5	5.381159
7000	-1553.775	-1633.04	79.26442	10	2.025218	0.140286	0.015761	0.0373548	0.0303564	0.0861775	0.0220498	0.0282466	0.0921159	0.0128103	0.0649224	0.0283037	0.0816149	0.103955	0.0161469	0.0734785	0.0680017	0.0700845	0.0660523	0.0634616	0.00268564	0.0184921	0.00930692	0.0830448	0.0161619	0.0149913	0.0266783	0.0187433	0.0463597	0.227547	0.0822765	0.0958106	0.093302	0.192555	0.887299	0.13162	0.386586	0.159316	0.0801278	0.158936	0.0708833	0.0424775	0.052554	0.14167	0.0416705	0.0810876	0.0359693	0.0468111	0.138086	0.0403306	0.0173962	0.0699041	0.198409	0.0506448	0.00848995	0.0509226	0.00277368	0.095055	0.0711992	0.00971463	0.296267	0.657669	1.07061	1.97546	5	5.09907
8000	-1565.014	-1647.015	82.00099	10	2.230802	0.141046	0.0248929	0.0170104	0.0250027	0.0343009	0.0220295	0.0828222	0.10641	0.0163028	0.0820867	0.0738385	0.157567	0.100949	0.00535529	0.0267507	0.135341	0.0713032	0.029484	0.0571343	0.0168957	0.000879234	0.0285928	0.0487232	0.0189285	0.0126674	0.0730998	0.0196197	0.00937669	0.0416039	0.0611699	0.038549	0.088923	0.0870054	0.540039	0.0924682	0.379958	0.109783	0.162324	0.175977	0.144231	0.0113558	0.0563097	0.145835	0.108347	0.0661264	0.0352454	0.00788263	0.152143	0.0276583	0.106604	0.014615	0.186167	0.0937784	0.026648	0.13307	0.00778986	0.141656	0.204606	0.0678455	0.319352	0.677508	1.07482	1.92832	5	4.954123
9000	-1553.403	-1634.497	81.09431	10	1.126237	0.0819575	0.0083919	0.0248126	0.0614829	0.0243556	0.0294278	0.0374612	0.0671816	0.00372432	0.0734014	0.0560582	0.0435814	0.117225	0.00374128	0.0914055	0.0440369	0.0842582	0.0899075	4.32692e-05	0.0429222	0.0451053	0.0647085	0.0126342	0.0103689	0.0471611	0.0181547	0.00668608	0.00411686	0.0861786	0.0212078	0.0633302	0.23287	0.139261	0.633435	0.0474397	0.360946	0.0454197	0.0637852	0.124844	0.0499036	0.0364995	0.00057826	0.03687	0.352371	0.104459	0.0138357	0.00811224	0.0525995	0.0829997	0.0331601	0.0392959	0.302713	0.111208	0.023195	0.114755	0.0406042	0.233326	0.0433476	0.125362	0.161431	0.511664	1.01813	2.30878	5	4.818225
