Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1261.645	-1283.437	21.79264	10	0.4336045	0.0552079	0.0375963	0.0482424	0.0311947	0.301267	0.0703976	0.607753	0.304933	0.0896938	0.133354	0.272186	0.0832488	0.0330514	0.00716709	0.0259097	0.0273577	0.139174	0.162296	0.0427987	0.088522	0.394617	0.0355743	0.0113887	0.345262	0.126046	0.446925	0.00857586	0.23712	0.193136	0.0067416	0.237877	0.00453435	0.22121	0.034763	0.04957	0.0649204	0.207053	0.00397338	0.0448288	0.312275	0.0912116	0.0332609	0.205242	0.195691	0.0712087	5.10929e-05	0.0249729	0.0257734	0.25856	0.0580455	0.222238	0.1547	0.0326429	0.261163	0.0705594	0.114694	0.0510783	0.0218458	0.206383	0.765227	3.00654	5	7.418836
1000	-744.0483	-787.245	43.19664	10	1.566793	0.150348	0.00407171	0.00441032	0.0212178	0.113233	0.109541	0.0616502	0.0095253	0.0500845	0.00234594	0.243365	0.0433311	0.0614906	0.00135917	0.00869683	0.0444454	0.0312488	0.0223436	0.0177486	0.0992158	0.0656209	0.0965294	0.077601	0.12674	0.0195452	0.12457	0.0289252	0.0538936	0.033092	0.0187203	0.0653824	0.0697437	0.0334822	0.205855	0.0273874	0.0599692	0.140635	0.0336023	0.253761	0.107856	0.183418	0.247388	0.0165213	0.0667307	0.292589	0.107312	0.215354	0.428871	0.0721809	0.0203145	0.0604402	0.0654533	0.00137163	0.238832	0.218032	0.0471417	0.00847556	0.235459	0.599309	1.05411	2.11112	5	5.03301
2000	-741.3256	-779.3493	38.02378	10	2.425337	0.190021	0.164837	0.0416114	0.0630989	0.0318797	0.0544678	0.0842561	0.003487	0.116991	0.0897423	0.237322	0.15669	0.0524988	0.00165488	0.00193093	0.0151085	0.0327851	0.010263	0.0371232	0.0373858	0.0275862	0.0645226	0.0852084	0.0948813	0.0402179	0.0717514	0.0582549	0.0516785	0.230482	0.136808	0.384196	0.0276482	0.186754	0.010194	0.146387	0.028972	0.135374	0.0209848	0.00594264	0.186555	0.00290817	0.136723	0.0867218	0.0480506	0.0896866	0.232757	0.237636	0.0479407	0.181841	0.118623	0.0425424	0.0193674	0.0114094	0.174002	0.173165	0.165067	0.234843	0.339262	0.693762	1.07773	1.88925	5	5.420837
3000	-748.5669	-782.0853	33.51843	10	0.9553223	0.213359	0.0126973	0.0303839	0.0917605	0.0311159	0.13905	0.0793451	0.00788201	0.0675883	0.0991087	0.328542	0.0264549	0.17772	0.0105254	0.0108057	0.00884843	0.0348445	0.0392388	0.067466	0.0305719	0.0194636	0.0737244	0.0520609	0.0403483	0.00248999	0.0154442	0.0809709	0.0531113	0.0583901	0.334445	0.360357	0.198702	0.0386349	0.00459546	0.00104079	0.168012	0.42559	0.0165395	0.298857	0.106553	0.0438006	0.0361361	0.405153	0.222801	0.0327535	0.102049	0.163311	0.239483	0.0137602	0.0277285	0.176455	0.0307275	0.0720854	0.0472734	0.0858542	0.180804	0.0521531	0.127955	0.462898	0.992184	2.41696	5	5.788967
4000	-737.5344	-781.3263	43.79187	10	1.015934	0.0895076	0.104676	0.0028572	0.0339742	0.00178236	0.0361555	0.0739063	0.00892258	0.0731119	0.0349518	0.126373	0.233834	0.115198	0.000348214	0.00986976	0.00339427	0.0890758	0.0563636	0.0221142	0.0566432	0.0176213	0.034665	0.0544455	0.017267	0.059927	0.01777	0.0967538	0.040006	0.136802	0.156604	0.0396725	0.00434096	0.0954197	0.115215	0.227952	0.417223	0.178877	0.101315	0.0160945	0.0424097	0.0498038	0.0218472	0.139159	0.155503	0.0101733	0.127481	0.0152833	0.429106	0.120286	0.307703	0.0890733	0.076229	0.156987	0.0763052	0.0079473	0.18526	0.0226206	0.140122	0.481489	1.00259	2.3758	5	5.03421
5000	-771.2051	-789.0461	17.84102	2	1.325059	0.208251	0.0839605	0.0589295	0.0187175	0.0809506	0.0865068	0.0923439	0.0403171	0.14332	0.156057	0.2194	0.259524	0.0392616	0.002574	0.00932111	0.0043001	0.0914788	0.0189739	0.0777158	0.0204462	0.0424595	0.0070684	0.0906526	0.113048	0.0844567	0.143062	0.00997079	0.019155	0.0542065	0.197469	0.0359019	0.162721	0.551605	0.00196936	0.0514053	0.0442476	0.167644	0.0264277	0.327635	0.0238665	0.0430819	0.0142412	0.0536436	0.163736	0.00648603	0.162661	0.206397	0.179358	0.228093	0.069872	0.0140808	0.285213	0.123739	0.133635	0.278948	0.00169316	0.105377	0.19699	0.556587	1.03825	2.20817	4	5.93758
6000	-753.4485	-791.5223	38.07378	10	0.6736148	0.187468	0.0488044	0.0222753	0.0389091	0.0188756	0.111888	0.132468	0.0126839	0.0873429	0.0755889	0.284926	0.0124411	0.206709	0.0178687	0.00311866	0.0250738	0.0205593	0.036241	0.0640506	0.0606796	0.0683842	0.0348987	0.0349396	0.303111	0.0200497	0.0398305	0.046824	0.0411838	0.076847	0.105025	0.121788	0.183199	0.00221215	0.065707	0.291647	0.064633	0.00146913	0.0221819	0.0560901	0.0220592	0.0759243	0.0148257	0.224967	0.274017	0.184045	0.0385856	0.0480622	0.0655065	0.421976	0.0366297	0.0051449	0.0448909	0.137469	0.107322	0.0741071	0.347508	0.24035	0.0685637	0.35081	0.914684	2.66594	5	5.411383
7000	-775.097	-792.8749	17.77794	2	0.251229	0.138816	0.0708018	0.0291262	0.0384567	0.0307834	0.0303376	0.0628261	0.071798	0.0205575	0.062719	0.251733	0.029583	0.0447972	0.00227938	0.000590751	0.0968911	0.0852431	0.0118622	0.0861033	0.0468855	0.00212392	0.0746054	0.0946853	0.235314	0.161219	0.00287106	0.0682489	0.0421267	0.0479567	0.0537982	0.0811433	0.0892078	0.0207514	0.0797947	0.00571276	0.116038	0.00726454	0.00413295	0.270705	0.0857358	0.121352	0.0780554	0.0631281	0.162576	0.756494	0.186576	0.0816005	0.217613	0.0957739	0.27046	0.078249	0.175227	0.213193	0.00319538	0.00328562	0.287838	0.197185	0.00216953	0.0675789	0.50407	3.42618	4	5.747428
8000	-764.8481	-795.8885	31.04037	10	0.5939248	0.166233	0.0143745	0.00843769	0.0569951	0.0406253	0.0397899	0.0360961	0.0613887	0.0897858	0.00329236	0.266805	0.104508	0.0885812	0.00677251	0.0024462	0.0744048	0.0455261	0.0376259	0.0968356	0.00937763	0.0282784	0.105995	0.00858955	0.10322	0.448734	0.0111575	0.0329862	0.00991115	0.08312	0.134684	0.0144946	0.259171	0.0523079	0.140651	0.00179997	0.198664	0.644842	0.0345362	0.0486194	0.0653668	0.112011	0.294492	0.0252432	0.0727211	0.0215615	0.247212	0.0509744	0.0533509	0.235633	0.045894	0.105926	0.0321179	0.106385	0.0770061	0.0118838	0.29823	0.0661057	0.0518575	0.308878	0.878188	2.76108	5	5.533778
9000	-755.7978	-789.601	33.80323	10	0.2625564	0.0728145	0.121036	0.0256782	0.0259441	0.166051	0.0295232	0.0647091	0.000160051	0.0688931	0.0637258	0.300393	0.206472	0.0461921	0.0141033	0.00403816	0.00642899	0.00308272	0.0373305	0.0194881	0.0673414	0.00110817	0.0483436	0.03097	0.0251684	0.0299343	0.031282	0.0299189	0.0418973	0.0776128	0.00350238	0.0362146	0.10911	0.149825	0.0324214	0.0988319	0.111753	0.0322364	0.023472	0.403605	0.0327806	0.0631782	0.289707	0.0643424	0.188728	0.106594	0.0538383	0.0238221	0.150362	0.0210408	0.0611179	0.125759	0.148917	0.127316	0.306693	0.0614929	0.19445	0.0484675	0.00274933	0.0758961	0.527228	3.39413	5	4.729218
