Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1055.688	-1080.732	25.044	10	0.4390539	0.0405018	0.0489671	0.219707	0.2116	0.0760895	0.0160341	0.00390955	0.160436	0.100732	0.430831	0.0163959	0.317254	0.0925949	0.0182892	0.15399	0.0143012	0.0933852	0.00557896	0.100392	0.020651	0.186368	0.214213	0.0136293	0.00927774	0.284283	0.0908901	0.00578738	0.226929	0.0676656	0.0669942	0.00672541	0.033789	0.0412402	0.27557	0.094343	0.0455715	0.0741743	0.0112306	0.0334485	0.014895	0.108543	0.0265953	0.0289871	0.022728	0.210281	0.770305	2.99669	5	4.102792
1000	-576.1108	-601.3276	25.21686	10	0.8814914	0.0407757	0.0186864	0.0281629	0.0474304	0.177744	0.0187907	0.010967	0.0237287	0.00535587	0.00481968	0.0194889	0.0156908	0.0301107	0.0436222	0.0372228	0.0815227	0.19941	0.0739364	0.0953476	0.0415411	0.00614696	0.0173257	0.000785653	0.0136778	0.0315679	0.0184327	0.0763211	0.252053	0.234709	0.0895186	0.264965	0.0389421	0.00476853	0.175441	0.0433285	0.0341251	0.0192255	0.652457	0.309501	0.064425	0.0374755	0.261226	0.00192026	0.112745	0.437986	0.977208	2.47206	5	3.662693
2000	-574.2096	-600.094	25.88441	10	1.97013	0.0200524	0.0104921	0.0947955	0.0251655	0.0677894	0.00279029	0.0262244	0.000595766	0.00135031	0.0056347	0.0672828	0.00663128	0.0399094	0.119947	0.0859187	0.0927415	0.246385	0.120531	0.0448342	0.00137519	0.00150061	0.0143913	0.00623175	0.169809	0.0501742	0.0702932	0.0904947	0.0109219	0.0347938	0.156906	0.107676	0.0608453	0.225681	0.31378	0.162056	0.206301	0.186974	0.231936	0.149487	0.000559066	0.323434	0.0328934	0.287653	0.289683	0.651799	1.06922	1.98929	5	3.975239
3000	-569.0278	-592.4057	23.37786	10	3.002029	0.0219531	0.00837807	0.0954043	0.0198	0.0613193	0.0239722	0.00574879	0.0273624	0.0386589	0.0297046	0.0161325	0.00775823	0.0237408	0.0508762	0.0794301	0.0729027	0.179078	0.0252324	0.0381474	0.0256602	0.0407693	0.0147924	0.00760505	0.103326	0.0118425	0.00579185	0.128521	0.0401506	0.248431	0.0914724	0.0789802	0.339072	0.0708409	0.0858685	0.234638	0.311623	0.292669	0.0271445	0.0208733	0.210707	0.15768	0.243646	0.288699	0.389419	0.73164	1.08253	1.79641	5	3.906404
4000	-586.2472	-595.0945	8.847355	10	8.099042	0.0330056	0.00560557	0.015209	0.0590953	0.0609694	0.00989411	0.0113159	0.0324408	0.0114572	0.01023	0.117403	0.0206795	0.0368563	0.00988036	0.10389	0.102072	0.144763	0.0186073	0.0138461	0.133282	0.0155716	0.0500634	0.0144678	0.285372	0.426807	0.318155	0.184792	0.285143	0.0832524	0.0892027	0.0775107	0.00860331	0.00112783	0.148658	0.0177008	0.280614	0.0394047	0.16458	0.299421	0.0552184	0.0936718	0.307931	0.392099	0.595254	0.853594	1.07642	1.47473	5	4.589869
5000	-579.3597	-591.0171	11.65733	10	1.858614	0.0113167	0.0235094	0.00398329	0.0260783	0.0146787	0.027471	0.0768442	0.0378549	0.00801612	0.026345	0.0736258	0.004731	0.0243799	0.0213244	0.193956	0.108325	0.0874506	0.0951317	0.0822966	0.148015	0.000595312	0.069116	0.000710992	0.00763892	0.294484	0.316865	0.00980298	0.0186854	0.1845	0.0825497	0.308015	0.0942027	0.0446141	0.598788	0.549718	0.212027	0.0407424	0.176034	0.0156386	0.229555	0.355856	0.166168	0.112056	0.275793	0.639084	1.06601	2.01911	5	4.983697
6000	-574.6433	-590.2956	15.65223	10	0.9728261	0.0314948	0.0105323	0.0141512	0.000602721	0.165582	0.00733109	0.0138312	0.0152322	0.0366489	0.0528009	0.00122616	0.00861423	0.00820657	0.0656163	0.169117	0.0384598	0.103643	0.162895	0.13686	0.0130915	0.0148869	0.034774	0.0104495	0.0199362	0.436028	0.0811196	0.0907402	0.157485	0.0340608	0.0433794	0.697799	0.124596	0.0728585	0.400947	0.316826	0.00293797	0.137532	0.0594572	0.181616	0.19769	0.642864	0.0177933	0.00439489	0.131501	0.468429	0.995347	2.40472	5	4.83611
7000	-592.4588	-600.931	8.472181	2	6.448755	0.0409068	0.00246001	0.0211541	0.0498931	0.0153796	0.0243112	0.0029432	0.00896882	0.00625311	0.00314127	0.0792254	0.00735592	0.0331362	0.09022	0.277615	0.114151	0.176242	0.0108012	0.0368076	0.0979206	0.00137683	0.00459043	0.00339801	0.126576	0.243341	0.23533	0.012296	0.197809	0.28445	0.249231	0.120064	0.21183	0.0709331	0.456745	0.207009	0.066265	0.221036	0.00706721	0.0192458	0.124589	0.0839907	0.0506847	0.00302285	0.553006	0.832065	1.08024	1.53469	4	4.099767
8000	-578.9955	-600.149	21.15343	10	0.8169776	0.0268892	0.00487424	0.0319085	0.00637199	0.0423973	0.0168159	0.0245871	0.0792591	0.00767035	0.00993598	0.0020722	0.0043696	0.0357816	0.0887213	0.185847	0.0171677	0.230023	0.225201	0.0359274	0.0283776	0.0301653	0.0289355	0.00683331	0.0837337	0.300778	0.0154834	0.00575719	0.00439204	0.00874122	0.230051	0.129214	0.355697	0.489969	0.375052	0.063501	0.0378298	0.0508425	0.0124967	0.180675	0.0235615	0.0229414	0.497571	0.192542	0.099166	0.413881	0.96155	2.5254	5	4.250962
9000	-579.2874	-600.3167	21.02932	10	1.880842	0.013182	0.00112547	0.0236909	0.138056	0.0202552	0.0122435	0.00619764	0.00799118	0.0302304	0.0783188	0.044616	0.00102417	0.0260081	0.0617224	0.0355367	0.0649818	0.127602	0.299551	0.122918	0.0178253	0.00911875	0.0221381	0.0050587	0.0417925	0.053364	0.293458	0.091727	0.280154	0.0950545	0.240459	0.501499	0.375605	0.00406986	0.138494	0.0150245	0.000890666	0.508244	0.00522259	0.00128434	0.00782951	0.0740512	0.334602	0.095316	0.278623	0.641713	1.0667	2.01296	5	4.327534
