Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1144.72	-1159.667	14.94788	10	3.172551	0.159219	0.0462443	0.308723	0.0422283	0.0842478	0.0226011	0.0310389	0.112016	0.00981339	0.111423	0.0382883	0.0912121	0.0565191	0.295458	0.158385	0.0108937	0.161915	0.00245198	0.0268274	0.185675	0.259239	0.595538	0.0162533	0.0246554	0.00214454	0.0449102	0.223159	0.0979026	0.0562022	0.0347214	0.0430375	0.283766	0.0601998	0.0913364	0.0292951	0.00946006	0.17439	0.0352546	0.0739472	0.013798	0.165453	0.0853434	0.283873	0.370192	0.000810019	0.0407521	0.000567776	0.00132027	0.025132	0.0391851	0.106913	0.402185	0.740655	1.08324	1.77391	5	5.243931
1000	-705.9705	-727.8595	21.88899	10	1.052122	0.109394	0.0591754	0.0274735	0.122937	0.385082	0.106648	0.0171223	0.00590141	0.0800819	0.00901636	0.0163171	0.00990194	0.00910281	0.0412227	0.00611928	0.0058958	0.00372972	0.0466557	0.0535356	0.0742439	0.0901746	0.128809	0.0180406	0.00584274	0.184316	0.0155897	0.0153268	0.00891257	0.0636045	0.100746	0.107192	0.324642	0.0677717	0.0777334	0.0422767	0.0494464	0.034406	0.227604	0.546572	0.0137152	0.0291634	0.0497404	0.121032	0.448975	0.0590527	0.20662	0.0661975	0.263413	0.00496261	0.0792321	0.0517781	0.147235	0.491876	1.00813	2.35276	5	4.692446
2000	-710.5655	-728.2966	17.73115	10	3.675787	0.0869141	0.0118074	0.000299113	0.26236	0.222941	0.0916751	0.0473108	0.0275516	0.111004	0.0102961	0.0343479	0.0037443	0.0784137	0.124181	0.0147978	0.0196395	0.042681	0.0434339	0.00607388	0.107498	0.027418	0.141751	0.0763424	0.0538939	0.00113559	0.0435154	0.0614598	0.0405926	0.214383	0.139005	0.161684	0.101207	0.102419	0.0520515	0.0235498	0.174677	0.179065	0.158619	0.0874658	0.0720579	0.28293	0.0654762	0.588131	0.254676	0.0711534	0.0333417	0.121501	0.0580554	0.0510248	0.0165309	0.0243964	0.435613	0.763194	1.08429	1.7169	5	4.826479
3000	-728.9824	-735.6325	6.650054	2	5.894426	0.0322166	0.00413343	0.165133	0.216418	0.387355	0.0011738	0.0774522	0.106996	0.109924	0.0103676	0.116532	0.0148948	0.0101355	0.0739617	0.00742234	0.0657971	0.0015233	0.0369555	0.0947934	0.0142322	0.00174193	0.0430854	0.0693491	0.0354837	0.0911141	0.00405098	0.0787515	0.0164546	0.405031	0.0382259	0.105605	0.0221461	0.0112421	0.118935	0.156415	0.0539044	0.00796337	0.162093	0.144392	0.0295056	0.00899893	0.197297	0.405954	0.280573	0.0168778	0.0531616	0.0199595	0.10449	0.00894893	0.106343	0.239247	0.53546	0.822662	1.08149	1.56039	4	4.584758
4000	-709.3178	-722.0013	12.68352	10	2.59965	0.101458	0.0599468	0.0365674	0.265479	0.236924	0.150334	0.0662359	0.0905643	0.0461787	0.00668371	0.0079493	0.0589739	0.023311	0.0567178	0.00291548	0.0399423	0.00372888	0.0206249	0.0912147	0.0527641	0.269891	0.0628313	0.00558873	0.00429099	0.028727	0.0129185	0.128125	0.0292607	0.424169	0.244377	0.0967091	0.159811	0.0991624	0.0425142	0.145404	0.0585615	0.0226046	0.507062	0.0898977	0.238897	0.107305	0.000835549	0.0745876	0.102467	0.293772	0.020541	0.0368499	0.0669689	0.139408	0.245601	0.0480752	0.355705	0.706639	1.07967	1.85798	5	5.225727
5000	-702.3741	-732.7601	30.38606	10	0.8190822	0.142265	0.00788946	0.0294577	0.401417	0.0408488	0.131383	0.00234403	0.0329777	0.0549871	0.011554	0.0480011	0.00600115	0.00490063	0.0485294	0.015368	0.0502041	0.0365558	0.0129291	0.0256326	0.0103091	0.0281582	0.0171329	0.0241942	0.0310603	0.0117914	0.0433107	0.0946646	0.0941797	0.156905	0.410081	0.0280365	0.155895	0.0652599	0.0152914	0.0114135	0.109253	0.0912633	0.0288504	0.00658254	0.205528	0.121451	0.158862	0.212091	0.178666	0.00257114	0.0432924	0.108024	0.0174742	0.059077	0.213545	0.107645	0.0996123	0.414705	0.962105	2.52358	5	3.965105
6000	-705.3608	-724.5383	19.17749	10	1.093791	0.0377196	0.00370802	0.0407057	0.256938	0.0611001	0.00272978	0.0416674	0.00699061	0.10944	0.0326334	0.0827281	0.0290614	0.248035	0.065039	0.0434812	0.0204146	0.0485161	0.0122985	0.0976639	0.0128621	0.00440433	0.0768895	0.0622651	0.01759	0.0539203	0.0284731	0.0200555	0.120254	0.00323454	0.117972	0.145978	0.00791967	0.119091	0.0284424	0.0731046	0.12241	0.0127574	0.0041711	0.62801	0.309145	0.263633	0.116657	0.0232756	0.041395	0.0552762	0.318591	0.117159	0.0693437	0.0636611	0.0713939	0.242133	0.155279	0.503235	1.01395	2.32753	5	4.592338
7000	-710.1691	-727.5958	17.42667	10	1.760169	0.0258243	0.0345811	0.0695974	0.183084	0.0742505	0.138452	0.053184	0.0556041	0.0988456	0.0184656	0.089723	0.0444607	0.0111366	0.00159211	0.0295669	0.0514046	0.0222779	0.00894365	0.118159	0.0342549	0.231562	0.0931334	0.018847	0.00370703	0.0899025	0.0379504	0.0136692	0.0160712	0.103391	0.0136751	0.361343	0.197284	0.140052	0.519281	0.0236539	0.351788	0.126814	0.103552	0.0267171	0.173023	0.0204838	0.0509637	0.051653	0.10731	0.141353	0.190637	0.0314289	0.0176516	0.0672769	0.00593806	0.305875	0.262863	0.62682	1.06264	2.04768	5	4.799394
8000	-715.8478	-729.0528	13.20506	10	3.746179	0.0150916	0.0281757	0.0210897	0.282378	0.244102	0.146753	0.0172411	0.150373	0.065155	0.253104	0.00510218	0.0883806	0.087666	0.0324753	0.0152846	0.0237851	0.0454645	0.0104623	0.102455	0.00626696	0.0421502	0.0389087	0.00824887	0.0409449	0.0621069	0.0327735	0.175971	0.0386065	0.524658	0.0240947	0.0386546	0.136087	0.39398	0.0803113	0.00362207	0.112462	0.109582	0.00277197	0.0537372	0.0637129	0.0485166	0.189132	0.120638	0.0486159	0.142084	0.0402863	0.330433	0.134857	0.354475	0.016933	0.182556	0.439851	0.765948	1.08435	1.70985	5	5.232716
9000	-691.8258	-716.3094	24.48357	10	2.50812	0.0926914	0.00487243	0.00503965	0.223942	0.0466618	0.00384813	0.148042	0.0399685	0.0298256	0.11428	0.0111426	0.0329386	0.0187269	0.0102925	0.00280607	0.00552919	0.0230361	0.102615	0.0181367	0.0367263	0.0944824	0.0600093	0.0121076	0.0103129	0.12992	0.0158572	0.011814	0.106567	0.407134	0.00545546	0.337587	0.244809	0.0239878	0.279323	0.0668829	0.101686	0.140613	0.00535917	0.0903165	0.169305	0.0404241	0.0661718	0.124804	0.0826509	0.11152	0.0231056	0.294169	0.19486	0.14013	0.00684192	0.0121682	0.347225	0.700057	1.07872	1.874	5	4.381496
