Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-674.6601	-808.1831	133.523	10	0.1139741	0.173028	0.00521223	0.0265269	0.130453	0.119796	0.033056	0.0207226	0.0176586	0.189885	0.0659618	0.0449634	0.27321	0.195885	0.0301813	0.0824387	0.204228	0.022672	0.169774	0.0165976	0.0108037	0.00425509	0.158617	0.126432	0.0572582	0.0087743	0.0282969	0.208886	2.87493e-06	0.00251572	0.13311	3.86437	5	2.425573
1000	-433.6968	-559.5689	125.8721	10	0.554396	0.277069	0.00757214	0.0228771	0.0494495	0.122076	0.0941749	0.0437303	0.0764184	0.213623	0.807823	0.123912	0.039738	0.00226046	0.0364664	0.137869	0.573304	0.0246652	0.00204728	0.0689285	0.0887658	0.0181061	0.0308455	0.157949	0.0125478	0.0717939	0.0428325	0.0757266	0.0438604	0.285952	0.856142	2.81405	5	3.222573
2000	-427.0979	-564.2462	137.1484	10	0.4547291	0.296854	0.0443556	0.033388	0.0357791	0.0596334	0.0280065	0.0605403	0.0213166	0.111525	0.632684	0.0962643	0.0697618	0.0404747	0.00409558	0.0410121	0.078761	0.00457354	0.0794882	0.160866	0.0312893	0.504552	0.068545	0.018669	0.0671501	0.0540317	0.0114121	0.0843372	0.0253362	0.221338	0.784312	2.96901	5	2.739366
3000	-415.6601	-558.7553	143.0952	10	0.2579542	0.100492	0.0472434	0.0322912	0.0717881	0.160416	0.0348563	0.0183906	0.00433535	0.0884343	0.461131	0.166047	0.00284223	0.0316073	0.0320202	0.0695977	0.043189	0.0412806	0.156225	0.0262267	0.0779468	0.410955	0.0643385	0.0327605	0.16914	0.033645	0.00093098	0.0727281	0.00250338	0.0724914	0.517962	3.40704	5	2.450859
4000	-432.4988	-570.5628	138.064	10	0.2808464	0.1584	0.0139849	0.082435	0.044116	0.0832922	0.0749984	0.0177434	0.0129585	0.0469157	0.478853	0.166681	0.0485263	0.0212681	0.0102574	0.218155	0.0813703	0.0527532	0.0510279	0.273204	0.0047618	0.0366558	0.00325017	0.00901438	0.0184315	0.00647945	0.0860303	0.0173663	0.00387052	0.0897043	0.56219	3.34424	5	2.118929
5000	-426.4989	-564.3902	137.8914	10	0.2177862	0.162993	0.0254867	0.124733	0.0025883	0.164699	0.0730227	0.00146956	0.0108896	0.150702	0.54204	0.132367	0.0390164	0.00539399	0.081793	0.0559679	0.0257228	0.0159194	0.0399497	0.136565	0.0138084	0.0231218	0.0577906	0.239556	0.0204684	0.0680769	0.0320742	0.116193	0.000933459	0.044625	0.428468	3.52597	5	2.362409
6000	-421.8715	-561.4426	139.5711	10	0.2865626	0.0140566	0.027896	0.0255804	0.0655147	0.204977	0.1004	0.0165649	0.0621252	0.153251	0.430467	0.0734013	0.0443642	0.00587925	0.0318725	0.376645	0.0412401	0.0811476	0.106474	0.139834	0.353087	0.143713	0.0407608	0.00324922	0.132415	0.0179366	0.00577889	0.0232875	0.00426874	0.0940913	0.572531	3.32911	5	2.721918
7000	-424.7542	-562.2861	137.532	10	0.3366188	0.0305779	0.0444872	0.0301111	0.042075	0.0948522	0.103769	0.00137981	0.0299685	0.175645	0.658042	0.0433942	0.0285339	0.0102099	0.0142218	0.0859545	0.169329	0.0165676	0.0122863	0.0657444	0.0602641	0.0497843	0.00694063	0.10093	0.276674	0.0427075	0.161071	0.027197	0.00873017	0.133121	0.652473	3.20568	5	2.382718
8000	-429.9378	-561.3338	131.396	10	0.429769	0.0766332	0.0883246	0.0210988	0.0245524	0.215151	0.148884	0.0427377	0.038015	0.173802	1.14492	0.130368	0.0665967	0.0514585	0.00751188	0.169717	0.125521	0.0979695	0.0342525	0.00734143	0.151127	0.170885	0.106469	0.0181492	0.296311	0.0674389	0.0821051	0.000530705	0.0212328	0.203623	0.761584	3.01356	5	3.557874
9000	-444.1349	-554.8496	110.7147	10	0.7423623	0.507126	0.0225152	0.0932622	0.0216254	0.222145	0.139512	0.0380608	0.0332005	0.252675	1.06895	0.114667	0.019807	0.00685254	0.00330203	0.331025	0.0688538	0.0410464	0.111157	0.00626751	0.0471435	0.0156507	0.0470403	0.039037	0.359648	0.0985926	0.0797591	0.109295	0.0832502	0.382851	0.939609	2.59429	5	3.898218
