Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-58.43962	-84.10243	25.6628	10	1.099566	0.0570325	0.0737809	0.151813	0.303034	0.0271399	0.153044	0.0497859	0.128128	0.0289626	0.132988	0.0173144	0.138016	0.107112	0.451186	0.248938	0.213249	0.0813259	0.198773	0.08082	0.156381	0.504761	1.01472	2.32414	5	2.642442
1000	-7.710111	-39.88312	32.17301	10	1.017576	0.126566	0.0842467	0.019277	0.0229474	0.024392	0.0143671	0.0419591	0.00342819	0.107326	0.0219025	0.0428007	0.0340215	0.0532841	0.0533435	0.374637	0.0583519	0.224976	0.0722741	0.106794	0.140447	0.481972	1.00285	2.37473	5	1.486896
2000	-8.668463	-41.19784	32.52938	10	0.3151706	0.0875255	0.0369203	0.00732208	0.109096	0.0533436	0.00811914	0.012637	0.0211096	0.0877808	0.0529437	0.0113922	0.0826491	0.0141709	0.199645	0.120011	0.136009	0.141659	0.103527	0.181687	0.00660636	0.116337	0.620422	3.25664	5	1.467548
3000	-17.87318	-43.90453	26.03135	2	3.185437	0.00672889	0.0412315	0.00256135	0.0816985	0.000749016	0.0185912	0.0059535	0.0359332	0.0554763	0.100668	0.118416	0.00136217	0.121103	0.123765	0.162685	0.0623002	0.021064	0.0665005	0.0966021	0.403118	0.741304	1.08329	1.77229	4	1.123389
4000	-6.974446	-44.84818	37.87373	10	0.4239669	0.0391516	0.0571458	0.0130767	0.0499585	0.206958	0.0202026	0.0551483	0.149545	0.0218013	0.022083	0.054059	0.00494967	0.0969657	0.141017	0.0118781	0.189366	0.0138833	0.15568	0.0731151	0.0203184	0.199421	0.755965	3.02429	5	1.375985
5000	-21.78054	-42.82835	21.04782	2	0.1982643	0.16892	0.0033812	0.00394822	0.181521	0.122317	0.0481145	0.0130273	0.144201	0.00705619	0.0717449	0.394794	0.399455	0.00819016	0.120727	0.00164806	0.0246012	0.0149745	0.0894299	0.162947	0.000500039	0.0327802	0.379113	3.58761	4	1.980999
6000	-18.78745	-39.15567	20.36822	2	0.6693971	0.211006	0.0355884	0.00667521	0.118705	0.0124536	0.196982	0.0110012	0.0241461	0.0176565	0.0494387	0.00316105	0.0120516	0.304702	0.251299	0.0162082	0.380716	0.132954	0.11528	0.0436221	0.0676673	0.348726	0.912978	2.67063	4	1.943645
7000	-23.88587	-44.50669	20.62082	2	1.518196	0.142177	0.0709993	0.0478197	0.130778	0.0933005	0.0139451	0.0119005	0.0339507	0.0733087	0.0592845	0.014308	0.128005	0.0116939	0.0384665	0.0668258	0.100882	0.28508	0.183297	0.0402432	0.22812	0.591557	1.05147	2.12885	4	1.546266
8000	-22.82907	-40.8065	17.97742	2	2.185946	0.0806104	0.0192715	0.20903	0.0995082	0.102729	0.076535	0.0102377	0.0407315	0.0510627	0.0483515	0.0338809	0.109676	0.152752	0.229206	0.00551568	0.182097	0.103624	0.188398	0.106651	0.314505	0.673434	1.07402	1.93805	4	1.849869
9000	-10.77128	-40.68897	29.9177	10	1.100654	0.0628628	0.0683237	0.00638221	0.0836697	0.000966874	0.0595036	0.0279639	0.0138453	0.0839439	0.0331786	0.0136189	0.0915529	0.299738	0.0211919	0.483057	0.227647	0.134386	0.0888128	0.0180029	0.156588	0.505047	1.01486	2.3235	5	1.818648
