Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-396.3203	-421.937	25.61672	10	2.873556	0.0112782	0.434143	0.0914577	0.152298	0.0215334	0.0731295	0.199127	0.0429647	0.159821	0.0371462	0.130649	0.0549779	0.059536	0.0446106	0.0274055	0.214701	0.00657656	0.379237	0.724278	1.08182	1.81467	5	1.761355
1000	-261.9767	-293.0972	31.12045	10	0.5159851	0.13905	0.0227331	0.0671461	0.0491526	0.0524541	0.0807996	0.00337914	0.00361877	0.0648194	0.155286	0.548661	0.0880387	0.0192349	0.128229	0.312582	0.125249	0.196297	0.0363874	0.262223	0.83156	2.86983	5	2.05673
2000	-270.5071	-303.0724	32.56532	10	1.503427	0.0775681	0.00872972	0.0405805	0.0127193	0.0314348	0.193553	0.0176994	0.055246	0.217954	0.0203059	0.156251	0.210712	0.0185782	0.0214649	0.218026	0.0716144	0.0348617	0.225851	0.589126	1.05062	2.1344	5	1.4073
3000	-248.399	-290.6368	42.23781	10	0.2817917	0.0537939	0.0908957	0.0109866	0.0157383	0.0224536	0.0279561	0.0162489	0.00113409	0.0959883	0.0318167	0.148524	0.117643	0.0393871	0.0828334	0.0237152	0.130487	0.0167208	0.00393479	0.0904279	0.563918	3.34172	5	0.9263224
4000	-260.4446	-292.776	32.33137	10	0.2666723	0.14574	0.00694713	0.0629709	0.0439418	0.0521869	0.17891	0.0118771	0.0125843	0.0819601	0.0774051	0.270689	0.0737277	0.0371173	0.0265739	0.141994	0.0834219	0.33605	0.00298149	0.0789674	0.535352	3.3827	5	1.644098
5000	-272.2669	-295.4771	23.21015	10	2.154641	0.201824	0.0620285	0.0732153	0.193453	0.0984268	0.0165932	0.0173688	0.0285843	0.0830547	0.147075	0.0281806	0.0611629	0.404292	0.220234	0.347731	0.0973102	0.195466	0.311061	0.670511	1.07342	1.94501	5	2.276
6000	-267.3923	-295.5357	28.14342	2	0.3430833	0.0698171	0.00729463	0.00794057	0.0103477	0.0410658	0.039588	0.0360395	0.0164804	0.0554124	0.033809	0.0412094	0.116089	0.292476	0.131843	0.0529799	0.031135	0.0775959	0.00943076	0.138169	0.661546	3.19085	4	1.061124
7000	-257.7673	-291.1621	33.39487	10	0.545984	0.0982139	0.00655199	0.0357299	0.0353043	0.0347107	0.0874936	0.0306906	0.00596536	0.11941	0.0116803	0.129724	0.0106819	0.29777	0.230859	0.0815882	0.00701864	0.23981	0.0421953	0.280879	0.851045	2.82588	5	1.463202
8000	-256.2177	-292.4032	36.18552	10	0.5506791	0.160853	0.0259342	0.00209545	0.0113301	0.0439355	0.0604895	0.0318109	0.00605326	0.125904	0.00262952	0.11533	0.0581605	0.12976	0.254385	0.058055	0.116093	0.0359819	0.0431229	0.283719	0.853908	2.81925	5	1.2388
9000	-268.0742	-297.5015	29.42728	10	0.85353	0.178348	0.0349598	0.1237	0.0114976	0.075845	0.0154183	0.0632716	0.00288991	0.0959771	0.00361232	0.0809539	0.0729712	0.0419086	0.469806	0.172328	0.11506	0.382149	0.106888	0.427825	0.970751	2.49454	5	1.940697
