Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-102.304	-117.2298	14.92583	10	0.03742369	0.255136	0.114753	0.0207501	0.268494	0.0057807	0.12804	0.112379	0.0209738	0.0252841	0.0473263	0.0601463	0.0525814	0.0303635	0.0984454	0.318131	4.55852e-17	1.00853e-08	0.000767664	3.99923	5	1.558585
1000	-49.50064	-59.23338	9.732735	10	1.1285	0.0306792	0.0114897	0.0451003	0.0250394	0.0254303	0.0258963	0.00775679	0.0595695	0.0116805	0.00433022	0.0108546	0.098022	0.120873	0.883928	0.466552	0.161857	0.512239	1.01841	2.3075	5	1.827202
2000	-39.26435	-62.01091	22.74656	1000	6.271518	0.0276557	0.00633624	0.0334659	0.00500701	0.018782	0.00814218	0.00776559	0.567948	0.0546698	0.110043	0.0864646	0.193873	0.052722	0.0869607	0.101103	0.547618	0.829208	1.08064	1.54253	6	1.360939
3000	-45.13666	-60.91051	15.77385	2	0.4125305	0.0140839	0.0619592	0.000586739	0.0124082	0.0291176	0.0185057	0.00603689	0.0154489	0.0214286	0.0217739	0.512925	0.160168	0.0753392	0.0290761	0.0563235	0.0185629	0.191053	0.744492	3.04589	4	1.035182
4000	-52.73234	-66.32175	13.58941	10	1.874874	0.0323224	0.0839014	0.046169	0.106823	0.00135246	0.0794911	0.031943	0.00205236	0.0376544	0.227969	0.039461	0.153861	0.555982	0.0198326	0.214149	0.277867	0.641012	1.06652	2.0146	5	1.632965
5000	-43.82456	-59.51756	15.69301	10	2.996997	0.0323007	0.0033332	0.0194987	0.00344484	0.0753916	0.0180515	0.0208443	0.0372071	0.0305678	0.00332785	0.0224658	0.253721	0.11104	0.267423	0.246317	0.389029	0.731362	1.0825	1.79711	5	1.144934
6000	-44.55083	-61.04119	16.49036	1	0.7217988	0.00363473	0.00135378	0.00703785	0.00648212	0.0281325	0.000548712	0.0406187	0.0272702	0.00667819	0.35481	0.19853	0.0539066	0.0781812	0.0231698	0.116029	0.0788492	0.373636	0.932686	2.61483	3	0.9463834
7000	-50.08488	-66.02745	15.94258	2	2.295232	0.0627522	0.0271732	0.0673162	0.0446745	0.0219662	0.0673318	0.00539356	0.0161893	0.0304843	0.0316924	0.199374	0.227039	0.129294	0.0375457	0.0307002	0.326141	0.683136	1.07588	1.91484	4	0.9989267
8000	-49.02945	-63.59326	14.56381	1	1.885425	0.00282364	0.0368936	0.0107483	0.0664852	0.0408547	0.00945965	0.00486861	0.111107	0.027352	0.0194348	0.161856	0.2369	0.108744	0.179454	0.00569434	0.279203	0.642249	1.06684	2.01171	3	1.022675
9000	-51.94784	-69.52199	17.57415	10	0.8910921	0.0970846	0.0308323	0.0037825	0.0139968	0.0465066	0.0916151	0.00278889	0.0297694	0.121986	0.162789	0.226779	0.0535668	0.176079	0.000856365	0.225781	0.114745	0.441378	0.979318	2.46456	5	1.284213
10000	-56.74807	-67.51001	10.76194	2	0.3776913	0.00211313	0.0505031	0.0146101	0.00947939	0.0435868	0.0152666	0.0342164	0.0640011	0.0136176	0.261825	0.645196	0.0138273	0.180068	0.0519431	0.11871	0.013632	0.164905	0.705966	3.1155	4	1.518964
11000	-45.91135	-61.49252	15.58117	2	2.718975	0.0243185	0.0598576	0.0135971	0.0198659	0.0571596	0.0233987	0.0077402	0.0811583	0.00466798	0.132402	0.185768	0.106884	0.120384	0.0479594	0.0285704	0.366281	0.714677	1.08073	1.83832	4	0.9137321
12000	-36.30038	-65.13098	28.8306	1000	2.898532	0.0330683	0.0751768	0.00086614	0.0195862	0.0337198	0.0155755	0.00594782	0.0499016	0.0329453	0.150405	0.0429494	0.367493	0.177697	0.0659606	0.0472167	0.381257	0.725751	1.08197	1.81103	6	1.11851
