Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-49.11375	-72.65309	23.53934	10	2.338153	0.0139969	0.0369972	0.189077	0.0612984	0.126362	0.0995712	0.203937	0.0628284	0.000918282	0.127245	0.300291	0.12687	0.280876	0.0205711	0.067822	0.330555	0.686746	1.07653	1.90617	5	1.718662
1000	-44.90464	-61.68671	16.78206	10	0.4194883	0.174997	0.0410825	0.0130457	0.180744	0.250106	0.0502956	0.116418	0.145286	0.328638	0.402626	0.202776	0.0580844	0.503057	0.000257903	0.244366	0.0196234	0.196158	0.751536	3.03268	5	2.71178
2000	-35.53686	-62.43575	26.8989	10	0.05984977	0.0572443	0.259464	0.0122744	0.0290225	0.208673	0.0909327	0.148479	0.142865	0.0498151	0.0357506	0.0239213	0.317779	0.27302	0.00824894	0.0872559	4.84543e-11	1.03782e-05	0.0136497	3.98634	5	1.744747
3000	-39.49876	-62.74394	23.24517	2	0.1024682	0.0129599	0.00123812	0.208498	0.043242	0.175543	0.235164	0.0654187	0.0214119	0.0365362	0.062445	0.168357	0.126251	0.0247461	0.0146187	0.0201974	7.34962e-07	0.00127344	0.100447	3.89828	4	1.216627
4000	-37.8879	-63.97457	26.08667	10	0.07090588	0.0293035	0.0651851	0.0498223	0.00411057	0.0940923	0.369711	0.0116509	0.242053	0.183004	0.0242316	0.142262	0.0683094	0.0658987	0.255877	0.0160939	1.79095e-09	6.30371e-05	0.0288645	3.97107	5	1.621605
5000	-21.56822	-55.82617	34.25795	10	0.08946285	0.00634905	0.00709177	0.0116591	0.0873434	0.192269	0.00356617	0.0164559	0.0481281	0.0168212	0.135168	0.015999	0.00832298	0.170077	7.31558e-05	0.28941	1.03045e-07	0.000477395	0.066885	3.93264	5	1.008734
6000	-27.74494	-56.09333	28.34839	10	1.586296	0.0694825	0.0407372	0.0950679	0.0337426	0.263697	0.035835	0.0803326	0.0157219	0.0381653	0.176154	0.137949	0.183995	0.0587412	0.336593	0.269651	0.238351	0.602317	1.05511	2.10422	5	1.835865
7000	-30.29555	-59.84068	29.54514	10	2.283741	0.0179272	0.0421345	0.246385	0.0234907	0.119128	0.0506938	0.0966548	0.0140958	0.209532	0.168898	0.128858	0.186402	0.0252394	0.0597285	0.0343206	0.324945	0.682151	1.0757	1.9172	5	1.423489
8000	-20.4934	-55.88343	35.39003	10	0.1396346	0.00654869	0.00493319	0.095433	0.0174746	0.160878	0.0641212	0.143399	0.00723726	0.0460766	0.0445469	0.280144	0.26615	0.031252	0.0258994	0.0601928	2.67701e-05	0.00765398	0.210385	3.78193	5	1.254287
9000	-35.49156	-60.71506	25.2235	10	0.06333115	0.00411882	0.0197041	0.050678	0.16945	0.137036	0.113957	0.0970683	0.0249682	0.221662	0.462322	0.159041	0.260984	0.0486739	0.0728515	0.0184528	1.73007e-10	1.96048e-05	0.0177741	3.98221	5	1.860968
10000	-25.83474	-58.54328	32.70854	10	0.0483862	0.0406793	0.0380989	0.00316112	0.0328397	0.211741	0.0416336	0.0797064	0.0580625	0.128772	0.0649862	0.213664	0.198727	0.0776106	0.0230059	0.190641	2.00855e-13	6.68827e-07	0.00437472	3.99562	5	1.403329
11000	-33.22851	-61.05025	27.82174	10	0.2921581	0.0670256	0.0621121	0.0277268	0.0520546	0.157952	0.0538996	0.0585388	0.0272214	0.299633	0.0321882	0.112102	0.0729922	0.013427	0.103431	0.498185	0.00468079	0.0984101	0.582395	3.31451	5	1.63849
