Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-756.0558	-812.4803	56.42454	10	0.2447969	0.0148743	0.00532729	0.0552674	0.0364744	0.191563	0.471081	0.046119	0.0124042	0.0642103	0.0583809	0.0327706	0.0534937	0.228968	0.105973	0.0101501	0.0350197	0.106876	0.0232964	0.00108712	0.0129427	0.00646592	0.0831027	0.537516	0.0767484	0.0647653	0.102393	0.0109931	0.00187807	0.0629589	0.490384	3.44478	5	2.448264
1000	-408.7882	-484.8473	76.05904	10	1.538596	0.034504	0.00185863	0.010236	0.0310098	0.101357	0.00708588	0.0388518	0.00961356	0.0243372	0.027585	0.00203468	0.090403	0.0297384	0.0336082	0.021674	0.0420115	0.0552806	0.00294428	0.167826	0.085332	0.0228792	0.119452	0.123352	0.0329579	0.0584797	0.30967	0.0442811	0.231224	0.594857	1.05261	2.12131	5	1.528364
2000	-412.2595	-480.8432	68.58368	10	2.692644	0.0481189	0.0565327	0.0312029	0.0289333	0.0215823	0.00381266	0.0256248	0.000527151	0.0029298	0.0179432	0.0262149	0.110923	0.0106093	0.0120353	0.0184207	0.0203828	0.00652921	0.0404964	0.0324558	0.0564118	0.170714	0.361403	0.0866782	0.0195998	0.390409	0.440164	0.0877282	0.363992	0.712953	1.08051	1.84254	5	2.128383
3000	-401.6858	-474.0615	72.37573	10	3.225766	0.0253518	0.0366205	0.00204924	0.00311069	0.02071	0.00615756	0.0049586	0.0199513	0.00948814	0.0130414	0.0467702	0.0999202	0.00910684	0.0295628	0.0691742	0.17346	0.0410439	0.179439	0.026029	0.14243	0.0454197	0.151872	0.0016967	0.0521565	0.212947	0.385147	0.0503994	0.406007	0.743309	1.08342	1.76726	5	1.858015
4000	-412.0296	-482.546	70.51636	10	2.160359	0.0268036	0.0170171	0.117045	0.00885392	0.0140482	0.0314371	0.0159696	0.00195085	0.0478321	0.0477718	0.0279016	0.0760344	0.0148256	0.000812584	0.00900757	0.099737	0.00396136	0.0575469	0.220233	0.0683519	0.178045	0.00535264	0.031062	0.0504573	0.11376	0.896015	0.14258	0.311694	0.67105	1.07353	1.94373	5	2.324413
5000	-421.859	-488.7144	66.85536	10	3.255718	0.0451278	0.0344002	0.0477545	0.00227947	0.00781978	0.0174429	0.0386328	0.00419735	0.0209764	0.0530504	0.0745573	0.0911486	0.00257486	0.0210883	0.00868388	0.40394	0.0187415	0.00189602	0.230917	0.0785345	0.10563	0.0270361	0.122618	0.0357905	0.298405	0.39305	0.149234	0.408126	0.744771	1.08352	1.76359	5	2.335527
6000	-422.5914	-484.618	62.02663	10	4.537311	0.0677975	0.0964991	0.00821858	0.00208699	0.0234293	0.0160851	0.05414	0.0111765	0.0214981	0.034978	0.0565179	0.0643384	0.00529279	0.123417	0.319761	0.0597088	0.00280077	0.0968706	0.239356	0.115691	0.0932841	0.0413761	0.0926344	0.110466	0.538559	0.139883	0.0815203	0.481646	0.791955	1.084	1.6424	5	2.517385
7000	-421.2834	-484.5408	63.25741	10	1.722793	0.0138339	0.0849929	0.0172304	0.0195418	0.0408868	0.00624115	0.0292154	0.0225364	0.017652	0.041813	0.00344427	0.13461	0.00876134	0.0230837	0.264836	0.0646272	0.270608	0.195283	0.0180534	0.121947	0.0849447	0.103204	0.0163139	0.0883522	0.00706378	0.891207	0.0799019	0.25778	0.621878	1.06121	2.05913	5	2.670185
8000	-408.2232	-481.7567	73.53355	10	1.144342	0.041171	0.016688	0.0185823	0.0111556	0.000717664	0.00117862	0.0272587	0.0512864	0.00677302	0.0125157	0.00185969	0.0730727	0.0390415	0.0110544	0.0054214	0.101288	0.0540764	0.00488547	0.127893	0.0683284	0.0396533	0.0631708	0.017787	0.0444291	0.558127	0.328376	0.104939	0.164822	0.516218	1.02033	2.29863	5	1.83073
9000	-408.2489	-477.8851	69.63624	10	1.003225	0.0133712	0.0365421	0.0216971	0.00411503	0.0149416	0.00868325	0.013327	0.0320285	0.0145639	0.0201727	0.0137016	0.215008	0.00150293	0.00806867	0.0354018	0.0823141	0.0439867	0.00851015	0.011127	0.0444351	0.0559753	0.023475	0.224342	0.139708	0.188983	0.467309	0.0668885	0.137597	0.477719	1.00053	2.38415	5	1.81018
10000	-418.6432	-488.6908	70.04762	10	2.915838	0.0103378	0.17315	0.00784777	0.0165532	0.114188	0.00572849	0.0071303	0.0039435	0.00798345	0.0193399	0.00200652	0.0945404	0.0129661	0.00125549	0.145602	0.157345	0.0543363	0.135582	0.0618509	0.168382	0.00309029	0.0686617	0.0542275	0.0377389	0.170906	0.315633	0.0948941	0.382644	0.726759	1.08207	1.80853	5	1.94522
11000	-414.8979	-476.3295	61.43154	10	1.801309	0.0220898	0.101481	0.00880292	0.00744511	0.0371853	0.0150128	0.0124611	0.00618192	0.00203484	0.00797909	0.0141406	0.10324	0.00812323	0.0170718	0.135326	0.0883774	0.0418498	0.129335	0.00517803	0.134917	0.350059	0.0355984	0.0339755	0.0459038	0.0176933	0.549574	0.0535618	0.268345	0.632073	1.06412	2.03546	5	1.984597
12000	-422.4681	-480.1945	57.72645	10	1.234061	0.0126083	0.14762	0.0212609	0.00810219	0.0689335	0.0253395	0.00954235	0.0251134	0.0176091	0.0108983	0.0113622	0.0960425	0.00338623	0.0101499	0.142602	0.153515	0.0642789	0.329975	0.0985347	0.154703	0.14302	0.197513	0.0279652	0.0168731	0.227613	0.688162	0.0633939	0.181171	0.537342	1.03007	2.25142	5	2.776117
13000	-396.5976	-474.7937	78.19613	10	0.8668917	0.0121761	0.00207313	0.0204953	0.00239177	0.0260278	0.00274897	0.00954794	0.0117896	0.000485664	0.0302669	0.00687739	0.0944922	0.00166645	0.00960521	0.0698356	0.165009	0.0929833	0.288925	0.0451676	0.0784296	0.0751874	0.0383971	0.0464104	0.0558688	0.0408394	0.290061	0.144381	0.109693	0.432733	0.973896	2.48368	5	1.66214
14000	-411.1244	-484.1359	73.01147	10	2.474844	0.00506083	0.0428968	0.0190277	0.018854	0.00573739	0.00634325	0.00119662	0.0387684	0.00547052	0.0214678	0.0174847	0.0863852	0.00273359	0.0190727	0.0659178	0.0476492	0.024398	0.159072	0.0317515	0.171273	0.00776485	0.14072	0.240267	0.0925741	0.0775501	0.51631	0.0854216	0.344059	0.697567	1.07834	1.88004	5	1.951168
15000	-417.1373	-482.7605	65.62317	10	5.542353	0.0323934	0.0133353	0.0453213	0.00838265	0.0669855	0.00586412	0.0446833	0.0273243	0.0604157	0.0136029	0.0210789	0.16832	0.0139211	0.0559604	0.0187513	0.152307	0.0166942	0.0240361	0.254562	0.0663717	0.000338665	0.0617673	0.2056	0.138514	0.187387	0.361296	0.0118498	0.523155	0.815895	1.08225	1.5787	5	2.077063
16000	-409.0666	-479.0563	69.98974	10	1.056597	0.0263205	0.00456139	0.0221364	0.00150444	0.00895424	0.0216842	0.0096291	0.0259165	0.00631438	0.00228612	0.0183795	0.100132	0.00404764	0.0502889	0.0908749	0.0246018	0.0304644	0.26971	0.059131	0.00947553	0.0329465	0.126253	0.0751709	0.0648517	0.267073	0.426675	0.0765428	0.148106	0.493127	1.00878	2.34999	5	1.855926
17000	-429.7903	-495.2664	65.47617	10	1.796689	0.0138568	0.0081718	0.176255	0.0925503	0.026885	0.00297241	0.0421752	0.0131552	0.0324156	0.0555116	0.118599	0.0740061	0.00287507	0.00460482	0.00148973	0.127863	0.266676	0.202816	0.027827	0.00321625	0.00100568	0.0249493	0.0566497	0.172373	0.0421252	0.504203	0.182706	0.267735	0.631492	1.06396	2.03681	5	2.277935
18000	-412.6356	-475.9996	63.36397	10	1.880626	0.0283647	0.00468031	0.045122	0.000723561	0.0962154	0.00101617	0.0100561	0.0456011	0.0239069	0.00718163	0.0299495	0.186839	0.0108611	0.00305785	0.0771742	0.0929204	0.00267791	0.2889	0.214661	0.229057	0.0632979	0.0109074	0.139464	0.157381	0.0537324	0.386321	0.0823718	0.278596	0.641688	1.06669	2.01302	5	2.292441
19000	-425.7903	-478.9039	53.11363	10	3.803627	0.0874122	0.00682159	0.0496902	0.00451202	0.0895262	0.00490215	0.0443123	0.00307244	0.0129458	0.0137242	0.0178949	0.184172	3.61516e-05	0.0147324	0.0768736	0.013406	0.474988	0.46937	0.0446293	0.0252754	0.0782119	0.0402811	0.0454112	0.0653971	0.131256	0.375338	0.083442	0.443238	0.768132	1.08438	1.70425	5	2.457636
20000	-419.114	-483.3021	64.18811	10	2.464309	0.0236321	0.0557579	0.0311358	0.00875867	0.006637	0.0579883	0.0790169	0.0246637	0.0445553	0.0192783	0.017305	0.158251	0.00521348	0.00791393	0.0859446	0.0271791	0.51083	0.185559	0.0772222	0.0478906	0.0586172	0.0646193	0.0456977	0.0966898	0.0145554	0.225738	0.12984	0.343046	0.696768	1.07821	1.88197	5	2.11049
21000	-406.9497	-472.3474	65.39776	10	0.7441001	0.0283368	0.0553192	0.0259216	0.00609176	0.0177883	0.00230946	0.0102949	0.0231843	0.00602818	0.0106124	0.00370669	0.121059	0.00805072	0.0226637	0.0152527	0.0492506	0.30284	0.0406021	0.0667985	0.0405257	0.0829194	0.242417	0.0425861	0.0291762	0.0556424	0.793134	0.127595	0.0836221	0.383616	0.940175	2.59259	5	2.230107
22000	-422.1449	-482.6239	60.47905	10	3.871442	0.00255281	0.071617	0.0101457	0.0191539	0.0563497	0.00189546	0.0257686	0.043572	0.0326812	0.0369266	0.0686556	0.163429	0.0159567	0.0396346	0.00827998	0.108787	0.296738	0.00466971	0.0399747	0.0512845	0.170889	0.148787	0.135146	0.0657239	0.0377037	0.233581	0.125511	0.447157	0.770643	1.0844	1.6978	5	2.015413
23000	-415.1741	-481.9205	66.74645	10	2.482752	4.48082e-05	0.0359878	0.0211782	0.0125073	0.0213131	0.0496084	0.0423169	0.071568	8.24673e-05	0.0366129	0.025959	0.191195	0.00560161	0.00876461	0.00228734	0.147525	0.105076	0.0771648	0.103653	0.103028	0.0107268	0.217996	0.0824405	0.0256057	0.417775	0.315915	0.203142	0.344815	0.698164	1.07843	1.87859	5	2.335075
