Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-267.657	-286.0916	18.43458	2	0.09042203	0.0140194	0.125485	0.013854	0.0374233	0.0704024	0.22409	0.00859362	0.0314445	0.101446	0.00610918	0.0228897	0.00901725	0.11063	0.0474244	0.454832	0.110521	0.0514231	0.172017	0.247317	0.105021	0.0652585	0.0107224	0.148058	0.0163347	0.0535214	0.0266116	0.179785	0.0531941	0.0365225	0.0432296	0.0259471	0.0420561	0.0240754	0.144617	0.218878	0.265624	0.0434496	0.021435	0.0348537	0.159146	0.0340744	0.298336	0.167187	0.168041	0.02053	1.21436e-07	0.000518204	0.0691999	3.93028	4	4.265448
1000	-209.0755	-222.2335	13.15805	2	0.6048346	0.321142	0.062075	0.00655178	0.090666	0.0786208	0.0544999	0.0396441	0.27562	0.0507649	0.0881857	0.107472	0.0609305	0.0146449	0.436707	0.0423643	0.608061	0.0814706	0.0396259	0.0173401	0.101484	0.0351393	0.00823069	0.0115829	0.0233389	0.00852968	0.219108	0.106558	0.0090121	0.0693787	0.158328	0.10614	0.111859	0.0334894	0.236633	0.0960956	0.0088768	0.134301	0.0191169	0.43745	0.0744832	0.137682	0.168215	0.0101933	0.0108452	0.158278	0.0541067	0.314949	0.883766	2.74718	4	4.970736
2000	-182.0985	-224.5495	42.45105	10	0.2474674	0.140216	0.0918635	0.00442973	0.00867913	0.00913634	0.204597	0.0103277	0.100583	0.0822362	0.00606225	0.193795	0.000747063	0.0504464	0.0553822	0.0415228	0.0894369	0.0106996	0.0347482	0.0169365	0.0540482	0.000693514	0.0236073	0.0491702	0.151676	0.128958	0.0944677	0.145932	0.00832418	0.031557	0.0691087	0.135078	0.0452371	0.0112412	0.124262	0.0168152	0.0572587	0.0365684	0.0817701	0.0281916	0.0832309	0.0455489	0.0804174	0.222412	0.0426498	0.0252521	0.00199582	0.0648671	0.496114	3.43702	5	2.945322
3000	-181.8636	-214.637	32.7734	10	0.3653304	0.173218	0.0415196	0.00351751	0.0258364	0.0296579	0.0497221	0.100853	0.00939706	0.0738307	0.207066	0.112149	0.0774686	0.0352869	0.210396	0.0333519	0.154269	0.0828895	0.440555	0.000922694	0.000346833	0.00941236	0.134729	0.0132088	0.0936611	0.0151257	0.0720765	0.19507	0.13444	0.124984	0.0246621	0.0520669	0.0452565	0.0543729	0.232765	0.119399	0.170102	0.021884	0.00332026	0.123387	0.0655501	0.0419216	0.0198131	0.144455	0.273881	0.19742	0.0120469	0.155425	0.690863	3.14166	5	4.245218
4000	-204.4145	-219.0173	14.60278	1	0.3430056	0.149726	0.13345	0.00909309	0.0361239	0.186955	0.188434	0.0243291	0.010524	0.0170032	0.137928	0.258254	0.0109504	0.0973167	0.0409	0.0395863	0.0250737	0.118557	0.0819074	0.0173873	0.0156871	0.138969	0.0437392	0.0224484	0.288263	0.0723866	0.0268848	0.0107527	0.103202	0.0402307	0.0779836	0.0121953	0.0640074	0.086108	0.22679	0.0345922	0.00615395	0.0354038	0.00737782	0.433786	0.259861	0.0241663	0.386175	0.0837728	0.28404	0.0673264	0.00942218	0.138108	0.661438	3.19103	3	4.435804
5000	-187.0805	-219.3762	32.29568	10	0.4832817	0.11394	0.0594128	0.0238228	0.0232203	0.115329	0.0506802	0.0915649	0.0533985	0.0255322	0.0409887	0.198393	0.101791	0.155941	0.015969	0.0108099	0.0413412	0.0194571	0.194659	0.0124953	0.0368182	0.0120545	0.00526643	0.287519	0.133372	0.075876	0.0757785	0.0900336	0.0161218	0.0356955	0.140231	0.0755043	0.034662	0.0767464	0.00936311	0.00455736	0.0553655	0.0640624	0.0680121	0.123046	0.341883	0.09553	0.0850644	0.0599079	0.0364534	0.144572	0.0303325	0.240862	0.807712	2.92109	5	3.532241
6000	-198.6094	-220.7525	22.14309	10	0.1971515	0.436125	0.146509	0.0370716	0.0122636	0.0204386	0.117829	0.140265	0.0247667	0.00518783	0.0402303	0.151707	0.161414	0.157072	0.230102	0.158231	0.00954441	0.0297998	0.228999	0.0821115	0.00489174	0.0064371	0.0672106	0.00567868	0.144993	0.0718128	0.0744178	0.0224796	0.0499148	0.152046	0.0228298	0.0793883	0.146935	0.167898	0.0150721	0.153136	0.0333454	0.0838996	0.11631	0.286696	0.390448	0.0585846	0.531139	0.0300163	0.0383957	0.193081	0.000480761	0.0321485	0.376183	3.59119	5	5.136723
7000	-218.8694	-231.8977	13.02837	2	0.6246485	0.133343	0.11639	0.0805104	0.0424631	0.124454	0.0975915	0.0629713	0.0190428	0.0287733	0.137409	0.147798	0.0274879	0.207177	0.0975351	0.0699357	0.0251938	0.341921	0.0260509	0.0249057	0.246923	0.169078	0.23619	0.0724606	0.295386	0.247954	0.135556	0.0371888	0.155564	0.036235	0.0346801	0.090837	0.16735	0.0617388	0.15756	0.0134454	0.0467702	0.0605933	0.0557738	0.0417812	0.325205	0.0826728	0.11177	0.136276	0.098163	0.17869	0.0582283	0.325699	0.893391	2.72268	4	5.106795
8000	-219.9334	-235.4582	15.5249	2	0.6907465	0.051817	0.154342	0.00292804	0.09588	0.117416	0.0803454	0.0354977	0.229824	0.0234058	0.0244177	0.416593	0.06006	0.120023	0.0432201	0.156534	0.0546193	0.0942852	0.344327	0.0920218	0.160547	0.0160863	0.0300313	0.00953022	0.195367	0.025834	0.157154	0.00698293	0.173761	0.0811797	0.057271	0.121025	0.259966	0.0501459	0.0812719	0.129053	0.244012	0.0898984	0.0342154	0.206853	0.225779	0.0470117	0.000176425	0.120439	0.064197	0.0252195	0.0722129	0.359131	0.92139	2.64727	4	4.810566
9000	-191.0016	-225.7438	34.74221	10	0.5409565	0.0677257	0.117849	0.000201162	0.0283825	0.193228	0.00392683	0.0822972	0.15805	0.0336745	0.0685516	0.274968	0.0288124	0.127655	0.0416983	0.0356016	0.0871718	0.0337869	0.0744631	0.0477607	0.0796796	0.049329	0.0155216	0.119194	0.174403	0.0598171	0.0310032	0.0136585	0.116912	0.074926	0.0847498	0.0434138	0.121007	0.00341598	0.0952145	0.224574	0.125698	0.187262	0.0216197	0.169746	0.166882	0.0170603	0.0627946	0.176258	0.0825889	0.112656	0.0412073	0.277815	0.847925	2.83305	5	3.935187
10000	-201.0612	-230.7585	29.69729	10	0.6088552	0.391671	0.178402	0.0804938	0.000838361	0.0305385	0.125886	0.0169902	0.00424297	0.0608995	0.015227	0.202934	0.118528	0.2338	0.126729	0.0279604	0.102885	0.180665	0.253231	0.0742814	0.149284	0.242707	0.0420048	0.219366	0.111149	0.153356	0.137969	0.00784993	0.0242521	0.049873	0.138585	0.154904	0.034011	0.0378441	0.349681	0.00996694	0.0365137	0.0139157	0.0542028	0.0458839	0.0886589	0.0170866	0.133888	0.120285	0.00874954	0.153511	0.0549394	0.317159	0.88577	2.74213	5	4.761703
11000	-195.1891	-225.5018	30.31273	10	0.6480267	0.0364533	0.00916459	0.040889	0.00285366	0.0587173	0.335347	0.225005	0.0170409	0.0271852	0.0432075	0.354288	0.0795057	0.138793	0.123117	0.0680758	0.074275	0.131968	0.114501	0.0280687	0.0848831	0.134777	0.157605	0.101345	0.0757511	0.0610417	0.0573231	0.205792	0.0178394	0.153061	0.223885	0.0670352	0.0593348	0.16349	0.0382523	0.0512459	0.00220457	0.0187148	0.0650065	0.0441698	0.0744088	0.197255	0.0736438	0.106207	0.0403194	0.0513911	0.063141	0.33794	0.903974	2.69495	5	4.234437
12000	-203.0796	-224.5522	21.47255	10	0.4733614	0.344481	0.049353	0.000738179	0.0152353	0.207115	0.187935	0.0220279	0.175102	0.013874	0.208939	0.180094	0.00763421	0.263044	0.0306824	0.15668	0.113775	0.0381893	0.159376	0.0232881	0.0274551	0.222158	0.135744	0.0752514	0.095801	0.0448508	0.0757166	0.160111	0.460515	0.245728	0.00553939	0.0349992	0.00460528	0.121385	0.15367	0.176381	0.195574	0.10274	0.00446912	0.194831	0.0642832	0.0982479	1.40318e-05	0.182487	0.0405764	0.0342669	0.0285631	0.23417	0.799874	2.93739	5	5.154965
13000	-191.5466	-223.6753	32.1287	10	0.5394079	0.259439	0.101489	0.000427732	0.109289	0.0205284	0.0412643	0.100023	0.00208402	0.0746683	0.049593	0.174753	0.0579047	0.126307	0.121884	0.0035084	0.00608024	0.374549	0.324377	0.0442891	0.0491377	0.0449981	0.0118961	0.215385	0.0327023	0.181534	0.15385	0.0352949	0.198361	0.0191812	0.0463877	0.0261969	0.129427	0.100601	0.0921879	0.143652	0.0479347	0.0833878	0.137848	0.066081	0.0159721	0.21332	0.0309322	0.0346819	0.272476	0.150137	0.0409041	0.276866	0.846952	2.83528	5	4.526021
