Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-5443.684	-5494.959	51.27553	10	0.6561473	0.114168	0.164981	0.344847	0.002803	0.137871	0.161524	0.35269	0.385633	0.0612249	0.169562	0.0893381	0.191251	0.0973097	0.00427444	0.54029	0.0532293	0.0267948	0.174444	0.0721938	0.03334	0.0189136	0.106118	0.0178973	0.116293	0.0526405	0.153647	0.00943118	0.0103673	0.0352709	0.100452	0.0119765	0.111207	0.253747	0.0275926	0.0123139	0.136215	0.0916069	0.0173	0.0626165	0.0433582	0.00816405	0.0385042	0.0362527	0.0467758	0.050341	0.101021	0.0218822	0.00169378	0.111485	0.068015	0.00373073	0.118545	0.09386	0.217778	0.0150603	0.00109095	0.049594	0.0347152	0.0536282	0.0996623	0.00942128	0.263491	0.135244	0.149598	0.37352	0.245503	0.0238126	0.0294293	0.0704209	0.228997	0.00090053	0.0515944	0.0185831	0.0295348	0.387374	0.121014	0.011778	0.0185585	0.0858184	0.0648575	0.342083	0.907467	2.68559	5	7.993125
1000	-3304.712	-3333.052	28.33969	1	1.488936	0.163085	0.0328747	0.0819023	0.0490298	0.0450845	0.417005	0.0502838	0.00210281	0.186819	0.052198	0.0343705	0.122654	0.0261292	0.0867438	0.0634576	0.73203	0.00141664	0.0148758	0.038052	0.0866358	0.0403666	0.00217353	0.0462211	0.03438	0.0661785	0.0166361	0.0525721	0.0167732	0.143717	0.0252614	0.035552	0.00842486	0.0176119	0.0413744	0.0347861	0.0180741	0.0524049	0.075255	0.00888349	0.057519	0.116267	0.146629	0.124481	0.0385083	0.0954602	0.195523	0.00771564	0.0957295	0.0136992	0.222895	0.0103074	0.149455	0.120446	0.0291092	0.226289	0.000309548	0.130147	0.0242792	0.0472601	0.016603	0.0336575	0.0107288	0.0801797	0.0363626	0.0868151	0.0483131	0.170017	0.141028	0.00331285	0.0311065	0.0562011	0.301973	0.0763772	0.0173243	0.192964	0.11161	0.0314927	0.0400889	0.0781671	0.223608	0.586704	1.04977	2.13992	3	6.439751
2000	-3269.838	-3314.795	44.95763	2	1.307129	0.143337	0.00552488	0.0443726	0.0776162	0.0264098	0.315872	0.016504	0.00897865	0.13929	0.0502984	0.000829412	0.0176546	0.0670608	0.120257	0.0809594	0.0668719	0.0223237	0.0187449	0.0123588	0.0383171	0.0548505	0.0314039	0.0741628	0.0131252	0.0391337	0.00493463	0.0500809	0.0768332	0.113128	0.00802635	0.0332285	0.0246239	0.0386686	0.0200458	0.0670016	0.00702355	0.0371512	0.0768358	0.00879848	0.0475884	0.071042	0.109473	0.0783471	0.0132864	0.0256599	0.16874	0.0268561	0.0638683	0.020263	0.0166091	0.045149	0.108707	0.313061	0.0253061	0.0653359	0.0159793	0.0830658	0.0073723	0.186134	0.0585949	0.0284686	0.0109736	0.12252	0.26833	0.116775	0.0656983	0.346801	0.15828	0.0111886	0.0343787	0.0135386	0.00867924	0.0983265	0.0423215	0.191397	0.198599	0.0688194	0.033719	0.103684	0.193933	0.552952	1.03676	2.21636	4	5.525576
3000	-3262.463	-3301.654	39.19046	2	1.271935	0.140573	0.0760495	0.0146559	0.084341	0.0152766	0.457764	0.0123646	0.00798008	0.138419	0.0571186	0.0155859	0.0174873	0.0665952	0.00712217	0.0747958	0.137138	0.0269675	0.0101274	0.0314746	0.0541843	0.0988768	0.00584059	0.139276	0.0351876	0.0257382	0.0159883	0.0690134	0.0135737	0.14498	0.10393	0.0212705	0.0187856	0.00824214	0.0142084	0.0322442	0.00587374	0.00969282	0.0894461	0.00401311	0.017498	0.162881	0.177081	0.171745	0.0234211	0.0362922	0.109959	0.170296	0.0575567	0.0205921	0.0814112	0.0476353	0.173308	0.170388	0.0269463	0.0248904	3.57096e-05	0.095076	0.0699021	0.135022	0.0497008	0.0138617	0.144183	0.148022	0.198514	0.0806724	0.00983647	0.386879	0.105781	0.0327711	0.00600787	0.0190824	0.0719587	0.0154481	0.0586105	0.272867	0.250587	0.0293649	0.0296967	0.172577	0.187848	0.545599	1.03366	2.2329	4	6.170557
4000	-3266.989	-3307.503	40.51419	2	1.119041	0.0857534	0.0713673	0.0278285	0.12725	0.057466	0.501246	0.00322381	0.0133866	0.0694136	0.0462585	0.0270338	0.0306677	0.00107292	0.107467	0.0442689	0.0335998	0.00666599	0.0392255	0.0436357	0.0120499	0.0713348	0.00739018	0.0895445	0.0260827	0.0225029	0.0132153	0.00840593	0.0293799	0.100862	0.0669049	0.00723147	0.0142742	0.013477	0.0112229	0.0264645	0.0129644	0.0238465	0.081046	0.0387452	0.0215426	0.0737004	0.278084	0.13223	0.0130096	0.047855	0.051648	0.24987	0.195463	0.0226411	0.144776	0.0188217	0.177662	0.11668	0.0143105	0.021885	0.0241933	0.0757933	0.0275238	0.117069	0.0433762	0.171453	0.194393	0.131736	0.265952	0.153729	0.0278951	0.153429	0.146585	0.0194083	0.0140087	0.0104862	0.0310161	0.0553358	0.0694225	0.191938	0.151872	0.0390451	0.040189	0.213748	0.160075	0.509825	1.01723	2.31287	4	5.963553
5000	-3272.991	-3314.615	41.62415	2	1.600595	0.167422	0.0054226	0.0108455	0.129929	0.131633	0.48352	0.00838932	0.0118356	0.13448	0.0899558	0.0333751	0.0620538	0.0193529	0.0298225	0.0073107	0.00986114	0.068005	0.0319397	0.0323641	0.0058637	0.0608353	0.00363134	0.0812862	0.0403653	0.0361556	0.0163845	0.025152	0.0297535	0.052644	0.0501396	0.00608335	0.0155717	0.00834049	0.00892838	0.0434205	0.0096197	0.0382084	0.0807833	0.00179247	0.0433385	0.138171	0.0639224	0.0296214	0.193354	0.0592358	0.101748	0.179547	0.188215	0.0140213	0.122463	0.0457749	0.283086	0.0183811	0.0474213	0.0783269	0.00198482	0.103873	0.0768616	0.0448889	0.310877	0.0477047	0.0371283	0.114384	0.369808	0.0287848	0.049526	0.072411	0.0338041	0.00911513	0.00970281	0.0223179	0.0274755	0.0573606	0.0618275	0.261424	0.210963	0.0356512	0.0362664	0.166372	0.240452	0.604487	1.05582	2.09924	4	5.879615
6000	-3284.488	-3315.745	31.25719	2	1.305851	0.191237	0.0429731	0.0078241	0.0627597	0.113494	0.446036	0.00330493	0.0073891	0.149387	0.00703425	0.0792846	0.0202437	0.0323886	0.0529641	0.0176093	0.107204	0.0090115	0.00567268	0.0353104	0.0231342	0.0500128	0.010837	0.125333	0.051881	0.0272597	0.0083629	0.0319477	0.0209457	0.296755	0.0194039	0.0303602	0.00766296	0.0200033	0.0148045	0.0767132	0.00277922	0.00578639	0.108591	0.000261755	0.015233	0.139973	0.0519226	0.0227375	0.0425602	0.0262062	0.096395	0.295429	0.0258464	0.0432578	0.161506	0.0236306	0.324043	0.361801	0.0789813	0.0146314	0.00587892	0.117521	0.11175	0.196471	0.0525769	0.286597	0.016454	0.186136	0.237123	0.103247	0.0608581	0.00756711	0.560267	0.00180936	0.0319887	0.028298	0.0939568	0.0615754	0.0892037	0.142139	0.219597	0.0359166	0.0670645	0.111328	0.193714	0.552691	1.03665	2.21695	4	6.873439
7000	-3297.865	-3320.778	22.9125	2	1.247491	0.0940853	0.0990119	0.0151379	0.114599	0.079183	0.645909	0.000230693	0.0580515	0.174755	0.0359045	0.00386357	0.0164311	0.0695929	0.200383	0.0761135	0.105268	0.0216262	0.0877636	0.0959371	0.0247298	0.0853321	0.00472503	0.110205	0.0223456	0.0503839	0.00272864	0.0238401	0.114673	0.268065	0.0577667	0.0616787	0.016868	0.0397094	0.0264712	0.0821211	0.0230482	0.062344	0.110311	0.0094113	0.0350883	0.131482	0.252844	0.0507011	0.418399	0.00702112	0.0809317	0.344437	0.20849	0.0145379	0.256329	0.0165474	0.266324	0.215392	0.125312	0.0204331	0.020582	0.0779467	0.0545055	0.107458	0.198671	0.129821	0.0805672	0.1081	0.223292	0.0716819	0.0448986	0.0732436	0.0299855	0.0256613	0.0371769	0.0302153	0.339028	0.00194385	0.0516211	0.0134234	0.185579	0.0314726	0.0354102	0.118221	0.183554	0.540312	1.03137	2.24476	4	7.725381
8000	-3282.926	-3316.949	34.02239	2	2.5016	0.118941	0.0286968	0.06832	0.0945637	0.0386531	0.544745	0.0118781	0.0168559	0.0478389	0.0396757	0.0316595	0.0213109	0.03588	0.0873431	0.0198983	0.0869506	0.0422202	0.0215626	0.0278891	0.075732	0.0479872	0.00483352	0.11205	0.0255184	0.0336655	0.0238509	0.0117692	0.0490585	0.249409	0.0473039	0.0241803	0.0106858	0.00934283	0.0193537	0.0783721	0.0234257	0.0602578	0.068888	0.0149812	0.0258929	0.0998699	0.00995247	0.0499841	0.216174	0.0572862	0.286584	0.151945	0.0757585	0.0246844	0.274391	0.0399992	0.284924	0.225357	0.228858	0.00652812	0.0398065	0.120255	0.257307	0.100709	0.0473293	0.0339595	0.014296	0.149214	0.0977766	0.00236843	0.0649553	0.077503	0.135573	0.000372811	0.0114304	0.0287834	0.200214	0.0956744	0.088784	0.0683888	0.182752	0.0115093	0.0506102	0.134572	0.346608	0.699574	1.07865	1.87517	4	6.447881
9000	-3273.064	-3299.635	26.5713	2	1.534373	0.18625	0.00119102	0.0394139	0.143696	0.017889	0.604991	0.00466429	0.00523719	0.101686	0.144228	0.000876113	0.0440419	0.0154502	0.0411203	0.126139	0.0841983	0.00598378	0.0394702	0.0363617	0.1144	0.0613694	0.00768865	0.0703839	0.0657423	0.0434519	0.0111383	0.0196789	0.00991198	0.135281	0.0762626	0.00623332	0.0071284	0.0177518	0.0339257	0.0495542	0.015394	0.0221365	0.0901681	0.0313329	0.0289482	0.109701	0.0306057	0.0528884	0.661879	0.0155991	0.231391	0.0466623	0.0492716	0.0270123	0.229631	0.0220435	0.250248	0.0278875	0.0782569	0.075439	0.261383	0.111318	0.342283	0.0949156	0.0902306	0.0351507	0.172604	0.147582	0.00751652	0.128049	0.00754838	0.679636	0.187521	0.0313227	0.0271926	0.016175	0.270751	0.00531197	0.0175577	0.0121747	0.144584	0.0813171	0.028476	0.181045	0.230584	0.59418	1.05238	2.12286	4	7.550932
