Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-430.7302	-457.1337	26.40353	10	1.083237	0.00735657	0.0995759	0.463985	0.0219479	0.0489413	0.0794941	0.0294101	0.194915	0.0805113	0.171154	0.0322918	0.0852873	0.000674676	0.129404	0.167127	0.150373	0.0241821	0.082635	0.143446	0.133435	0.116311	0.153256	0.500416	1.01253	2.3338	5	2.262459
1000	-190.6432	-222.5712	31.92801	10	0.6477127	0.0328796	0.00419034	0.00804406	0.0278005	0.0900168	0.0178965	0.0371836	0.0214136	0.0351789	0.0148441	0.0132443	0.0248445	0.0946997	0.0383623	0.506396	0.0867695	0.0437291	0.0630214	0.10608	0.192329	0.0888855	0.0630747	0.337778	0.903837	2.69531	5	1.547809
2000	-189.1014	-222.0383	32.93692	10	0.7841741	0.013504	0.00115212	0.0614074	0.00735236	0.0358648	0.0266317	0.0430269	0.122782	0.03686	0.00552869	0.0161616	0.0226672	0.013477	0.0636206	0.85854	0.0916473	0.182145	0.11525	0.0667028	0.110223	0.147806	0.0921869	0.400683	0.952471	2.55466	5	2.042351
3000	-194.6533	-228.9577	34.30432	10	2.419842	0.0226893	0.0871557	0.0798083	0.00367903	0.0755508	0.00433855	0.13638	0.0207043	0.0182625	0.0194602	0.0122446	0.00452594	0.0152375	0.149646	0.330999	0.110428	0.0496367	0.115774	0.0304973	0.0300211	0.158506	0.338723	0.693332	1.07766	1.89029	5	1.475544
4000	-210.4248	-233.3187	22.89391	2	3.579728	0.0925753	0.0111084	0.015343	0.124425	0.0946481	0.0144928	0.00163837	0.124723	0.00625783	0.011161	0.00923438	0.0313472	0.0775371	0.0801693	0.0976737	0.0380878	0.00704039	0.0938942	0.00948112	0.0634563	0.477304	0.42967	0.759295	1.08419	1.72684	4	1.481598
5000	-195.6803	-222.4798	26.79952	2	0.874079	0.0407736	0.00385	0.0048048	0.0031576	0.0403371	0.0346301	0.00469903	0.00384825	0.0477184	0.00650908	0.00858131	0.00539402	0.090967	0.0981626	0.114615	0.0974605	0.121464	0.00240374	0.0261775	0.0239294	0.434473	0.111197	0.435333	0.975542	2.47793	4	1.213956
6000	-195.4115	-223.2513	27.83986	10	2.491586	0.0287662	0.0120256	0.0250527	0.157614	0.0583096	0.0362949	0.03824	0.0344811	0.0331183	0.000403678	0.0314305	0.0187004	0.0447515	0.0590386	0.139453	0.015657	0.0398923	0.147045	0.112274	0.162721	1.10401	0.345657	0.698827	1.07853	1.87698	5	2.299279
7000	-202.936	-221.9894	19.05339	2	2.161313	0.0531804	0.00765919	0.0202392	0.009417	0.450672	0.0153982	0.00483026	0.00316077	0.0789948	0.0114661	4.70762e-05	0.0129096	0.197091	0.0647114	0.188326	0.570743	0.20884	0.0583164	0.0308157	0.0225639	0.118	0.311799	0.67114	1.07355	1.94351	4	2.127381
8000	-191.0972	-221.901	30.80378	10	2.644452	0.0442306	0.0060405	0.00951893	0.0208811	0.0589693	0.0239012	0.0104322	0.0306459	0.0174364	0.0379269	0.0394437	0.0343038	0.190564	0.112058	0.101277	0.0317827	0.17854	0.075574	0.0503867	0.0706676	0.415747	0.359738	0.709726	1.08009	1.85044	5	1.560328
9000	-188.9649	-223.401	34.43613	10	1.244746	0.0432239	0.037943	0.00206664	0.059294	0.0279059	0.0420291	0.000835351	0.0828051	0.0095254	0.0101551	0.00797609	0.00818644	0.360983	0.107801	0.0820843	0.0750877	0.106487	0.105321	0.237977	0.18476	0.0704097	0.183068	0.539708	1.03111	2.24612	5	1.662856
10000	-185.5559	-223.6961	38.14024	10	1.800316	0.0323197	0.00672381	0.0103705	0.0372119	0.0232372	0.0307975	0.00760832	0.0357487	0.0250317	0.0276267	0.000721491	0.0316024	0.0676305	0.0943795	0.0271545	0.0626272	0.139705	0.251308	0.3103	0.0260189	0.0719908	0.268214	0.631948	1.06408	2.03575	5	1.320114
