Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-201.8205	-217.6442	15.82375	10	0.8815736	0.147193	0.101389	0.00346119	0.0562495	0.0653156	0.00779186	0.0484795	0.177907	0.0441423	0.275095	0.179174	0.0963172	0.0295144	0.0459717	0.027603	0.0482292	0.217543	0.112762	0.438015	0.977226	2.472	5	1.571377
1000	-128.1116	-142.3946	14.28307	1	0.9174805	0.105044	0.0319062	0.253712	0.0324686	0.049604	0.0294345	0.00428353	0.0309641	0.281346	0.0573265	0.122478	0.00580437	0.012941	0.0445288	0.0601548	0.0614643	0.168106	0.120209	0.450462	0.984858	2.44447	3	1.351566
2000	-128.0775	-144.1592	16.08168	10	2.880145	0.20096	0.159146	0.100026	0.0122356	0.056882	0.0513021	0.0377169	0.00466905	0.0708012	0.0145045	0.320878	0.0685389	0.126676	0.0311295	0.107541	0.0150802	0.0176046	0.379772	0.724668	1.08186	1.8137	5	1.395692
3000	-126.2525	-138.9945	12.74202	0.2	0.9234351	0.365436	0.0346444	0.0389302	0.00543097	0.0195879	0.0307591	0.0586813	0.00645132	0.0535038	0.0837873	0.0212628	0.130196	0.268442	0.0210679	0.0304652	0.00229322	0.331261	0.121435	0.452464	0.986057	2.44004	2	1.5022
4000	-118.3905	-139.7542	21.36366	10	0.1325828	0.158977	0.0432933	0.0462931	0.0074758	0.0464789	0.0151218	0.00399776	0.0673788	0.14428	0.0225509	0.0106746	0.0474293	0.035233	0.0278516	0.0169665	0.336682	0.0610708	1.58047e-05	0.00588621	0.188909	3.80519	5	1.091755
5000	-132.1477	-141.6965	9.548863	10	0.2103229	0.383588	0.163292	0.071301	0.0362635	0.0113406	0.00144611	0.0552449	0.0694872	0.177325	0.0325703	0.870133	0.0142633	0.00422172	0.00928077	0.224795	0.176554	0.00472416	0.000745444	0.039935	0.410059	3.54926	5	2.305831
6000	-125.3616	-138.5669	13.20528	10	0.8416818	0.408835	0.177561	0.184799	0.0348772	0.0565317	0.00836338	0.00258825	0.094441	0.0311812	0.0584976	0.0140719	0.0818426	0.0682043	0.0155429	0.359555	0.276572	0.0209925	0.104392	0.423389	0.967867	2.50435	5	1.894456
7000	-140.5946	-152.4472	11.85254	2	0.8824678	0.322213	0.280939	0.0192155	0.00552889	0.0398602	0.0222025	0.0644846	0.0488787	0.00587209	0.0112689	0.0252011	0.171732	0.0794586	0.0349194	0.407927	0.0715702	0.0273716	0.112949	0.438333	0.977425	2.47129	4	1.638643
8000	-119.922	-140.1875	20.26547	1000	1.484588	0.267211	0.0056067	0.0922933	0.175251	0.0307755	0.0012727	0.0157569	0.076934	0.522237	0.0503999	0.435689	0.0146963	0.0267918	0.00201175	0.075854	0.2594	0.0502598	0.222932	0.585971	1.0495	2.14159	6	2.102441
9000	-111.3789	-140.2925	28.91364	1000	1.368449	0.232514	0.0108853	0.0597161	0.0916933	0.0977424	0.0283284	0.00152527	0.128247	0.0654462	0.0190891	0.0328168	0.000841162	0.019075	0.19814	0.123649	0.262523	0.216539	0.204267	0.565087	1.04166	2.18898	6	1.588771
10000	-126.0619	-140.2606	14.19864	10	2.260212	0.110439	0.0296529	0.426864	0.0126181	0.135598	0.00982151	0.0121093	0.0564257	0.201609	0.0522927	0.221271	0.166525	0.0257157	0.152277	0.0225473	0.023061	0.121865	0.322476	0.680109	1.07532	1.9221	5	1.780692
