Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-334.742	-352.4033	17.66134	10	1.839807	0.0287747	0.0221468	0.120996	0.112757	0.112871	0.104377	0.0785398	0.0395594	0.09008	0.138698	0.0166349	0.0448893	0.0295528	0.0932557	0.10854	0.0499818	0.222761	0.135777	0.0946343	0.0723204	0.0230312	0.273372	0.636821	1.06541	2.0244	5	1.740178
1000	-245.7905	-256.1145	10.32392	10	0.5923932	0.0621457	0.183143	0.202074	0.0213705	0.0139112	0.13658	0.0984265	0.0151815	0.0820209	0.00132054	0.24436	0.148919	0.0329086	0.0572259	0.0233829	0.3673	0.0571034	0.685552	0.168639	0.0443496	0.000715486	0.051543	0.308017	0.877388	2.76305	5	2.64663
2000	-243.6328	-262.4874	18.85463	10	0.4783328	0.0369155	0.0858729	0.152398	0.113348	0.109282	0.0571813	0.0905902	0.000572288	0.0413319	0.0249273	0.0058508	0.0230844	0.00411683	0.0183151	0.0108498	0.426655	0.0607809	0.0133232	0.191269	0.142758	0.137683	0.0294456	0.237536	0.803839	2.92918	5	1.747105
3000	-240.8423	-254.7684	13.92604	10	0.5575787	0.00126428	0.249821	0.187889	0.121587	0.00447136	0.0520352	0.0486605	0.0610996	0.0544898	0.051075	0.0870947	0.123444	0.0288661	0.0554925	0.343586	0.202714	0.0380579	0.288735	0.100095	0.132801	0.136828	0.0444941	0.287853	0.858031	2.80962	5	2.370107
4000	-248.8997	-259.9807	11.08098	10	0.7929338	0.224974	0.15653	0.0792819	0.152668	0.00796502	0.0263127	0.095295	0.046538	0.015297	0.199836	0.0279334	0.0832372	0.0552393	0.133241	0.422656	0.0478248	0.150798	0.0737415	0.139478	0.0610522	0.15487	0.0940543	0.404274	0.954978	2.54669	5	2.354768
5000	-252.2318	-258.4895	6.257727	2	0.4540041	0.0721274	0.0302059	0.293983	0.0751027	0.00615992	0.0013141	0.016188	0.0622591	0.0237659	0.119517	0.0313473	0.041873	0.249085	0.651816	0.357601	0.0926658	0.0607676	0.0896904	0.187709	0.104528	0.0538915	0.0252134	0.220832	0.783684	2.97027	4	2.621598
6000	-246.01	-261.7382	15.72821	10	0.3886486	0.0993024	0.0762642	0.0817444	0.056361	0.00232177	0.134781	0.146299	0.0727805	0.16688	0.0795506	0.00583499	0.0147252	0.073604	0.0351087	0.291685	0.104641	0.174344	0.294135	0.0867585	0.108769	0.0296145	0.0151114	0.173227	0.718699	3.09296	5	2.135504
7000	-237.5119	-256.7827	19.27084	2	0.2423294	0.0331205	0.0493418	0.158885	0.0286792	0.0415586	0.0889807	0.000643382	0.0579133	0.00824698	0.00460826	0.0330003	0.120405	0.0616448	0.0848704	0.197519	0.0302668	0.0635482	0.096599	0.0939857	0.016998	0.180946	0.00177334	0.061209	0.485028	3.45199	4	1.451761
8000	-251.3	-261.4617	10.16171	1	0.2831061	0.187717	0.00178555	0.0541968	0.0711823	0.00906488	0.044758	0.325184	0.0201909	0.0523261	0.0819069	0.0386462	0.0263955	0.0174796	0.331842	0.0354316	0.107114	0.109185	0.0187153	0.56638	0.00938206	0.0851636	0.0040252	0.0914352	0.56631	3.33823	3	2.194047
9000	-251.1166	-259.5976	8.481015	10	0.3933689	0.107541	0.0280572	0.0802401	0.0453532	0.00607348	0.0655775	0.247627	0.0789845	0.0273249	0.0211223	0.209267	0.118342	0.284465	0.000268256	0.019313	0.0219819	0.18541	0.0142343	0.315411	0.856216	0.0127857	0.0157695	0.176785	0.724004	3.08344	5	2.745595
