Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-316.8009	-332.0336	15.23266	10	2.288912	0.164129	0.0922104	0.0223428	0.0293609	0.240467	0.0289998	0.148294	0.0940617	0.021156	0.115022	0.0937304	0.151173	0.0912055	0.155756	0.0626201	0.057783	0.0191561	0.0200629	0.12895	0.176508	0.0130685	0.325484	0.682595	1.07578	1.91614	5	1.926058
1000	-243.8971	-255.8958	11.99867	10	0.4552273	0.0813157	0.142804	0.180008	0.0515052	0.00638539	0.0890806	0.104286	0.0676271	0.00711861	0.00736514	0.00317749	0.0207632	0.261761	0.415366	0.297972	0.0422483	0.00259468	0.0338828	0.226518	0.10599	0.125321	0.0254208	0.221686	0.784743	2.96815	5	2.273091
2000	-248.6646	-261.7146	13.05001	10	0.5489563	0.25822	0.0560641	0.346119	0.102139	0.00723106	0.0385897	0.123373	0.133539	0.0238644	0.0179358	0.170262	0.0500391	0.0841513	0.26478	0.0139799	0.263183	0.0166649	0.0688549	0.0623168	0.0639812	0.02713	0.042782	0.28268	0.852863	2.82168	5	2.192418
3000	-252.3598	-260.6976	8.337891	10	0.6224492	0.154648	0.119745	0.38217	0.0125101	0.0140236	0.0893665	0.0540312	0.169256	0.0607785	0.0217347	0.101281	0.00767359	0.151817	0.269	0.429819	0.0535593	0.0710218	0.0165666	0.17634	0.223543	0.156954	0.0577687	0.324523	0.892353	2.72536	5	2.735839
4000	-258.8673	-267.8493	8.981978	2	0.4714865	0.325174	0.0772004	0.152292	0.0355752	0.0641453	0.0700492	0.0072862	0.204595	0.0382617	0.254259	0.173164	0.210986	0.217706	0.23582	0.0156889	0.0483845	0.0817541	0.0114924	0.0308469	0.121014	0.00479517	0.0282326	0.232894	0.798359	2.94051	4	2.380492
5000	-250.6254	-257.9035	7.278198	1	0.3008747	0.00954377	0.288373	0.333062	0.0640521	0.0508785	0.0120911	0.0666859	0.0329041	0.00464689	0.00392415	0.174782	0.0450228	0.342236	0.35177	0.0199412	0.0391416	0.103306	0.197553	0.0725649	0.109513	0.15863	0.00536653	0.105176	0.597269	3.29219	3	2.480622
6000	-247.9696	-264.3129	16.34328	10	1.794947	0.000695575	0.0902206	0.133896	0.0598024	0.00343359	0.0144024	0.0331023	0.0556588	0.0707221	0.0277606	0.0779148	0.0493974	0.0859568	0.103237	0.153374	0.102796	0.074762	0.138848	0.0601082	0.149332	0.167515	0.267505	0.631273	1.0639	2.03733	5	1.652934
7000	-253.6418	-257.93	4.288192	1	0.4215747	0.254386	0.00453644	0.19226	0.0438976	0.00134761	0.137037	0.141104	0.0487887	0.0126363	0.27679	0.0286749	0.0512295	0.164194	0.126297	0.013431	0.050394	0.0300349	0.303563	0.157221	0.100098	0.629631	0.019946	0.19768	0.75361	3.02876	3	2.767552
8000	-230.4998	-259.7976	29.29776	1000	1.290805	0.0850844	0.135782	0.219351	0.0560017	0.00173226	0.0550014	0.0247966	0.084631	0.0776875	0.0932258	0.0331976	0.0752856	0.133531	0.0931829	0.00207333	0.211363	0.121965	0.064978	0.100753	0.0459535	0.0775692	0.191124	0.549578	1.03535	2.22395	6	1.793145
9000	-254.2389	-263.3365	9.097661	2	0.1967132	0.0419668	0.178674	0.237888	0.0132258	0.0254993	0.0458246	0.285931	0.0369591	0.016318	0.0775574	0.180633	0.00847703	0.00123888	0.0124293	0.10759	0.318444	0.0937885	0.0766425	0.362856	0.227568	0.0555596	0.000473317	0.0319011	0.375025	3.5926	4	2.40507
