Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-834.4856	-859.8567	25.3711	10	0.5775029	0.0754803	0.0405231	0.273576	0.00770269	0.0252299	0.02213	0.0453143	0.0109971	0.13787	0.131368	0.126038	0.0809952	0.154109	0.0763856	0.236841	0.108472	0.0272478	0.273166	0.0522986	0.000657855	0.0849432	0.127584	0.042042	0.219782	0.0496108	0.116392	0.15496	0.254747	0.0188254	0.185874	0.0705667	0.0121859	0.0289075	0.147061	0.0232399	0.0485037	0.299533	0.869393	2.78257	5	3.443124
1000	-502.0685	-544.8067	42.73827	10	0.7549478	0.225593	0.039974	0.00635074	0.015543	0.029404	0.0235435	0.0213023	0.0301464	0.0398513	0.00687949	0.0398012	0.091952	0.0767676	0.0235472	0.00721779	0.0461265	0.076576	0.107307	0.0800066	0.0704777	0.0389702	0.0376396	0.107264	0.000713274	0.202424	0.0457524	0.181521	0.0246558	0.00220664	0.0195613	0.0151401	0.191028	0.000992374	0.0503152	0.167907	0.085943	0.388343	0.943645	2.58207	5	2.144457
2000	-515.7307	-548.075	32.34423	10	0.4486641	0.325379	0.0253738	0.0159541	0.0275161	0.0743044	0.00800844	0.0332412	0.0222759	0.0648745	0.00147302	0.0225213	0.0607188	0.05963	0.00965391	0.013561	0.0743236	0.0970497	0.0961441	0.108966	0.0790504	0.154328	0.040068	0.277398	0.0477579	0.29078	0.218412	0.0327938	0.0162896	0.0886252	0.0855057	0.0449338	0.0519232	0.0298626	0.0317823	0.0604257	0.024315	0.217088	0.778996	2.9796	5	2.690905
3000	-504.5397	-536.9014	32.36171	10	0.8403436	0.762062	0.101344	0.00333555	0.0616201	0.00935072	0.00202764	0.016144	0.0378104	0.0135231	0.0131631	0.0042907	0.0970959	0.0609951	0.0268018	0.0312317	0.040873	0.0609318	0.109094	0.0399754	0.037105	0.0685812	0.266544	0.057832	0.212706	0.0903968	0.0780846	0.0652522	0.0331412	0.0341214	0.254908	0.0814102	0.0183037	0.014609	0.171492	0.017769	0.10411	0.422883	0.967536	2.50547	5	2.993927
4000	-514.3795	-544.4069	30.02742	10	0.8223476	0.407636	0.189894	0.0173733	0.00129694	0.0137989	0.0191017	0.01228	0.0302916	0.0623977	0.0275172	0.224613	0.0383439	0.0388	0.0209299	0.00556583	0.108922	0.127793	0.0626791	0.0311841	0.0166207	0.128153	0.00574645	0.211532	0.0441948	0.197472	0.010893	0.0558871	0.274738	0.264994	0.222465	0.0473124	0.1229	0.0420277	0.0277414	0.0605833	0.100304	0.415978	0.96296	2.52076	5	3.17368
5000	-515.9435	-543.8598	27.91629	10	0.5036507	0.442494	0.108525	0.0100894	0.00168445	0.0398353	0.0402635	0.0611405	0.00666081	0.00309605	0.0150369	0.0937047	0.0649883	0.0414674	0.017954	0.0014608	0.0107826	0.033854	0.103219	0.135276	0.154878	0.117464	0.179771	0.498042	0.0923404	0.105087	0.00858284	0.0211098	0.141203	0.0390512	0.047811	0.0459962	0.0231999	0.000483073	0.035781	0.100126	0.0340664	0.254292	0.822907	2.88873	5	2.842459
6000	-521.6188	-543.2268	21.60802	2	0.6750092	0.553189	0.0680235	0.0198524	0.00104261	0.000351924	0.00643221	0.0237214	0.00843111	0.0422963	0.0582606	0.0664186	0.0169768	0.0190477	0.0502934	0.00690783	0.107518	0.087328	0.0607872	0.156878	0.0662218	0.0822166	0.0198543	0.107133	0.0883317	0.0762741	0.0877576	0.0793517	0.183294	0.16865	0.0233508	0.19343	0.0385141	0.17679	0.143471	0.0450268	0.0688602	0.351496	0.915243	2.6644	4	2.933422
7000	-517.2289	-552.4287	35.19989	10	0.4619376	0.513793	0.0503042	0.0414895	0.0348261	0.00205861	0.00809203	0.0279177	0.0262461	0.00960877	0.0205837	0.130684	0.0398883	0.108743	0.00569823	0.0777252	0.159758	0.164043	0.0949658	0.12618	0.0456962	0.00900161	0.0173962	0.163736	0.0217673	0.0396491	0.0707989	0.14766	0.189422	0.0146028	0.0112625	0.24208	0.0381366	0.00463371	0.152163	0.12463	0.0265691	0.226343	0.790468	2.95662	5	2.935242
8000	-527.7975	-542.2695	14.47205	2	0.3291659	0.701966	0.349699	0.0157736	0.0262613	0.0403586	0.00564038	0.00879813	0.0259677	0.0152098	0.0241333	0.103094	0.0542244	0.00458551	0.0211162	0.00910041	0.0550279	0.148408	0.067807	0.12167	0.031062	0.124295	0.0594716	0.137804	0.160691	0.114157	0.38421	0.106645	0.0756382	0.0290203	0.00394099	0.117403	0.0232082	0.0150926	0.294038	0.0801192	0.00795687	0.127292	0.641684	3.22307	4	3.555637
9000	-510.8668	-540.73	29.86322	10	0.4210658	0.54434	0.063187	0.0582619	0.0266606	0.00544109	0.00784848	0.0115532	0.0299891	0.0631902	0.0350505	0.0375915	0.0587707	0.0438074	0.0201763	0.0338966	0.0132799	0.0441081	0.110395	0.0719512	0.243246	0.197109	0.0859694	0.00581933	0.054114	0.0497954	0.0241816	0.00069466	0.182327	0.139721	0.000147919	0.159156	0.0168901	0.0480684	0.289281	0.159727	0.0198671	0.197309	0.753106	3.02972	5	2.935747
