Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-553.1848	-586.2616	33.07683	10	0.1695302	0.38184	0.0707552	0.00716647	0.15086	0.0326769	0.0433321	0.177568	0.0141441	0.602098	0.0856441	0.0153599	0.0847753	0.0800555	0.249432	0.0112734	0.125662	0.011787	0.0353848	0.0918732	0.0174161	0.161602	0.0106297	0.0412612	0.0475539	0.0284601	0.0386822	0.390832	0.170269	0.0621703	0.160912	0.542111	0.126298	0.428059	0.0591387	0.00787271	0.264577	0.174831	0.0185034	0.038688	0.216298	0.0740203	0.00438379	0.0829334	0.229741	0.0278448	0.000153483	0.0182492	0.299654	3.68194	5	5.696775
1000	-340.3108	-366.5598	26.24894	2	1.020337	0.295838	0.00740495	0.00777719	0.0447804	0.0861815	0.00792277	0.0540339	0.0260293	0.0454061	0.00648971	0.0532434	0.017089	0.0587651	0.0259231	0.264324	0.0695166	0.203529	0.0406381	0.0716033	0.133314	0.0450482	0.104832	0.0321362	0.459023	0.0380243	0.140347	0.116281	0.021456	0.0232339	0.279497	0.0435871	0.501551	0.0237283	0.180462	0.0438974	0.0985929	0.262548	0.101666	0.0943015	0.0472718	0.0698987	0.0332377	0.115401	0.316648	0.0232098	0.140994	0.482781	1.00329	2.37294	4	4.735687
2000	-338.4595	-371.1014	32.64187	10	2.064408	0.340742	0.046185	0.0893059	0.00834477	0.279718	0.151623	0.0634863	0.0684614	0.0326593	0.00620959	0.0293097	0.0485542	0.0221517	0.0808746	0.0740134	0.049612	0.190383	0.0566284	0.0553031	0.109827	0.0511442	0.138548	0.0335823	0.0972752	0.0282305	0.11799	0.0110436	0.0215894	0.194544	0.124475	0.200411	0.0156019	0.146018	0.0598872	0.226042	0.108805	0.0856377	0.0321284	0.180095	0.219713	0.164374	0.0523678	0.0430547	0.0949047	0.00924649	0.300844	0.661692	1.07152	1.96594	5	4.260101
3000	-320.2129	-376.1527	55.93986	10	0.5280188	0.375168	0.0119774	0.15697	0.0759726	0.0730812	0.0662357	0.288368	0.00621853	0.0647003	0.00543276	0.0754753	0.023041	0.0148558	0.0277619	0.0289686	0.000696801	0.0980123	0.010885	0.0409011	0.0231655	0.000924116	0.0453683	0.00554701	0.266436	0.079641	0.00225637	0.223964	0.253497	0.378181	0.229116	0.133237	0.124621	0.122064	0.0982636	0.00170829	0.0847676	0.130648	0.0858263	0.0419235	0.00194961	0.115026	0.00930116	0.112743	0.0157495	0.0192279	0.0386911	0.269814	0.839631	2.85186	5	4.049875
4000	-322.4848	-364.8723	42.38749	10	1.281637	0.50233	0.171088	0.0100308	0.0259337	0.215939	0.122872	0.0325411	0.0150909	0.0879474	0.11112	0.000652899	0.0544374	0.0151682	0.02948	0.241942	0.0143665	0.192692	0.0121664	0.10377	0.0426542	0.0782068	0.162937	0.0938124	0.209783	0.229059	0.0664253	0.0873758	0.117537	0.0867935	0.0938726	0.0280224	0.0221434	0.0774198	0.042565	0.00795958	0.0558591	0.152407	0.201398	0.160118	0.039092	0.0709678	0.00146946	0.0524163	0.0191417	0.0815916	0.189536	0.547656	1.03453	2.22827	5	4.240597
5000	-323.1441	-363.8993	40.75517	10	3.411758	0.589324	0.0553144	0.00485296	0.0284151	0.106044	0.0898516	0.116463	0.0581463	0.111315	0.0113885	0.0163188	0.0366256	0.0570566	0.0100029	0.0520986	0.105006	0.0498432	0.0470283	0.0805102	0.0570249	0.00544848	0.0705811	0.0754598	0.458386	0.187064	0.000450094	0.194042	0.10732	0.109068	0.0669423	0.152431	0.170959	0.0765823	0.0825494	0.0672048	0.20409	0.00121172	0.000510813	0.0177184	0.0494069	0.0920637	0.0235249	0.158944	0.275492	0.0173233	0.418805	0.752047	1.08391	1.74524	5	4.347404
6000	-336.299	-365.546	29.24692	10	3.320623	0.445018	0.00822589	0.0138692	0.101328	0.162013	0.030624	0.179877	0.0276064	0.127441	0.0693411	0.0928442	0.055243	0.016204	0.00992951	0.41201	0.0138928	0.0374981	0.0421372	0.129672	0.119412	0.0351935	0.299674	0.062933	0.310463	0.0563028	0.362033	0.247042	0.121879	0.228563	0.174175	0.335749	0.293603	0.0343705	0.047193	0.166334	0.037494	0.146615	0.0730622	0.117949	0.0329299	0.0111313	0.103316	0.0230194	0.150107	0.185954	0.412639	0.747865	1.0837	1.7558	5	5.751272
7000	-327.2412	-372.5355	45.29432	10	3.162567	0.287107	0.0764957	0.00133825	0.0701644	0.172918	0.072902	0.0986242	0.0386241	0.0245106	0.00732654	0.0103045	0.102808	0.0853795	0.023555	0.0900962	0.00691087	0.113761	0.0387915	0.0626586	0.0105357	0.0260632	0.0428047	0.00450409	0.154316	0.0160802	0.139922	0.0915033	0.0284262	0.0886092	0.148833	0.146504	0.100499	0.188402	0.0747768	0.281441	0.0715626	0.0903071	0.120507	0.00748921	0.00925224	0.112434	0.227559	0.0771027	0.168832	0.116703	0.40146	0.740149	1.08321	1.77518	5	3.929246
8000	-334.4019	-365.4817	31.07979	10	2.335672	0.368021	0.0304077	0.0195404	0.0468153	0.0940823	0.0721924	0.0894718	0.00515938	0.0252526	0.0131207	0.0299772	0.00340091	0.150828	0.0155828	0.0823123	0.0170335	0.196924	0.098286	0.0158117	0.150122	0.0389147	0.13163	0.194831	0.0700527	0.0236656	0.0144394	0.0447637	0.0729551	0.0200076	0.251891	0.0566134	0.0287868	0.165294	0.313522	0.0187023	0.238838	0.0442162	0.184182	0.0329515	0.00279265	0.475046	0.131849	0.376812	0.169107	0.00674457	0.330302	0.68654	1.0765	1.90666	5	4.632949
9000	-334.3349	-363.5177	29.18277	2	0.6397245	0.567087	0.00464393	0.0295779	0.0130546	0.144811	0.0119796	0.157558	0.00470251	0.0164933	0.00185746	0.0143173	0.0309549	0.0267497	0.0375795	0.04923	0.0128766	0.210644	0.041151	0.00712616	0.162721	0.0140623	0.0273115	0.00935868	0.401963	0.562645	0.132398	0.0957487	0.255925	0.0834076	0.109839	0.0082425	0.0147897	0.0372585	0.174159	0.198634	0.0250849	0.0967677	0.011195	0.0195461	0.0173389	0.0269709	0.0320589	0.116527	0.0550411	0.0315868	0.0613911	0.333647	0.900307	2.70466	4	4.102974
10000	-315.1934	-367.925	52.73157	10	0.9096258	0.267393	0.117856	0.0590251	0.0431774	0.15336	0.0191853	0.0194819	0.119126	0.0105184	0.0217087	0.0135385	0.116958	0.00506076	0.028581	0.0315884	0.0197551	0.193693	0.0164992	0.0491666	0.0274361	0.0156031	0.0894781	0.00021332	0.123355	0.0614677	0.0140502	0.0819719	0.157287	0.394649	0.0305774	0.0294465	0.0662074	0.133398	0.0683375	0.235032	0.0644309	0.00261226	0.0367922	0.0267879	0.39263	0.346511	0.171173	0.024233	0.065729	0.104682	0.118588	0.447794	0.983248	2.45037	5	4.069765
11000	-314.9923	-360.7605	45.76817	10	2.127173	0.417179	0.0332132	0.00239067	0.023204	0.0762842	0.0484619	0.31673	0.00347124	0.1489	0.0027299	0.0114274	0.00270638	0.0519709	0.0249776	0.193317	0.037343	0.0223653	0.105428	0.00839079	0.100896	0.0247203	0.179131	0.043282	0.179724	0.00365911	0.102088	0.0446267	0.0347615	0.312625	0.0445992	0.0718757	0.0327643	0.0144161	0.273686	0.0719925	0.059259	0.00160847	0.0793794	0.199928	0.150654	0.160961	0.00768957	0.21777	0.0438006	0.587528	0.307997	0.66789	1.07287	1.95124	5	4.573916
12000	-331.0596	-369.7527	38.69313	10	1.456052	0.345038	0.141902	0.00986836	0.023914	0.233312	0.0614483	0.0323964	0.0103743	0.0824942	0.0542589	0.133888	0.097093	0.0553051	0.103575	0.0893297	0.0143937	0.0502725	0.0242526	0.12505	0.0806974	0.0751892	0.207078	0.00125849	0.230841	0.00470673	0.304104	0.167322	0.0789678	0.0426047	0.137138	0.133689	0.412456	0.0163196	0.00820474	0.0557251	0.0426827	0.160458	0.153968	0.133426	0.00739318	0.0275005	0.00905308	0.00675336	0.269404	0.0732116	0.218453	0.581074	1.04773	2.15274	5	4.528319
13000	-318.2075	-366.9969	48.78937	10	1.249777	0.332355	0.0670604	0.00923162	0.0242429	0.117069	0.0461952	0.00561627	0.0392025	0.121837	0.000468851	0.00432912	0.154408	0.0332953	0.0118015	0.0706775	0.0166194	0.269261	0.0817457	0.00279227	0.0829818	0.043911	0.146095	0.0724908	0.140396	0.0115266	0.0915565	0.141312	0.343571	0.0757714	0.158052	0.0103744	0.0256561	0.0613585	0.00957331	0.0994202	0.0579945	0.406858	0.0126432	0.0759719	0.236948	0.310466	0.0588916	0.0990516	0.00617559	0.0532575	0.183958	0.540812	1.03159	2.24364	5	4.240513
14000	-315.8553	-367.4141	51.55881	10	1.427089	0.415239	0.0147365	0.0658074	0.0367268	0.129837	0.0858205	0.226548	0.0859107	0.0751826	0.000175958	0.00125311	0.0196706	0.053939	0.0162968	0.0407659	0.0190522	0.0744786	0.0506839	0.0840515	0.0692858	0.0716349	0.0407885	0.0620083	0.117404	0.223965	0.0810982	0.0941222	0.100932	0.0436726	0.344236	0.219049	0.0271563	0.315136	0.0576605	0.0553898	0.029602	0.110038	0.13998	0.0169642	0.0502067	0.158853	0.000732872	0.297934	0.0647561	0.114411	0.213836	0.575953	1.04584	2.16437	5	4.403192
15000	-315.5691	-360.1432	44.57414	10	2.348615	0.33556	0.0161561	0.0205458	0.0197286	0.102754	0.0857346	0.0152662	0.0338247	0.12718	0.000313907	0.011095	0.023945	0.0396245	0.017626	0.0915533	0.011341	0.184101	0.0314429	0.0818218	0.0383295	0.0358116	0.164039	0.0625609	0.166628	0.0575764	0.0815207	0.0717278	0.164643	0.0212028	0.128027	0.342772	0.190903	0.0537827	0.189362	0.0113386	0.147453	0.297698	0.149588	0.0177335	0.0624971	0.221997	0.0209	0.0470281	0.065459	0.284095	0.331618	0.68761	1.07669	1.90409	5	4.344288
16000	-332.0488	-363.0033	30.95451	10	4.076275	0.612268	0.095543	0.0308675	0.121023	0.147806	0.0494783	0.187915	0.110196	0.0108964	0.0151038	0.0560205	0.0618896	0.107214	0.0951222	0.20631	0.0231805	0.155645	0.0200941	0.0224766	0.196725	0.0445794	0.100732	0.0118178	0.346713	0.369132	0.171846	0.0637097	0.0376953	0.0306618	0.106569	0.0466824	0.155179	0.0218977	0.153574	0.0381556	0.135631	0.0135434	0.137581	0.378329	0.00331874	0.0754931	0.00329554	0.457414	0.321505	0.0228422	0.458504	0.777806	1.08438	1.67931	5	5.573668
17000	-337.7075	-374.8204	37.11285	10	3.244755	0.434824	0.171058	0.0135823	0.0996314	0.0911591	0.09627	0.110612	0.103557	0.0831007	0.0325345	0.00260891	0.135768	0.203744	0.039944	0.114547	0.00507581	0.1288	0.102494	0.027304	0.0334001	0.0749382	0.104084	0.0449113	0.0327575	0.135851	0.0438009	0.0543331	0.0511157	0.106844	0.0498672	0.160562	0.116503	0.0094995	0.241658	0.137569	0.0330312	0.558419	0.156091	0.0188434	0.0464013	0.0309556	0.0783579	0.066889	0.215305	0.154966	0.407353	0.744238	1.08348	1.76493	5	4.753569
18000	-336.8156	-374.1762	37.36057	10	3.929309	0.404532	0.0571364	0.00128996	0.0526442	0.320092	0.133493	0.0596487	0.0420898	0.0563572	0.00254945	0.000614002	0.0351353	0.0218573	0.102494	0.158861	0.0313572	0.145143	0.0951686	0.137931	0.250263	0.0835248	0.111373	0.0400727	0.190747	0.00768812	0.327721	0.0865378	0.117743	0.111913	0.102112	0.00266145	0.227035	0.127945	0.0383577	0.0569286	0.016113	0.281084	0.136371	0.0830735	0.137683	0.141105	0.108333	0.0399628	0.0718875	0.0608286	0.450436	0.772729	1.08441	1.69243	5	4.817461
