Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	brlens[108]	brlens[109]	brlens[110]	brlens[111]	brlens[112]	brlens[113]	brlens[114]	brlens[115]	brlens[116]	brlens[117]	brlens[118]	brlens[119]	brlens[120]	brlens[121]	brlens[122]	brlens[123]	brlens[124]	brlens[125]	brlens[126]	brlens[127]	brlens[128]	brlens[129]	brlens[130]	brlens[131]	brlens[132]	brlens[133]	brlens[134]	brlens[135]	brlens[136]	brlens[137]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-5142.004	-5114.956	-27.04766	10	0.8116044	0.0817718	0.0442285	0.0466729	0.317544	0.0742103	0.158045	0.167194	0.00213696	0.0441935	0.0923704	0.0434867	0.581943	0.00609497	0.0809606	0.0202202	0.0417091	0.125561	0.00653292	0.0155253	0.238673	0.0834646	0.299005	0.11665	0.0515952	0.106292	0.408844	0.214032	0.132567	0.193703	0.09553	0.100636	0.0183826	0.425421	0.0133528	0.246593	0.18338	0.0233401	0.059793	0.00598813	0.195747	0.0220788	0.117322	0.175419	0.0147538	0.0271732	0.0174859	0.192007	0.135588	0.010746	0.186709	0.028608	0.031119	0.103939	0.17414	0.403267	0.0829438	0.209057	0.110808	0.424551	0.0386227	0.0985556	0.0154932	0.025837	0.120418	0.0355714	0.0614669	0.203291	0.206295	0.0320069	0.0488035	0.00906113	0.222148	0.0677784	0.0366824	0.210865	0.0810671	0.0151406	0.0719507	0.110705	0.11463	0.0347955	0.0283073	0.0992608	0.129477	0.0471067	0.0835973	0.003154	0.0660496	0.475617	0.11116	0.0249633	0.0767442	0.0334919	0.103951	0.0790723	0.031307	0.0842967	0.0123568	0.219097	0.0289013	0.00160085	0.0899874	0.093906	0.226921	0.0952073	0.267535	0.0493443	0.034165	0.471643	0.0666251	0.0903129	0.0139978	0.00578853	0.11798	0.322421	0.0844577	0.0886879	0.226911	0.0122822	0.362353	0.106766	0.235403	0.0846353	0.0440222	0.00862196	0.00471003	0.00640987	0.230635	0.365837	0.04293	0.00462681	0.0177203	0.119074	0.0155749	0.00887554	0.0243338	0.262066	0.0980256	0.411764	0.960119	2.53009	5	15.53456
1000	-2134.676	-2156.744	22.06825	2	0.7496114	0.131596	0.037354	0.107253	0.00221565	0.0214092	0.016729	0.0385998	0.0170779	0.0667954	0.0479462	0.0266308	0.0515651	0.00337966	0.141031	0.0106455	0.0742604	0.0203256	0.00778804	0.0412765	0.0194663	0.0389193	0.0127005	0.0148456	0.0128587	0.0178016	0.00569082	0.0172585	0.0729516	0.0166097	0.00895005	0.00274797	7.80049e-05	0.0308254	0.00719173	0.0256111	0.00872279	0.415176	0.0622749	0.168741	0.00221376	0.014552	0.0154874	0.00360879	0.0351138	0.00458815	0.014796	0.00269641	0.35906	0.119381	0.0411205	0.0250593	0.0156956	0.0967846	0.0872104	0.0608316	0.0147297	0.00781661	0.114231	0.075998	0.0250603	0.0851259	0.0379815	0.0397369	0.0233986	0.00384226	0.0385594	0.0525461	0.0299039	0.00299226	0.0202833	0.160398	0.028367	0.146027	0.0594572	0.113352	0.101705	0.0824331	0.102597	0.0619709	0.0250004	0.00546525	0.0688404	0.150186	0.00390109	0.0804293	0.00596582	0.161437	0.0335905	0.0659071	0.068165	0.104264	0.371303	0.0349476	0.0797877	0.066554	0.0264185	0.0445875	0.0332019	0.108117	0.0605227	0.0662606	0.0929309	0.0261823	0.003826	0.0296627	0.146044	0.0422041	0.0198955	0.120541	0.316684	0.00546672	0.00125392	0.0146503	0.00138638	0.0390117	0.154854	0.0187666	0.0812682	0.0787529	0.0198007	0.0702617	0.0963338	0.0215663	0.0376793	0.00876251	0.274254	0.031952	0.0493942	0.0290508	0.0345758	0.0762234	0.093395	0.173289	0.0206442	0.0144241	0.0603914	0.0739805	0.0848014	0.386028	0.941952	2.58722	4	8.194226
2000	-2167.923	-2185.451	17.52808	2	0.6646798	0.149168	0.152006	0.0367177	0.0070215	0.0100637	0.0292051	0.0797028	0.0442403	0.0485284	0.0781231	0.0547422	0.0394802	0.00355719	0.112878	0.0098747	0.0583209	0.0105668	0.0404208	0.0274643	0.018012	0.00139525	0.0187262	0.0120732	0.00999351	0.0467854	0.0384012	0.0175095	0.0528843	0.0721406	0.000473816	0.0105836	0.0155342	0.039475	0.0698282	0.031653	0.0300837	0.347133	0.0927075	0.197063	0.00571676	0.0130982	0.0272304	0.0147648	0.0149415	0.000791607	0.0377002	0.00794921	0.137875	0.0728564	0.0262128	0.0253512	0.0287046	0.0299154	0.10494	0.0239056	0.0347442	0.0240819	0.132212	0.105393	0.00207192	0.094819	0.132235	0.094265	0.068055	0.0305463	0.0034492	0.00648913	0.0301527	0.0301354	0.0374552	0.0113958	0.330693	0.276164	0.0164217	0.0124277	0.0107566	0.0307472	0.0391188	0.18674	0.197597	0.0594491	0.12116	0.102004	0.0746773	0.0262505	0.0645293	0.0588346	0.039953	0.126678	0.0147171	0.0713618	0.372709	0.0322515	0.0362398	0.0161799	0.0240571	0.0175456	0.024198	0.00188397	0.134664	0.0448374	0.197644	0.0674937	0.0348067	0.00179875	0.162137	0.0604379	0.0102781	0.176688	0.0107147	0.0189388	0.0529852	0.0928265	0.26861	0.147056	0.243667	0.0178934	0.00821101	0.0101811	0.0448746	0.00771641	0.0251001	0.0559764	0.0162931	0.00528683	0.0737787	0.0220551	0.15382	0.0868685	0.0614788	0.117593	0.0459486	0.0166838	0.0922341	0.00777696	0.00658279	0.032903	0.0666658	0.346377	0.911042	2.67591	4	8.544178
3000	-2188.752	-2191.897	3.145327	2	0.7321555	0.102401	0.113804	0.0966257	0.000112354	0.0108959	0.0225749	0.0645011	0.059844	0.0162306	0.0822605	0.0625582	0.0160719	0.0191251	0.0907498	0.012286	0.134962	0.023646	0.0178319	0.0415787	0.0681891	0.0274402	0.0076972	0.0332701	0.00668134	0.0380149	0.0381567	0.0246863	0.0420704	0.0205965	0.036476	0.0461993	0.0053727	0.00729261	0.0848688	0.0495262	0.242039	0.215898	0.0470659	0.077394	0.00489427	0.012303	0.0394787	0.0103907	0.144012	0.00983538	0.022609	0.00828356	0.31707	0.0601775	0.011971	0.0361429	0.0846145	0.0699348	0.0935623	0.0419647	0.0232508	0.0218407	0.358383	0.0993603	0.0168213	0.045523	0.0352296	0.00211435	0.0736466	0.0209154	0.00310888	0.00783837	0.0902321	0.0457618	0.0822867	0.377062	0.0194095	0.0196532	0.0230724	0.103518	0.0589221	0.134454	0.0473659	0.365667	0.0736063	0.0399079	0.158893	0.117177	0.0201336	0.124844	0.0039805	0.00857775	0.125145	0.131217	0.0374298	0.0167998	0.0334011	0.0639845	0.109931	0.000396237	0.0347463	0.00556595	0.0295685	0.0185786	0.140149	0.110336	0.111535	0.0400593	0.120123	0.0110838	0.293126	0.0207064	0.521637	0.225692	0.0283121	0.143149	0.0328362	0.026373	0.109648	0.0113586	0.188816	0.00570558	0.0596873	0.0452246	0.0052657	0.02987	0.0929062	0.109336	0.0178828	0.0262487	0.0034053	0.0157905	0.32345	0.0509039	0.155815	0.206633	0.0256385	0.0260102	0.0204456	0.0219979	0.147638	0.00198181	0.0810656	0.378315	0.936225	2.60439	4	9.830338
4000	-2191.487	-2186.271	-5.216348	2	1.072243	0.169795	0.20966	0.0133317	0.0108265	0.0220902	0.0537473	0.119438	0.0461182	0.075855	0.0288255	0.132658	0.0100721	0.00223557	0.129862	0.0365497	0.0952907	0.0249712	0.00773845	0.0740631	0.00595948	0.0200943	0.039618	0.0660534	0.00383081	0.0530416	0.0667137	0.0128262	0.0245265	0.0102527	0.0131636	0.01142	0.00715127	0.00669155	0.0114393	0.0657972	0.38576	0.299689	0.0492666	0.104979	0.0135341	0.00409197	0.0178835	0.0419172	0.0212855	0.00946419	0.000553689	0.0112838	0.326371	0.104074	0.00461713	0.0229205	0.0157759	0.0367298	0.106602	0.0283882	0.0540718	0.0608352	0.172286	0.0715132	0.0390066	0.0464906	0.110913	0.0154595	0.055273	0.0290219	0.00351169	0.00536256	0.0233939	0.20815	0.0271346	0.115326	0.0159828	0.0598254	0.0716308	0.128792	0.128249	0.0979181	0.00568927	0.0497262	0.202416	0.0209629	0.0410164	0.108611	0.0379656	0.10385	0.00898655	0.0646029	0.245923	0.0350105	0.0612454	0.0193712	0.0935279	0.131933	0.209389	0.0118268	0.00023683	0.00915217	0.00612297	0.087665	0.202148	0.0118546	0.0199705	0.106969	0.150387	0.0296057	0.529642	0.0179254	0.224579	0.105093	0.116997	0.0104915	0.0648768	0.0142344	0.0504219	0.144021	0.0298915	0.241891	0.018107	0.105245	0.347109	0.0435735	0.00154642	0.0462255	0.0245564	0.13511	0.0332912	0.029549	0.324865	0.0318549	0.0336316	0.132677	0.242081	0.015061	0.0228834	0.0252623	0.0739306	0.0034508	0.151139	0.497439	1.01101	2.34041	4	10.14328
5000	-2153.297	-2167.914	14.61656	2	1.028592	0.0323578	0.219035	0.0555	0.0215183	0.0131993	0.0240067	0.0107602	0.0520949	0.0209539	0.103695	0.0528242	0.0428636	0.0142465	0.0856169	0.0509874	0.0272437	0.00115764	0.016105	0.0249267	0.0354699	0.0149228	0.00192912	0.0232859	0.00723702	0.0329918	0.0396732	0.00606182	0.0353877	0.0162761	0.00486149	0.00208464	0.0104545	0.0165842	0.0218918	0.0226102	0.00944062	0.482801	0.14535	0.0418894	0.00788936	0.00598875	0.00565395	0.0509003	0.00536605	0.0030544	0.0174773	0.00308022	0.193847	0.0787715	0.0119273	0.0254842	0.014928	0.0246149	0.11444	0.0771692	0.021355	0.0553125	0.161607	0.090911	0.0557969	0.0421286	0.0991288	0.00897715	0.047503	0.00796664	0.00241008	0.00588719	0.0254683	0.0724065	0.0588486	0.122835	0.0348765	0.0174655	0.123871	0.0615659	0.0062849	0.101166	0.00314545	0.00237029	0.0222699	0.0350358	0.0143168	0.325935	0.035314	0.0476907	0.0424192	0.0423864	0.0863833	0.0673209	0.00602879	0.0016535	0.0137275	0.0458332	0.0329913	0.0480296	0.0174762	0.00901736	0.100515	0.0204646	0.0200597	0.406031	0.0036905	0.0408874	0.364641	0.0186533	0.0137771	0.045821	0.207477	0.184411	0.0246921	0.0753088	0.0326929	0.0837454	0.143682	0.124989	0.105382	0.00158518	0.00863428	0.0910835	0.0250258	0.00199496	0.0442613	0.0179133	0.0393592	0.0478286	0.27075	0.0506636	0.071976	0.157838	0.037476	0.0290131	0.0548631	0.180116	0.000238627	0.00463899	0.00615878	0.0492213	0.142623	0.48518	1.00458	2.36762	4	7.811565
6000	-2165.558	-2169.587	4.02909	2	0.9441754	0.185144	0.154422	0.00571913	0.0203785	0.00720873	0.0101934	0.120838	0.0661517	0.0396355	0.0479146	0.0223897	0.00813731	0.00281966	0.0202484	0.00343943	0.0225558	0.00411728	0.079927	0.114828	0.0286244	0.0978746	0.0309452	0.0193013	0.0136724	0.0375638	0.0310053	0.00533479	0.00687624	0.0173732	0.077	0.00795425	0.0115016	0.0535568	0.0272175	0.0469365	0.0494088	0.385023	0.134792	0.055409	0.00286027	0.0194002	0.0331777	0.0639584	0.0134732	0.0275447	0.00915794	0.0152268	0.186431	0.0413183	0.0172406	0.0272898	0.0466059	0.0895056	0.0944689	0.0625416	0.036174	0.0366845	0.19765	0.139476	0.0405465	0.0197193	0.147996	0.00465989	0.0536632	0.0299629	0.0218036	0.00648049	0.0197632	0.0382881	0.0630204	0.114345	0.0169187	0.0815734	0.0377314	0.0881571	0.0177541	0.0585736	0.0334863	0.127065	0.0126117	0.0937951	0.116048	0.248934	0.0106263	0.0444306	0.163547	0.284931	0.295244	0.0531007	0.0162164	0.0647208	0.311491	0.0219812	0.0265583	0.00967874	0.0388564	0.00813953	0.0363339	0.000433698	0.11124	0.649037	0.0301886	0.0114061	0.192644	0.0418036	0.0157741	0.0955593	0.0316493	0.0433102	0.0741542	0.0666803	0.0718504	0.0883693	0.399904	0.124689	0.0420412	0.000819702	0.0246961	0.00703797	0.0427275	0.00270551	0.0192755	0.211051	0.0546934	0.163303	0.0118771	0.0756162	0.0261503	0.145714	0.0771395	0.0501328	0.0355099	0.216098	0.00455634	0.0870199	0.019304	0.018921	0.125685	0.459304	0.990097	2.42491	4	9.49746
7000	-2154.066	-2160.942	6.876113	2	1.06607	0.140599	0.180722	0.190963	0.00187962	0.0121059	0.00460956	0.0475861	0.0504408	0.0264708	0.0307152	0.0541972	0.0301096	0.0280511	0.0723083	0.00354508	0.0350949	0.00738839	0.0520662	0.0826054	0.0164915	0.0461185	0.00877657	0.00874328	0.00955003	0.0765038	0.0276962	0.00289243	0.00071833	0.0418656	0.00202547	0.000590024	0.0052051	0.0117816	0.00776365	0.0522497	0.0463924	0.514552	0.128215	0.0622383	0.012464	0.0100288	0.0136883	0.0487195	0.0104531	0.0113866	0.00409655	0.00539219	0.227394	0.0554048	0.0132275	0.0751131	0.0325372	0.0486507	0.087315	0.0610004	0.00555412	0.0445668	0.190903	0.130016	0.0137886	0.0322418	0.0579466	0.0459223	0.0787219	0.0111242	0.0737447	0.00824505	0.10805	0.101766	0.0313057	0.171763	0.0176958	0.111799	0.0404782	0.0754705	0.0354236	0.0299104	0.0133985	0.148292	0.234582	0.0767273	0.186406	0.0604445	0.0641888	0.0291183	0.0596731	0.0223718	0.368602	0.171265	0.00512935	0.078315	0.0814499	0.0244503	0.107313	0.0850691	0.00125959	0.00542321	0.0660235	0.0269855	0.0298166	0.480394	0.0700586	0.0852194	0.380933	0.044007	0.00017031	0.150265	0.124375	0.0624148	0.00852837	0.0121105	0.0393717	0.0636182	0.229651	0.0983628	0.00595961	0.145375	0.0345315	0.00637745	0.0884838	0.029472	0.0532319	0.0086743	0.0491747	0.0744813	0.310271	0.0524291	0.0544953	0.134831	0.00760137	0.0397545	0.0225172	0.0735828	0.028738	0.0385288	0.0204787	0.152964	0.149945	0.495748	1.01014	2.34417	4	9.48287
8000	-2194.638	-2188.367	-6.271215	2	0.6859435	0.207902	0.139869	0.0402313	0.0107112	0.000411289	0.0180171	0.0530842	0.00455679	0.0666998	0.099732	0.042556	0.00777466	0.0266456	0.217368	0.0106731	0.0807011	0.00404684	0.0207833	0.0551225	0.0679177	0.217602	0.00878829	0.0532562	0.0133999	0.116175	0.0108764	0.023479	0.0138007	0.0492497	0.000896373	0.0138293	0.00417681	0.0338643	0.00921574	0.0310408	0.0181379	0.561507	0.0236645	0.139935	0.0281797	0.0148297	0.00472571	0.049058	0.00170454	0.0072748	0.0225691	0.000833017	0.403102	0.0590515	0.0229301	0.079012	0.0196268	0.107934	0.0417147	0.104151	0.00238676	0.0954122	0.229192	0.141846	0.0308775	0.0611321	0.128807	0.0151606	0.0599838	0.00412435	0.125576	0.0223987	0.00799988	0.0437857	0.0632588	0.242996	0.0762512	0.0262317	0.0318124	0.0571444	0.0139561	0.0956697	0.00422534	0.269768	0.135762	0.0575441	0.0491029	0.251945	0.00811717	0.0283943	0.0445789	0.0199442	0.43055	0.0817142	0.0637451	0.0569231	0.109677	0.0701194	0.0199809	0.115784	0.116506	0.0459942	0.0191222	0.167001	0.00444826	0.220466	0.0306674	0.0489394	0.12583	0.182101	0.0830137	0.0135884	0.183063	0.0896096	0.0782341	0.0724347	0.193191	0.0767797	0.228139	0.134116	0.0129112	0.0629228	0.0136642	0.0115938	0.000148262	0.0638047	0.08709	0.205757	0.019374	0.0509012	0.213258	0.00221848	0.0737644	0.049632	0.0374297	0.0117381	0.0343826	0.0477134	0.0122196	0.0790941	0.271119	0.00843268	0.0711887	0.356822	0.919546	2.65244	4	10.36069
9000	-2158.176	-2178.342	20.16538	2	1.084915	0.135269	0.141181	0.000941377	0.0141339	0.00939059	0.0276938	0.0421022	0.0936258	0.0546462	0.033297	0.0528854	0.0493332	0.0543587	0.00168721	0.0551431	0.0730844	0.0208643	0.0660022	0.0245777	0.0315131	0.0580005	0.051071	0.0551826	0.012822	0.0924988	0.0325764	0.00586409	0.0722905	0.0216946	0.00576318	0.00381601	0.0109367	0.0511471	0.019011	0.00896282	0.0291405	0.242072	0.0856478	0.173233	0.0304891	0.00726073	0.0214318	0.0303106	0.0424989	0.00144747	0.00144877	0.00993472	0.30486	0.108997	0.0135175	0.0231201	0.00377674	0.0536149	0.0815684	0.0232455	0.0195312	0.0580992	0.0953879	0.0299103	0.0525308	0.0683479	0.0633786	0.0222	0.0754158	0.0137557	0.00287831	0.0161017	0.0102038	0.00480049	0.0271722	0.128315	0.0334917	0.0254966	0.00540906	0.058657	0.026549	0.043238	0.0139478	0.0546976	0.0441818	0.0103161	0.0327588	0.119885	0.168574	0.00573319	0.0338677	0.0141903	0.205357	0.0545252	0.0773492	0.212476	0.0763445	0.0935334	0.22546	0.0570116	0.00366709	0.0341208	0.00101744	0.0539553	0.0500397	0.0565993	0.0162157	0.00543571	0.16944	0.019302	0.0901124	0.0360052	0.0147207	0.16714	0.0334267	0.0295776	0.027638	0.0722692	0.151775	0.159523	0.214346	0.086463	0.0356406	0.037914	0.135879	0.051669	0.0318626	0.0820114	0.0148809	0.0544028	0.228127	0.0373773	0.0127534	0.0440262	0.128928	0.0178213	0.0311125	0.0557469	0.0641341	0.0667948	0.000442391	0.010464	0.153579	0.500867	1.01276	2.3328	4	7.786841
