Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-108.7392	-175.4759	66.73666	10	1.541301	0.0830895	0.0425226	0.0199595	0.0965064	0.097453	0.0446346	0.0958679	0.30924	0.0595603	0.06731	0.0296496	0.0780084	0.110942	0.120338	7.31479e-05	0.0494707	0.0967226	0.110146	0.116951	0.0762583	0.183715	0.231633	0.59529	1.05276	2.12032	5	1.888418
1000	-74.50974	-130.8536	56.3439	10	0.8208298	0.0707678	0.0452832	0.175557	0.222131	0.141862	0.0645969	0.0584511	0.0741418	0.0177843	0.340719	0.082062	0.154901	0.305253	0.119742	0.233132	0.174665	0.0881292	0.143186	0.022545	0.0411967	0.303144	0.0999828	0.415387	0.962564	2.52207	5	2.879249
2000	-60.1275	-126.2924	66.16494	10	0.6949489	0.0368833	0.0652716	0.0970572	0.00396437	0.337027	0.0218675	0.0625041	0.0680046	0.0171879	0.291031	0.0458146	0.080152	0.260362	0.241369	0.02541	0.223613	0.275202	0.0878602	0.108415	0.0322615	0.0739772	0.0731097	0.361137	0.922982	2.64277	5	2.455236
3000	-66.39138	-128.7614	62.37004	10	3.993428	0.0254782	0.0388959	0.0754882	0.0476626	0.120885	0.00873234	0.132393	0.0268439	0.0260553	0.283809	0.012815	0.265841	0.00724803	0.125053	0.0343092	0.115443	0.0242576	0.0650378	0.220592	0.0930403	0.0578236	0.454001	0.774982	1.0844	1.68662	5	1.807704
4000	-53.35779	-125.3605	72.00268	10	0.4329961	0.0298776	0.1068	0.15339	0.02025	0.0545912	0.142881	0.000350053	0.0161643	0.001519	0.0857908	0.0363142	0.0543712	0.00235849	0.0894471	0.0427124	0.0380335	0.0156284	0.130877	0.222215	0.0270822	0.345595	0.0217481	0.205946	0.764653	3.00765	5	1.616247
5000	-53.39983	-123.8683	70.4685	10	0.3612495	0.0696397	0.128489	0.0941019	0.0379625	0.0689505	0.0228957	0.000536539	0.0807064	0.0166133	0.0252823	0.0998056	0.111531	0.275667	0.0179951	0.0637337	0.0160914	0.162071	0.014711	0.129847	0.151717	0.180532	0.0115438	0.152276	0.685697	3.15048	5	1.768879
6000	-49.76135	-122.1249	72.3636	10	1.57925	0.035895	0.0852108	0.0995681	0.0702258	0.212375	0.0215429	0.00148994	0.0251656	0.0909793	0.0756247	0.130843	0.0143727	0.0258817	0.213388	0.0278558	0.107399	0.129172	0.253868	0.117721	0.0520676	0.122477	0.237309	0.601237	1.05476	2.1067	5	1.913122
7000	-51.11625	-121.1507	70.03445	10	0.1936393	0.0483776	0.0280533	0.167163	0.0690226	0.1007	0.05889	0.0251931	0.0263706	0.00764058	0.182879	0.00424609	0.00825718	0.0495606	0.0863228	0.0927259	0.0196163	0.323151	0.0194303	0.179017	0.154274	0.0377787	0.000423398	0.0301885	0.366854	3.60253	5	1.68867
8000	-73.55696	-127.5984	54.04148	10	0.3592365	0.0122831	0.207545	0.0980509	0.0452631	0.17016	0.00789431	0.00883641	0.120209	0.0544071	0.13868	0.0622574	0.00823157	0.0386429	0.0129125	0.277681	0.245281	0.0328438	0.0767982	0.600298	0.136072	0.0687989	0.0112994	0.15072	0.683115	3.15487	5	2.423148
9000	-63.28972	-125.009	61.7193	10	0.3082642	0.0676177	0.00218939	0.0130016	0.0855986	0.132139	0.024248	0.00641629	0.0570107	0.0743378	0.479457	0.114201	0.278273	0.5293	0.000627027	0.147854	0.266612	0.0210784	0.0473311	0.0154215	0.0490222	0.0960673	0.00598961	0.110938	0.609424	3.27365	5	2.507803
10000	-76.44423	-126.3854	49.94121	10	1.169301	0.00771128	0.149414	0.0902883	0.17412	0.318515	0.185912	0.0085935	0.00151702	0.0922205	0.469613	0.0300162	0.318382	0.00515708	0.100667	0.334629	0.418136	0.0523732	0.0715414	0.339645	0.0365064	0.115985	0.169446	0.522329	1.02323	2.285	5	3.320942
11000	-67.88851	-128.4259	60.53741	10	4.597866	0.0436157	0.00660043	0.277637	0.015557	0.115361	0.0328345	0.000867603	0.00042028	0.0956339	0.170123	0.184529	0.0864035	0.0670249	0.116754	0.0464233	0.13502	0.230208	0.325387	0.120917	0.0360533	0.036192	0.484467	0.793639	1.08392	1.63797	5	2.143562
12000	-62.88811	-125.3008	62.41267	10	0.4603194	0.0268931	0.162732	0.132574	0.0497844	0.221641	0.11723	0.0258339	0.00723175	0.051487	0.188148	0.0995103	0.158368	0.266307	0.117302	0.054841	0.0303287	0.0750051	0.050841	0.026367	0.188277	0.441401	0.0262906	0.225224	0.789101	2.95938	5	2.492102
13000	-81.22431	-130.8715	49.64718	10	1.616517	0.0601973	0.170961	0.0644603	0.224641	0.374232	0.0271043	0.0120423	0.0256013	0.185699	0.287425	0.0403568	0.195827	0.0128842	0.0752796	0.171079	0.0621618	0.0167455	0.173638	0.315436	0.0475967	0.184074	0.242774	0.606868	1.05659	2.09377	5	2.727443
14000	-55.87778	-123.1296	67.25182	10	0.30936	0.0534204	0.115144	0.115305	0.00864231	0.0938725	0.148225	0.00560243	0.0648977	0.0236476	0.23281	0.0147365	0.0627586	0.0483102	0.0761677	0.0206991	0.0108015	0.187867	0.29876	0.19303	0.256476	0.076257	0.00608524	0.111793	0.611192	3.27093	5	2.10743
15000	-52.21334	-119.7259	67.51259	10	1.237984	0.00468596	0.115045	0.202194	0.0489384	0.183026	0.0260082	0.0860685	0.0337055	0.0236259	0.177965	0.00153395	0.0567962	0.13539	0.222289	0.362909	0.020955	0.0398	0.0638582	0.0100591	0.162795	0.175393	0.181869	0.538214	1.03045	2.24947	5	2.153041
16000	-66.3295	-125.1309	58.80136	10	3.347839	0.140143	0.010599	0.171021	0.05618	0.229936	0.0179362	0.00217427	0.030127	0.105288	0.244907	0.0308705	0.125659	0.112187	0.2745	0.0329411	0.100302	0.0885401	0.108204	0.262776	0.00399035	0.154511	0.414501	0.749134	1.08377	1.7526	5	2.302793
17000	-68.42202	-130.007	61.58503	10	0.4149069	0.0684567	0.0434964	0.210984	0.0759828	0.0643698	0.00459577	0.0451173	0.126473	0.0589204	0.0374994	0.0622983	0.00366115	0.24278	0.177	0.0639864	0.0306154	0.124076	0.0678538	0.136357	0.207953	0.195322	0.0189224	0.192801	0.74692	3.04136	5	2.047799
18000	-68.05744	-129.4312	61.37372	10	3.516182	0.165824	0.184345	0.0420776	0.0943451	0.210873	0.0230078	0.0119795	0.0313971	0.0772036	0.297248	0.00984195	0.0975106	0.0319726	0.0187147	0.0401828	0.0743235	0.0063017	0.0357472	0.226642	0.0745915	0.00223942	0.425633	0.75662	1.0841	1.73365	5	1.756369
19000	-66.69198	-126.2192	59.52718	10	0.4562663	0.0122609	0.0805064	0.0329249	0.00993706	0.00522708	0.0109876	0.00203882	0.0183212	0.00476173	0.265851	0.0491474	0.0783461	0.010494	0.0727966	0.0918683	0.100784	0.079471	0.386931	0.0651197	0.109938	0.068243	0.0255974	0.22241	0.78564	2.96635	5	1.555955
20000	-45.76852	-119.6345	73.866	10	0.3109491	0.0540343	0.00117108	0.0871587	0.0659704	0.198155	0.106523	0.0054076	0.00508266	0.0365943	0.0644313	0.0253793	0.0164062	0.141492	0.114906	0.177764	0.0145494	0.0414359	0.042933	0.292727	0.0143681	0.00922575	0.00622543	0.113035	0.61374	3.267	5	1.515716
21000	-72.41144	-130.8086	58.39713	10	0.6946173	0.019766	0.0419938	0.185465	0.176404	0.187684	0.100817	0.0628945	0.0260723	0.0361957	0.41343	0.127266	0.202241	0.174061	0.0112612	0.100605	0.00566787	0.100776	0.0303191	0.134005	0.000637397	0.105428	0.0730389	0.360979	0.922857	2.64312	5	2.242989
22000	-60.67892	-131.2669	70.58799	10	1.186308	0.0142853	0.255012	0.0100332	0.0698338	0.147098	0.0601038	0.00399612	0.0105548	0.0286068	0.152788	0.146947	0.0275253	0.0533003	0.0905305	0.0363306	0.077586	0.108127	0.0225675	0.00467155	0.351222	0.178625	0.172563	0.526387	1.02512	2.27593	5	1.849745
23000	-80.16118	-133.4003	53.23912	10	0.7364598	0.100425	0.605663	0.0375125	0.116146	0.199156	0.0949056	0.0777461	0.00257872	0.0328717	0.106238	0.0335588	0.0438719	0.333892	0.0147664	0.0150893	0.0378951	0.303106	0.0839455	0.122207	0.0882582	0.24843	0.0819869	0.380237	0.937665	2.60011	5	2.698263
24000	-57.17719	-120.7967	63.61953	10	1.149747	0.0382859	0.196643	0.26635	0.152723	0.0586483	0.0528257	0.0591497	0.00222292	0.0528076	0.30984	0.0535419	0.0855394	0.113462	0.0222855	0.212108	0.0983173	0.0049599	0.0700777	0.0423535	0.315075	0.122109	0.165828	0.517558	1.02097	2.29564	5	2.329324
