Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-107.1467	-139.0932	31.94651	2	0.4396049	0.148511	0.0776446	0.0933047	0.112343	0.00206145	0.0564747	0.124155	0.0157067	0.0867609	0.359346	0.264521	0.335315	0.127647	0.0334583	0.0361379	0.0228179	0.210674	0.770813	2.9957	4	1.873387
1000	-57.89813	-92.21455	34.31642	2	0.2746382	0.00879653	0.195133	0.0222851	0.0506982	0.0412005	0.112991	0.12225	0.027175	0.0873058	0.118816	0.0503772	0.0615539	0.258576	0.0371769	0.248661	0.00346394	0.084974	0.550648	3.36091	4	1.442996
2000	-65.67936	-95.56627	29.88691	2	0.3873402	0.143352	0.100406	0.243817	0.156907	0.19397	0.0474257	0.145445	0.0137763	0.034099	0.2906	0.00111045	0.0743008	0.29003	0.242984	0.0708105	0.0149312	0.172237	0.71721	3.09562	4	2.049034
3000	-38.42761	-90.47535	52.04774	10	0.9862074	0.0431795	0.0346053	0.140307	0.0226255	0.131254	0.0462993	0.128924	0.138036	0.0385805	0.261777	0.0388463	0.275509	0.165118	0.103306	0.507682	0.134194	0.472567	0.997677	2.39556	5	2.07605
4000	-36.61236	-92.69447	56.08211	10	0.2835184	0.0313357	0.164463	0.115844	0.0441618	0.173968	0.0367105	0.0223243	0.0278839	0.0470449	0.189091	0.0853186	0.0751744	0.187851	0.0200852	0.0646719	0.00405381	0.0917515	0.567057	3.33714	5	1.285928
5000	-30.39244	-88.27103	57.87859	10	0.2832548	0.0599263	0.110103	0.0106448	0.114139	0.00201138	0.143489	0.00942053	0.018332	0.00253666	0.068586	0.143531	0.438495	0.0368145	0.206624	0.0228611	0.0040355	0.0915493	0.566579	3.33784	5	1.387515
6000	-33.02438	-91.67387	58.64949	10	0.06809703	0.000392445	0.0424722	0.0503599	0.0917388	0.00621017	0.0183733	0.0515199	0.00403193	0.0313628	0.0447991	0.0938285	0.0412417	0.262988	0.117492	0.0924885	7.9993e-10	4.21388e-05	0.02442	3.97554	5	0.9492997
7000	-29.06178	-89.08497	60.02318	10	0.09223524	0.00237239	0.0152443	0.0632694	0.0530348	0.160066	0.0193321	0.00416668	0.0904878	0.0245108	0.318471	0.15547	0.0209592	0.275057	0.0831555	0.0721348	1.64102e-07	0.000602301	0.0736533	3.92574	5	1.357732
8000	-71.63196	-95.12501	23.49304	2	2.160437	0.0165889	0.261046	0.00751703	0.116914	0.316743	0.219481	0.183803	0.0819383	0.0719125	0.238854	0.350291	0.0697509	0.0211207	0.318153	0.0508727	0.311702	0.671057	1.07353	1.94371	4	2.324987
9000	-26.96972	-88.10979	61.14007	10	0.06299041	0.00817562	0.0491811	0.0672342	0.0757227	0.0554608	0.0364065	0.00669873	0.0150629	0.0204092	0.0676152	0.236756	0.194748	0.1091	0.162878	0.100451	1.53696e-10	1.84788e-05	0.017343	3.98264	5	1.205901
