Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-61.21514	-83.2156	22.00046	10	1.692955	0.0568915	0.114892	0.0216578	0.0147332	0.126922	0.0246042	0.0367769	0.179622	0.0692051	0.183694	0.22014	0.0569731	0.327495	0.253651	0.617812	1.06	2.06854	5	1.433607
1000	-33.02632	-61.89935	28.87303	10	0.09585693	0.0203627	0.102672	0.142023	0.286751	0.0940631	0.0796857	0.0850984	0.0253108	0.012245	0.0516862	0.263989	0.16719	0.0665223	2.8939e-07	0.000799569	0.0828332	3.91637	5	1.397598
2000	-25.243	-59.28003	34.03703	10	0.192502	0.0272291	0.0225926	0.0737709	0.0503334	0.115572	0.0320531	0.0752279	0.0330149	0.0632155	0.123611	0.394214	0.0824441	0.0114794	0.000405925	0.0295649	0.363807	3.60622	5	1.104757
3000	-35.54502	-61.91408	26.36906	10	0.03765763	0.0714881	0.0161702	0.0259514	0.0285206	0.0699688	0.0020535	0.0647893	0.0284422	0.277973	0.0345494	0.280486	0.155952	0.0765412	5.73778e-17	1.13146e-08	0.000805184	3.99919	5	1.132886
4000	-25.23402	-61.18003	35.94601	10	0.2600379	0.0321928	0.0981022	0.0385237	0.0686299	0.119646	0.0828702	0.137123	0.00169643	0.000950358	0.291356	0.00713829	0.019209	0.0755667	0.00261296	0.0740289	0.522181	3.40118	5	0.9730049
5000	-24.57118	-58.80903	34.23785	10	1.899774	0.111835	0.0167358	0.0294267	0.193078	0.158742	0.0599842	0.238275	0.0248794	0.00891908	0.00297378	0.112351	0.221065	0.000263539	0.28101	0.643914	1.06727	2.00781	5	1.178527
6000	-36.774	-59.99651	23.22251	2	0.3216502	0.0520606	0.0193586	0.217863	0.0385454	0.10148	0.0383399	0.0683928	0.0417949	0.294167	0.159483	0.0622411	0.0945839	0.0317131	0.00721498	0.121408	0.630432	3.24094	4	1.220023
7000	-44.35089	-60.34429	15.99341	2	1.501022	0.077316	0.0152217	0.0919001	0.203809	0.144678	0.103986	0.0496964	0.121909	0.111631	0.409047	0.175639	0.0763995	0.0668971	0.22548	0.588726	1.05048	2.13531	4	1.64813
8000	-27.26498	-62.63113	35.36615	10	0.03274633	0.0820079	0.104163	0.0268657	0.101471	0.180644	0.0538451	0.122984	0.00300095	0.0272167	0.00481445	0.0367009	0.0831965	0.1155	2.29756e-19	7.1628e-10	0.000256228	3.99974	5	0.9424102
9000	-53.41813	-63.08584	9.667708	2	1.622599	0.248948	0.167629	0.0923704	0.107266	0.379572	0.0872196	0.234354	0.093998	0.422916	0.0491902	0.0717755	0.0385783	0.203144	0.243655	0.607768	1.05688	2.0917	4	2.196959
10000	-57.50759	-66.14377	8.636182	1	1.649536	0.197739	0.03854	0.0862928	0.126429	0.315226	0.0694899	0.261799	0.0429794	0.00279233	0.119041	0.674652	0.0922194	0.0554787	0.247526	0.611692	1.05812	2.08267	3	2.082679
11000	-41.138	-63.14796	22.00995	2	1.744826	0.136491	0.036204	0.0710922	0.0380054	0.025918	0.0679859	0.063974	0.00108897	0.234901	0.139817	0.14214	0.191159	0.0104722	0.260788	0.624811	1.06206	2.05234	4	1.159249
12000	-26.77278	-59.42442	32.65165	10	0.1869209	0.0647858	0.0433376	0.022133	0.0185586	0.0889365	0.0386897	0.0348905	0.0105976	0.227867	0.110925	0.023986	0.0948273	0.226991	0.000327641	0.0265873	0.348671	3.62441	5	1.006526
