Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-476.5796	-499.5868	23.0072	10	2.070131	0.169257	0.285676	0.252586	0.000570428	0.120883	0.243912	0.0612302	0.0681587	0.0084289	0.0215282	0.125796	0.0756084	0.0648806	0.0369363	0.324676	0.342074	0.0155577	0.0358216	0.198707	0.0873225	0.0584905	0.0666506	0.0310925	0.0714779	0.109821	0.301505	0.66227	1.07165	1.96458	5	2.877141
1000	-239.4009	-260.591	21.19005	2	2.851221	0.0504978	0.00414976	0.0313575	0.0444099	0.0803256	0.0288953	0.00231723	0.0203367	0.0927857	0.0355092	0.0305108	0.0206756	0.0033853	0.0150407	0.137854	0.259169	0.0254533	0.308169	0.234275	0.000150941	0.186232	0.0898128	0.105936	0.143982	0.170331	0.377414	0.722943	1.08168	1.81797	4	2.121562
2000	-229.353	-259.0561	29.70313	10	1.748734	0.0649213	0.00603561	0.017624	0.00761503	0.0977923	0.0247151	0.0121415	0.0173519	0.0727123	0.100867	0.0112583	0.048678	0.00891106	0.00123235	0.348689	0.122498	0.62256	0.0576337	0.100206	0.024672	0.223494	0.270563	0.0485801	0.0183835	0.00654011	0.261318	0.625325	1.06221	2.05114	5	2.335675
3000	-253.1362	-269.4709	16.33477	2	3.516149	0.0620242	0.0234859	0.115951	0.0443675	0.155776	0.0159178	0.00511771	0.0357224	0.0540501	0.0166702	0.0119317	0.0198232	0.0116555	0.0102287	0.400709	0.0424251	0.311292	0.0240254	0.159782	0.0200633	0.0960637	0.113857	0.192907	0.339494	0.185947	0.425631	0.756618	1.0841	1.73365	4	2.469287
4000	-251.5497	-275.5899	24.04028	10	2.48655	0.0487696	0.00470897	0.0398409	0.0305952	0.0535066	0.0250178	0.107504	0.00367326	0.0311625	0.0579829	0.00315539	0.0434534	0.0208585	0.00127619	0.650685	0.0182304	0.0918	0.519793	0.139191	0.0294931	0.119827	0.154995	0.0383872	0.0283774	0.309036	0.345178	0.698449	1.07847	1.8779	5	2.57132
5000	-234.1025	-270.09	35.9875	10	1.673242	0.0187509	0.00601201	0.0159469	0.0638099	0.0169953	0.00527698	0.0499916	0.148925	0.0583383	0.0116234	0.052936	0.0187039	0.00607055	0.0161759	0.130206	0.0183345	0.00204171	0.0350426	0.0661446	0.0691648	0.258772	0.124264	0.0460312	0.200634	0.585553	0.250887	0.615064	1.05916	2.07489	5	2.025744
6000	-227.0935	-260.4829	33.38931	10	1.911173	0.0220066	0.0281778	0.0184126	0.0787466	0.0882607	0.0499436	0.0146031	0.00396033	0.0447226	0.0194306	0.0560934	0.00541864	0.00345344	0.00753868	0.042916	0.0312864	0.104982	0.00113999	0.244834	0.0849938	0.120963	0.166162	0.206587	0.207148	0.482054	0.282436	0.645223	1.0676	2.00474	5	2.133835
7000	-245.3931	-266.5393	21.14625	10	1.833053	0.0402521	0.0469298	0.0110146	0.0669658	0.0613716	0.0721326	0.152783	0.00776999	0.0377892	0.120764	0.0440868	0.0889483	0.0049388	0.000864657	0.129896	0.0260496	0.124499	0.0191199	0.303361	0.202423	0.0266856	0.126108	0.144996	0.266755	0.263657	0.272498	0.635999	1.06519	2.02631	5	2.390159
8000	-227.6925	-260.6535	32.96099	10	0.91059	0.0154667	0.00150966	0.0136321	0.0509437	0.0787398	0.0130896	0.0134412	0.0292905	0.0560057	0.0831813	0.0174286	0.0516409	0.0185192	0.0247252	0.00487897	0.0557712	0.139323	0.0353414	0.0401354	0.26133	0.156121	0.0509824	0.103168	0.2732	0.36747	0.118787	0.448123	0.983447	2.44964	5	1.955337
9000	-239.1775	-266.2051	27.02764	2	1.25145	0.0623012	0.0209626	0.0306775	0.012575	0.0403728	0.047444	0.020104	0.000268721	0.0475916	0.0215703	0.0461281	0.0216315	0.0386772	0.0281609	0.00148125	0.0792877	0.0235706	0.229331	0.142952	0.150266	0.0365298	0.140405	0.0482819	0.181421	0.249844	0.184253	0.541178	1.03175	2.24282	4	1.721837
10000	-230.8964	-259.1704	28.27399	2	0.8620099	0.00732838	0.00409936	0.0371341	0.0606847	0.0386624	0.00314564	0.0347618	0.0276241	0.0576336	0.0218574	0.0135546	0.0217328	0.00150904	0.00745451	0.0257363	0.432723	0.0424359	0.145586	0.00492468	0.0629761	0.172599	0.0769885	0.125025	0.195494	0.0595709	0.108669	0.430951	0.97276	2.48762	4	1.681242
11000	-225.9062	-259.097	33.19075	10	1.266855	0.0333474	0.00120552	0.0251777	0.0100922	0.0271253	0.00577538	0.0225092	0.0101148	0.132715	0.0150447	0.0316976	0.100824	0.00446379	0.0481029	0.247743	0.406805	0.172715	0.00812531	0.017636	0.186524	0.235688	0.125842	0.067889	0.0504695	0.00235657	0.18696	0.544512	1.03319	2.23534	5	1.989989
12000	-249.1491	-264.0513	14.90224	10	2.849405	0.0513376	0.00353709	0.0686354	0.14638	0.111819	0.0028452	0.0197508	0.0469418	0.012648	0.0507628	0.0799707	0.0376717	0.0464264	0.000476119	0.234999	0.112722	0.119066	0.527346	0.039956	0.136525	0.311498	0.0795631	0.142218	0.0332646	0.424853	0.377265	0.722834	1.08166	1.81824	5	2.841214
13000	-226.4912	-259.6907	33.1995	10	1.364424	0.022652	0.0134925	0.0200741	0.0267107	0.0255212	0.033467	0.0192877	0.0133586	0.00865296	0.082382	0.0477914	0.0257292	0.00193323	0.00061767	0.235079	0.0718851	0.127357	0.1079	0.0366724	0.0339579	0.128413	0.331626	0.226608	0.00636334	0.151191	0.203599	0.564316	1.04136	2.19073	5	1.798722
14000	-241.6231	-271.0041	29.38102	10	2.644783	0.0154573	0.0244598	0.028923	0.0501793	0.0644164	0.0656934	0.0096517	0.00824026	0.0351691	0.0437471	0.0355716	0.040472	0.0266578	0.0097352	0.129302	0.115123	0.0882373	0.274735	0.188706	0.197052	0.132717	0.0314167	0.159598	0.0562036	0.067541	0.359767	0.709748	1.0801	1.85039	5	1.899007
15000	-228.5762	-261.6116	33.03533	10	1.847576	0.0378912	0.0184796	0.0644626	0.0352296	0.118899	0.0116498	0.00845349	0.00615388	0.114365	0.0207343	0.0039067	0.0607483	0.0229299	0.00386753	0.229397	0.16437	0.136238	0.147126	0.0582372	0.137505	0.157548	0.0307498	0.0891365	0.00978516	0.291578	0.274375	0.63776	1.06566	2.0222	5	1.97944
16000	-224.1554	-257.0948	32.93943	10	1.317655	0.00613253	0.00348865	0.0627523	0.00783656	0.112752	0.0173495	0.0305805	0.0299616	0.0843022	0.0348309	0.00990617	0.0260648	0.0016921	0.0051717	0.103187	0.170162	0.426253	0.129537	0.198954	0.196936	0.047858	0.110585	0.0814651	0.0128498	0.0790447	0.195731	0.555095	1.03764	2.21153	5	1.989653
17000	-238.2966	-267.4898	29.19326	10	4.500818	0.0198143	0.0220969	0.00876082	0.157281	0.109349	0.0229551	0.0231733	0.0943237	0.0812088	0.000138892	0.00724314	0.0588353	0.0484302	0.0226622	0.053096	0.149528	0.336262	0.248462	0.000344397	0.202511	0.0514189	0.20182	0.0441791	0.0391512	0.13324	0.479924	0.790923	1.08404	1.64511	5	2.136286
