Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1009.307	-1043.188	33.88132	10	2.527735	0.155669	0.0280727	0.0106218	0.0510949	0.107017	0.0735454	0.0149186	0.0771103	0.120218	0.0147157	0.031219	0.0206179	0.137767	0.34907	0.7015	1.07894	1.87049	5	0.8425877
1000	-816.8001	-830.7153	13.91511	2	0.5832621	0.836031	0.0819961	0.00379254	0.0834728	0.0576184	0.0422105	0.113013	0.194649	0.0203019	0.0641065	0.0882197	0.0993407	0.141074	0.0496752	0.302839	0.872533	2.77495	4	1.825825
2000	-805.3442	-821.1604	15.8162	2	0.2805838	1.04226	0.0721281	0.00353571	0.00372994	0.0980348	0.0306216	0.115209	0.154905	0.0278809	0.0838175	0.0569904	0.0384118	0.199697	0.00385277	0.0895034	0.561708	3.34494	4	1.927223
3000	-813.1826	-826.9385	13.75593	2	0.5510766	0.765932	0.08207	0.0157258	0.0017791	0.118514	0.00285362	0.215889	0.150739	0.0792983	0.152421	0.0868627	0.0584122	0.136947	0.0432016	0.283958	0.854149	2.81869	4	1.867445
4000	-822.609	-835.0577	12.44876	2	2.334372	0.501033	0.184922	0.0175669	0.00583685	0.0988432	0.0177464	0.30339	0.127336	0.0414409	0.168341	0.133594	0.131502	0.202266	0.330169	0.686432	1.07648	1.90692	4	1.933818
5000	-805.8627	-826.9993	21.13662	2	0.3070468	0.640913	0.0577825	0.0171629	0.0259205	0.0748702	0.0138537	0.121166	0.069946	0.0748421	0.0756444	0.0207287	0.0137977	0.0896432	0.00588433	0.109987	0.607449	3.27668	4	1.296271
6000	-816.4459	-829.6388	13.19292	1	0.4390362	0.743691	0.0893705	0.00326883	0.00198961	0.141661	0.00550744	0.211706	0.064776	0.126952	0.12994	0.0167142	0.0655349	0.146943	0.0227251	0.210269	0.770289	2.99672	3	1.748054
7000	-815.741	-831.9904	16.2494	10	0.577434	0.947085	0.179733	0.00397751	0.0237437	0.0591005	0.00872001	0.225965	0.30764	0.0153804	0.0907646	0.0406441	0.0413487	0.187671	0.0484897	0.299494	0.869355	2.78266	5	2.131772
8000	-824.4229	-838.1812	13.7583	1	0.3724709	0.735372	0.164123	0.0294846	0.0224209	0.113012	0.0366366	0.14869	0.0295427	0.0722933	0.0510333	0.105692	0.0178691	0.172004	0.0129515	0.160912	0.699686	3.12645	3	1.698173
9000	-806.0958	-827.4566	21.36086	2	0.1721573	0.547	0.133991	0.000354733	0.0149326	0.0457157	0.0233937	0.12027	0.144198	0.122801	0.0706318	0.00412901	0.103533	0.075181	0.000173816	0.0194124	0.307228	3.67319	4	1.406132
