Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-186.3312	-232.8404	46.50922	10	1.595704	0.0289882	0.0154178	0.0264445	0.0782398	0.286508	0.179505	0.141396	0.0590697	0.308634	0.0775876	0.0212094	0.032839	0.0701766	0.328701	0.250217	0.0209543	0.0842026	0.010382	0.0201359	0.188483	0.0602596	0.175458	0.0265142	0.239735	0.603748	1.05558	2.10094	5	2.491322
1000	-88.40022	-138.1623	49.76213	10	0.8376775	0.0175637	0.22123	0.0193431	0.208623	0.0399288	0.182879	0.449288	0.130119	0.0226905	0.00198887	0.0169165	0.00476363	0.206536	0.000149545	0.0483199	0.0539038	0.0746782	0.0640962	0.102249	0.0642654	0.300248	0.555405	0.157319	0.103547	0.421872	0.966872	2.50771	5	2.942503
2000	-88.52012	-151.7157	63.19556	10	0.8033997	0.0168948	0.0345924	0.0324021	0.0951041	0.0401505	0.139725	0.107014	0.038414	0.0227449	0.0171625	0.0105269	4.4637e-05	0.117897	0.0759002	0.00638431	0.0258359	0.0213973	0.188735	0.434865	0.0224539	0.0873261	0.0654885	0.0540519	0.096282	0.408499	0.957892	2.53733	5	1.655111
3000	-99.01927	-140.3643	41.34506	10	1.536595	0.00360369	0.0275631	0.0429334	0.161621	0.0228648	0.0696814	0.506734	0.120209	0.100802	0.0207057	0.0097679	0.0204802	0.141865	0.0850677	0.360621	0.099276	0.18819	0.0147253	0.24447	0.533916	0.00701513	0.0129162	0.163943	0.230921	0.594537	1.0525	2.12204	5	2.958972
4000	-96.98249	-151.9576	54.97514	10	1.037197	0.00205546	0.0513862	0.0397012	0.148115	0.137195	0.0427483	0.0324209	0.12812	0.000242111	0.0167462	0.0800432	0.00476027	0.0757214	0.0509995	0.107176	0.353235	0.0420516	0.0745927	0.013987	0.169997	0.0648144	0.0589726	0.157035	0.144315	0.487654	1.0059	2.36213	5	1.852116
5000	-81.05073	-141.5032	60.45242	10	1.565306	0.00626603	0.0107343	0.00272823	0.0249954	0.0424732	0.0907607	0.14026	0.146618	0.0232205	0.00178594	0.00946496	0.0681853	0.0858814	0.262555	0.157237	0.0874192	0.0660447	0.0084695	0.0353364	0.154764	0.035455	0.0762617	0.00375147	0.235237	0.599078	1.05404	2.11165	5	1.540668
6000	-115.5399	-147.6355	32.09563	10	1.987314	0.0293427	0.0389706	0.00770306	0.06445	0.0851577	0.0809302	1.03445	0.138774	0.0200913	0.0710675	0.0760043	0.0185708	0.08596	0.134631	0.116723	0.0432338	0.0415112	0.0917367	0.596489	0.114365	0.281672	0.170051	0.129747	0.291756	0.653658	1.06967	1.98492	5	3.471629
7000	-98.60525	-150.4489	51.84367	10	0.8483817	0.0975382	0.0268134	0.0162953	0.122701	0.0489052	0.126032	0.435143	0.019104	0.0958535	0.00452239	0.040375	0.0369188	0.123641	0.119592	0.28786	0.424911	0.109283	0.0472895	0.0325569	0.0018524	0.168286	0.0189344	0.104424	0.105804	0.425907	0.969509	2.49878	5	2.508833
8000	-92.13876	-141.8929	49.75409	10	2.870311	0.029497	0.00639856	0.0715474	0.226432	0.101956	0.113429	0.266399	0.0621258	0.0833189	0.0475743	0.0165059	0.0147895	0.00743025	0.0121611	0.0900831	0.0651834	0.113745	0.0125777	0.458873	0.51109	0.371393	0.136954	0.155768	0.378973	0.724085	1.0818	1.81515	5	2.975231
9000	-90.69164	-144.1707	53.47911	10	1.173691	0.0291583	0.028743	0.0388872	0.0448254	0.00758013	0.0979638	0.0932648	0.00389436	0.0206489	0.0217533	0.0163853	0.0215885	0.0419006	0.0280874	0.217452	0.0233533	0.191261	0.114613	0.0850577	0.349234	0.00214681	0.268901	0.258262	0.170253	0.523385	1.02372	2.28264	5	2.004963
10000	-92.65917	-150.379	57.71983	10	0.764109	0.0220215	0.023366	0.0290743	0.202178	0.0485118	0.0616354	0.163346	0.0228499	0.0255532	0.00252929	0.0320267	0.00255311	0.0624811	0.00522395	0.00169826	0.00879613	0.0871497	0.0236216	0.161024	0.00432344	0.109459	0.320001	0.0998283	0.087902	0.392272	0.946491	2.57333	5	1.519252
11000	-93.98108	-144.4251	50.44404	10	0.6691493	0.00896997	0.0390727	0.0740114	0.126451	0.28855	0.119216	0.274201	0.0848963	0.0205327	0.0488973	0.148405	0.0240205	0.00593081	0.0756479	0.229544	0.53473	0.0629101	0.115407	0.0901917	0.296792	0.162634	0.0435222	0.0198286	0.0676146	0.348603	0.912877	2.67091	5	2.894363
12000	-99.23508	-143.1432	43.90812	10	1.257495	0.00595039	0.0869286	0.111372	0.0201731	0.47738	0.124996	0.118052	0.317021	0.0782487	0.0173035	0.0566316	0.0428537	0.0315906	0.12574	0.104144	0.482781	0.0134033	0.365709	0.431684	0.0264923	0.0625837	0.165012	0.00855079	0.185318	0.542494	1.03232	2.23987	5	3.274602
