Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-173.2284	-220.7967	47.56832	10	0.5394778	0.03192	0.186214	0.0310505	0.175496	0.136991	0.112943	0.0539514	0.149221	0.00658059	0.015963	0.142083	0.123863	0.108437	0.047034	0.187663	0.042506	0.327108	0.111688	0.212451	0.0497609	0.148669	0.207977	0.0118148	0.0409178	0.276909	0.846996	2.83518	5	2.621385
1000	-97.25997	-149.5709	52.31089	10	0.3599068	0.046773	0.101589	0.00187287	0.109231	0.177816	0.0449901	0.0434736	0.0297617	0.018865	0.0182311	0.0404603	0.0390391	0.0307394	0.350422	0.0104502	0.127188	0.00380013	0.0461322	0.13683	0.0644957	0.209246	0.033223	0.115483	0.0113805	0.151238	0.683977	3.1534	5	1.800112
2000	-109.2862	-146.273	36.98687	10	0.9370863	0.05778	0.0050516	0.0108946	0.409683	0.111177	0.163593	0.0299033	0.000101622	0.00177901	0.0487107	0.152187	0.0427452	0.0359856	0.45744	0.000894213	0.114977	0.0127472	0.373959	0.214176	0.222283	0.359859	0.175507	0.509998	0.124236	0.456989	0.98874	2.43004	5	3.511431
3000	-111.9031	-148.7308	36.8277	2	0.5425533	0.0364115	0.0896869	0.0189257	0.0590028	0.142753	0.161182	0.311121	0.0244942	0.00643747	0.0620972	0.0475628	0.0228433	0.109206	0.415404	0.0313748	0.0433988	0.117513	0.015425	0.144326	0.169598	0.176793	0.0368712	0.0017428	0.0415205	0.278791	0.848922	2.83077	4	2.24417
4000	-114.1784	-147.9611	33.78271	2	2.406422	0.066754	0.022519	0.0133327	0.174257	0.09657	0.0890345	0.19952	0.3324	0.0025672	0.0121961	0.058472	0.0152386	0.148913	0.40546	0.0697981	0.143497	0.0994384	0.0923472	0.0364863	0.200167	0.0653096	0.0735795	0.0134688	0.337401	0.692274	1.07748	1.89284	4	2.431326
5000	-101.0327	-146.7734	45.74074	10	3.258734	0.0223841	0.07143	0.0961247	0.0368513	0.157162	0.021216	0.248892	0.17812	0.134801	0.0897616	0.0326959	0.00157656	0.160043	0.205328	0.278683	0.00518866	0.0271828	0.0567781	0.039837	0.0109959	0.304607	0.118372	0.421744	0.408338	0.744917	1.08353	1.76322	5	2.719774
6000	-83.48667	-139.5668	56.08014	10	2.127118	0.00721449	0.0105023	0.0316375	0.0843007	0.152183	0.0129246	0.302548	0.0833138	0.0148747	0.00218223	0.03149	0.00803265	0.0377096	0.0306511	0.117004	0.228996	0.0528327	0.373392	0.00431759	0.0335072	0.167475	0.02035	0.0667971	0.307991	0.667884	1.07287	1.95126	5	1.874236
7000	-105.1844	-144.5912	39.40681	10	1.335505	0.00317096	0.167013	0.0140364	0.214534	0.207261	0.155958	0.0551878	0.0465947	0.0643069	0.0262746	0.238315	0.0304793	0.122961	0.0150282	0.149551	0.00249128	0.188655	0.711977	0.0570261	0.355389	0.0264496	0.324526	0.0823317	0.198757	0.558671	1.0391	2.20347	5	3.259518
8000	-97.16092	-147.4903	50.32942	10	3.163162	0.0162261	0.00229549	0.0515283	0.102584	0.324866	0.000574219	0.060007	0.0962523	0.017596	0.0163945	0.118859	0.0142436	0.120855	0.0929827	0.208484	0.0365391	0.241667	0.0326385	0.0925821	0.248832	0.0388425	0.673594	0.0447073	0.401503	0.74018	1.08321	1.77511	5	2.653152
9000	-89.00199	-147.3595	58.35754	10	1.32708	0.0479916	0.10479	0.0110784	0.0577361	0.0389047	0.141132	0.377942	0.010302	0.105385	0.000249268	0.0390937	0.0355591	0.0574111	0.171013	0.0470298	0.196301	0.0789826	0.0335565	0.067663	0.0272778	0.273127	0.0880421	0.00250005	0.197332	0.556992	1.03842	2.20726	5	2.013068
10000	-88.13795	-141.4271	53.28911	10	0.472157	7.98797e-05	0.0114334	0.155243	0.0109411	0.18925	0.150272	0.160648	0.0983239	9.31285e-05	0.0114712	0.04488	0.00243207	0.15892	0.0573681	0.065469	0.348093	0.0209105	0.059512	0.262862	0.310039	0.0838796	0.00470017	0.261764	0.0283506	0.233351	0.798902	2.9394	5	2.468585
11000	-99.50916	-147.9824	48.47319	10	1.004954	0.00713479	0.00480982	0.188473	0.107016	0.0858132	0.122411	0.247942	0.00292186	0.00472374	0.00680236	0.0268492	0.0305125	0.0681897	0.0256527	0.0362095	0.0532558	0.0363059	0.0116939	0.257578	0.415855	0.0425108	0.0629272	0.314404	0.137941	0.478236	1.00082	2.38301	5	2.159992
12000	-91.21381	-143.1648	51.95103	10	1.497064	0.0149107	0.171983	0.0858315	0.0678426	0.112405	0.0604121	0.249701	0.0631058	0.00581045	0.0153355	0.00803432	0.00507855	0.0340437	0.511519	0.0585728	0.0183336	0.267661	0.159329	0.12855	0.152471	0.0106513	0.264839	0.0845056	0.224869	0.588067	1.05025	2.13682	5	2.550926
13000	-79.27031	-146.6987	67.42834	10	0.2152616	0.0117799	0.0327662	0.0429543	0.142805	0.0960989	0.0371862	0.113607	0.0379535	0.0340349	0.0118553	0.0805186	0.0139479	0.108466	0.36957	0.0185582	0.0501751	0.0466531	0.02239	0.11514	0.0102348	0.0892377	0.0804064	0.0562299	0.000866588	0.0430176	0.422304	3.53381	5	1.622569
14000	-93.22618	-144.2295	51.00329	10	0.8343646	0.00531959	0.0135084	0.0538997	0.136872	0.182259	0.302838	0.109091	0.0039423	0.0179613	0.0205115	0.205412	0.0192676	0.0354382	0.00404375	0.250315	0.366232	0.0386157	0.00289369	0.0949228	0.0773554	0.19664	0.209655	0.0914539	0.102847	0.42061	0.96604	2.5105	5	2.438449
