Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-159.1442	-208.9872	49.84306	10	0.1020274	0.0216562	0.234688	0.00367181	0.0387925	0.0412973	0.0508078	0.131945	0.23536	0.13149	0.152411	0.127003	0.0909424	0.0690775	0.0245726	0.418988	0.229282	0.19466	0.054456	0.00950582	0.0352658	0.16537	0.147744	0.115788	6.93287e-07	0.00123686	0.0992423	3.89952	5	2.724776
1000	-88.22152	-144.6077	56.38614	10	0.69326	0.0505648	0.0790315	0.111888	0.0262053	0.176436	0.0281537	0.106478	0.0605448	0.0301656	0.0300432	0.0719921	0.0458771	0.0815377	0.0235275	0.204766	0.486296	0.0642259	0.0119671	0.0681807	0.159388	0.0671993	0.206482	0.0127117	0.0727492	0.360333	0.922345	2.64457	5	2.203662
2000	-103.5731	-149.6503	46.07728	10	0.7335403	0.011537	0.00236205	0.0815643	0.42143	0.186217	0.121656	0.169373	0.000624479	0.000507777	0.181157	0.00319422	0.00410751	0.0020494	0.456657	0.0996062	0.559207	0.181582	0.0149591	0.100094	0.231071	0.0286428	0.0136135	0.151087	0.081362	0.378935	0.93669	2.60301	5	3.022298
3000	-97.31548	-144.1141	46.79862	10	2.507444	0.0602806	0.000566576	0.00385515	0.178983	0.172424	0.0673985	0.275046	0.126075	0.12527	0.00368436	0.0117915	0.0541083	0.0562497	0.0837707	0.551702	0.163083	0.0948791	0.0303294	0.105041	0.220484	0.00271978	0.210309	0.234275	0.347161	0.700007	1.07871	1.87412	5	2.832323
4000	-92.19638	-143.339	51.1426	10	0.9897696	0.0107845	0.0105187	0.0454506	0.287069	0.0478366	0.0759639	0.163412	0.0160471	0.139568	0.00243853	0.00161019	0.00566562	0.0831327	0.0485294	0.558063	0.209305	0.255774	0.114973	0.0488242	0.000869054	0.146827	0.184398	0.12649	0.134908	0.473655	0.998284	2.39315	5	2.583551
5000	-93.26045	-143.4716	50.21114	10	1.264505	0.10191	0.0831998	0.0796518	0.081243	0.148069	0.0293326	0.0672339	0.10394	0.0124627	0.0389582	0.0439808	0.0454351	0.113704	0.0734992	0.0945592	0.45008	0.298483	0.237999	0.0812633	0.114049	0.155094	0.00655474	0.0289717	0.186548	0.544008	1.03298	2.23647	5	2.489675
6000	-108.2799	-143.6054	35.3256	2	0.8539159	0.0093764	0.00714914	0.0134665	0.0629477	0.0172638	0.0688685	0.341432	0.0191266	0.00897145	0.0306781	0.0673773	0.0184476	0.116726	0.104061	0.0146409	0.0729488	0.398241	0.0367519	0.337232	0.0518426	0.0361375	0.0871576	0.0600376	0.106969	0.427968	0.970843	2.49422	4	1.980883
7000	-114.5735	-147.9684	33.39491	2	0.5180102	0.00284842	0.033063	0.0175624	0.00632636	0.146292	0.098277	0.0454137	0.060293	0.0632235	0.0206027	0.0690397	0.0581473	0.245455	0.0790817	0.436098	0.0186446	0.254775	0.0382109	0.382707	0.129693	0.005222	0.0413785	0.0775506	0.0367725	0.263511	0.832943	2.86677	4	2.329907
8000	-114.9068	-151.232	36.3252	2	1.303578	0.0159463	0.0304802	0.0282965	0.0946608	0.0546477	0.0313387	0.196953	0.039769	0.087254	0.0533623	0.118896	0.0597349	0.0448119	0.0574327	0.0215091	0.297416	0.0578941	0.0759606	0.0438581	0.0365465	0.162261	0.121373	0.205789	0.193324	0.552224	1.03645	2.218	4	1.936192
9000	-110.8625	-141.8426	30.98009	1	1.267382	0.00348379	0.0253844	0.0267551	0.00182203	0.0757014	0.0232703	0.159135	0.154105	0.0373734	0.0263125	0.0577344	0.0361322	0.084517	0.03442	0.0730835	0.00518954	0.0431771	0.199843	0.147193	0.100275	0.284589	0.274173	0.184249	0.187052	0.544625	1.03324	2.23508	3	2.057919
