Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-228.5514	-246.3063	17.75497	10	0.3464296	0.177154	0.0808167	0.0590947	0.0101174	0.115085	0.0545667	0.00711831	0.0209522	0.0918999	0.0181212	0.27066	0.0099386	0.00848473	0.0888563	0.119906	0.163166	0.0485936	0.26984	0.0717267	0.142951	0.119726	0.18652	0.0191662	0.00980414	0.140777	0.666141	3.18328	5	2.154461
1000	-88.72134	-108.587	19.86567	10	2.928564	0.00828515	0.099456	0.00252214	0.00239118	0.00847707	0.0240322	0.00762118	0.0380072	0.041418	0.0599791	0.0379974	0.0690847	0.0120995	0.0118775	0.0191556	0.0031983	0.332885	0.23641	0.364864	0.110221	0.00663551	0.033399	0.0940248	0.383659	0.727494	1.08214	1.80671	5	1.624043
2000	-99.26599	-115.3484	16.08244	2	0.9138351	0.0604109	0.0556767	0.00367722	0.0379454	0.0315996	0.0382108	0.0548724	0.0109268	0.0258929	0.0269925	0.0997453	0.0194899	0.0425298	0.0663662	0.0203175	0.0190241	0.0763169	0.145885	0.250529	0.0859456	0.0457182	0.411997	0.221463	0.119457	0.449228	0.984114	2.4472	4	1.851532
3000	-94.3978	-116.8046	22.40677	1000	1.79891	0.101041	0.0953272	0.00140937	0.00161372	0.0364078	0.00734063	0.151926	0.049481	0.109368	0.0074207	0.00468733	0.0153147	0.114976	0.258639	0.331172	0.0789883	0.160145	0.339938	0.440502	0.0695235	0.0380063	0.105695	0.00852968	0.268029	0.631772	1.06403	2.03616	6	2.527453
4000	-95.11858	-109.4654	14.34686	10	1.003018	0.0319594	0.058676	0.0132893	0.0139854	0.0496256	0.102637	0.0124478	0.019213	0.189604	0.0307456	0.0045979	0.290561	0.00358358	0.0420029	0.176039	0.146317	0.284034	0.268624	0.00441974	0.0829437	0.0373099	0.40952	0.0291561	0.137556	0.477657	1.0005	2.38429	5	2.301291
5000	-98.17269	-113.7747	15.60204	2	1.839355	0.0795215	0.0643257	0.0251953	0.0139491	0.000236869	0.00565646	0.049163	0.0313473	0.0023114	0.0262272	0.0403395	0.0931091	0.0396646	0.576952	0.0485254	0.00433961	0.315472	0.0124716	0.0335376	0.0177138	0.0321543	0.0423828	0.177861	0.273314	0.636766	1.0654	2.02452	4	1.732458
6000	-86.56287	-111.8337	25.27078	1000	1.979445	0.00160315	0.0781508	0.0465429	0.0323978	0.0229243	0.0576524	0.0283989	0.104603	0.115606	0.0202643	0.0384598	0.0233648	0.0239778	0.000250718	0.0561155	0.128619	0.0646124	0.0870756	0.673213	0.0233439	0.415009	0.0927963	0.171392	0.290809	0.65281	1.06947	1.98691	6	2.306374
7000	-94.22531	-114.2217	19.99644	10	0.7524784	0.0391908	0.139162	0.0469651	0.00824985	0.00570987	0.04939	0.138805	0.00452212	0.0780063	0.04221	0.0310633	0.0724904	0.0259883	0.12463	0.0290554	0.0413815	0.0500874	0.331763	0.153323	0.00802843	0.197267	0.0491273	0.112513	0.0854148	0.387274	0.942865	2.58445	5	1.778929
8000	-112.1776	-125.8817	13.70408	2	0.9079856	0.0213687	0.0705081	0.0296235	0.197124	0.0122133	0.0508583	0.0389323	0.00801185	0.154616	0.0129895	0.0349632	0.105474	0.0718908	0.0384994	0.019712	0.0646306	0.594205	0.166968	0.0152352	0.090491	0.105405	0.0477677	0.0130261	0.118249	0.447233	0.982907	2.45161	4	1.964514
9000	-91.84384	-110.4882	18.64438	10	1.381046	0.00758651	0.0794409	0.00148676	0.0569257	0.0221502	0.00517591	0.0255307	0.027781	0.00260533	0.0857258	0.00891337	0.0720181	0.0316755	0.357759	0.0368723	0.000758452	0.118787	0.104278	0.222685	0.0131934	0.00305101	0.160145	0.404009	0.206348	0.56748	1.0426	2.18357	5	1.848554
10000	-94.16023	-111.6387	17.47849	2	1.885357	0.144044	0.122038	0.00919635	0.0275336	0.00906898	0.0210186	0.0610376	0.0311974	0.0430972	0.00274253	0.0602105	0.0153932	0.000920368	0.00687994	0.00931462	0.00186397	0.120195	0.259807	0.0921356	0.23875	0.244538	0.0464372	0.0504717	0.279195	0.642241	1.06684	2.01173	4	1.617891
11000	-87.89521	-116.1219	28.22671	1000	0.6193945	0.0495877	0.0826552	0.059174	0.0161779	0.0101271	0.0110967	0.0983484	0.157309	0.0928792	0.0280287	0.0383593	0.0256413	0.0270302	0.00473199	0.00807506	0.0981598	0.090237	0.155387	0.219558	0.0907	0.162554	0.401747	0.164983	0.0571312	0.322882	0.8909	2.72909	6	2.092548
12000	-79.352	-111.5089	32.15691	1000	1.8023	0.0318737	0.0492714	0.00647316	0.0125757	0.00345416	0.0707369	0.0609296	0.00313343	0.0467379	0.0248922	0.0199661	0.0331156	0.0230072	0.080244	0.00333621	0.117511	0.155759	0.243169	0.264601	0.279959	0.0110506	0.142483	0.00875678	0.268476	0.632197	1.06415	2.03517	6	1.693038
