Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-552.7601	-564.8765	12.11641	10	0.7762274	0.0134897	0.416533	0.00233584	0.0791005	0.177413	0.1699	0.031481	0.0424822	0.0206183	0.192805	0.00709746	0.0321868	0.048207	0.00151196	0.2378	0.0880527	0.031255	0.0468476	0.297593	0.207842	0.0953237	0.0219905	0.0079513	0.0779676	0.144568	0.0710721	0.0912406	0.164172	0.0285205	0.298575	0.0621315	0.0626747	0.0534753	0.291887	0.0777994	0.170787	0.0212453	0.00860696	0.107998	0.0935461	0.30796	0.00706884	0.167842	0.0415061	0.0750525	0.090491	0.397384	0.950144	2.56198	5	4.695512
1000	-267.0264	-301.3051	34.27863	10	1.7135	0.0122414	0.0332633	0.0941584	0.061322	0.102432	0.0385282	0.0293925	0.188747	0.0580693	0.00944775	0.00139339	0.0280772	0.0414425	0.0315115	0.0170467	0.00505628	0.0353858	0.13364	0.000955706	0.0124427	0.0623744	0.028121	0.00194577	0.163429	0.00174885	0.0547757	0.114723	0.118427	0.15728	0.13491	0.1082	0.0657258	0.0538128	0.0242422	0.0102902	0.260254	0.0974748	0.136195	0.106326	0.0461477	0.107702	0.0156077	0.0356858	0.00715343	0.0966031	0.256501	0.620624	1.06084	2.06204	5	2.943708
2000	-281.1853	-305.1201	23.93479	1	3.812282	0.00361901	0.104736	0.0351547	0.0239861	0.104531	0.109871	0.0163408	0.0803957	0.0613516	0.00486836	0.00309132	0.000819832	0.0207656	0.0480362	0.0370625	0.0570095	0.0326098	0.0931324	0.0231012	0.00874837	0.0893972	0.0155473	0.0151378	0.0731347	0.0983176	0.0667957	0.0058549	0.0929232	0.0744634	0.179759	0.0517288	0.000848683	0.147051	0.0668016	0.114972	0.0626882	0.0788159	0.153929	0.0934683	0.0638255	0.0322161	0.092554	0.010979	0.0204472	0.0354817	0.443743	0.768457	1.08438	1.70342	3	2.606369
3000	-275.3244	-305.1849	29.86043	10	2.349504	0.00895339	0.0782267	0.0318543	0.003256	0.402767	0.0307325	0.0103497	0.0842711	0.0612402	0.0364487	0.00469085	0.0706185	0.0164816	0.0144524	0.0159058	0.0170327	0.0531123	0.00308096	0.00187842	0.16187	0.040119	0.00693978	0.0401433	0.066761	0.0206984	0.0180757	0.168896	0.00132814	0.0770469	0.0663821	0.0426387	0.0754385	0.0569818	0.196066	0.09188	0.0334095	0.0380844	0.0262097	0.301225	0.156484	0.0210961	0.0396946	0.0399904	0.0308088	0.062146	0.331708	0.687683	1.0767	1.90391	5	2.825767
4000	-290.5027	-314.6686	24.16598	10	1.181111	0.00162607	0.0827004	0.12787	0.0553249	0.160425	0.091052	0.140066	0.160429	0.0405959	0.0182709	0.0113215	0.0574533	0.0325883	0.0272171	0.0116863	0.0651494	0.141716	0.0496953	0.0157684	0.0108891	0.0485426	0.0723719	0.0104587	0.0597444	0.0625163	0.0340998	0.00491328	0.191531	0.0828136	0.038619	0.168536	0.125367	0.0138525	0.0343463	0.0113007	0.154499	0.0301327	0.00731972	0.0918486	0.243798	0.246902	0.145946	0.0797728	0.100336	0.0461095	0.171613	0.525156	1.02455	2.27868	5	3.407521
5000	-261.5283	-301.8607	40.33243	10	1.551473	0.00160775	0.124318	0.0683795	0.0517371	0.115333	0.0501446	0.0489733	0.0636814	0.0987083	0.0587881	0.033568	0.00754866	0.00275592	0.0164769	0.0315116	0.0308192	0.106889	0.0173326	0.0658943	0.0101408	0.0118922	0.105576	0.0545815	0.107749	0.0261975	0.0171039	0.132553	0.015302	0.0180166	0.108606	0.0107067	0.127156	0.0314937	0.0379173	0.00810447	0.227491	0.260637	0.0798926	0.0300304	0.00937758	0.11865	0.0349597	0.000612567	0.0124008	0.0303513	0.233166	0.596906	1.05331	2.11662	5	2.621965
6000	-268.6	-303.5235	34.92348	10	1.806261	0.0291084	0.0459541	0.10952	0.301261	0.108457	0.0960298	0.00859802	0.127511	0.0620264	0.0232637	0.00477323	0.0394006	0.0272974	0.0781388	0.021039	0.0452509	0.118202	0.00668556	0.0700304	0.00992594	0.0149264	0.0545489	0.039818	0.0247228	0.0393494	0.00374541	0.149379	0.0256158	0.140583	0.0446338	0.0126275	0.211648	0.000200009	0.0279467	0.0396702	0.044399	0.0183809	0.0118841	0.145551	0.0154681	0.0788973	0.0755721	0.0892778	0.0746481	0.146131	0.268998	0.632692	1.06429	2.03402	5	2.862096
7000	-275.0585	-308.025	32.96652	10	1.863631	0.0286989	0.0462279	0.0148493	0.0485948	0.32233	0.131363	0.0230957	0.224595	0.0363637	0.0182434	0.046336	0.0143384	0.00603228	0.0036125	0.0153097	0.0349081	0.0496072	0.0654117	0.0296288	0.0816476	0.0731105	0.0185866	0.025218	0.0198633	0.0411523	0.00905934	0.0853548	0.267271	0.179263	0.100436	0.0475222	0.257558	0.0867193	0.0932206	0.192656	0.127573	0.0251559	0.0841108	0.0115291	0.0293959	0.0798712	0.062839	0.0384663	0.00122818	0.0141474	0.276434	0.639682	1.06617	2.01771	5	3.212501
8000	-282.3587	-308.7999	26.44118	2	1.176424	0.024871	0.0881772	0.0445543	0.0644737	0.130489	0.0878525	0.0142842	0.085793	0.0780646	0.00572604	0.0204971	0.0206243	0.0556695	0.0198865	0.0124247	0.103492	0.0384448	0.00712016	0.00723096	0.0281644	0.0545236	0.00603014	0.0223138	0.0492294	0.0194753	0.211116	9.92126e-06	0.00201508	0.00787986	0.0428499	0.0095179	0.144492	0.0925689	0.0454942	0.00228165	0.0992618	0.242309	0.192089	0.0719076	0.115256	0.0376954	0.258443	0.013498	0.0611173	0.0262399	0.170755	0.524039	1.02403	2.28118	4	2.765454
9000	-269.1604	-304.559	35.3986	10	1.795737	0.0180066	0.025653	0.0987421	0.0190682	0.218306	0.0243131	0.0438617	0.0462747	0.0131864	0.0217558	0.01295	0.00089984	0.163114	0.0800269	0.085457	0.0157622	0.0424638	0.0351163	0.0275265	0.00281776	0.00753364	0.0404277	0.0774888	0.182869	0.0398621	0.1203	0.0657517	0.145945	0.0243263	0.100436	0.0294022	0.0688222	0.0486227	0.0165765	0.160624	0.100051	0.243172	0.0434794	0.195133	0.00459004	0.0583342	0.0137159	0.00964118	0.0343745	0.117567	0.26761	0.631372	1.06392	2.03709	5	2.944349
