Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-165.3108	-252.9956	87.6848	10	1.405191	0.0255017	0.0428904	0.0870944	0.235092	0.00608734	0.0938812	0.0358835	0.119656	0.0135595	0.0175006	0.151031	0.0323112	0.00740161	0.172155	0.0800588	0.257745	0.0401184	0.380053	0.0462805	0.121427	0.0592303	0.0424005	0.121551	0.0138967	0.0971668	0.185299	0.0507505	0.0549847	0.0494483	0.00551999	0.168208	0.142788	0.190723	0.302897	0.0386303	0.210298	0.571975	1.04433	2.17339	5	3.489222
1000	-62.13605	-149.238	87.10195	10	0.8763503	0.110787	0.243387	0.0329313	0.0911441	0.00959581	0.0315452	0.0532476	0.021469	0.0625914	0.0202919	0.060599	0.000642274	0.074148	0.0396092	0.253999	0.078391	0.0940168	0.0145857	0.0336964	0.158691	0.0201108	0.300243	0.133508	0.00604853	0.302562	0.112165	0.0689333	0.0184638	0.340953	0.0179134	0.00173285	0.0426496	0.0383464	0.0346662	0.379489	0.111672	0.436149	0.976056	2.47612	5	3.303154
2000	-64.12895	-155.1021	90.97319	10	0.9332501	0.138169	0.186819	0.0466781	0.0241909	0.0841311	0.0137727	0.0127027	0.0147347	0.106763	0.0510741	0.0650976	0.0130835	0.051471	0.0556122	0.0883379	0.116393	0.0778091	0.0318712	0.043741	0.0945449	0.114908	0.070191	0.0781815	0.0998637	0.00397515	0.20689	0.270939	0.0172062	0.372597	0.129815	0.183552	0.249458	0.151418	0.0450576	0.00195509	0.12345	0.455726	0.987995	2.43283	5	3.313005
3000	-71.79355	-150.3846	78.59104	10	0.273103	0.0433731	0.038369	0.0472858	0.0118211	0.0506016	0.0464601	0.0634062	0.0201535	0.00460816	0.0661367	0.0369169	0.0410104	0.00580181	0.0612566	0.0578504	0.101012	0.0493809	0.0823189	0.256071	0.0511924	0.0765592	0.0943796	0.44149	0.0599913	0.00612635	0.00403921	0.189513	0.0989584	0.431886	0.00214013	0.0995332	0.262454	0.143247	0.0711753	0.170467	0.00336754	0.0838105	0.547743	3.36508	5	3.286986
4000	-65.80212	-155.2968	89.4947	10	1.849646	0.192866	0.00944151	0.0128037	0.00360327	0.0367978	0.00711884	0.0101534	0.00873496	0.0548509	0.0368126	0.0839726	0.0629041	0.034354	0.044684	0.0228621	0.123741	0.0253246	0.00721248	0.00723156	0.0934421	0.0660921	0.213202	0.000273343	0.20902	0.0369972	0.0233276	0.0454351	0.0739711	0.0645178	0.13287	0.125766	0.00702039	0.414893	0.616582	0.293124	0.274641	0.63801	1.06573	2.02162	5	3.202004
5000	-61.35095	-141.6038	80.25285	10	0.7370795	0.0139175	0.00608743	0.0130894	0.0385111	0.105872	0.00221332	0.0640668	0.0600085	0.0374147	0.00419593	0.0154294	0.191155	0.0147686	0.0188665	0.241493	0.0380289	0.0215686	0.0675583	0.163695	0.0423249	0.0217373	0.0861239	0.00302558	0.499237	0.145787	0.0370988	0.2579	0.318184	0.199867	0.0549098	0.0533553	0.020393	0.0642322	0.170972	0.45791	0.0821195	0.380512	0.93787	2.5995	5	3.550998
6000	-84.02209	-155.8212	71.79909	10	0.554037	0.280083	0.0181169	0.208122	0.0140611	0.097862	0.0701528	0.0469566	0.0306979	0.0245399	0.149301	0.0249832	0.032022	0.0329973	0.0327904	0.1851	0.200136	0.000988658	0.0206814	0.0504949	0.0730267	0.0841691	0.248274	0.151827	0.018833	0.10245	0.299744	0.0496489	0.473759	0.0614589	0.0183117	0.000906142	0.050905	0.447509	0.226589	0.0866867	0.043789	0.285737	0.855927	2.81455	5	3.914184
7000	-52.54988	-145.3062	92.7563	10	1.557789	0.0105952	0.0117045	0.0478989	0.0482787	0.0126571	0.0802067	0.0303013	0.00390956	0.0686289	0.0718872	0.037527	0.0054339	0.00469445	0.0180984	0.027753	0.0296624	0.000417465	0.109287	0.0375473	0.121024	0.253685	0.155592	0.220286	0.00520675	0.0801306	0.0842841	0.184035	0.108389	0.028128	0.0272928	0.41495	0.0743659	0.0459178	0.0688121	0.0803877	0.234113	0.597901	1.05364	2.11434	5	2.608974
8000	-61.29041	-141	79.70956	10	0.7612824	0.00731807	0.0401284	0.0111581	0.059601	0.020358	0.0371683	0.0310921	0.113107	0.0708299	0.229455	0.0356806	0.0506588	0.00630484	0.108033	0.0803329	0.0493197	0.0807509	2.67276e-05	0.064917	0.073458	0.295071	0.00395796	0.037057	0.141515	0.524361	0.187439	0.346289	0.0398314	0.224069	0.0569394	0.0290445	0.0740394	0.0347893	0.0206405	0.0525808	0.0872977	0.391066	0.945621	2.57602	5	3.237323
9000	-58.90471	-145.6041	86.69935	10	1.038053	0.0405956	0.102128	0.256677	0.0361913	0.127065	0.0170445	0.00790669	3.4066e-06	0.0962456	0.137106	0.0164712	0.0112245	0.0348211	0.046015	0.355358	0.099602	0.0375638	0.12781	0.215466	0.0587159	0.0154329	0.00248073	0.030734	0.0176359	0.00795364	0.0879322	0.206178	0.297494	0.418546	0.210527	0.387085	0.157805	0.0164604	0.08274	0.0405233	0.144483	0.487898	1.00603	2.36159	5	3.803539
