Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1840.184	-1856.372	16.1881	10	0.9699524	0.0101985	0.087574	0.30617	0.0288461	0.196804	0.0102353	0.141791	0.227121	0.201036	0.167195	0.0640705	0.0403537	0.59073	0.0210881	0.03042	0.0275381	0.132885	0.0604386	0.00288285	0.529091	0.0598012	0.104621	0.00403462	0.0565906	0.234418	0.0355183	0.0711681	0.0440311	0.0198213	0.0822007	0.000474033	0.00920395	0.0880786	0.00086775	0.141942	0.023358	0.0254429	0.00825455	0.0242558	0.0320115	0.127987	0.046412	0.0902864	0.00221433	0.153765	0.0256212	0.000610806	0.0654659	0.151032	0.13092	0.46753	0.994837	2.40671	5	4.605956
1000	-1204.263	-1229.166	24.90321	10	2.043683	0.0930475	0.136222	0.0171406	0.17478	0.00414554	0.208038	0.000271376	0.00728969	0.0796049	0.054371	0.0115805	0.0741957	0.121207	0.0269338	0.100709	0.0715974	0.128593	0.044866	0.0137889	0.0274334	0.0673688	0.0293404	0.0641754	0.0569211	0.29741	0.0382856	0.0946009	0.0529154	0.144112	0.0123176	0.00831234	0.0416078	0.114074	0.0212824	0.0543279	0.0934399	0.0921143	0.127107	0.219168	0.224631	0.0618798	0.0824611	0.124742	0.117138	0.225857	0.0201741	0.177547	0.019923	0.0915974	0.298434	0.65958	1.07105	1.97094	5	4.170645
2000	-1198.98	-1226.77	27.78939	10	2.625006	0.119419	0.0393963	0.0268908	0.125236	0.0249157	0.0677819	0.00566819	0.0217852	0.198819	0.000581699	0.060501	0.0554322	0.256834	0.0757807	0.106803	0.0316446	0.060191	0.154519	0.0391358	0.0236481	0.0324924	0.0702844	0.0828577	0.0205703	0.094762	0.135511	0.043663	0.0336278	0.0712172	0.0253745	0.206445	0.00484219	0.00377813	0.162017	0.00747994	0.219588	0.08511	0.19467	0.0732026	0.0042217	0.000531381	0.185269	0.176591	0.00343352	0.179354	0.0224848	0.323442	0.0912153	0.0447159	0.357997	0.708397	1.07992	1.85369	5	4.093735
3000	-1180.519	-1213.928	33.4092	10	2.749151	0.0373963	0.146183	0.0279677	0.0561634	0.0087013	0.0113469	0.0302289	0.0248762	0.0587488	0.092683	0.0330841	0.116541	0.051283	0.0139087	0.106623	0.00599264	0.198046	0.0779242	0.0202819	0.012142	0.0796091	0.000274475	0.0838169	0.0384045	0.00318948	0.11748	0.00941335	0.00611749	0.0582561	0.0814145	0.125956	0.119631	0.0445564	0.0636454	0.0453667	0.159221	0.0972343	0.00719252	0.335583	0.0140993	0.078945	0.0882018	0.00817711	0.0704848	0.0122311	0.00314389	0.159089	0.0484045	0.251425	0.368874	0.71662	1.08096	1.83354	5	3.340687
4000	-1179.752	-1207.41	27.65805	10	1.322113	0.0140119	0.211968	0.00928516	0.0302147	6.01328e-05	0.0369127	0.0122569	0.00204898	0.129907	0.0174114	0.18515	0.0112468	0.256858	0.00980652	0.0571804	0.0178922	0.0960772	0.0173747	0.00113103	0.0527976	0.0192524	0.0244193	0.0928961	0.000741125	0.31706	0.0613666	0.203432	0.0548859	0.0237553	0.0399325	0.012215	0.0236242	0.0268221	0.151502	0.0575173	0.0562246	0.076574	0.000339826	0.28911	0.027039	0.219767	0.016723	0.0890291	0.49309	0.0887225	0.052664	0.283967	0.0332452	0.0789897	0.196489	0.555995	1.03801	2.20951	5	4.084499
5000	-1201.893	-1217.119	15.22573	10	2.425031	0.0546064	0.159373	0.0374923	0.0883575	0.0177588	0.320789	0.00857945	0.00356621	0.11787	0.0956929	0.0786967	0.00486345	0.130376	0.180271	0.00627914	0.00718439	0.392412	0.0518964	0.0291219	0.0120598	0.0840134	0.0144044	0.027478	0.0276737	0.216291	0.0618788	0.0237552	0.042363	0.0185626	0.24588	0.0435206	0.36897	0.0219991	0.0504736	0.0524333	0.0225649	0.17107	0.029034	0.079192	0.228603	0.0453932	0.0172436	0.0804799	0.632402	0.00823019	0.267428	0.317248	0.0534266	0.0060685	0.339232	0.693738	1.07772	1.88931	5	5.055327
6000	-1204.901	-1232.085	27.18414	10	1.107539	0.0676439	0.109476	0.00751704	0.151524	0.0353882	0.0913619	0.00699316	0.0367076	0.170253	0.0090492	0.0434525	0.0447207	0.0788549	0.0142872	0.0838936	0.0735223	0.0223418	0.0700366	0.0372731	0.0180018	0.00374344	0.0859652	0.0847822	0.0269331	0.0501469	0.0191714	0.147177	0.307122	0.00496168	0.0529986	0.23853	0.163006	0.0387434	0.0245411	0.0260897	0.335391	0.145011	0.00935811	0.246811	0.260296	0.0468104	0.0762991	0.0691574	0.017571	0.0575269	0.127066	0.21527	0.0275509	0.00170656	0.157897	0.506849	1.01576	2.31949	5	4.082036
7000	-1177.669	-1208.844	31.17484	10	1.753919	0.0576176	0.144473	0.0155891	0.131016	0.00567791	0.0736722	0.00456909	0.0210551	0.0952089	0.00502842	0.104703	0.0201281	0.0887274	0.00659886	0.0725075	0.0185224	0.0143397	0.0377678	0.0179109	0.0175221	0.0685481	0.0217243	0.0907708	0.00327133	0.0164037	0.151169	0.125884	0.00991314	0.0168741	0.00670614	0.26369	0.0123523	0.00407184	0.0113839	0.0375987	0.241537	0.193672	0.058443	0.0516931	0.324611	0.0917235	0.0937895	0.00726625	0.420065	0.0318337	0.11566	0.221051	0.0938405	0.0112114	0.26202	0.626005	1.06241	2.04957	5	3.749393
8000	-1194.52	-1215.53	21.01047	10	3.218255	0.0204616	0.189106	0.00142801	0.113455	0.0232472	0.111099	0.000862812	0.0331714	0.105538	0.029285	0.00922954	0.00913436	0.291986	0.159874	0.0454212	0.0182749	0.0524978	0.134292	0.0192917	0.0701501	0.0184466	0.0619723	0.178452	0.00984709	0.114542	0.0729536	0.404049	0.0337506	0.0321807	0.00579499	0.0546048	0.0144925	0.0496874	0.126125	0.198581	0.0032443	0.0266478	0.216588	0.078287	0.308852	0.0157123	0.0545527	0.186955	0.00636634	0.00705846	0.0258339	0.26753	0.140504	0.331109	0.405472	0.742938	1.0834	1.76819	5	4.482526
9000	-1190.315	-1212.573	22.2588	10	2.474455	0.00639041	0.179021	0.0183512	0.102348	0.000857734	0.0832837	0.00509518	0.00350218	0.0842608	0.0137474	0.0562439	0.00276881	0.205415	0.0183723	0.0847367	0.164483	0.137265	0.213075	0.0191763	0.0196134	0.00998801	0.0236424	0.187354	0.00302279	0.106535	0.17352	0.0378461	0.108477	0.0388406	0.0398313	0.0703801	0.0643044	0.0188302	0.223549	0.0701811	0.241984	0.00492689	0.0956118	0.026416	0.00318709	0.276547	0.00255047	0.00926669	0.0225931	0.0931167	0.0978036	0.289048	0.266998	0.111554	0.344021	0.697538	1.07833	1.88011	5	4.135911
