Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-211.9471	-244.9605	33.0134	10	1.410024	0.0383755	0.0217561	0.197151	0.0425318	0.0679345	0.327965	0.0159852	0.0188096	0.13675	0.0339527	0.17135	0.211082	0.572861	1.04467	2.17139	5	1.072561
1000	-119.6755	-156.685	37.00954	10	0.3952684	0.0902076	0.00396361	0.0470714	0.0233631	0.0158227	0.0509982	0.0255641	0.101322	0.0646914	0.039225	0.142461	0.0160378	0.178213	0.726109	3.07964	5	0.6046899
2000	-131.2117	-153.395	22.18329	2	1.920435	0.079899	0.00841328	0.0271921	0.0402988	0.03201	0.0631311	0.0658396	0.270099	0.0861923	0.0136825	0.095747	0.283588	0.646277	1.06786	2.00227	4	0.7825046
3000	-126.3695	-154.7468	28.37731	10	3.9685	0.138362	0.0191233	0.0331767	0.00495912	0.0839184	0.0441369	0.0440483	0.197726	0.231794	0.0285691	0.0806844	0.452623	0.774113	1.0844	1.68886	5	0.9064983
4000	-125.7761	-158.2153	32.43924	10	1.569518	0.0514931	0.0319847	0.0329924	0.00955846	0.0310163	0.0399098	0.0848072	0.0718075	0.122999	0.0342377	0.0536728	0.235864	0.599733	1.05426	2.11015	5	0.5644793
5000	-121.0826	-152.9421	31.85944	10	2.849399	0.102558	0.000466992	0.0185904	0.115498	0.00100655	0.0985317	0.00322867	0.0721731	0.173719	0.0180958	0.177443	0.377265	0.722833	1.08166	1.81824	5	0.7813113
6000	-122.7076	-153.1902	30.48261	10	0.9317712	0.11194	0.0119315	0.0619817	0.0316078	0.00284688	0.160311	0.02556	0.182991	0.253596	0.10403	0.0685376	0.123147	0.455238	0.987706	2.43391	5	1.015333
7000	-120.5516	-153.4936	32.94206	10	0.4336994	0.122161	0.0180414	0.039623	0.0223535	0.00379491	0.12047	0.0396076	0.0938444	0.357377	0.00306967	0.0254324	0.0218611	0.206451	0.765316	3.00637	5	0.8457744
8000	-136.7264	-155.467	18.74058	2	1.220892	0.223282	0.0544309	0.0215883	0.0311327	0.0500349	0.153751	0.0436937	0.305565	0.383493	0.0059726	0.0254459	0.178819	0.534383	1.02875	2.25805	4	1.29839
9000	-135.2044	-157.9857	22.78132	10	1.241009	0.19179	0.000961311	0.0354752	0.0519474	0.0490489	0.0674759	0.0845242	0.0628525	0.221287	0.136042	0.0973139	0.182406	0.538884	1.03075	2.24796	5	0.9987189
10000	-117.5489	-151.9495	34.40063	10	1.008619	0.130523	0.00536963	0.00525016	0.0394812	0.00624223	0.0851397	0.0120281	0.0913046	0.0346746	0.152776	0.0412008	0.13867	0.479327	1.00141	2.38059	5	0.6039899
11000	-123.7622	-153.9343	30.17206	10	0.9451084	0.14763	0.00114719	0.00435112	0.0949092	0.0294787	0.0247111	0.136933	0.227121	0.0577122	0.0182757	0.0892421	0.125876	0.459607	0.990274	2.42424	5	0.8315126
12000	-142.0448	-158.5392	16.49431	1	4.551133	0.150462	0.0620838	0.00177987	0.0437089	0.000584638	0.0274131	0.0150903	0.0503014	0.149435	0.0541529	0.2109	0.482294	0.792343	1.08398	1.64138	3	0.7659116
13000	-128.7085	-155.8278	27.11936	10	1.337471	0.244862	0.00718289	0.0511674	0.0222788	0.0039489	0.0385852	0.0244271	0.190177	0.0709939	0.0412682	0.275673	0.199089	0.559061	1.03926	2.20259	5	0.9705638
14000	-133.4224	-159.2995	25.87709	10	1.5775	0.119888	0.000676378	0.106263	0.0112552	0.33091	0.138521	0.086968	0.288391	0.244486	0.0193374	0.0123209	0.23705	0.600968	1.05467	2.10732	5	1.359017
15000	-125.4406	-158.7504	33.30981	10	0.9532758	0.118494	0.0229092	0.0820093	0.00130661	0.109518	0.0909086	0.0884506	0.0794335	0.193484	0.0286949	0.131335	0.127539	0.462243	0.991805	2.41841	5	0.9465445
16000	-118.2194	-148.7882	30.56881	10	1.496403	0.081403	0.00111221	0.000673376	0.0152534	0.023883	0.0548258	0.0504621	0.217403	0.0401142	0.0822447	0.0358522	0.224766	0.587957	1.05021	2.13707	5	0.6032266
17000	-118.9213	-150.5841	31.66282	10	4.354553	0.0917764	0.0250136	0.0133509	0.0204757	0.00549212	0.06061	0.0546441	0.0736923	0.0673318	0.0297485	0.215695	0.472839	0.786642	1.0842	1.65632	5	0.6578307
18000	-132.7752	-154.499	21.72384	2	1.075393	0.121354	0.0138164	0.0363775	0.0080482	0.0392072	0.0377251	0.0642681	0.297187	0.0453101	0.227409	0.0194822	0.151747	0.498296	1.01145	2.33851	4	0.9101852
19000	-134.2602	-154.7388	20.47856	2	3.271132	0.121534	0.0113107	0.0024565	0.0341253	0.0350451	0.0280356	0.0253751	0.180568	0.114706	0.0868296	0.0297279	0.409207	0.745515	1.08356	1.76172	4	0.6697143
20000	-122.8973	-156.7235	33.82623	10	1.794638	0.0988351	0.0176252	0.0166418	0.103517	0.00559487	0.138713	0.135622	0.156468	0.0119241	0.0510992	0.0700573	0.267464	0.631234	1.06389	2.03742	5	0.8060976
21000	-116.5329	-150.752	34.21913	10	2.866777	0.0992445	0.0130536	0.00100097	0.0120203	0.0212949	0.0416505	0.0338968	0.137882	0.0692933	0.0155588	0.0885923	0.378686	0.723874	1.08177	1.81567	5	0.5334879
22000	-135.1818	-154.514	19.33227	2	1.728926	0.120933	0.0208955	0.023436	0.027595	0.0351176	0.0688781	0.0424453	0.272364	0.00641136	0.160353	0.0693	0.258621	0.622701	1.06145	2.05723	4	0.8477289
23000	-123.6827	-156.0434	32.36072	10	0.4086788	0.0740661	0.0261619	0.000328377	0.0532684	0.00796995	0.0752156	0.0702862	0.181625	0.0392271	0.192397	0.00443866	0.0179861	0.188209	0.740504	3.0533	5	0.7249846
24000	-129.542	-155.3517	25.80965	10	0.9897983	0.170758	0.0362697	0.0570342	0.0353886	0.000522204	0.162401	0.229865	0.112405	0.167513	0.0675752	0.2763	0.134914	0.473664	0.998289	2.39313	5	1.316032
25000	-131.0205	-159.0726	28.05203	10	0.8458881	0.288166	0.030599	0.0119074	0.012592	0.119846	0.14453	0.206502	0.224926	0.0817666	0.0805709	0.0995406	0.105279	0.424973	0.968902	2.50085	5	1.300946
26000	-129.9929	-156.5087	26.51577	10	2.156144	0.147861	0.0598066	0.0193438	0.043378	0.0379482	0.227253	0.0332457	0.0292561	0.149937	0.226576	0.0405795	0.311227	0.670653	1.07345	1.94467	5	1.015185
27000	-138.2316	-160.2567	22.0251	1	0.7597927	0.085569	0.0123272	0.0166125	0.0442007	0.0207992	0.00602294	0.031901	0.119397	0.157255	0.0338829	0.0640001	0.0869792	0.390428	0.94516	2.57743	3	0.5919671
28000	-133.0441	-158.8968	25.85265	10	2.20827	0.185749	0.0976646	0.048285	0.0484172	0.0572875	0.181607	0.100916	0.0206086	0.506472	0.0173541	0.066506	0.31693	0.675478	1.07442	1.93317	5	1.330867
29000	-139.0157	-158.5821	19.56634	2	2.932741	0.096725	0.0761591	0.00907007	0.0777962	0.00760928	0.162541	0.0162411	0.11814	0.186111	0.070279	0.0511451	0.383991	0.727735	1.08216	1.80611	4	0.8718173
30000	-130.6193	-153.1705	22.55115	1	0.7502205	0.0794652	0.0042904	0.00102201	0.0119222	0.0537295	0.0527889	0.0145741	0.0675571	0.174293	0.0576853	0.022991	0.0849317	0.386293	0.942146	2.58663	3	0.5403192
31000	-123.5084	-152.0669	28.55854	10	1.588521	0.200649	0.00562828	0.0325306	0.0922024	0.000934702	0.0695988	0.0917242	0.11885	0.296129	0.0196117	0.134785	0.238679	0.602657	1.05522	2.10344	5	1.062643
32000	-127.0961	-155.4147	28.31861	10	0.9483808	0.125676	0.00755887	0.0231774	0.0803616	0.0414102	0.258082	0.0532005	0.0162485	0.245146	0.104781	0.16274	0.126543	0.460667	0.990891	2.4219	5	1.118382
33000	-125.5285	-160.0333	34.50482	10	0.3557576	0.160115	0.0599934	0.0191243	0.0740542	0.0520878	0.0123202	0.0709595	0.296447	0.0156029	0.143701	0.0599183	0.010883	0.148026	0.678598	3.16249	5	0.9643246
34000	-119.8196	-149.9042	30.08461	10	2.825618	0.14408	0.00482632	0.00241996	0.021148	0.00872742	0.0489769	0.0212285	0.223462	0.140126	0.0213392	0.0496921	0.375305	0.721392	1.08151	1.8218	5	0.686027
35000	-121.2855	-154.0708	32.7853	10	1.181853	0.137309	0.0058562	0.00474209	0.00986528	0.0563153	0.226964	0.00460406	0.0310669	0.0390601	0.220868	0.121315	0.171749	0.525332	1.02463	2.27829	5	0.8579658
36000	-130.2738	-152.8382	22.56438	2	1.000897	0.135458	0.017666	0.00198876	0.0374186	0.00798657	0.0412219	0.0929198	0.142237	0.105585	0.0442233	0.193455	0.137133	0.477021	1.00015	2.3857	4	0.8201589
37000	-114.2738	-150.9161	36.64224	10	1.255424	0.107081	0.0062997	0.0120846	0.0172917	0.0338157	0.0642953	0.0387145	0.0252562	0.0332728	0.046053	0.141825	0.184953	0.542044	1.03213	2.24088	5	0.5259896
38000	-123.5233	-153.3068	29.7835	10	3.674781	0.181425	0.0391728	0.0671378	0.0223967	0.0084986	0.160515	0.0615993	0.0592997	0.152598	0.0650644	0.193648	0.435552	0.763154	1.08429	1.717	5	1.011355
39000	-121.4144	-155.5852	34.17084	10	0.4534752	0.190067	0.00375448	0.0404989	0.00235812	0.0912904	0.153991	0.058316	0.0311219	0.0829751	0.0324809	0.356819	0.0251239	0.220462	0.783224	2.97119	5	1.043673
40000	-116.4323	-154.3257	37.89346	10	0.5234783	0.0716194	0.000606778	0.0298754	0.0158605	0.00819549	0.036645	0.0879566	0.0968188	0.050051	0.0752191	0.15017	0.0378175	0.266967	0.836628	2.85859	5	0.6230182
41000	-124.9518	-152.509	27.55716	10	3.609212	0.0902311	0.0352541	0.00180701	0.0627213	0.0200735	0.0626226	0.108947	0.286555	0.0291973	0.11004	0.0595066	0.431515	0.76051	1.08423	1.72375	5	0.8669555
42000	-132.7426	-156.7428	24.00017	10	0.3676725	0.194217	0.0719923	0.0178424	0.0166574	0.0760126	0.0413671	0.0630958	0.0196039	0.137391	0.524579	0.152901	0.0123402	0.157228	0.693787	3.13664	5	1.315659
43000	-122.6056	-157.9807	35.37512	10	0.5297231	0.0875228	0.0461469	0.0108513	0.0152682	0.0656985	0.047746	0.105654	0.172557	0.0351119	0.0432546	0.0397918	0.0390203	0.270878	0.840746	2.84936	5	0.6696034
44000	-123.5127	-155.8517	32.33899	10	0.2202019	0.176891	0.0177017	0.00366809	0.0353348	0.00603679	0.0360128	0.0358934	0.125288	0.0642937	0.0204316	0.0123501	0.00100067	0.0461821	0.434304	3.51851	5	0.5339016
45000	-125.1333	-152.2906	27.15726	10	4.545153	0.214768	0.00138967	0.0504788	0.0378336	0.0215333	0.166274	0.0720811	0.164762	0.139473	0.0657663	0.0528621	0.482014	0.792176	1.08399	1.64182	5	0.9872219
46000	-142.4816	-158.8681	16.38647	1	0.7812742	0.185325	0.00958746	0.0157199	0.054246	0.0220395	0.0883198	0.0353329	0.112221	0.0803854	0.0805669	0.469938	0.0915683	0.399484	0.951628	2.55732	3	1.153681
47000	-132.1446	-158.9609	26.8163	10	1.591664	0.110928	0.0125925	0.0703104	0.0458453	0.0085472	0.320832	0.153927	0.0577552	0.0335492	0.130283	0.288602	0.239141	0.603135	1.05538	2.10234	5	1.233172
48000	-130.0215	-153.0172	22.99572	2	1.440013	0.0738092	0.00504601	0.00182937	0.00641145	0.0117676	0.0651535	0.0772194	0.0265477	0.0387086	0.015838	0.224061	0.215905	0.578257	1.0467	2.15914	4	0.5463917
49000	-124.0809	-157.8583	33.77737	10	1.611798	0.0983532	0.0142553	0.0251409	0.00207398	0.0805879	0.00725222	0.13467	0.139586	0.0435266	0.199484	0.0198864	0.242088	0.606166	1.05636	2.09538	5	0.7648171
50000	-122.5874	-155.6824	33.09508	10	0.6051087	0.107818	0.00130243	0.0702301	0.0214692	0.0364836	0.15003	0.0660367	0.00701259	0.0196941	0.154371	0.146307	0.0541634	0.3151	0.883903	2.74683	5	0.780756
51000	-127.7933	-153.3876	25.59428	10	2.859571	0.0989802	0.00346527	0.0184706	0.078351	0.016036	0.124569	0.0705719	0.100588	0.0981164	0.21375	0.0268341	0.378098	0.723444	1.08173	1.81673	5	0.8497326
52000	-128.2289	-152.5286	24.29974	10	1.110369	0.182273	0.00249342	0.0149559	0.090274	0.00469083	0.105919	0.0364427	0.0579578	0.196285	0.128671	0.424939	0.158434	0.507585	1.01613	2.31786	5	1.244902
53000	-132.659	-155.4824	22.82336	2	1.58193	0.132948	0.00494345	0.0460604	0.00175326	0.0243036	0.135704	0.0727562	0.107414	0.130861	0.0222261	0.177648	0.237706	0.601649	1.05489	2.10575	4	0.8566174
54000	-131.0214	-150.3805	19.3591	2	5.659691	0.155527	0.00112526	0.0109545	0.019608	0.0106083	0.0537021	0.0693751	0.0677365	0.0434369	0.0398706	0.129129	0.527366	0.818227	1.082	1.5724	4	0.601074
55000	-120.1233	-151.0941	30.9708	10	2.305685	0.165125	0.00896767	0.00901065	0.0449734	0.0303618	0.158134	0.0458109	0.0486606	0.158263	0.111098	0.302392	0.327224	0.684025	1.07605	1.9127	5	1.082797
56000	-127.7847	-160.0607	32.27593	10	0.5368445	0.0913329	0.0345267	0.0309428	0.000579672	0.0778895	0.170676	0.0331	0.0235856	0.129256	0.0160271	0.265876	0.0404034	0.27529	0.845331	2.83898	5	0.8737927
57000	-127.0213	-160.0783	33.05701	10	1.889158	0.0955665	0.00208065	0.0218466	0.0624241	0.0643979	0.129672	0.141497	0.259864	0.0313517	0.0165122	0.0126121	0.279674	0.642684	1.06695	2.01069	5	0.8378256
58000	-135.9709	-162.3013	26.33042	10	0.7238692	0.237214	0.0211875	0.192776	0.0149742	0.0189596	0.0441713	0.128358	0.0230192	0.030725	0.191964	0.437463	0.0792923	0.374578	0.933402	2.61273	5	1.340811
59000	-121.229	-157.6308	36.40181	10	1.043186	0.0470577	0.0409206	0.028505	0.0317856	0.0161703	0.069049	0.0350586	0.0242081	0.142256	0.00338181	0.30283	0.145489	0.489358	1.0068	2.35835	5	0.7412223
60000	-133.3439	-154.7108	21.36689	2	1.206189	0.0740364	0.0260599	0.011222	0.0399546	0.0162189	0.0706201	0.0768933	0.0776145	0.0574451	0.128529	0.186645	0.176173	0.531024	1.02724	2.26556	4	0.7652392
61000	-131.1024	-152.4245	21.32205	2	2.849262	0.0935214	0.00384837	0.00756973	0.0212647	0.021434	0.0678983	0.0295072	0.0366993	0.117958	0.101855	0.166511	0.377254	0.722825	1.08166	1.81826	4	0.6680672
62000	-130.91	-164.5026	33.5926	10	0.4689294	0.087394	0.091008	0.0622229	0.0499222	0.0770143	0.0228319	0.105689	0.223391	0.0809463	0.0139547	0.0426136	0.0277838	0.231149	0.796274	2.94479	5	0.8569884
63000	-137.7051	-159.2022	21.49713	2	0.791397	0.0837844	0.00370814	0.0320838	0.0491021	0.0488885	0.110884	0.0155204	0.0173326	0.0837766	0.296144	0.24836	0.0937268	0.403647	0.954542	2.54808	4	0.9895839
64000	-117.1927	-151.0071	33.81434	10	3.249717	0.176048	0.0069608	0.00137266	0.0343981	0.00660506	0.040856	0.11622	0.0270008	0.0209112	0.162258	0.0902659	0.407703	0.74448	1.0835	1.76432	5	0.6828953
65000	-124.1527	-152.831	28.67828	10	4.719741	0.11285	0.0486874	0.000444989	0.045686	0.00315119	0.0513055	0.0473665	0.109808	0.163278	0.0281198	0.146739	0.490004	0.79692	1.08375	1.62932	5	0.7574372
66000	-138.9037	-160.0878	21.1841	10	3.030059	0.282378	0.0214291	0.000782788	0.104636	0.0565357	0.0440916	0.0586276	0.146803	0.564333	0.169077	0.0196821	0.391574	0.733179	1.08266	1.79259	5	1.468376
