Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-338.9164	-373.3948	34.47834	10	0.7467034	0.017978	0.00791856	0.118664	0.232343	0.0309328	0.000472353	0.140333	0.0487061	0.00811188	0.0122315	0.0616799	0.102293	0.0756414	0.0841792	0.384757	0.941018	2.59005	5	0.8573053
1000	-224.7457	-256.324	31.57836	10	0.7228438	0.0491315	0.125781	0.0476217	0.0497923	0.0631771	0.0534091	0.0786946	0.0574549	0.07968	0.139279	0.0327143	0.0528906	0.230421	0.0790728	0.374112	0.933048	2.61377	5	1.060047
2000	-219.8141	-255.6373	35.82324	10	1.022039	0.0339287	0.0728005	0.0262771	0.00103785	0.0335568	0.0741238	0.0685769	0.0483835	0.0626549	0.125235	0.00289732	0.0374207	0.261458	0.14133	0.483277	1.00356	2.37183	5	0.8483502
3000	-215.1183	-250.2145	35.09626	10	0.3028417	0.106706	0.0610171	0.00214872	0.0014795	0.0188314	0.0415723	0.0558884	0.0028373	0.16553	0.0214152	0.106729	0.0077289	0.090704	0.00552865	0.106708	0.600544	3.28722	5	0.682588
4000	-222.8627	-251.3173	28.4546	10	1.087195	0.133922	0.0866151	0.00803077	0.0119381	0.152415	0.0420952	0.0504451	0.0367552	0.223288	0.0614568	0.200398	0.0972897	0.339891	0.154016	0.501478	1.01307	2.33144	5	1.444539
5000	-232.4967	-253.7562	21.25954	10	0.2791279	0.0314608	0.158993	0.0494966	0.00410239	0.154507	0.10358	0.0604334	0.00339917	0.345413	0.0637994	0.218206	0.0565221	0.565821	0.00375528	0.0883911	0.559027	3.34883	5	1.815734
6000	-226.4459	-254.4943	28.0484	10	1.247393	0.0565272	0.167791	0.0894496	0.00215949	0.00176482	0.107038	0.108712	0.131915	0.344026	0.00628016	0.0340549	0.0482983	0.34692	0.183536	0.54029	1.03136	2.24481	5	1.444937
7000	-239.751	-258.866	19.11502	2	1.343038	0.101318	0.14384	0.0973842	0.015313	0.0214476	0.0999555	0.0267887	0.0425597	0.191378	0.0183431	0.0344723	0.134809	0.386048	0.200025	0.560159	1.0397	2.20012	4	1.313658
8000	-233.6723	-256.4798	22.80753	10	0.7372433	0.137286	0.138824	0.0143813	0.0493025	0.0161389	0.0717035	0.0775035	0.0156881	0.0082715	0.151237	0.28884	0.233852	0.418367	0.0821546	0.380585	0.937925	2.59934	5	1.621397
9000	-235.9469	-254.7876	18.8407	10	1.883186	0.0834886	0.0692603	0.106095	0.0593314	0.0679313	0.0897293	0.0539006	0.200763	0.0693131	0.206205	0.0432208	0.246491	0.299978	0.27892	0.641988	1.06677	2.01232	5	1.595707
10000	-222.4946	-251.7435	29.24886	10	1.505066	0.0935695	0.113411	0.0333418	0.0212528	0.0425316	0.133625	0.126961	0.0435369	0.197256	0.0316081	0.151674	0.116641	0.261221	0.226104	0.589397	1.05072	2.13378	5	1.366628
11000	-229.0971	-250.8018	21.70467	10	1.614223	0.139947	0.0400246	0.0316035	0.0112698	0.115985	0.084676	0.125629	0.0162707	0.289804	0.0588596	0.324675	0.377739	0.0875937	0.24244	0.606527	1.05648	2.09455	5	1.704076
12000	-227.9581	-256.4888	28.53075	10	2.201662	0.0485165	0.285335	0.00633459	0.0328267	0.165588	0.133196	0.111602	0.0467359	0.0193046	0.222974	0.039385	0.167676	0.295257	0.316215	0.674877	1.0743	1.9346	5	1.574731
13000	-242.6042	-250.6967	8.092519	1	1.853127	0.0873758	0.0937225	0.023146	0.0487352	0.0647989	0.145506	0.119329	0.0170963	0.277488	0.0501717	0.222909	0.814231	0.152177	0.275089	0.638428	1.06584	2.02064	3	2.116686
14000	-236.3295	-253.4753	17.14578	2	1.314618	0.100408	0.0860326	0.00444206	0.0237777	0.0610462	0.0467417	0.0255537	0.0370776	0.0957392	0.0238329	0.122191	0.541434	0.263165	0.195213	0.55448	1.03739	2.21292	4	1.431441
15000	-232.5722	-253.295	20.7227	2	1.230542	0.1435	0.187861	0.018057	0.00310848	0.0973677	0.0357101	0.0646536	0.049385	0.111434	0.0215353	0.141654	0.115088	0.362412	0.180544	0.536556	1.02972	2.25318	4	1.351766
16000	-232.851	-256.672	23.82095	10	0.5311423	0.173543	0.0441451	0.00865415	0.0440793	0.0847701	0.103445	0.133883	0.0298654	0.264328	0.251107	0.188	0.0806993	0.231873	0.039295	0.271761	0.841669	2.84727	5	1.638393
17000	-226.2019	-252.4437	26.24186	10	1.187837	0.0755884	0.113761	0.165618	0.0125388	0.0267895	0.0741281	0.0513995	0.0463062	0.239236	0.0292488	0.0551028	0.0656705	0.75846	0.172842	0.526748	1.02528	2.27513	5	1.713846
