Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-220.6951	-258.677	37.98191	1	0.3986343	0.00356218	0.109097	0.0862614	0.0692882	0.183765	0.355174	0.274211	0.0635395	0.205013	0.0127249	0.0641167	0.0236704	0.00714665	0.0327703	0.0696287	0.0594805	0.00787107	0.158877	0.051893	0.0307166	0.227832	0.0217071	0.0562139	0.0946239	0.0246399	0.0165179	0.180735	0.729799	3.07295	3	2.293824
1000	-136.7355	-182.2607	45.52521	2	0.845372	0.0849649	0.0359253	0.0237772	0.111212	0.0215137	0.0272235	0.00406004	0.0279915	0.0404336	0.147737	0.0295068	0.0155197	0.0644326	0.0624051	0.341255	0.048264	0.00542673	0.519694	0.113767	0.174551	0.0397432	0.101785	0.0537968	0.127488	0.0893436	0.10517	0.424779	0.968775	2.50128	4	2.311819
2000	-157.2225	-191.564	34.34156	1	0.6939745	0.0662305	0.10113	0.016153	0.0598325	0.0197094	0.000715165	0.00819853	0.0912443	0.308534	0.210088	0.0789768	0.0101724	0.118021	0.111435	0.355676	0.00906184	0.0140692	0.304361	0.101034	0.339469	0.0841933	0.155115	0.0416208	0.00812136	0.0151618	0.0729017	0.360673	0.922615	2.64381	3	2.628324
3000	-153.6378	-189.9508	36.31305	2	3.149601	0.0111109	0.0247157	0.0283602	0.000806253	0.0485369	0.0585559	0.0427435	0.0634866	0.1307	0.10793	0.0740303	0.0332482	0.20134	0.0532117	0.0887435	0.0350343	0.491836	0.151561	0.407117	0.0344208	0.0776129	0.0494491	0.0860746	0.0201616	0.108202	0.400514	0.739488	1.08316	1.77684	4	2.428988
4000	-149.5409	-196.2392	46.69831	2	3.284902	0.0651666	0.0282465	0.122095	0.0680907	0.0382056	0.040164	0.0123631	0.160429	0.323952	0.0283502	0.0121665	0.0878147	0.044881	0.0150464	0.201889	0.0177283	0.24346	0.0489514	0.0306099	0.0626065	0.078461	0.00656035	0.0681451	0.066663	0.00038324	0.410168	0.746175	1.0836	1.76006	4	1.87243
5000	-139.9105	-181.0416	41.13107	2	2.234899	0.0817473	0.044352	0.0840393	0.0436583	0.0501833	0.0228371	0.0341673	0.0322407	0.0507256	0.0346415	0.0124476	0.0282522	0.0243979	0.0211935	0.188935	0.0522921	0.0730293	0.0589114	0.13871	0.119796	0.00309701	0.46498	0.0428923	0.441263	0.14244	0.31979	0.677874	1.07489	1.92744	4	2.291229
6000	-118.1153	-182.4313	64.31599	10	5.220554	0.0845186	0.0016421	0.00274711	0.0396687	0.133657	0.0124992	0.0153671	0.0066714	0.180858	0.0910529	0.0627902	0.0656388	0.0721638	0.0157744	0.0967344	0.0602161	0.101586	0.0904824	0.153612	0.370274	0.0551499	0.126394	0.061125	0.047895	0.307281	0.510988	0.80906	1.0829	1.59706	5	2.255799
7000	-110.8588	-182.4099	71.55101	10	0.3925476	0.0154643	0.064419	0.0148842	0.0453947	0.0466542	0.0111169	0.00824633	0.0714053	0.168555	0.050044	0.00513651	0.00593493	0.119499	0.0577719	0.243578	0.0213196	0.146662	0.0860369	0.00325993	0.085726	0.00698224	0.292696	0.201547	0.129259	0.140378	0.0156541	0.176167	0.723089	3.08509	5	2.041969
8000	-111.5726	-179.6617	68.08908	10	2.521708	0.00715002	0.0733808	0.0278932	0.132038	0.0128799	0.00380182	0.0134814	0.00243939	0.186447	0.120731	0.0465056	0.0752033	0.0629268	0.00316861	0.052445	0.179919	0.0303344	0.0668827	0.0484325	0.0336752	0.046421	0.0322848	0.598107	0.197319	0.105007	0.348505	0.701059	1.07887	1.87157	5	2.158874
9000	-132.6435	-186.0503	53.40683	10	2.153407	0.248119	0.0950829	0.0308194	0.0196284	0.0952276	0.0951935	0.0489229	0.0204187	0.0995427	0.318326	0.021437	0.00105049	0.169348	0.023079	0.0699867	0.130955	0.131841	0.157544	0.0176733	0.161515	0.162971	0.51431	0.181204	0.0416085	0.0202737	0.310924	0.670394	1.07339	1.94529	5	2.876078
