Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2455.485	-2523.113	67.62731	10	0.7208656	0.0874625	0.0873614	0.107703	0.0594189	0.00991235	0.0536321	0.0819622	0.228245	0.00513951	0.0833527	0.26797	0.202417	0.0713735	0.0977701	0.440287	0.0466513	0.149347	0.0350685	0.0258441	0.0230092	0.000674338	0.124102	0.0910837	0.0805593	0.327979	0.091716	0.0326456	0.260618	0.282884	0.14281	0.237178	0.192618	0.144041	0.0707664	0.0307448	0.320908	0.0142766	0.0600022	0.024219	0.0605888	0.329799	0.069491	0.360998	0.0830377	0.30375	0.0178375	0.108379	0.257333	0.094497	0.070694	0.0356083	0.0161964	0.0838474	0.0191268	0.0823834	0.127343	0.0445498	0.00252483	0.111905	0.113097	0.219466	0.0507367	0.13336	0.0193166	0.0155292	0.0765686	0.0634221	0.0211169	0.129342	0.107234	0.101972	0.0786496	0.373211	0.932362	2.61578	5	8.024805
1000	-1231.126	-1317.078	85.95162	10	1.815645	0.0460083	0.158579	0.0664901	0.0147226	0.0670072	0.00338091	0.0351103	0.00268698	0.00534495	0.0801778	0.0596344	0.0340049	0.0507746	0.00834638	0.00978509	0.0682331	0.00976234	0.176838	0.0328018	0.00938043	0.0126976	0.00351502	0.0421351	0.0673499	0.0383112	0.0012058	0.0695897	0.0103235	0.0978437	0.0212032	0.0208204	0.0431933	0.0234696	0.0471398	0.0540222	0.0289452	0.143092	0.238708	0.0128899	0.707914	0.396304	0.0627826	0.00961356	0.414839	0.0792235	0.223389	0.00532953	0.0365448	0.0175588	0.0104364	0.0192628	0.0383614	0.032868	0.116371	0.0267955	0.0784437	0.31995	0.0769148	0.152082	0.0359154	0.16006	0.0715864	0.780008	0.0386511	0.0263406	0.0498043	0.100611	0.0452889	0.0533432	0.00745818	0.0952104	0.270229	0.633859	1.06461	2.0313	5	6.204787
2000	-1222.764	-1317.703	94.93907	10	2.426458	0.0411838	0.0524245	0.164675	0.00877354	0.0894639	0.000472055	0.0117614	0.0059667	0.00344662	0.0143572	0.0456233	0.00273899	0.0225566	0.0397268	0.0212688	0.0959345	0.0460688	0.0279911	0.151567	0.0263483	0.03665	0.016007	0.000258352	0.0485239	0.00818032	0.00955888	0.0197369	0.00673787	0.150807	0.0258113	0.0148099	0.0950071	0.0102617	0.0104561	0.0347628	0.0495285	0.222368	0.10364	0.0716896	0.108275	0.194367	0.00880322	0.269024	0.0256982	0.0277198	0.105239	0.0824272	0.115252	0.0114872	0.105887	0.220505	0.144257	0.436568	0.080231	0.027543	0.185797	0.0242505	0.0174225	0.0909742	0.084085	0.0489356	0.0293696	0.663314	0.0458557	0.00756465	0.0246341	0.00994208	0.00424718	0.00342914	0.0186457	0.197526	0.339371	0.693849	1.07774	1.88904	5	5.226421
3000	-1223.544	-1311.784	88.24034	10	1.611267	0.133812	0.168542	0.0100626	0.0231358	0.227943	6.27958e-05	0.00306496	0.00190432	0.0170962	0.0158725	0.031949	0.0622255	0.0384009	0.0144806	0.0150831	0.04973	0.098777	0.0160263	0.0643584	0.016097	0.0186901	0.0100302	0.000817829	0.0321255	0.0125711	0.0041096	0.052716	0.00389187	0.0681726	0.0269363	0.00260597	0.080374	0.0225722	0.014471	0.118135	0.00971441	0.0170134	0.198559	0.112514	0.13658	0.0410116	0.00666474	0.0143985	0.206047	0.109514	0.0862603	0.0510976	0.0419583	0.0257217	0.0722315	0.0117587	0.0596023	0.195284	0.0103743	0.210975	0.0529121	0.0977621	0.017275	0.121705	0.0117355	0.0427942	0.0522988	1.11829	0.00662856	0.00109773	0.0423273	0.00592764	0.159886	0.175829	0.0587105	0.460072	0.24201	0.606087	1.05634	2.09556	5	5.519377
4000	-1229.306	-1314.264	84.95801	10	1.504785	0.0156402	0.154814	0.119706	0.0973177	0.00797704	0.00580013	0.0481113	0.00454371	0.00482072	0.00351377	0.0523089	0.0200068	0.00422351	0.0275344	0.0178895	0.0250222	0.0331406	0.0590919	0.0694222	0.0152356	0.0154752	0.00278373	0.0368398	0.0295394	0.0974106	0.010101	0.0490425	0.0159402	0.059447	0.0207331	0.00501757	0.0240882	0.0238089	0.031698	0.0459046	0.0404888	0.0104078	0.0566245	0.0117276	0.0121578	0.0945614	0.236017	0.0626504	0.15643	0.320408	0.0258216	0.177843	0.146016	0.049172	0.00361874	0.0147053	0.209611	0.00793875	0.0325101	0.055371	0.292837	0.231905	0.0558551	0.251051	0.0613155	0.0577762	0.0204347	0.580721	0.0480751	0.0200932	0.470987	0.0207935	0.00150241	0.0683025	0.259078	0.0360989	0.226061	0.589351	1.0507	2.13389	5	5.454859
5000	-1231.547	-1318.06	86.51299	10	1.979033	0.136524	0.0934241	0.122959	0.0328197	0.026679	0.0189664	0.013799	0.00912553	0.00487137	0.0115162	0.0252907	0.00115434	0.0268603	0.0119094	0.00374401	0.0575141	0.0362482	0.0795786	0.0335941	0.0363016	0.0322509	0.00196335	0.00536398	0.0141627	0.0173396	0.013489	0.0327709	0.0228614	0.118003	0.0133432	0.0136877	0.0367778	0.0454547	0.03074	0.0193283	0.0215123	0.017766	0.35373	0.0479406	0.0109829	0.221849	0.382375	0.0324206	0.110931	0.321729	0.105758	0.0262321	0.0925539	0.0558179	0.0125371	0.0198293	0.084745	0.0982911	0.0124596	0.0475711	0.0213929	0.348634	0.190398	0.152269	0.000221864	0.12562	0.322512	0.403832	0.0225085	0.0806834	0.0198984	0.0193452	0.0243483	0.0312144	0.026451	0.0219568	0.290759	0.652765	1.06946	1.98702	5	5.088733
6000	-1265.335	-1345.653	80.31792	10	1.865865	0.00375238	0.0223753	0.322814	0.0842122	0.140961	0.0291689	0.0413749	0.0114455	0.00931037	0.0227999	0.0445432	0.0655269	0.0759353	0.00905175	0.0132738	0.0329853	0.0521717	0.00943697	0.00603414	0.00634234	0.0269379	0.0111161	0.0248602	0.0223846	0.0162996	0.00479258	0.0477138	0.0533615	0.042649	0.00229862	0.015011	0.0330971	0.0666028	0.00153171	0.108604	0.0960011	0.111228	0.16215	0.00103352	0.131594	0.0655941	0.118191	0.859759	0.070263	0.0139298	0.116029	0.0749445	0.0360381	0.011449	0.0314907	0.0956643	0.101995	0.0433176	0.069641	0.0999936	0.287196	0.055996	0.0134181	0.115611	0.0737922	0.0381813	0.0201689	0.829045	0.0288263	0.0949776	0.50378	0.253537	0.00617846	0.0116242	0.188059	0.0159441	0.27672	0.639947	1.06624	2.01709	5	6.327418
7000	-1231.126	-1317.852	86.72616	10	1.129075	0.0920554	0.0708817	0.0467521	0.0063669	0.0968199	0.00598299	0.0302989	0.00566827	0.00254389	0.0137477	0.0238163	0.0167042	0.0163391	0.0097638	0.0147583	0.0587328	0.00888277	0.167482	0.0854625	0.00605946	0.0437596	0.0126689	0.014995	0.041347	0.00237957	0.0596595	0.0490416	0.0645408	0.0837248	0.00293938	0.00168859	0.159571	0.0247147	0.0759764	0.00251018	0.0465023	0.0918603	0.123936	0.00663719	0.00688794	0.0342222	0.0145247	0.20058	0.0821282	0.0214465	0.0935952	0.290055	0.0209983	0.00990665	0.094538	0.0354981	0.029088	0.286718	0.03593	0.0882226	0.00669277	0.398022	0.0170949	0.168499	0.142644	0.251676	0.0428512	0.555304	0.040388	0.0182233	0.0836429	0.0545844	0.0796931	0.139073	0.0489225	0.296158	0.161965	0.512385	1.01848	2.30717	5	5.375379
8000	-1238.244	-1322.768	84.52492	10	1.504446	0.0399757	0.0862116	0.0171119	0.0347712	0.0275614	0.000402815	0.025649	0.00918327	0.00593938	0.0134137	0.0046233	0.176232	0.0380953	0.0146169	0.0395961	0.059537	0.00695621	0.0260879	0.163171	0.00327361	0.0531197	0.00399795	0.0347963	0.000869259	0.0700459	0.00394577	0.0741083	0.0148012	0.0172575	0.0126014	0.00301799	0.151448	0.0103928	0.00472621	0.125941	0.0967773	0.0176048	0.279617	0.0104263	0.111385	0.0152007	0.0961848	0.0227448	0.120731	0.088403	0.150129	0.20717	0.0561416	0.200744	0.012839	0.197878	0.439347	0.00770204	0.0312568	0.00393293	0.0253088	0.145421	0.102387	0.168299	0.135734	0.0408961	0.385558	0.889274	0.000527112	0.141768	0.153212	0.047439	0.0762606	0.0163101	0.0634933	0.460735	0.226009	0.589295	1.05068	2.13401	5	6.392315
9000	-1223.812	-1317.406	93.59435	10	2.338303	0.102182	0.0543728	0.11087	0.0748607	0.00760345	0.00845612	0.00643365	0.00682118	0.0372721	0.0538087	0.040173	0.0234672	0.0790373	0.0309372	0.041992	0.0140423	0.0343563	0.10972	0.0372098	0.0771963	0.0101985	0.0131484	0.0394164	0.0102933	0.0419067	0.0035014	0.0201265	0.00137868	0.0273394	0.00443011	0.0131779	0.0616084	0.0455979	0.026809	0.0421409	0.0845423	0.0296592	0.012175	0.019787	0.0367138	0.270684	0.0214455	0.0769801	0.209379	0.0636043	0.0182884	0.360831	0.0130907	0.0528681	0.112028	0.00110832	0.018626	0.0773526	0.0978764	0.0916052	0.0681404	0.362586	0.0416562	0.162278	0.285609	0.0504619	0.00418977	0.540592	0.030679	0.0184842	0.00128351	0.0946004	0.0159323	0.111841	0.0611773	0.154792	0.33057	0.686759	1.07654	1.90614	5	4.984832
