Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-3064.822	-3084.693	19.87059	10	0.9704954	0.12026	0.136269	0.0519395	0.130471	0.124527	0.111884	0.0879708	0.0435336	0.0371003	0.247677	0.209326	0.0807591	0.179588	0.182372	0.0717538	0.0983613	0.203571	0.221351	0.0579758	0.352495	0.0586701	0.0847556	0.0251212	0.0295282	0.115075	0.184171	0.132365	0.0310363	0.187591	0.19901	0.210459	0.139577	0.0589562	0.0764661	0.310274	0.16231	0.147875	0.239651	0.119905	0.0440807	0.0925049	0.112077	0.0929543	0.0060617	0.00928159	0.0697234	0.108291	0.0504568	0.0301659	0.240776	0.00774135	0.0289928	0.0046637	0.0793484	0.0466576	0.06243	0.110205	0.00229008	0.0486824	0.144428	0.0261283	0.179245	0.0811995	0.13103	0.4677	0.994934	2.40634	5	6.940365
1000	-2101.9	-2138.216	36.3154	10	1.121854	0.0708333	0.0765692	0.0156021	0.0208681	0.0238139	0.193292	0.0624883	0.178535	0.0664147	0.0399115	0.0942389	0.0487322	0.10301	0.114386	0.0352927	0.00301191	0.0888467	0.0166902	0.0853744	0.0434628	0.0342761	0.1175	0.752846	0.0283494	0.0491355	0.0446223	0.0799333	0.0268147	0.0475837	0.0570723	0.0119698	0.00845549	0.42859	0.0263751	0.000839424	0.0991711	0.0583946	0.0158185	0.0211856	0.160589	0.013397	0.151121	0.00657989	0.518605	0.198907	0.0476981	0.0421088	0.031042	0.180646	0.0506825	0.135258	0.00838972	0.181943	0.213951	0.239177	0.140412	0.154657	0.0751822	0.0968472	0.106796	0.0358184	0.0370047	0.027649	0.160606	0.510545	1.01758	2.31127	5	6.144768
2000	-2111.157	-2136.954	25.79763	10	2.39121	0.0739138	0.137021	0.0068568	0.0235895	0.109938	0.12657	0.162244	0.0460472	0.0180635	0.0562756	0.10488	0.0524639	0.177839	0.0913233	0.0200905	0.00549629	0.0929629	0.0256569	0.0126831	8.29567e-05	0.0218606	0.278523	0.746104	0.0556071	0.044318	0.14881	0.174713	0.0200264	0.0795235	0.0829586	0.00562036	0.00800142	0.459952	0.0672057	0.0899734	0.0814917	0.180819	0.0259415	0.0811155	0.0922813	0.122523	0.155627	0.171298	0.0323597	0.0361857	0.0204919	0.0463641	0.102477	0.207814	0.131963	0.0321913	0.504109	0.135729	0.043275	0.0702923	0.0555911	0.212849	0.163014	0.0426963	0.00110431	0.155849	0.0276001	0.114137	0.335894	0.691065	1.07728	1.89576	5	6.674382
3000	-2107.027	-2135.65	28.62358	10	1.612806	0.11061	0.0640462	0.0499892	0.0137539	0.144015	0.201298	0.176991	0.206169	0.0251469	0.012304	0.0512684	0.0773321	0.0833928	0.101959	0.0227364	0.0141462	0.0300417	0.051406	0.0990918	0.0440949	0.0055145	0.16641	0.709467	0.0464506	0.050912	0.0389188	0.0815073	0.000138767	0.056131	0.021967	0.0170939	0.0135007	0.446272	0.0372999	0.0913899	0.120019	0.0651014	0.0439839	0.0643175	0.136219	0.00137144	0.007387	0.0287826	0.0877956	0.0723028	0.0264778	0.0437106	0.0150415	0.0750245	0.196386	0.0508813	0.385673	0.0646433	0.135139	0.028785	0.013817	0.144515	0.166102	0.109105	0.018793	0.31163	0.139242	0.0943012	0.242234	0.606316	1.05641	2.09504	5	6.009313
4000	-2101.642	-2143.033	41.39127	10	0.9885228	0.0325162	0.228304	0.00936566	0.00414505	0.158598	0.451747	0.117958	0.17733	0.0208204	0.0822642	0.00160354	0.126267	0.0821337	0.068964	0.0116112	0.0232561	0.0414176	0.0173799	0.0270949	0.0137638	0.0157168	0.086681	0.558314	0.0472212	0.0287017	0.0461731	0.053942	0.0686902	0.0812436	0.0455311	0.0146855	0.0265439	0.450255	0.0723991	0.000955481	0.00126285	0.0978821	0.05009	0.0076964	0.11097	0.00726211	0.0461807	0.125531	0.0389275	0.129883	0.0139893	0.114321	0.0443275	0.0591699	0.261249	0.0518757	0.13796	0.0677673	0.123784	0.0767633	0.13447	0.040623	0.00234409	0.209341	0.0379534	0.149303	0.142139	0.203205	0.134658	0.473275	0.998072	2.394	5	5.779865
5000	-2099.688	-2136.465	36.7773	10	1.056079	0.102884	0.127339	0.00972652	0.0524085	0.128038	0.215027	0.062501	0.00916864	0.0511763	0.00351148	0.0362972	0.0469429	0.0876065	0.0871902	0.00238461	0.0132724	0.0582031	0.0232989	0.0109917	0.014806	0.0176527	0.118226	0.688112	0.0799738	0.0318862	0.0462678	0.148374	0.0379812	0.052162	0.0653398	0.0325318	0.00304965	0.479702	0.0852244	0.0473648	0.0505611	0.0387041	0.0171607	0.00624848	0.134757	0.0231828	0.0409947	0.0737297	0.0328091	0.168481	0.083962	0.156377	0.0568244	0.30345	0.170339	0.273137	0.0431553	0.0950216	0.0457578	0.0578021	0.104462	0.142339	0.0715718	0.0210359	0.0996136	0.0964012	0.0131625	0.397197	0.148006	0.492982	1.0087	2.35031	5	5.89486
6000	-2127.775	-2141.722	13.94644	2	1.454423	0.0636811	0.236199	0.0509912	0.0159882	0.0314649	0.0900799	0.145079	0.172964	0.0437096	0.0297362	0.0794336	0.14164	0.145307	0.0488529	0.00289393	0.0175311	0.0548976	0.0393528	0.0181173	0.0197885	0.0448223	0.0701143	0.816816	0.114215	0.0230446	0.0837951	0.0513439	0.0109042	0.0753972	0.0624495	0.000587932	0.00147831	0.416266	0.000723269	0.169845	0.0135363	0.245058	0.0764713	0.10148	0.00257337	0.119666	0.130925	0.0744304	0.0856477	0.137252	0.0262767	0.0282497	0.0559454	0.000385325	0.134001	0.34017	0.039714	0.103982	0.0306794	0.392362	0.0129635	0.201252	0.102287	0.0577232	0.0897346	0.0479603	0.0161627	0.171186	0.218195	0.58079	1.04763	2.15339	4	6.227583
7000	-2128.451	-2146.975	18.52428	10	1.417369	0.065777	0.147301	0.0183629	0.0343245	0.0373189	0.245225	0.140729	0.00903891	0.0667812	0.0558393	0.0114177	0.0201775	0.144242	0.077477	0.0177634	0.00248428	0.0606263	0.018017	0.0538218	0.0377723	0.00959255	0.101183	0.703208	0.107872	0.0598766	0.130134	0.129009	0.037532	0.162633	0.0459428	0.0261319	0.00496612	0.508519	0.0695029	0.123885	0.0684725	0.192098	0.0514863	0.0482399	0.122038	0.0858319	0.185119	0.063036	0.397265	0.0356882	0.0778555	0.0878588	0.10545	0.179897	0.0337177	0.177293	0.176251	0.0186183	0.183518	0.146987	0.00674464	0.227891	0.0899549	0.231019	0.218777	0.0835648	0.000746924	0.0637987	0.212271	0.574199	1.04518	2.16835	5	6.843701
8000	-2100.334	-2133.838	33.50425	10	1.999138	0.0634643	0.206358	0.00206506	0.0313343	0.137736	0.396537	0.0870318	0.100944	0.0610229	0.0101348	0.115803	0.0323105	0.0397446	0.126177	0.0262209	0.00517902	0.0186891	0.038427	0.0894876	0.023422	0.00719378	0.119271	0.669833	0.0506767	0.0530303	0.0409296	0.109133	0.0143187	0.0558162	0.0391872	0.00406559	0.00525456	0.293465	0.0370551	0.105023	0.0236263	0.0983773	0.0518407	0.014824	0.0401109	0.191723	0.0227069	0.0891866	0.0638005	0.0776237	0.00493847	0.086445	0.0708792	0.0176051	0.136141	0.0477784	0.0647664	0.0523713	0.033157	0.0314558	0.051415	0.146307	0.0425424	0.13301	0.0549011	0.377225	0.0419171	0.213341	0.293172	0.654922	1.06997	1.98194	5	5.49636
9000	-2098.385	-2136.157	37.77231	10	1.289022	0.0995123	0.175074	0.0337004	0.0507553	0.203966	0.130806	0.193282	0.184162	0.0357317	0.0344365	0.0577718	0.0198139	0.127422	0.183734	0.00601937	0.00409194	0.0526909	0.0197091	0.0500762	0.0177032	0.000956423	0.0899618	0.462178	0.104211	0.0816036	0.0142411	0.082195	0.0166024	0.0770134	0.0571913	0.0134124	9.31848e-05	0.43724	0.0692566	0.0250103	0.0817961	0.156571	0.0284609	0.0468034	0.092744	0.0726597	0.130438	0.15554	0.104473	0.115681	0.0527794	0.115367	0.0427079	0.139542	0.00962945	0.0823004	0.0352096	0.0123663	0.0980838	0.0166151	0.0165303	0.202605	0.0250502	0.324359	0.00148282	0.130776	0.0241253	0.223289	0.190816	0.549206	1.03519	2.22479	5	5.74961
