Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-495.8854	-544.1349	48.2495	10	1.783113	0.23469	0.0896299	0.0879535	0.0292203	0.0166439	0.150981	0.160289	0.263584	0.0150048	0.0594319	0.0104616	0.0515805	0.000335477	0.00724839	0.0533088	0.052257	0.0950234	0.0538214	0.368131	0.0116778	0.0389352	0.0112775	0.391045	0.0206211	0.00519223	0.0617196	0.0643766	0.0523843	0.0614328	0.329333	0.0324896	0.109696	0.134552	0.0760038	0.24093	0.0756153	0.218266	0.0024984	0.17363	0.368117	0.0714593	0.0217944	0.0349917	0.127306	0.121388	0.147967	0.0982838	0.0337943	0.138877	0.0293008	0.0907667	0.0753035	0.135147	0.00764073	0.251101	0.16229	0.0279898	0.14094	0.00923717	0.119983	0.146507	0.0748873	0.165562	0.258139	0.137223	0.0248575	0.176979	0.146581	0.213253	0.0110529	0.0342599	0.0768675	0.384083	0.265935	0.629773	1.06348	2.04081	5	7.9752
1000	-383.9423	-409.2591	25.31676	2	0.03517057	0.110213	0.121712	0.0699252	0.0547402	0.0981885	0.190846	0.0463456	0.048949	0.285321	0.0561445	0.0475007	0.058923	0.0438843	0.0602903	0.175362	0.0387641	0.0134285	0.00208068	0.052241	0.086212	0.156467	0.0578951	0.137426	0.289218	0.109627	0.0728155	0.000762521	0.0239872	0.0425716	0.173819	0.159029	0.0246626	0.208791	0.0446599	0.128507	0.227206	0.0852615	0.00914047	0.00298568	0.0276718	0.106884	0.0445634	0.0623763	0.0475541	0.0266937	0.402635	0.00504531	0.0683574	0.0196353	0.149065	0.0329978	0.0215193	0.106679	0.239553	0.16077	0.0135477	0.010894	0.11063	0.128268	0.0188845	0.00582922	0.253726	0.134959	0.167242	0.142962	0.00935502	0.439394	0.104364	0.1251	0.121724	0.0161082	0.71758	0.000305267	4.24981e-18	3.07996e-09	0.000469295	3.99953	4	7.65878
2000	-411.3008	-418.4162	7.115408	1	0.02116517	0.4384	0.131002	0.00972814	0.181939	0.243678	0.0845051	0.0625008	0.0739816	0.13442	0.229755	0.0653257	0.0375273	0.053936	0.037465	0.0244471	0.00758908	0.0445315	0.0787396	0.131068	0.0504575	0.117399	0.0260761	0.0790604	0.107029	0.0853874	0.0815853	0.0200018	0.440781	0.0892251	0.0182969	0.161943	0.0309199	0.0135289	0.151909	0.155181	0.171035	0.00555733	0.17284	0.223828	0.0537102	0.0772692	0.0832766	0.0738819	0.00373173	0.0142688	0.12501	0.131942	0.132202	0.133456	0.255701	0.109049	0.0171926	0.201981	0.121528	0.128739	0.0329375	0.515085	0.12368	0.0158403	0.00212196	0.0518628	0.160105	0.0274905	0.0626508	0.0185401	0.365379	0.0291477	0.230581	0.274276	0.118479	0.0352741	0.406427	0.20907	2.0041e-29	6.69642e-15	2.09794e-06	4	3	8.614468
3000	-382.5315	-416.4291	33.89768	2	0.03468996	0.401365	0.0161868	0.101323	0.0647666	0.159962	0.0690516	0.0195666	0.0845519	0.248952	0.040275	0.0395457	0.0254393	0.0332933	0.00332769	0.00965537	0.0216096	0.02517	0.0580801	0.0889321	0.0467713	0.209121	0.0393132	0.099406	0.0442152	0.00487479	0.0526234	0.0511798	0.0398044	0.0145945	0.203597	0.108945	0.275027	0.0198255	0.0701541	0.0523323	0.276022	0.0972781	0.0526216	0.0219251	0.128832	0.0384968	0.24596	0.00423705	0.135055	0.0687199	0.0231387	0.0790962	0.0014579	0.0979058	0.151882	0.128493	0.303849	0.132249	0.0390309	0.101748	0.225917	0.0226638	0.125682	0.0027401	0.351039	0.0301779	0.0157863	0.0634395	0.0129393	0.101668	0.194058	0.175039	0.107751	0.0489871	0.027395	0.178918	0.0734866	0.103835	2.46174e-18	2.34422e-09	0.000419047	3.99958	4	6.832361
4000	-382.9663	-409.5812	26.61484	1	0.06742945	0.00934377	0.503156	0.130633	0.0622241	0.0502261	0.197136	0.026519	0.287192	0.157231	0.00282909	0.085927	0.147404	0.03816	0.00244147	0.0155426	0.00295207	0.0366826	0.190109	0.0520522	0.0315871	0.0406291	0.00278062	0.13256	0.0630022	0.0686064	0.0352828	0.00990088	0.0723201	0.0829343	0.224266	0.273023	0.298785	0.0583909	0.0334049	0.258051	0.115033	0.101896	0.0156338	0.00150726	0.0567916	0.0270988	0.0857843	0.186835	0.0186982	0.185549	0.0288078	0.0407188	0.0486084	0.118134	0.0422117	0.0920145	0.0567891	0.0188568	0.0614495	0.0275941	0.0748853	0.0461084	6.00873e-05	0.00628016	0.0184127	0.0742863	0.0744078	0.0574711	0.109614	0.0416585	0.113433	0.0417938	0.106345	0.162755	0.0169398	0.215748	0.00943458	0.476968	6.53986e-10	3.81035e-05	0.0234205	3.97654	3	6.659898
5000	-401.1845	-405.5678	4.383249	1	0.0409065	0.237365	0.116923	0.411664	0.0432212	0.0195727	0.0934884	0.112372	0.0285762	0.153589	0.167798	0.589025	0.163601	0.00722612	0.0627064	0.0132775	0.0124608	0.0262962	0.0366047	0.03536	0.0767047	0.292972	0.156528	0.00577908	0.0404686	0.0888833	0.0312146	0.00559698	0.298036	0.0664935	0.104875	0.196482	0.257731	0.514748	0.203594	0.33058	0.0680709	0.370919	0.00967468	0.232111	0.146215	0.164426	0.0367939	0.0672774	0.141451	0.127318	0.089448	0.295125	0.0370851	0.0149576	0.0460166	0.0815609	0.127025	0.153655	0.0795731	0.0280209	0.028697	0.00741483	0.0157199	0.197241	0.0309671	0.00686278	0.01924	0.0216629	0.215377	0.0595152	0.0153997	0.326658	0.0768363	0.186492	0.0531712	0.0545464	0.0612162	0.190156	1.06729e-15	4.87852e-08	0.00147638	3.99852	3	8.88571
6000	-407.1456	-427.4279	20.2823	2	0.04636292	0.0214262	0.0431817	0.165986	0.0192665	0.0148156	0.331907	0.019615	0.0132679	0.0246058	0.0476357	0.0535873	0.0544661	0.194705	0.0719212	0.0137712	0.0293919	0.0274179	0.107402	0.0698152	0.456588	0.280509	0.168848	0.0693042	0.144934	0.0314079	0.11574	0.0864575	0.0478612	0.162138	0.0849737	0.137115	0.0384765	0.0587858	0.0329561	0.0382977	0.0919857	0.081423	0.103684	0.383182	0.135743	0.00828901	0.0234132	0.103373	0.166185	0.0300471	0.0703354	0.103357	0.0118637	0.294165	0.0306226	0.0736187	0.127899	0.0458114	0.0617633	0.0549544	0.0606569	0.180683	0.0157237	0.0556943	0.0856212	0.00983368	0.0113059	0.0380685	0.424845	0.0337645	0.0800604	0.214255	0.0550577	0.216773	0.344304	0.0148313	0.0444599	0.464406	5.75473e-14	3.58063e-07	0.00337567	3.99662	4	7.630638
7000	-378.1478	-402.943	24.79524	2	0.002353096	0.0195419	0.0174165	0.452549	0.112014	0.0758029	0.0932346	0.0950956	0.00836486	0.00895401	0.248109	0.0319031	0.0461539	0.0379088	0.00698073	0.0166498	0.0227941	0.00324512	0.093357	0.134583	0.0285655	0.0584897	0.101133	0.0758022	0.212062	0.0879624	0.0974648	0.0230176	0.297729	0.320659	0.117667	0.348948	0.110322	0.00170714	0.153524	0.124117	0.0829672	0.139533	0.0829768	0.0636909	0.279967	0.0396135	0.075952	0.0730665	0.190511	0.0907079	0.002021	0.170845	0.0374432	0.0563387	0.0058765	0.259347	0.0494392	0.0253372	0.00345398	0.443658	0.156444	0.0382712	0.0089722	0.00120673	0.0129226	0.0923055	0.0125734	0.0477573	0.0644629	0.0139062	0.189102	0.00181357	0.295261	0.204915	0.148607	0.0181798	0.0514452	0.000203207	7.77175e-257	1.32086e-128	1.35144e-53	4	4	7.214922
8000	-397.2434	-414.5885	17.34503	1	0.007793842	0.0367145	0.0810226	0.0107204	0.0625033	0.222003	0.0263015	0.15348	0.12968	0.0542607	0.0407322	0.0144307	0.0649135	0.0835581	0.0498587	0.116276	0.190914	0.0305171	0.0435287	0.0914734	0.0254172	0.104063	0.0521218	0.00987793	0.216987	0.0462919	0.0091667	0.0628378	0.210831	0.36703	0.0762231	0.173353	0.0121045	0.139111	0.0966748	0.0885277	0.35203	0.164902	0.123404	0.27417	0.0891027	0.190154	0.0346173	0.0274406	0.0638247	0.211023	0.00484889	0.00550198	0.15764	0.0143849	0.0743991	0.0116175	0.324127	0.00286495	0.161211	0.0138692	0.0376701	0.073013	0.180463	0.00630999	0.181292	0.00796814	0.128631	0.123099	0.466092	0.00939474	0.26071	0.0593916	0.0143455	0.00225612	0.159544	0.238025	0.0123378	0.137663	3.1663e-78	2.66481e-39	1.56819e-16	4	3	7.592843
9000	-397.7961	-422.748	24.95187	1	0.02315207	0.0160884	0.0367497	0.201424	0.0294038	0.414186	0.35871	0.241526	0.0595098	0.186541	0.184836	0.267658	0.119649	0.00803356	0.03619	0.025185	0.00497611	0.101766	0.00608563	0.0290817	0.105092	0.152429	0.0464506	0.0141266	0.0195755	0.0341875	0.0567631	0.0153115	0.0330656	0.0733838	0.00811387	0.113673	0.233455	3.35603e-05	0.159256	0.224799	0.0932289	0.327685	0.041138	0.022249	0.0995496	0.0698762	0.146721	0.109051	0.0167119	0.044528	0.12012	0.181791	0.0470215	0.0104636	0.115817	0.008922	0.0118112	0.00543033	0.105153	0.0471066	0.142022	0.108433	0.0899387	0.0122118	0.135395	0.102645	0.0623891	0.141753	0.0748097	0.062039	0.0872185	0.0125547	0.292806	0.147749	0.0303877	0.00709714	0.0140898	0.0653933	5.53307e-27	1.11248e-13	6.73345e-06	3.99999	3	6.830623
