Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-1312.976	-1331.798	18.82123	10	0.5387081	0.0513686	0.0164346	0.0613261	0.0857054	0.0291898	0.0133405	0.160899	0.339759	0.06509	0.0393129	0.00916276	0.241702	0.197427	0.52278	0.184626	0.0554263	0.0580025	0.0220172	0.00905429	0.0453359	0.372825	0.218737	0.311141	0.010162	0.0502275	0.120423	0.0538269	0.0416919	0.175585	0.00293807	0.0506453	0.0557332	0.0296139	0.0617731	0.00995932	0.0375864	0.258468	0.166799	0.219795	0.0277082	0.0335927	0.0307477	0.179065	0.205219	0.0357897	0.0407673	0.276436	0.846511	2.83629	5	4.968013
1000	-655.1745	-697.9025	42.728	10	1.799037	0.00980518	0.0236877	0.00386604	0.0208876	0.00739874	0.0283802	0.101637	0.0260332	0.018145	0.00414691	0.0210577	0.0299055	0.0653207	0.0956408	0.0957049	0.0871406	0.0708927	0.0651938	0.0214543	0.0452058	0.0431882	0.0133671	0.0131277	0.0288862	0.144796	0.0331415	0.0952761	0.000696369	0.0329672	0.10765	0.0363503	0.000623014	0.0650992	0.110923	0.0231132	0.0409883	0.0341427	0.0391266	0.117116	0.0851646	0.00466017	0.0218382	0.0206206	0.0898768	0.0351913	0.268046	0.631788	1.06404	2.03613	5	2.079435
2000	-653.9822	-692.2698	38.28758	10	1.136126	0.00994105	0.0193945	0.00894486	0.012525	0.000250848	0.0335418	0.0467312	0.0431329	0.0364976	0.00356675	0.00398683	0.00824584	0.0942052	0.0472006	0.0677518	0.0708655	0.0131404	0.059835	0.00109833	0.0526518	0.111336	0.00660015	0.0131419	0.00161835	0.0180921	0.12307	0.00580016	0.00945746	0.00101272	0.216049	0.0437056	0.0479672	0.0971651	0.105341	0.0304722	0.0509806	0.0606433	0.00736413	0.15955	0.17537	0.0294875	0.0290879	0.0439951	0.0211731	0.0353279	0.163287	0.514164	1.01934	2.30321	5	2.077318
3000	-668.2125	-698.2418	30.0293	1	1.153693	0.0764276	0.00878255	0.00113908	0.00706855	0.0182543	0.0661499	0.0692566	0.0601722	0.0197599	0.00238667	0.0246188	0.0207266	0.0914348	0.0269471	0.0695295	0.0757468	0.0622271	0.0990059	0.0239929	0.0348786	0.0214962	0.00438409	0.0203467	0.00250994	0.163554	0.0551921	0.0228919	0.0174315	0.00867908	0.157213	0.0060993	0.0421504	0.0478188	0.0854318	0.0101573	0.0650806	0.0774828	0.00486591	0.00179009	0.277013	0.00299545	0.00682489	0.0222282	0.0795224	0.201112	0.166561	0.51853	1.02144	2.29347	3	2.262777
4000	-665.9365	-696.2252	30.28868	10	1.05475	0.0572442	0.019639	0.0229847	0.00555899	0.00541345	0.0860484	0.0947613	0.0824896	0.0350564	0.00155899	0.0095568	0.0272641	0.0349788	0.119569	0.0527596	0.0215999	0.141333	0.0548399	0.0227704	0.185201	0.0695366	0.0210951	0.0147097	0.00743659	0.0903823	0.20633	0.0347647	0.197056	0.0103812	0.0791851	0.0363806	0.0187852	0.289945	0.308769	0.00488963	0.0786274	0.0837055	0.0508528	0.000832833	0.212654	0.0254228	0.0343457	0.0424069	0.0444424	0.0345674	0.147747	0.492612	1.00851	2.35113	5	3.078133
5000	-670.9036	-701.9237	31.02016	2	2.618497	0.00473943	0.027632	0.029865	0.018414	0.00203944	0.00353494	0.0475643	0.0342328	0.0667031	0.0289814	0.0276241	0.0273052	0.109751	0.052069	0.0876645	0.103428	0.00121836	0.126558	0.0278663	0.109891	0.0248978	0.00193301	0.0346045	0.0266927	0.336129	0.03482	0.0364304	0.121258	0.0124816	0.0622278	0.0266412	0.00166426	0.0413318	0.172458	0.00325728	0.0915974	0.0132345	0.0830385	0.0354427	0.113557	0.0258084	0.0571292	0.0548117	0.0470424	0.0339682	0.357411	0.707948	1.07985	1.85479	4	2.429538
6000	-670.1069	-703.8754	33.7685	2	0.8293616	0.0211246	0.0300272	0.000229003	0.0205389	0.0658236	0.0342662	0.0741817	0.0450372	0.034146	0.0405573	0.0065464	0.00214116	0.0485815	0.0597198	0.0895339	0.0320339	0.0557236	0.0205649	0.0122931	0.0235616	0.0427955	0.00535277	0.0135433	0.0324598	0.0903283	0.0713356	0.0221009	0.0444215	0.102011	0.121985	0.0186694	0.0655324	0.164754	0.232452	0.0225245	0.0742381	0.0434542	0.0503381	0.0481048	0.120504	0.0120962	0.030993	0.0122501	0.0645531	0.0149085	0.101789	0.418692	0.96477	2.51475	4	2.238339
7000	-642.3447	-682.7987	40.45405	10	1.351643	0.0120118	0.000275248	0.000583018	0.043607	0.0127369	0.0285804	0.0773357	0.0731058	0.0383847	0.00106434	0.0133293	0.000387066	0.0652213	0.0572777	0.0909376	0.134761	0.0115748	0.019596	0.0136269	0.0458461	0.0462331	0.0139933	0.0052313	0.000522202	0.0792012	0.192309	0.0350274	0.0243537	0.127154	0.149077	0.0106126	0.00357962	0.0563858	0.181339	0.010871	0.0968365	0.110269	0.056137	0.00863956	0.124648	0.0104706	0.0224566	0.0214442	0.0821232	0.0443664	0.201468	0.561843	1.04038	2.19631	5	2.253523
8000	-667.03	-691.321	24.29101	2	1.059826	0.0192506	0.0235355	0.00326711	0.0276536	0.0115131	0.0349647	0.100036	0.0843527	0.0332962	0.00269348	0.000296649	0.0036306	0.0514698	0.0644121	0.147678	0.0339194	0.026829	0.0452483	0.162347	0.00756117	0.0697454	0.00690143	0.0118513	0.0203603	0.497417	0.0183775	0.0412813	0.193347	0.0148376	0.127939	0.0172814	0.0162146	0.26133	0.25093	0.0495699	0.0580792	0.0629998	0.0475181	0.0193802	0.178851	0.0367303	0.0204668	0.0705828	0.0116321	0.0328115	0.148734	0.494024	1.00925	2.348	4	3.02039
9000	-677.9402	-701.5961	23.65589	1	2.568522	0.0226669	0.0468669	0.0138706	0.00510928	0.00252797	0.00391022	0.0983683	0.0915947	0.0122653	0.037633	0.0043937	0.00130765	0.0952364	0.0550834	0.148294	0.0669046	0.0203301	0.136611	0.0240786	0.0793571	0.109128	0.00493305	0.029735	0.0267284	0.112912	0.145152	0.0743749	0.0326039	0.0615862	0.0766377	0.0744899	0.0183627	0.136304	0.162906	0.00291873	0.0795029	0.0208713	0.252977	0.0618144	0.15854	0.00584294	0.0563523	0.032119	0.0530304	0.00240204	0.352858	0.704443	1.07937	1.86333	3	2.758635
10000	-645.1854	-689.6627	44.47727	10	1.037979	0.018417	0.0100529	0.00623967	0.0153996	0.00534855	0.0289581	0.116043	0.0516776	0.0171411	0.00298249	0.0448004	0.00711806	0.0600115	0.104618	0.0872413	0.0960296	0.0119237	0.0712473	0.0561306	0.0178829	0.0523939	0.0098552	0.0167668	0.0073552	0.0825409	0.101361	0.0722534	0.00589503	0.102375	0.056687	0.0262962	0.00879179	0.0205448	0.155321	0.0158971	0.0551178	0.0174323	0.0374933	0.0175236	0.170674	0.0649801	0.0664717	0.066774	0.0199717	0.0159657	0.144469	0.487877	1.00602	2.36164	5	2.096002
11000	-654.7276	-694.8537	40.12611	10	0.577171	0.0240259	0.0279263	0.00305224	0.0311255	0.0043124	0.00249277	0.0421529	0.122384	0.0283741	0.000811122	0.00114001	0.00393139	0.0363426	0.0515739	0.0785112	0.0638336	0.0116145	0.0398614	0.0308714	0.0618763	0.0685835	0.0278927	0.00606982	0.00540502	0.0526444	0.206331	0.0850229	0.0227575	0.0894859	0.0926451	0.0384872	0.0638004	0.102161	0.247325	0.0257906	0.131018	0.0308155	0.00813974	0.0116213	0.319245	0.021819	0.13121	0.0831471	0.0579127	0.0429027	0.0484363	0.299342	0.86921	2.78301	5	2.638447
12000	-675.7638	-703.5842	27.82042	2	0.8263147	0.0410723	0.0210972	0.0524	0.0460306	0.0281278	0.0817495	0.0740697	0.0848289	0.0322817	0.012067	0.005219	0.0105235	0.127281	0.0782088	0.160544	0.0367605	0.133213	0.0756246	0.0391262	0.0600821	0.0220997	0.00602999	0.0294819	0.0536994	0.126478	0.146034	0.00388057	0.0287044	0.0248261	0.31005	0.075009	0.00594658	0.0429823	0.110663	0.0111266	0.0788969	0.0345751	0.00768017	0.0257331	0.2105	0.163174	0.00897037	0.00621162	0.0679941	0.0057194	0.101145	0.417517	0.963988	2.51735	4	2.806774
13000	-647.5834	-690.3341	42.75072	10	1.15732	0.0239559	0.0257319	0.00276848	0.00613098	0.010799	0.00308587	0.0682985	0.0414493	0.0083316	0.0163005	0.00915039	0.0165118	0.108152	0.0554795	0.0775192	0.0567563	0.0963998	0.0631005	0.0209798	0.0230544	0.0353249	0.0119443	0.0179048	0.00502875	0.1426	0.109479	0.0654446	0.0264011	0.0373537	0.173895	0.00555941	0.0346668	0.0295836	0.19726	0.0149663	0.0756939	0.0228648	0.114251	0.00698709	0.200334	0.0964386	0.0951176	0.056664	0.0474929	0.00334889	0.167233	0.519419	1.02186	2.29149	5	2.360562
