Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-38.98935	-48.6423	9.652955	10	1.366527	0.44722	0.0166139	0.114892	0.0650462	0.017538	0.18764	0.189821	0.150917	0.127181	0.197739	0.0703554	0.203948	0.564719	1.04152	2.18982	5	1.584963
1000	-33.94988	-46.84525	12.89537	10	1.451405	0.0494967	0.240749	0.00488532	0.0435891	0.051484	0.108762	0.0938274	0.047441	0.202016	0.119605	0.0862881	0.217717	0.580263	1.04744	2.15458	5	1.048144
2000	-48.47735	-50.90604	2.428695	2	0.09498394	0.32075	0.0327258	0.254264	0.0322946	0.162613	0.428356	0.301619	0.154023	0.0624975	0.0892214	0.275332	2.53406e-07	0.000748268	0.0805874	3.91866	4	2.113695
3000	-32.2052	-44.32077	12.11556	2	0.4392701	0.0186257	0.112066	0.02016	0.157949	0.042815	0.0753579	0.0827198	0.484725	0.0430017	0.00854539	0.0611397	0.0227632	0.210435	0.770505	2.9963	4	1.107105
4000	-39.54361	-48.00566	8.462049	0.2	0.9662227	0.0780496	0.174813	0.0768037	0.0756691	0.0139265	0.296717	0.150338	0.587573	0.00744203	0.0528167	0.0237182	0.130166	0.466358	0.99417	2.40931	2	1.537867
5000	-31.46774	-49.17144	17.7037	10	1.136045	0.0434163	0.0853033	0.0836834	0.177241	0.039259	0.0826725	0.184446	0.0347165	0.0802926	0.00101422	0.0521803	0.163272	0.514144	1.01933	2.30325	5	0.8642251
6000	-37.79624	-46.68604	8.889808	2	1.362714	0.184269	0.0326946	0.0496897	0.293213	0.0656067	0.0314006	0.0718449	0.222196	0.314994	0.0295506	0.0102784	0.203314	0.563987	1.04123	2.19147	4	1.305738
7000	-18.81264	-43.23705	24.42441	1000	1.24692	0.00225871	0.0298176	0.00874798	0.0355936	0.0653343	0.052335	0.0394513	0.274743	0.200474	0.385976	0.2265	0.183453	0.540186	1.03132	2.24504	6	1.321232
8000	-38.9575	-46.38058	7.423086	2	0.909572	0.0178641	0.0997847	0.0624016	0.190275	0.00951702	0.065712	0.18564	0.0755196	0.566643	0.00675001	0.105652	0.118577	0.447776	0.983236	2.45041	4	1.385758
9000	-28.95808	-47.08505	18.12697	10	0.4410762	0.0288535	0.0225477	0.0722133	0.0405542	0.0587061	0.0787747	0.110735	0.00775521	0.0199552	0.173114	0.133133	0.0230587	0.211721	0.772162	2.99306	5	0.7463418
