Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2012.684	-2044.53	31.84615	10	0.51294	0.238693	0.0240976	0.0354838	0.0216383	0.0380078	0.0195512	0.0168352	0.139501	0.175259	0.153807	0.000955987	0.104779	0.178284	0.158596	0.272163	0.181223	0.102815	0.114926	0.0302798	0.0204989	0.0552058	0.166897	0.0241682	0.0643519	0.0325977	0.199298	0.0562333	0.0597211	0.108909	0.0696083	0.0739431	0.00779283	0.0794913	0.268263	0.0290235	0.0997982	0.046857	0.0881873	0.169457	0.131252	0.12121	0.0761787	0.0801622	0.0268714	0.0728319	0.39782	0.00726147	0.332576	0.202442	0.00415471	0.266976	0.222093	0.176589	0.0358105	0.26028	0.82946	2.87445	5	5.845619
1000	-838.5994	-890.5776	51.97813	2	1.960953	0.028533	0.0111266	0.00284745	0.0195402	0.0124851	0.0202499	0.001329	9.83159e-05	0.00333638	0.0440697	0.0166864	0.0202969	0.0079526	0.0361901	0.00155783	0.00579354	0.0513305	0.00934242	0.0150075	0.0219189	0.100291	0.0251945	0.0476552	0.0170881	0.00410162	0.0181965	0.0420177	0.0190047	0.0236974	0.0722508	0.0406414	0.0708006	0.0206156	0.0130675	0.0571137	0.110957	0.008089	0.0877716	0.0109794	0.0705233	0.00502128	0.0251247	0.0376312	0.000238975	0.0314407	0.171444	0.0306397	0.164902	0.263243	0.0204954	0.161769	0.0131567	0.0671295	0.288569	0.650796	1.06898	1.99165	4	2.181985
2000	-846.0397	-890.0464	44.00668	1	1.72264	0.0194122	0.0188853	0.0339692	0.0118631	0.00497477	0.0153194	0.0119168	0.00588762	0.0301862	0.014256	0.00681086	0.0590817	0.00689243	0.0113871	0.00600815	0.0202209	0.0507765	0.0652252	0.00108578	0.0141715	0.124778	0.0258515	0.00882429	0.0172691	0.00220332	0.0119363	0.0182154	0.00139306	0.026972	0.043344	0.0790566	0.0563564	0.103155	0.0391047	0.0596908	0.186298	0.00622578	0.0266194	0.0108305	0.0128985	0.0862154	0.111643	0.0189277	0.0229169	0.0906704	0.0539986	0.111312	0.140473	0.286136	0.00831529	0.101579	0.027336	0.00403807	0.257759	0.621858	1.0612	2.05918	3	2.332915
3000	-855.5139	-896.3333	40.81939	2	1.112233	0.00979734	0.0133203	0.00276906	0.0110571	0.0042806	0.0564487	0.0151042	0.00932717	0.008523	0.0436748	0.0511339	0.0178261	8.67914e-05	0.0331764	0.0136837	0.0497801	0.0164471	0.0147467	0.00516949	0.0469982	0.0703247	0.0222252	0.00140919	0.0336026	0.0156924	0.00513161	0.0402969	0.0490774	0.0793035	0.103643	0.0595364	0.216615	0.105346	0.0222941	0.05584	0.358712	0.0258831	0.112707	0.0946766	0.0473384	0.147708	0.102377	0.0101978	0.00587731	0.132996	0.142284	0.149855	0.102427	0.242384	0.00669616	0.0768588	0.0321187	0.00839384	0.158788	0.508069	1.01636	2.31678	4	3.10318
4000	-844.3746	-889.3246	44.95009	2	3.021956	0.00897953	0.0011568	0.0305132	0.00463576	0.000317888	0.0214207	0.00581317	0.00602524	0.00512138	0.00805157	0.0228316	0.00159987	0.00369301	0.0300966	0.00137452	0.0168877	0.00887088	0.0224978	0.0206117	0.00834534	0.0231467	0.0283966	0.0569631	0.0177508	0.000991239	0.0275914	0.0407301	0.0688567	0.119222	0.00812972	0.0300285	0.048189	0.0548246	0.0805943	0.00963225	0.213418	0.0751803	0.0878684	0.0599653	0.0233426	0.010774	0.126316	0.0219034	0.0138675	0.0344868	0.228087	0.00986856	0.149368	0.230943	0.000119398	0.122983	0.0537044	0.0772836	0.390953	0.732736	1.08262	1.79369	4	2.38337
5000	-852.7363	-897.2623	44.52602	2	1.21227	0.0115683	0.0179812	0.00126194	0.00113865	0.00867383	0.0112701	0.0130799	0.00152156	0.00435831	0.00530548	0.0100527	0.038164	7.83895e-05	0.0317839	0.00241935	0.0145991	0.0786679	0.0547311	0.0148552	0.00886416	0.0335729	0.06185	0.00722463	0.00786288	0.000623924	0.0280193	0.00223453	0.0980565	0.0372084	0.185595	0.143298	0.0769558	0.0914976	0.0956722	0.0249114	0.130794	0.0990843	0.0347397	0.00151647	0.0190286	0.0359974	0.0711822	0.0805892	0.00512833	0.0169082	0.0978815	0.11261	0.0691227	0.439004	0.00117562	0.170089	0.0166015	0.0930829	0.177269	0.532421	1.02787	2.26244	4	2.719494
6000	-840.83	-887.0424	46.21239	2	1.85102	0.0230479	0.00695419	0.0319536	0.0161247	0.00887275	0.0209707	0.00811016	0.00124357	0.00193894	0.0304151	0.0285874	0.00541634	0.0233981	0.0234844	0.00120291	0.00578705	0.0310686	0.0127357	0.0470843	0.00594529	0.120084	0.0209198	0.0331564	0.0164151	0.0156077	0.00586847	0.0635458	0.0124558	0.0400127	0.166656	0.0361177	0.103584	0.16864	0.0413532	0.0387094	0.0033704	0.00473425	0.0311263	0.0783812	0.000965582	0.011841	0.156707	0.00306078	0.0383413	0.0745894	0.131663	0.0661149	0.031479	0.389334	0.0564887	0.0940036	0.0878425	0.0388625	0.274818	0.638175	1.06577	2.02124	4	2.516373
7000	-835.3037	-884.5429	49.23916	2	1.773816	0.0341847	0.00930731	0.00469063	0.00936423	0.0183676	0.00215557	0.00168904	7.60463e-05	0.017136	0.00214801	0.0283591	0.00918303	0.00104403	0.0101481	0.00819195	0.0112602	0.0314025	0.0187384	0.0062276	0.00531428	0.0373468	0.0379531	0.00958586	0.0500859	0.0157357	0.0238846	0.0206771	0.0174852	0.0964228	0.0572807	0.100394	0.0392607	0.0920959	0.0212012	0.053709	0.0424469	0.0331262	0.116929	0.0995081	0.0439095	0.01324	0.0403965	0.00234168	0.0147025	0.0226947	0.122472	0.0650973	0.0834763	0.292732	0.000544728	0.0901092	0.208784	0.104227	0.264694	0.628583	1.06314	2.04358	4	2.298844
8000	-838.7456	-879.7562	41.01067	2	2.706235	0.0130577	0.0115486	0.0404388	0.00168187	0.0030157	0.0230828	0.0259035	0.00898192	0.0124733	0.0593771	0.029334	0.00762059	0.0185405	0.023827	0.00126116	0.0114672	0.0356407	0.0169113	0.0157024	0.00110541	0.0698613	0.0433244	0.0278132	0.0146593	0.00734037	0.00408672	0.049536	0.0280923	0.0318593	0.0542781	0.0572558	0.0565687	0.0893656	0.0665595	0.0307733	0.0420467	0.0625733	0.0832029	0.00145891	0.0440945	0.0476473	0.00159167	0.0490794	0.0154207	0.0732021	0.159963	0.142309	0.0624825	0.324848	0.000284212	0.136402	0.334873	0.117828	0.365177	0.713846	1.08062	1.84035	4	2.691652
9000	-841.5649	-887.7734	46.20849	2	1.69604	0.0184005	0.00257957	0.0177864	0.0149301	0.00872622	0.0164482	0.0228731	0.0242641	0.00538745	0.0159234	0.0202933	0.00754902	0.000479619	0.0378614	0.0207803	0.0252572	0.0727932	0.0371784	0.0105129	0.00137132	0.022086	0.0876048	0.0100182	0.00968785	0.0318142	0.00962458	0.0257642	0.0106642	0.0381358	0.0458703	0.0927447	0.0352835	0.0557541	0.100009	0.103579	0.0598889	0.0256414	0.0827855	0.0368887	0.0664253	0.00573264	0.0499299	0.000886708	0.00672727	0.0341093	0.101657	0.0203004	0.0162435	0.303563	0.00149346	0.109399	0.308144	0.121066	0.254081	0.618237	1.06012	2.06756	4	2.410918
