Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-71.20306	-84.35014	13.14708	10	1.506135	0.00474558	0.0294695	0.207034	0.0587204	0.0121961	0.226269	0.589574	1.05078	2.13338	5	0.3121654
1000	-56.22798	-65.67634	9.44836	10	0.1911171	0.0879504	0.0254715	0.235281	0.178631	0.184125	0.00038536	0.0288133	0.360079	3.61072	5	0.7114589
2000	-62.58149	-67.62942	5.047932	2	0.08959577	0.114529	0.0583834	0.435594	0.232038	0.0242797	1.05439e-07	0.000482903	0.0672041	3.93231	4	0.8648239
3000	-56.89196	-66.3179	9.425936	1	0.001535457	0.0514939	0.0330429	0.0534927	0.080955	0.12819	0	9.94974e-197	7.19807e-82	4	3	0.3471748
4000	-56.28233	-65.25687	8.974537	2	0.04651849	0.21729	0.0188542	0.0456294	0.21029	0.0250205	6.35979e-14	3.76411e-07	0.00344639	3.99655	4	0.5170844
5000	-57.37427	-64.89662	7.522345	10	0.02570218	0.511841	0.0321734	0.0794549	0.0683253	0.0586898	2.10328e-24	2.16851e-12	2.30925e-05	3.99998	5	0.7504842
6000	-53.48037	-64.20345	10.72307	10	0.04278117	0.310718	0.0708922	0.0727624	0.0818991	0.146588	4.71066e-15	1.02475e-07	0.00200877	3.99799	5	0.6828589
7000	-45.5204	-64.99034	19.46994	1000	0.1147071	0.237824	0.0389109	0.0992756	0.498806	0.0327422	3.10693e-06	0.00261506	0.135255	3.86213	6	0.9075581
8000	-50.82703	-65.66762	14.84059	1000	0.1416239	0.383273	0.16348	0.268353	0.426011	0.0873521	3.07668e-05	0.00820336	0.216439	3.77533	6	1.328469
9000	-58.46693	-65.20594	6.739006	10	0.9568549	0.191296	0.00266122	0.0268036	0.369766	0.236822	0.128267	0.463388	0.992466	2.41588	5	0.8273502
10000	-52.3623	-66.83589	14.47359	10	0.03080008	0.140651	0.0746719	0.0771353	0.0612152	0.0674172	1.58355e-20	1.88078e-10	0.000147121	3.99985	5	0.4210903
11000	-61.42035	-66.71274	5.292391	1	0.2774346	0.277687	0.065874	0.12003	0.119959	0.149389	0.00364375	0.0870999	0.555887	3.35337	3	0.7329394
12000	-65.38483	-66.44855	1.06372	2	0.2535671	0.203279	0.444593	0.0840517	0.290464	0.284487	0.00228219	0.0692778	0.508948	3.41949	4	1.306875
13000	-56.21582	-66.48455	10.26873	10	0.2543061	0.104967	0.231459	0.0550294	0.176404	0.195481	0.00231855	0.0698169	0.510479	3.41739	5	0.76334
14000	-44.2327	-67.00792	22.77522	1000	0.2467426	0.0818527	0.0396478	0.00316309	0.390268	0.14903	0.0019634	0.0643478	0.494566	3.43912	6	0.6639617
15000	-42.32626	-65.39216	23.06591	1000	0.1567241	0.170975	0.0158305	0.119997	0.14248	0.0839623	7.88299e-05	0.0131038	0.262002	3.72482	6	0.5332441
