Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-309.0842	-361.5651	52.4809	10	0.4957078	0.384985	0.0392104	0.0501907	0.0933205	0.0917685	0.0680536	0.0388294	0.036679	0.11466	0.0309048	0.0517384	0.032595	0.249105	0.81712	2.90118	5	1.00034
1000	-123.1823	-179.8031	56.6208	10	0.2443807	0.00279476	0.00320435	0.0013494	0.0396713	0.0151139	0.00738486	0.00134895	0.0828954	0.00777931	0.0129893	0.548282	0.00186013	0.0626629	0.489485	3.44599	5	0.7228139
2000	-133.6558	-183.5461	49.89026	10	1.163229	0.0386243	0.0127864	0.00971189	0.0525189	0.00368979	0.00809763	0.0313584	0.141992	0.0331022	0.0203629	0.643679	0.168326	0.52086	1.02254	2.28827	5	0.9959231
3000	-118.9819	-178.7065	59.7246	10	0.8861881	0.00170863	0.0137581	0.0149653	0.000762933	0.00324943	0.0135637	0.0313715	0.111607	0.00435974	0.0205596	0.539423	0.113724	0.439651	0.978247	2.46838	5	0.7553285
4000	-129.5075	-178.7487	49.2412	10	2.486723	0.0222456	0.0146952	0.00990102	3.39531e-05	0.0161179	0.0223915	0.011192	0.161325	0.00817663	0.0296571	0.763367	0.345194	0.698462	1.07848	1.87787	5	1.059103
5000	-123.6907	-183.3628	59.6721	10	1.729635	0.0190493	0.0023084	0.00047414	0.0284872	0.010796	0.0181437	0.0424798	0.0127492	0.210565	0.0156527	0.401937	0.258718	0.622795	1.06148	2.05701	5	0.7626422
6000	-117.3621	-177.5247	60.16264	10	1.008019	0.00400869	0.00266155	0.0655513	0.0181792	0.00783065	0.016983	0.0255936	0.0102992	0.10668	0.0150059	0.555316	0.138551	0.479149	1.00132	2.38098	5	0.8281084
7000	-120.6795	-183.9187	63.23912	10	0.7219861	0.0230518	0.00963444	0.00449475	0.0552947	0.0170127	0.0161085	0.00236212	0.0373788	0.128081	0.00581702	0.481843	0.0788893	0.373722	0.932751	2.61464	5	0.7810786
8000	-134.1442	-181.4209	47.27667	10	7.741112	0.00732547	0.0146416	0.0135246	0.00447226	0.0196565	0.0102899	0.00887381	0.247296	0.0140296	0.0516768	0.670466	0.58713	0.849572	1.07723	1.48606	5	1.062252
9000	-127.0034	-179.3613	52.35791	10	1.695966	0.00102865	0.00184836	0.0451983	0.00559869	0.00116112	0.0155127	0.0207946	0.00224085	0.0901835	0.0194175	0.460517	0.25407	0.618227	1.06012	2.06758	5	0.6635011
10000	-125.6998	-183.8009	58.10113	10	0.7778894	0.0121733	0.0131796	0.00152754	0.0108666	0.000509966	0.0466521	0.00854813	0.0767374	0.0200171	0.0831655	0.744554	0.0908459	0.398077	0.950635	2.56044	5	1.017931
11000	-128.4467	-180.3832	51.9365	10	0.7041191	0.00197553	0.022501	0.0131032	0.0267145	0.0160745	0.0118516	0.0148129	0.124348	0.0176447	0.00625418	0.894098	0.0750683	0.365467	0.926385	2.63308	5	1.149378
12000	-126.173	-178.6588	52.48582	10	0.6981592	0.0083494	0.00424901	0.000673568	0.00991117	0.0145202	0.0240505	0.00632776	0.0940336	0.0111238	0.024411	0.488205	0.0737951	0.36266	0.924184	2.63936	5	0.6858555
13000	-123.9448	-180.2768	56.33198	10	1.399721	0.0161171	0.0218489	0.0170094	0.0228186	0.0121202	0.00745716	0.0188753	0.151201	0.00714457	0.0331033	0.480316	0.209407	0.570967	1.04395	2.17568	5	0.7880107
14000	-123.7124	-179.073	55.36058	10	1.848215	0.0165378	0.00918158	0.0448145	0.00502754	0.0170403	0.0391897	0.0174923	0.0672477	0.0113787	0.0562952	0.655805	0.274457	0.637837	1.06568	2.02202	5	0.94001
15000	-126.6783	-180.7322	54.05395	10	0.5245438	0.0127772	0.00148556	0.206529	0.0160976	0.00284078	0.0355591	0.0170427	0.00116006	0.0130723	0.0494742	0.843768	0.0380221	0.267637	0.837337	2.857	5	1.199806
16000	-134.289	-181.4839	47.19489	10	5.422579	0.0173347	0.0175394	0.150017	0.000848775	0.0142844	0.0155436	0.0103359	0.00519962	0.164001	0.0749113	0.830933	0.518735	0.813429	1.0825	1.58534	5	1.300949
17000	-131.9722	-180.592	48.61978	10	1.244831	0.0119572	0.0197566	0.023812	0.034638	0.00891903	0.0625174	0.0422359	0.219695	0.0033243	0.0327662	1.07265	0.183083	0.539727	1.03112	2.24607	5	1.532272
18000	-132.7209	-182.6527	49.9318	10	2.155908	0.00653125	0.0145197	0.00233875	0.0622069	0.00318253	0.0452189	0.0127112	0.118502	0.027171	0.025529	0.687378	0.311201	0.670631	1.07344	1.94473	5	1.005288
19000	-128.8084	-184.2434	55.43508	10	1.08698	0.0202632	0.00632393	0.0999535	0.0204054	0.00709781	0.0248102	0.0261734	0.07275	0.0339895	0.00412857	0.672321	0.153975	0.50142	1.01304	2.33157	5	0.9882167
20000	-139.0711	-178.501	39.42986	2	1.718672	0.0185858	0.000130375	0.00271825	0.00616799	0.00528767	0.00607627	0.0114965	0.119776	0.00763606	0.0250305	0.389446	0.257214	0.621323	1.06104	2.06042	4	0.5923513
21000	-146.5061	-180.3229	33.81679	1	0.2241337	0.0044832	0.00639438	0.0138211	0.00214847	0.0106401	0.00879045	0.00929407	0.0065158	0.209235	0.0200719	0.388655	0.00111696	0.0487547	0.443677	3.50645	3	0.6800488
22000	-122.6653	-182.1837	59.51841	10	2.176729	0.0204071	0.0115587	0.0052524	0.0124817	0.0249438	0.0139307	0.0267196	0.000669804	0.0705748	0.0376984	0.448355	0.313496	0.672581	1.07384	1.94008	5	0.6725925
23000	-131.2356	-189.9709	58.73529	10	1.297806	0.0280344	0.0633732	0.0496717	0.0154493	0.0172684	0.0581486	0.014365	0.184286	0.0217801	0.0542871	0.436049	0.192332	0.551033	1.03596	2.22068	5	0.9427135
24000	-150.5784	-186.2944	35.71605	2	2.03948	0.0141284	0.000162389	0.0999784	0.0239319	0.00123865	0.0209326	0.0465865	0.0447212	0.011251	0.0285752	0.397195	0.297942	0.659147	1.07095	1.97196	4	0.6887013
25000	-125.361	-183.7142	58.35319	10	0.6319765	0.0115053	0.0170225	0.000710083	0.0376806	0.0163728	0.0499764	0.0169365	0.208511	0.000556541	0.0084212	0.465714	0.0597631	0.329587	0.896795	2.71386	5	0.8334072
26000	-129.1097	-184.6023	55.49259	10	2.717746	0.0089998	0.0231878	0.00324076	0.0493903	0.0332325	0.0510327	0.0129468	0.0257041	0.079733	0.026252	0.591334	0.366175	0.714597	1.08072	1.83851	5	0.9050537
27000	-130.8274	-183.8043	52.97694	10	0.7956632	0.01221	0.00336209	0.154587	0.00545391	0.0042172	0.00832834	0.00434764	0.0116366	0.0412757	0.0255911	0.564467	0.0946356	0.405382	0.955746	2.54424	5	0.8354759
28000	-131.8922	-186.1986	54.30642	10	0.8776639	0.00794938	0.0155167	0.0310304	0.0992715	0.00209919	0.00804016	0.0291073	0.0204603	0.169523	0.00975788	0.490103	0.111946	0.43662	0.976352	2.47508	5	0.8828588
