Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2653.226	-2706.412	53.18561	10	0.6055721	0.0526251	0.134032	0.134815	0.0181062	0.00626153	0.194826	0.058583	0.0275867	0.175927	0.0732396	0.0565117	0.0321921	0.193551	0.175389	0.029143	0.148376	0.123517	0.19133	0.140901	0.0975265	0.0895021	0.000470007	0.00174611	0.0264463	0.0243136	0.0157131	0.00286564	0.112899	0.292385	0.0146408	0.084044	0.0350685	0.174366	0.12066	0.0482339	0.00877238	0.0150823	0.02117	0.156299	0.0312327	0.0202764	0.0112004	0.115703	0.00474785	0.0464194	0.104742	0.16801	0.260569	0.164076	0.0542593	0.315355	0.884135	2.74625	5	4.236094
1000	-2014.834	-2063.324	48.48965	10	0.6145469	0.139129	0.00887287	0.0251007	0.0977404	0.02564	0.034958	0.0337793	0.0220958	0.0376415	0.192759	0.0334446	0.10431	0.0278448	0.101934	0.156276	0.121744	0.151124	0.147305	0.0385928	0.0285935	0.0665792	0.0130541	0.07193	0.229582	0.169333	0.0281176	0.0860099	0.123322	0.0523309	0.0592404	0.198113	0.00245775	0.100698	0.133412	0.0776576	0.279795	0.236432	0.11043	0.00542364	0.173346	0.108202	0.0821501	0.146307	0.0183	0.039877	0.0253759	0.121113	0.0299939	0.0964749	0.0561215	0.320262	0.888563	2.73505	5	4.413945
2000	-2028.754	-2072.67	43.91533	10	0.7161227	0.144627	0.0573243	0.0132011	0.0798868	0.0544892	0.0408831	0.0813335	0.011387	0.0550671	0.0881885	0.0194381	0.0358069	0.124511	0.0357746	0.100335	0.0465478	0.416673	0.0266794	0.00578136	0.0364808	0.0113538	0.0744639	0.00371954	0.142624	0.185379	0.0296999	0.0203846	0.0603029	0.00539771	0.0063548	0.287341	0.117504	0.111475	0.126813	0.134346	0.246847	0.29256	0.421809	0.0187418	0.0235561	0.0560896	0.0310019	0.192124	0.02613	0.175765	0.0430286	0.195464	0.126969	0.0904732	0.0776349	0.371039	0.930699	2.62063	5	4.732135
3000	-2024.557	-2066.207	41.65035	10	0.5651552	0.0792765	0.163573	0.0101339	0.034213	0.0394128	0.0647207	0.127678	0.0149036	0.0116454	0.0492471	0.0407064	0.118722	0.00768569	0.0636452	0.120381	0.0247894	0.207884	0.0950376	0.0261953	0.0655084	0.145186	0.0814232	0.0712463	0.1555	0.198758	0.0183971	0.143799	0.111215	0.0907439	0.14945	0.108937	0.223477	0.150477	0.232511	0.0392974	0.0884972	0.18264	0.0483604	0.0210479	0.338924	0.036638	0.201009	0.0548568	0.0194069	0.10735	0.0595808	0.128024	0.00495662	0.0310438	0.0460104	0.292339	0.862445	2.79921	5	4.608111
4000	-2026.742	-2058.429	31.68702	10	2.248738	0.216033	0.0544732	0.0187186	0.219169	0.0109497	0.0285663	0.0473109	0.0128961	0.00933214	0.00435991	0.0639702	0.043519	0.0058776	0.238162	0.0620276	0.110168	0.0544195	0.099885	0.0917783	0.230482	0.079169	0.257361	0.0991644	0.0124797	0.256987	0.0446352	0.0503667	0.268319	0.0795875	0.0409068	0.0789211	0.140168	0.0878306	0.257666	0.0496325	0.0402459	0.252021	0.427249	0.001234	0.043638	0.403023	0.0275427	0.0653348	0.0014444	0.0402649	0.270052	0.0299574	0.105498	0.269358	0.321262	0.679101	1.07513	1.92451	5	5.402156
5000	-2007.656	-2059.546	51.88975	10	0.6172772	0.234755	0.010124	0.0853377	0.119527	0.0403619	0.0264191	0.0452083	0.0331134	0.0183052	0.0617359	0.0404113	0.0554586	0.0158	0.0931011	0.0867953	0.0505524	0.129468	0.00523936	0.0248093	0.0805402	0.144904	0.157214	0.114796	0.169785	0.16512	0.0247897	0.0669623	0.00702389	0.182789	0.0102449	0.0573428	0.0321332	0.0303553	0.0733038	0.0488342	0.107246	0.0922031	0.112149	0.0997967	0.0372524	0.468735	0.0741151	0.058901	0.0382278	0.0608692	0.056529	0.167303	0.0152878	0.123231	0.0566899	0.32174	0.889884	2.73169	5	4.054507
6000	-2037.594	-2068.14	30.54607	10	1.200433	0.187722	0.0317736	0.0491318	0.144439	0.0200698	0.0656453	0.134269	0.00528719	0.0263347	0.0839992	0.0957418	0.0309672	0.162025	0.197239	0.123682	0.00496433	0.0673599	0.0354415	0.0305945	0.114395	0.0461495	0.486062	0.0175975	0.371836	0.378462	0.0327181	0.134764	0.0969407	0.106893	0.0539056	0.0350007	0.291825	0.343488	0.014354	0.0014368	0.020629	0.118369	0.145169	0.248572	0.0433101	0.227887	0.069277	0.0521224	0.0206562	0.130049	0.0930709	0.0736098	0.162919	0.0334607	0.175131	0.529693	1.02663	2.26854	5	5.461613
7000	-2031.264	-2067.777	36.51292	10	0.7331359	0.150431	0.0505844	0.0570432	0.190589	0.0386507	0.079716	0.238915	0.0213724	0.0117287	0.0690051	0.0909508	0.0764158	0.0647946	0.148903	0.108604	0.041175	0.114963	0.0943729	0.189816	0.158737	0.0871591	0.439733	0.10413	0.212629	0.302059	0.0345768	0.159957	0.0472509	0.101343	0.0816413	0.0173337	0.021775	0.210735	0.0259437	0.0839391	0.216445	0.0397203	0.00631905	0.038813	0.0321532	0.38236	0.0123457	0.0127566	0.24893	0.0625255	0.0146588	0.0510352	0.0888843	0.468068	0.0812755	0.378754	0.936555	2.60342	5	5.601989
8000	-2050.134	-2066.72	16.58573	2	1.227761	0.124669	0.218139	0.00785576	0.0648674	0.0246159	0.0264615	0.102041	0.0151595	0.00264938	0.104354	0.0599552	0.0324036	0.150782	0.130206	0.0595737	0.106904	0.0165352	0.00495372	0.00851277	0.123398	0.0446245	0.385933	0.141011	0.439038	0.348123	0.0243818	0.0148646	0.421897	0.0842138	0.048434	0.0510978	0.0301988	0.135611	0.0768527	0.0106873	0.26687	0.0499657	0.0394997	0.0760664	0.0172491	0.472958	0.0224301	0.326783	0.019974	0.0966857	0.0703112	0.220182	0.0760858	0.12048	0.180048	0.535932	1.02944	2.25458	4	5.516541
9000	-2015.964	-2064.312	48.34784	10	0.402335	0.188539	0.0613907	0.0160551	0.0758722	0.00933148	0.0444816	0.0230447	0.010105	0.0203801	0.0529111	0.0433566	0.0108003	0.0407569	0.0868463	0.0949376	0.116056	0.188681	0.0521398	0.00639534	0.018938	0.0616573	0.267282	0.0815854	0.174245	0.0889652	0.0127578	0.0912181	0.0464479	0.0696017	0.0790747	0.0302169	0.166231	0.123005	0.046828	0.0310037	0.0700263	0.244268	0.31215	0.0611948	0.0842963	0.180125	0.0235026	0.0457858	0.0412926	0.102575	0.24155	0.0996076	0.00790393	0.0356749	0.0170527	0.183498	0.733795	3.06565	5	4.081092
