Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-454.7127	-497.2907	42.57802	10	0.4580418	0.0430534	0.0177837	0.126359	0.13025	0.0299472	0.287594	0.181076	0.144725	0.111101	0.104134	0.043011	0.129098	0.0593789	0.432939	0.27974	0.0763726	0.0272783	0.171062	0.0418339	0.012325	0.0670601	0.105521	0.0163399	0.277388	0.459847	0.00552556	0.0976601	0.0588593	0.0191482	0.0445038	0.0273815	0.0163981	0.0204849	0.123462	0.279319	0.00896217	0.0140565	0.0259003	0.223644	0.787163	2.96329	5	4.090979
1000	-259.3572	-304.9983	45.64109	10	1.726914	0.0122115	0.002874	0.0323229	0.306442	0.0635636	0.116722	0.0317319	0.00411608	0.091831	0.0315481	0.167095	0.0745411	0.206867	0.0834572	0.0953676	0.00806717	0.122747	0.0826306	0.164916	0.10322	0.0196423	0.251019	0.139503	0.0245464	0.0351637	0.1728	0.106243	0.016383	0.075996	0.120701	0.0109232	0.319003	0.0614943	0.0790621	0.375314	0.121409	0.069772	0.258345	0.622431	1.06137	2.05785	5	3.801247
2000	-257.3607	-299.822	42.46134	10	2.169325	0.0084274	0.00598192	0.0273943	0.305238	0.221547	0.00423171	0.0357824	0.0245912	0.132512	0.0241912	0.0884029	0.0230759	0.14864	0.0266036	0.0256495	0.0401807	0.116586	0.0203816	0.122725	0.0199604	0.00992367	0.193398	0.0354935	0.00426533	0.0378503	0.0859604	0.380788	0.330248	0.052772	0.471571	0.0831671	0.0246989	0.243825	0.294614	0.100555	0.109702	0.0638495	0.312683	0.671891	1.0737	1.94173	5	3.944786
3000	-271.9773	-302.3406	30.36331	10	2.724827	0.00560616	0.0915959	0.0121133	0.0710629	0.269898	0.050162	0.00198983	0.0199949	0.270261	0.0871055	0.241478	0.0505888	0.0689877	0.385515	0.0229154	0.0832681	0.0216176	0.103915	0.125574	0.122523	0.0428056	0.0382457	0.088694	0.285983	0.183527	0.270417	0.0681998	0.016434	0.438645	0.227883	0.436556	0.187157	0.140707	0.23657	0.0122738	0.177878	0.0771272	0.366786	0.715057	1.08077	1.83738	5	5.035277
4000	-262.0757	-304.5642	42.48852	10	3.338489	0.0563377	0.0374968	0.0142462	0.333523	0.170795	0.0400407	0.0185153	0.0017371	0.0564675	0.0166868	0.305434	0.0756162	0.129257	0.00166381	0.341352	0.0197996	0.0294769	0.0829406	0.0143381	0.126163	0.116535	0.0698467	0.0107514	0.322895	0.104814	0.166356	0.128117	0.31792	0.173123	0.0134171	0.397437	0.159771	0.0454465	0.0476809	0.19282	0.000246266	0.187508	0.413864	0.7487	1.08374	1.75369	5	4.326573
5000	-252.8831	-303.7086	50.82546	10	0.8108692	0.0258018	0.0182939	0.0169854	0.129651	0.27434	0.0483094	0.00790458	0.0222234	0.0253433	0.0165953	0.0894143	0.0638029	0.158464	0.104257	0.0951102	0.0274124	0.0359524	0.0242984	0.0220974	0.106795	0.10221	0.384561	0.362648	0.46147	0.0571963	0.0672665	0.0347449	0.0980649	0.324246	0.130864	0.0855683	0.0415463	0.102717	0.0244234	0.00580458	0.0590848	0.0511644	0.0978694	0.411474	0.959922	2.53074	5	3.706631
6000	-260.9414	-305.9589	45.01752	10	0.6699952	0.0631173	0.0257883	0.00371431	0.220872	0.0791241	0.0292019	0.064334	0.0466523	0.0840019	0.00707069	0.0980395	0.168654	0.194031	0.0049861	0.265247	0.0173283	0.255762	0.00082571	0.0334827	0.0755453	0.0034209	0.0141879	0.104498	0.489836	0.0457455	0.239764	0.0258322	0.0421859	0.0853626	0.04428	0.332526	0.0461813	0.0516984	0.298022	0.0556256	0.431422	0.132746	0.0677943	0.349022	0.913221	2.66996	5	4.181113
7000	-260.1813	-305.5039	45.32256	10	2.519835	0.00816353	0.128939	0.0493993	0.0393823	0.0717046	0.0469656	0.0410388	0.0127491	0.0859052	0.020405	0.0426935	0.0931023	0.164114	0.111689	0.0757314	0.034293	0.0846295	0.0617004	0.00342545	0.0610134	0.00842384	0.109244	0.0786865	0.101798	0.134417	0.200857	0.234444	0.238151	0.0594831	0.125102	0.088772	0.326739	0.0988155	0.327894	0.246687	0.268976	0.00590001	0.348329	0.700921	1.07885	1.8719	5	3.891435
8000	-264.2141	-303.1602	38.94603	10	1.036707	0.0770037	0.0184334	0.000311629	0.311729	0.0806997	0.167498	0.0435855	0.0115364	0.0101377	0.0185491	0.0433713	0.146573	0.152955	0.0183483	0.233612	0.0228657	0.216418	0.077634	0.0239193	0.0171901	0.150392	0.111597	0.0361905	0.251384	0.162911	0.553681	0.148621	0.0293233	0.706457	0.287461	0.0818821	0.069746	0.0197491	0.0621615	0.197027	0.0580607	0.106764	0.144219	0.487514	1.00583	2.36244	5	4.725778
9000	-268.5878	-302.1355	33.54763	10	2.983391	0.0741553	0.0275198	0.0400937	0.222516	0.331848	0.0285037	0.15082	0.0511975	0.0638262	0.00655646	0.0669271	0.0231824	0.191403	0.0827285	0.476237	0.000785745	0.0210457	0.0289052	0.0554543	0.191104	0.125534	0.50096	0.146267	0.0563742	0.581731	0.034458	0.00815516	0.082332	0.739804	0.0232075	0.185685	0.00248734	0.331536	0.00529904	0.378254	0.170628	0.0835938	0.387973	0.730604	1.08243	1.79899	5	5.591118
