Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-2832.371	-2875.431	43.06046	10	1.331822	0.0862385	0.030578	0.0319331	0.17567	0.0799611	0.0126762	0.119652	0.0890047	0.115862	0.128855	0.254112	0.110183	0.0105929	0.00142389	0.0430921	0.0174336	0.144904	0.00710494	0.0187708	0.00824706	0.00616746	0.056827	0.0388199	0.00925412	0.00106388	0.150709	0.374285	0.0120582	0.503802	0.052593	0.0220795	0.140137	0.120967	0.282631	0.205277	0.146574	0.028022	0.150405	0.0631122	0.214715	0.00593057	0.0401029	0.018455	0.12559	0.0113093	0.0645823	0.00962612	0.137531	0.0420317	0.198135	0.557939	1.0388	2.20512	5	4.520952
1000	-2012.652	-2064.887	52.23503	10	0.3775571	0.0529314	0.0418956	0.00255513	0.117123	0.00314514	0.0285294	0.0258549	0.00340103	0.0137273	0.0330263	0.051736	0.100344	0.000438338	0.0582233	0.0745209	0.0767854	0.0690187	0.057445	0.56284	0.135717	0.112215	0.210345	0.0414239	0.256428	0.0732869	0.0258278	0.138854	0.263776	0.00179666	0.0281541	0.166705	0.0298925	0.0859931	0.028889	0.113407	0.036216	0.0883712	0.097664	0.0522437	0.0346065	0.0121063	0.315347	0.0171077	0.174858	0.0867904	0.0303533	0.050004	0.0593919	0.0198172	0.0136143	0.164802	0.705806	3.11578	5	4.161128
2000	-2033.795	-2067.863	34.06783	10	0.5447747	0.135168	0.095949	0.0171148	0.0716743	0.0172291	0.031747	0.108842	0.0209827	0.00999678	0.0358575	0.0543663	0.0267967	0.0211827	0.138774	0.25101	0.045804	0.110667	0.262466	0.111084	0.284682	0.0354059	0.111896	0.11262	0.133641	0.280959	0.00463985	0.152605	0.0404039	0.00823802	0.0675187	0.220911	0.0425726	0.00571689	0.027133	0.217917	0.0425834	0.334296	0.259914	0.124341	0.0217636	0.0590642	0.295359	0.0157076	0.204222	0.027935	0.0421683	0.0901337	0.142251	0.0105952	0.0419572	0.280145	0.850299	2.8276	5	4.983905
3000	-2056.999	-2066.556	9.556522	2	0.6538182	0.288147	0.0780363	0.0543904	0.116759	0.039875	0.0287215	0.0189434	0.0124723	0.0327559	0.218281	0.0881685	0.0520326	0.00671795	0.00359659	0.0195727	0.118091	0.285244	0.0113433	0.0012762	0.106038	0.109921	0.115207	0.109862	0.290495	0.616823	0.110317	0.10397	0.162677	0.167971	0.0292987	0.0983925	0.0796294	0.290799	0.034315	0.0429747	0.419788	0.101727	0.0351524	0.0970199	0.157042	0.561409	0.148827	0.0411405	0.284287	0.225294	0.0147971	0.0377863	0.17616	0.111956	0.0643648	0.3409	0.906474	2.68826	4	6.3555
4000	-2060.834	-2074.222	13.38833	2	0.8837427	0.16707	0.125044	0.0598064	0.151776	0.0199902	0.0400345	0.0317167	0.0248102	0.0158209	0.16676	0.0492228	0.0421539	0.0840421	0.0547599	0.117967	0.150391	0.318415	0.182879	0.0419529	0.0896035	0.0907565	0.24397	0.0497063	0.0100545	0.241432	0.166967	0.121033	0.191922	0.283543	0.0289215	0.114019	0.0950204	0.479007	0.191888	0.091427	0.196573	0.193415	0.0133002	0.330187	0.00187961	0.0570036	0.0750615	0.133909	0.151185	0.0129394	0.129748	0.0250568	0.0484963	0.0936529	0.113214	0.438786	0.977708	2.47029	4	5.79629
5000	-2014.416	-2055.725	41.30949	10	0.7726818	0.130197	0.0296735	0.0176257	0.0778022	0.0313111	0.0334963	0.0569739	0.00460462	0.0171277	0.0687966	0.0824198	0.0462501	0.00695207	0.107011	0.0694897	0.183148	0.00933539	0.0299249	0.0730348	0.0708885	0.130131	0.27775	0.0669457	0.00683858	0.16637	0.120108	0.077629	0.0543309	0.0821207	0.0728889	0.280672	0.232273	0.0292714	0.0859051	0.005343	0.162983	0.0794979	0.0100849	0.274459	0.147707	0.316182	0.183607	0.0220439	0.407355	0.24861	0.0600219	0.000754835	0.0399748	0.0164	0.0897339	0.395898	0.949088	2.56528	5	4.804323
6000	-2032.97	-2068.726	35.75566	10	0.8094102	0.0855355	0.093806	0.0143864	0.0932535	0.0435618	0.0244405	0.0732673	0.0157609	0.0120513	0.213678	0.139459	0.00498729	0.0422674	0.0754441	0.168849	0.0746047	0.490499	0.037663	0.162546	0.00372712	0.0373075	0.260007	0.175736	0.0824114	0.373074	0.000302306	0.129631	0.0802212	0.159776	0.0611599	0.201811	0.0611229	0.0243353	0.196753	0.0898545	0.177322	0.123612	0.0651309	0.00488252	0.100453	0.154684	0.125434	0.00962202	0.548395	0.0897885	0.111457	0.00521855	0.0797786	0.287243	0.0975595	0.410895	0.959529	2.53202	5	5.686311
7000	-2034.945	-2073.342	38.39703	10	1.351771	0.320947	0.0417905	0.00956899	0.104817	0.0419908	0.0372806	0.153242	0.00891895	0.00834535	0.162342	0.0692711	0.030852	0.122167	0.029667	0.0491511	0.21471	0.379721	0.0892759	0.00591137	0.0413392	0.103498	0.285568	0.10942	0.0585415	0.201447	0.0832984	0.00783566	0.0121735	0.222573	0.0218896	0.140711	0.0931274	0.264203	0.0188072	0.225207	0.0878475	0.0728441	0.0139315	0.0838727	0.149385	0.197211	0.0107933	0.0425417	0.0953273	0.0135715	0.186011	0.241054	0.110165	0.22279	0.20149	0.561868	1.04039	2.19626	5	5.296955
8000	-2014.081	-2061.578	47.49677	10	0.4224134	0.130199	0.0299111	0.000964157	0.05754	0.0268207	0.0350443	0.115402	0.00570043	0.0126726	0.0605266	0.0271122	0.198792	0.00188575	0.139347	0.181076	0.018845	0.0313562	0.0043859	0.081202	0.0989624	0.191277	0.201537	0.0376159	0.0514997	0.188282	0.0514185	0.0465201	0.0179382	0.0941985	0.0263822	0.0830076	0.00467701	0.014585	0.155661	0.0291813	0.117865	0.329856	0.0380586	0.0404319	0.18825	0.205208	0.0693977	0.055588	0.0253108	0.0265788	0.00906442	0.01673	0.202464	0.19637	0.0200762	0.198291	0.754438	3.02719	5	3.972701
9000	-2033.19	-2068.629	35.43848	10	0.6663577	0.273145	0.0307578	0.0288957	0.0695023	0.0247446	0.0416306	0.0336399	0.00626726	0.0297236	0.106846	0.0602704	0.0121061	0.0437611	0.3378	0.0376263	0.0919522	0.120463	0.104169	0.0500099	0.341861	0.0106482	0.368104	0.0944942	0.463044	0.15261	0.119248	0.0980618	0.000902951	0.0887385	0.0420609	0.12533	0.00746802	0.0937163	0.179027	0.0792558	0.269594	0.116713	0.0505826	0.0201888	0.0159178	0.339634	0.0606133	0.0781814	0.0890129	0.282088	0.0888957	0.181742	0.0931883	0.0454645	0.0670219	0.347215	0.911734	2.67403	5	5.499698
