Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-298.8363	-332.8526	34.01625	2	0.891696	0.0670155	0.165382	0.0140344	0.216868	0.0830645	0.19807	0.106034	0.0806553	0.116438	0.0272356	0.0655853	0.139145	0.0758198	0.176282	0.233773	0.0889815	0.0343411	0.11487	0.44159	0.979449	2.46409	4	1.888723
1000	-194.4901	-248.2861	53.79602	10	0.0180602	0.284098	0.0399105	0.0305044	0.0924986	0.0175535	0.00259969	0.0211383	0.244779	0.0263784	0.0749107	0.355262	0.116939	0.0288582	0.0285754	0.267301	0.0202307	0.0459906	2.58025e-34	2.40343e-17	2.02842e-07	4	5	1.697527
2000	-199.1846	-253.7229	54.53828	10	0.01110907	0.398715	0.4649	0.0269331	0.0466854	0.078959	0.0121274	0.190792	0.0672865	0.0756407	0.0815909	0.113473	0.064555	0.0385745	0.0293363	0.0197006	0.0312799	0.00110589	3.57352e-55	8.94976e-28	9.52868e-12	4	5	1.741656
3000	-189.768	-249.5187	59.75077	10	0.07707298	0.400093	0.158851	0.0516208	0.0234762	0.00461269	0.0234437	0.0708334	0.210517	0.028519	0.01037	0.135965	0.0275302	0.0441375	0.0686914	0.0266294	0.0474958	0.0156384	8.55191e-09	0.000137677	0.039922	3.95994	5	1.348426
4000	-193.3231	-250.4777	57.15465	10	0.06653875	0.561449	0.222876	0.0350805	0.0522673	0.0595362	0.0129104	0.0607368	0.262112	0.0696225	0.0413101	0.307605	0.00860427	0.0910809	0.166929	0.0433702	0.022958	0.0021593	4.96718e-10	3.32099e-05	0.0221214	3.97785	5	2.020607
5000	-194.7466	-255.2729	60.52629	10	0.01991775	0.155849	0.180199	0.0863216	0.046864	0.0166817	0.0190387	0.0543393	0.119112	0.120861	0.0381085	0.298209	0.279297	0.0212341	0.016451	0.0132873	0.0267766	0.0211859	3.31506e-31	8.61341e-16	8.95752e-07	4	5	1.513816
6000	-199.4625	-252.2008	52.73827	10	0.0786629	0.0227746	0.211155	0.0318249	0.0332183	0.0105212	0.0407516	0.107234	0.134543	0.123511	0.0146055	0.0717589	0.16102	0.096895	0.476247	0.0858289	0.00180845	0.0206914	1.22981e-08	0.000165078	0.0430463	3.95679	5	1.644388
7000	-199.8233	-255.0377	55.21445	10	0.03472393	0.210107	0.217368	0.0733494	0.0704526	0.0393608	0.0131484	0.0986077	0.13335	0.090132	0.0300718	0.00403124	0.075406	0.225931	0.0708721	0.0398796	0.168294	0.00444068	2.55987e-18	2.39048e-09	0.000422458	3.99958	5	1.564803
8000	-196.6443	-250.7936	54.14934	10	0.04459502	0.528322	0.217336	0.0209932	0.0524381	0.0754909	6.75385e-05	0.248416	0.0737709	0.134167	0.0506685	0.0619605	0.0220226	0.0474199	0.00285555	0.438287	0.00958002	0.00689735	1.75936e-14	1.98011e-07	0.00264008	3.99736	5	1.990693
9000	-201.013	-262.5635	61.55048	10	0.05459424	0.172039	0.153136	0.256798	0.0936341	0.0359608	0.00695749	0.011366	0.131045	0.118549	0.170534	0.0998219	0.0620102	0.0091448	0.0115031	0.113498	0.101122	0.00766333	5.21591e-12	3.40652e-06	0.00859657	3.9914	5	1.554784
